# Sensor s10_CFA, Rancagua, Chile (Purple Air/158165)
# https://aqicn.org/station/@368305/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-01-12T00:00:00.000Z,2.9,5.7,4.2,3.8,4.6,0.598,170
2023-01-13T00:00:00.000Z,2.7,20.8,6.9,4.8,10,3.655,605
2023-01-14T00:00:00.000Z,1.9,24,5.7,4.6,6.9,2.211,618
2023-01-15T00:00:00.000Z,4.5,19.1,9.3,8.4,10.1,1.935,622
2023-01-16T00:00:00.000Z,10,32.4,24.8,17.95,27.85,6.186,649
2023-01-17T00:00:00.000Z,8.4,22.2,11.9,10.19,15.1,3.097,640
2023-01-18T00:00:00.000Z,6.1,25.9,10.4,8.5,14.05,3.59,561
2023-01-19T00:00:00.000Z,12.2,33.9,21.2,16.2,26.5,5.575,666
2023-01-20T00:00:00.000Z,15,39.2,21.8,19.5,27.7,5.302,665
2023-01-21T00:00:00.000Z,10.1,45.6,16.5,14.3,20,4.327,677
2023-01-22T00:00:00.000Z,6.3,103.8,17.6,13.9,20.6,12.108,654
2023-01-23T00:00:00.000Z,6.2,32.6,11.6,9.2,17.3,6.275,323
2023-01-30T00:00:00.000Z,5.3,9.4,7.4,6.9,8,0.809,225
2023-01-31T00:00:00.000Z,5.8,32.8,8.4,7.2,10,3.356,627
2023-02-01T00:00:00.000Z,5.8,19.7,10.4,8.4,13.1,2.864,638
2023-02-02T00:00:00.000Z,5.9,28.9,11,9.1,12.9,3.327,654
2023-02-03T00:00:00.000Z,7.8,40.3,13,10.2,18.5,6.9,304
2023-08-09T00:00:00.000Z,53.6,386.4,94.85,85.9,101.2,37.961,282
2023-08-10T00:00:00.000Z,1.4,96.1,21.4,4.4,42.45,22.99,649
2023-08-11T00:00:00.000Z,5.4,124.3,26.6,16.8,34,17.431,679
2023-08-12T00:00:00.000Z,3.9,65.9,34.7,27,41,12.871,680
2023-08-13T00:00:00.000Z,2.8,183,44.1,23.6,51.4,19.918,660
2023-08-14T00:00:00.000Z,7.2,77.5,37.2,23.25,44.6,14.01,672
2023-08-15T00:00:00.000Z,24.9,60.6,40.15,35.45,42.65,5.601,640
2023-08-16T00:00:00.000Z,15,59.9,38.29,36,41.5,5.076,620
2023-08-17T00:00:00.000Z,3.4,90.2,32.4,17,47.4,21.006,655
2023-08-18T00:00:00.000Z,20.5,149.7,39.2,33.95,55.1,23.985,653
2023-08-19T00:00:00.000Z,1.2,160.5,13.7,7.7,52.8,36.945,628
2023-08-20T00:00:00.000Z,0,23,5.3,1.75,7.8,3.584,609
