# Sensor s11_CLC, Rancagua, Chile (Purple Air/47253)
# https://aqicn.org/station/@368395/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-01-13T00:00:00.000Z,6.1,6.3,6.2,6.1,6.3,0.082,3
2023-01-18T00:00:00.000Z,7.3,25.5,12.5,10.1,15.55,3.14,237
2023-01-19T00:00:00.000Z,11.4,32.1,20.1,14.8,25.2,5.54,663
2023-01-20T00:00:00.000Z,13.9,36.2,20.7,18.39,26.8,5.487,676
2023-01-21T00:00:00.000Z,9.8,44.1,15.4,13.4,19.25,4.131,645
2023-01-22T00:00:00.000Z,6.3,94.8,16.2,13.15,19.6,10.507,673
2023-01-23T00:00:00.000Z,5.8,31.2,10.8,8.6,16,5.766,319
2023-01-30T00:00:00.000Z,5.4,8.7,7.1,6.7,7.6,0.772,185
2023-01-31T00:00:00.000Z,5.6,29.3,7.8,6.8,9.5,2.952,607
2023-02-01T00:00:00.000Z,5.5,17.8,9.4,7.8,12.25,2.706,629
2023-02-02T00:00:00.000Z,5.6,26.9,10.2,8.5,12.1,3.001,599
2023-02-03T00:00:00.000Z,7.9,38.4,13.7,10.05,17.95,6.634,293
2023-02-05T00:00:00.000Z,35.1,55.4,43,40.9,46.5,4.178,178
2023-02-06T00:00:00.000Z,33.6,134.2,118.4,40,124.9,37.608,235
2023-02-07T00:00:00.000Z,92.7,146.3,122.05,106.3,134,14.439,634
2023-02-08T00:00:00.000Z,100.3,180.7,127.3,119.9,140.5,18.987,663
2023-02-09T00:00:00.000Z,106.9,338.2,185.2,149.2,209.65,62.919,529
2023-02-27T00:00:00.000Z,3.8,14.6,6.3,5.3,8.9,2.512,266
2023-02-28T00:00:00.000Z,6,24.9,14.4,9.6,16.9,4.258,400
2023-03-14T00:00:00.000Z,1.7,12.7,6.8,4.25,9.69,3.033,92
2023-03-15T00:00:00.000Z,0,16.1,1.6,1,3.7,3.256,606
2023-03-16T00:00:00.000Z,0.6,35.2,4.7,3.7,7,3.617,607
2023-03-17T00:00:00.000Z,1.3,17.2,3.95,2.6,9.35,4.088,320
2023-05-15T00:00:00.000Z,52.7,91.2,64.2,59,71.6,8.74,72
2023-10-18T00:00:00.000Z,9.8,19.9,14.6,12.8,16.1,2.216,239
2023-10-19T00:00:00.000Z,4.8,32.5,14.15,10.8,18.8,6.9,652
2023-10-20T00:00:00.000Z,12.8,59.2,25.2,18.6,28.1,6.09,635
2023-10-21T00:00:00.000Z,26.2,49.6,35,31.1,40.5,5.423,661
2023-10-22T00:00:00.000Z,39,50.9,43.8,42,45.2,2.21,644
2023-10-23T00:00:00.000Z,19.6,46.9,34.4,29.5,39.7,6.857,623
2023-10-24T00:00:00.000Z,9.2,33.4,21.2,16.64,24.2,5.721,612
2023-10-25T00:00:00.000Z,11.6,36.6,17.3,14.6,23.1,5.521,603
2023-10-26T00:00:00.000Z,9.4,43.1,16.2,13.7,24.7,7.275,642
2023-10-27T00:00:00.000Z,8.8,44,17.3,11.8,25.8,7.207,647
2023-10-28T00:00:00.000Z,5.3,193.2,22.6,12.05,32.25,13.21,640
2023-10-29T00:00:00.000Z,0.2,35.3,4.4,3.3,5.4,3.269,636
2023-10-30T00:00:00.000Z,2.7,37.4,12.75,8.7,20.4,6.597,660
2023-10-31T00:00:00.000Z,5.6,107.5,24.5,12.2,30.4,10.922,666
2023-11-01T00:00:00.000Z,3.4,43.5,10.55,7,15.7,8.249,622
2023-11-02T00:00:00.000Z,0.5,33.7,11.9,7.8,15.6,6.524,673
2023-11-03T00:00:00.000Z,2.2,43.2,7,3.7,11.5,6.365,611
2023-11-04T00:00:00.000Z,8.2,52.9,15.65,13.9,20.7,9.01,626
2023-11-05T00:00:00.000Z,8.5,33,15.2,11.4,23.4,7.074,631
2023-11-06T00:00:00.000Z,5,41.6,27.8,17.1,32.3,9.65,611
2023-11-07T00:00:00.000Z,1.4,14.7,4.7,3.8,8.1,3.205,586
2023-11-08T00:00:00.000Z,1.9,13.6,3.9,3.2,5.4,2.188,580
2023-11-09T00:00:00.000Z,3.8,22.1,7.9,6.4,9.5,2.862,599
2023-11-10T00:00:00.000Z,0.5,81,13,7.3,17.7,7.92,634
2023-11-11T00:00:00.000Z,7,113.5,28.15,19.7,35.1,12.462,644
2023-11-12T00:00:00.000Z,6.9,67.3,16.1,13.8,20,6.169,400
2023-11-13T00:00:00.000Z,1.4,28.2,9.7,5.8,14.4,5.355,623
2023-11-14T00:00:00.000Z,4.3,25.2,8.6,6.7,10.7,2.737,615
2023-11-15T00:00:00.000Z,3.2,16.5,5.8,4.7,7.45,2.702,348
