# Sensor s13_CA, Rancagua, Chile (Purple Air/47245)
# https://aqicn.org/station/@371527/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-02-14T00:00:00.000Z,2.8,23.1,8,5.2,15.4,5.577,230
2023-02-15T00:00:00.000Z,2.5,37.2,20.4,14.25,24.6,8.351,625
2023-02-16T00:00:00.000Z,2.2,24.1,5,3.6,16,7.06,610
2023-02-17T00:00:00.000Z,2.3,23.5,11.1,6.8,16.9,5.831,638
2023-02-18T00:00:00.000Z,4,48.8,12.7,8.1,15.4,7.322,654
2023-02-19T00:00:00.000Z,2.8,14,7.1,5.6,9.6,2.41,634
2023-02-20T00:00:00.000Z,4.8,17.2,11.6,8,13,3.008,223
2023-02-22T00:00:00.000Z,14.9,38.2,31.2,20.45,36,7.567,205
2023-02-23T00:00:00.000Z,11,56.3,19.6,14.5,35.6,10.583,659
2023-02-24T00:00:00.000Z,10.1,36,29.15,18.39,33,8.164,666
2023-02-25T00:00:00.000Z,7.4,34.3,16.8,14.05,20.6,4.999,648
2023-02-26T00:00:00.000Z,1.7,15.2,8,4.59,10.5,3.772,643
2023-02-27T00:00:00.000Z,2,17.5,9.05,5.5,15,4.658,630
2023-02-28T00:00:00.000Z,5,34.1,8.5,7.2,10.5,4.408,631
2023-03-01T00:00:00.000Z,0.9,25.1,10.45,5.75,12.1,4.269,632
2023-03-02T00:00:00.000Z,2.7,11.4,5.6,4.8,6.4,1.196,615
2023-03-03T00:00:00.000Z,2.7,26,9.8,7.1,11.9,4.051,627
2023-03-04T00:00:00.000Z,2.5,33.8,6.7,5.5,9,3.553,623
2023-03-05T00:00:00.000Z,6,44.3,22.5,12.2,34.95,12.085,629
2023-03-06T00:00:00.000Z,3.2,25,15.55,7.3,19.2,6.214,624
2023-03-07T00:00:00.000Z,1.9,24.4,5.3,3.5,8.1,3.503,607
2023-03-08T00:00:00.000Z,0.5,50.3,3.6,2.3,7.3,6.397,608
2023-03-09T00:00:00.000Z,0.4,51.3,6.3,3,14.7,11.289,600
2023-03-10T00:00:00.000Z,0.3,17,2.4,1.6,4.5,2.363,601
2023-03-11T00:00:00.000Z,1.1,27.8,6.05,3.3,8,4.145,626
2023-03-12T00:00:00.000Z,2.4,49.3,7.65,5,13,7.041,634
2023-03-13T00:00:00.000Z,2.9,89.5,5.4,4.5,7.2,4.491,621
2023-03-14T00:00:00.000Z,0,37.3,4.3,3.8,5.09,3.515,596
2023-03-15T00:00:00.000Z,0,305,1.6,0.6,8.3,33.159,602
2023-03-16T00:00:00.000Z,0.1,29.2,3.5,1.2,7.05,5.17,612
2023-03-17T00:00:00.000Z,0.2,59.5,3,2.3,4.3,7.958,640
2023-03-18T00:00:00.000Z,0.8,15.7,5.1,3.4,7.9,2.894,636
2023-03-19T00:00:00.000Z,2.3,23.1,5.8,4,10.6,5.134,622
2023-03-20T00:00:00.000Z,3.3,14.6,6.6,5.35,8.4,2.078,613
2023-03-21T00:00:00.000Z,5.6,37.2,15.2,8.6,19.3,5.721,647
2023-03-22T00:00:00.000Z,11.5,53.5,21.45,17.8,37.3,11.833,662
2023-03-23T00:00:00.000Z,19,100.5,42.9,35.29,50,21.214,671
2023-03-24T00:00:00.000Z,14.1,38.7,32.35,28.3,34.8,6.468,418
2023-08-10T00:00:00.000Z,16.9,38.9,30.3,24.8,33.79,5.479,107
2023-08-11T00:00:00.000Z,5.3,92.4,27.7,19.6,34,15.481,671
2023-08-12T00:00:00.000Z,4.6,57,32.9,22.4,36.79,11.164,659
2023-08-13T00:00:00.000Z,4.8,73.8,43.3,27.1,48.85,17.409,641
2023-08-14T00:00:00.000Z,9.4,124.8,47.7,31.55,74.34,27.041,573
2023-08-15T00:00:00.000Z,26.1,55.8,40.2,36.75,42.35,4.836,636
2023-08-16T00:00:00.000Z,24.3,73.8,38.79,36.29,41,6.166,650
2023-08-17T00:00:00.000Z,2,103.6,32.4,15.3,44.75,19.141,661
2023-08-18T00:00:00.000Z,17.4,134.8,38.1,32,50.6,20.775,638
2023-08-19T00:00:00.000Z,2.3,95.9,22.05,7.55,50.45,24.156,620
2023-08-20T00:00:00.000Z,0,28.7,4.3,1.2,7.8,6.116,622
2023-08-21T00:00:00.000Z,0.7,33.9,4.4,2.6,8.9,7.442,409
