# Sensor s16_uoh, Graneros, Chile (Purple Air/47225)
# https://aqicn.org/station/@370078/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-01-30T00:00:00.000Z,6.9,9.1,7.8,7.4,8.2,0.522,159
2023-01-31T00:00:00.000Z,5.7,30.6,8.19,7.3,9.9,3.125,609
2023-02-01T00:00:00.000Z,7.8,17.2,9.65,8.75,11.7,2.231,48
2023-11-06T00:00:00.000Z,5.9,43.7,10,8.2,12,5.109,78
2023-11-07T00:00:00.000Z,1,311.8,5.7,3.6,7.4,18.432,599
2023-11-08T00:00:00.000Z,0.9,233.4,4.4,3.3,5.5,9.866,618
2023-11-09T00:00:00.000Z,4.5,38.5,7.6,6.3,9.5,4.312,594
2023-11-10T00:00:00.000Z,4.4,99,12.15,8,20.39,13.732,618
2023-11-11T00:00:00.000Z,7.1,43.2,19.1,13,25.45,8.439,449
2023-11-13T00:00:00.000Z,1.7,42.1,7.4,4.5,19.6,11.092,315
