# Sensor s3_spp_out, San Pedro de la Paz, Chile (Purple Air/99803)
# https://aqicn.org/station/@210799/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,0.6,187.7,10.4,6.4,14.9,14.633,327
2021-09-08T00:00:00.000Z,1.6,212.3,43.6,21.9,59.1,38.72,600
2021-09-09T00:00:00.000Z,2.6,134.8,40.3,17.2,49.9,23.093,604
2021-09-10T00:00:00.000Z,9,169.8,34.5,25.6,49.2,22.71,609
2021-09-11T00:00:00.000Z,3.2,143.2,25.6,14.25,34.7,19.224,636
2021-09-12T00:00:00.000Z,0.6,88.5,22.3,8.5,37.8,17.527,629
2021-09-13T00:00:00.000Z,0.1,146.2,21.2,6.4,41.1,23.778,588
2021-09-14T00:00:00.000Z,0.1,264.8,36.5,7.2,74.9,53.556,614
2021-09-15T00:00:00.000Z,0,187.4,29.1,10.5,44.2,24.614,608
2021-09-16T00:00:00.000Z,0.3,122.2,31.85,5.7,45,22.844,622
2021-09-17T00:00:00.000Z,0,55.8,6.5,2,19.8,13.782,596
2021-09-18T00:00:00.000Z,0.1,77.9,13.4,3.9,24,13.825,613
2021-09-19T00:00:00.000Z,0.1,596.9,17,9.5,24.8,48.475,611
2021-09-20T00:00:00.000Z,0.5,108.8,35.5,13.2,49.45,22.524,633
2021-09-21T00:00:00.000Z,9.9,169.6,31.5,18.1,43.1,19.434,645
2021-09-22T00:00:00.000Z,0.6,75.9,13.1,6.5,27.7,15.376,603
2021-09-23T00:00:00.000Z,4.5,252.9,25.9,15,36.04,19.941,613
2021-09-24T00:00:00.000Z,0.9,144,35.9,12.05,44.8,21.003,609
2021-09-25T00:00:00.000Z,0.9,48,6.8,3.7,12.6,9.113,594
2021-09-26T00:00:00.000Z,0,213.5,7.7,3,36.15,36.799,592
2021-09-27T00:00:00.000Z,0.4,81.1,16.8,5.2,27.5,14.7,627
2021-09-28T00:00:00.000Z,0.9,169.5,21.05,9.8,35.79,25.251,562
2021-09-29T00:00:00.000Z,0,199.2,24.2,6.2,40.7,32.246,590
2021-09-30T00:00:00.000Z,0,120.8,19.5,0.6,37.04,23.126,553
2021-10-01T00:00:00.000Z,0.8,155.5,24.7,10,36.9,21.437,603
2021-10-02T00:00:00.000Z,0.8,80.2,9.69,5.2,24,13.718,618
2021-10-03T00:00:00.000Z,0,116.4,7.6,2.7,24.4,20.05,611
2021-10-04T00:00:00.000Z,1.5,124.1,18.5,4.8,35.1,18.565,606
2021-10-05T00:00:00.000Z,1.3,90.7,16,8.1,27.15,12.639,601
2021-10-06T00:00:00.000Z,0.6,93.1,19.39,5.8,30.5,15.776,586
2021-10-07T00:00:00.000Z,4.9,143.5,26.1,13,35.45,19.908,609
2021-10-08T00:00:00.000Z,1,453.2,9.05,4.8,19.3,37.843,574
2021-10-09T00:00:00.000Z,5,44.5,21.6,13.8,32.79,10.578,614
2021-10-10T00:00:00.000Z,6,81.5,10.5,8.6,15.7,9.857,595
2021-10-11T00:00:00.000Z,5.1,107.1,36.45,13.85,43.7,18.946,600
2021-10-12T00:00:00.000Z,1.4,85,9.5,6.25,19.14,11.55,608
2021-10-13T00:00:00.000Z,1.7,56.1,11.4,7.55,20.65,9.542,604
2021-10-14T00:00:00.000Z,0,69.5,3.2,0.95,20.65,13.787,581
2021-10-15T00:00:00.000Z,0.1,91.7,7.4,2.4,18.14,12.238,617
2021-10-16T00:00:00.000Z,0,62.1,8.8,3.7,15.3,11.256,596
2021-10-17T00:00:00.000Z,0.3,104,15.2,4.7,34,18.86,607
2021-10-18T00:00:00.000Z,2.7,169.8,22.2,7.7,32.6,17.845,603
2021-10-19T00:00:00.000Z,5.4,67.1,20.85,11.35,33.5,12.512,608
2021-10-20T00:00:00.000Z,0.4,59.5,12.3,7.4,21.8,10.593,603
2021-10-21T00:00:00.000Z,0,63.2,9.25,3.9,33.4,16.206,602
2021-10-22T00:00:00.000Z,0,37.3,5.4,1.2,9,6.33,601
2021-10-23T00:00:00.000Z,0.4,34.7,5.3,3,9.3,5.635,621
2021-10-24T00:00:00.000Z,0,37.3,6.3,1.4,14.9,8.215,587
2021-10-25T00:00:00.000Z,0,47,9.8,3.2,19.05,10.285,601
2021-10-26T00:00:00.000Z,0.5,68.4,10.5,4.75,16.8,10.757,576
2021-10-27T00:00:00.000Z,1,38.1,11.4,5.9,17.3,8.211,599
2021-10-28T00:00:00.000Z,3.1,33.1,11.5,7.6,15.4,6.58,618
2021-10-29T00:00:00.000Z,1.3,36.6,16.2,4,23,9.528,616
2021-10-30T00:00:00.000Z,1.4,30.3,10.1,5.2,15.25,6.216,609
2021-10-31T00:00:00.000Z,3.2,93.3,14.2,5.6,20.75,9.899,637
2021-11-01T00:00:00.000Z,1.2,675.8,10.75,5.2,17.89,51.617,590
2021-11-02T00:00:00.000Z,0.7,29.9,6.7,2.9,10.5,5.769,567
2021-11-03T00:00:00.000Z,0.3,28.9,2.5,1.5,4.95,4.059,573
2021-11-04T00:00:00.000Z,0,58.9,4,1.2,10,10.603,577
2021-11-05T00:00:00.000Z,0.5,13.9,4.09,3.2,5.3,2.023,577
2021-11-06T00:00:00.000Z,3.4,38.6,11.5,7.8,18.89,7.819,586
2022-02-01T00:00:00.000Z,3.1,31.1,14.9,7.05,19.2,6.635,396
2022-02-02T00:00:00.000Z,7.8,30.6,17.2,10.5,19.6,5.931,625
2022-02-03T00:00:00.000Z,1.5,35,12.4,5.3,19.85,8.787,600
2022-02-04T00:00:00.000Z,0,14.8,5,1.1,8.1,4.003,599
2022-02-05T00:00:00.000Z,0.6,27.6,6.9,4.09,10.1,4.875,609
2022-02-06T00:00:00.000Z,2.4,36,12.3,6.2,16.39,7.65,618
2022-02-07T00:00:00.000Z,3.6,30.4,9.2,6.2,13.4,5.894,603
2022-02-08T00:00:00.000Z,1.6,31.7,9.2,4.8,13.6,8.002,572
2022-02-09T00:00:00.000Z,1.1,48.9,7.3,5.2,9.9,6.671,603
