# Sensor s7_CD, Rancagua, Chile (Purple Air/158139)
# https://aqicn.org/station/@368287/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-01-12T00:00:00.000Z,3,5.4,4.2,3.8,4.5,0.521,195
2023-01-13T00:00:00.000Z,2.8,20.6,7.2,4.8,10.3,3.954,607
2023-01-14T00:00:00.000Z,1.7,24.2,5.7,4.6,6.7,2.189,623
2023-01-15T00:00:00.000Z,4.3,18.7,9.2,8,10.1,1.935,630
2023-01-16T00:00:00.000Z,10,32.9,24.7,17.3,28,6.331,646
2023-01-17T00:00:00.000Z,8.3,21.1,11.8,10.25,14.8,2.994,640
2023-01-18T00:00:00.000Z,4.3,18.5,8.9,7.4,11.1,2.817,571
2023-01-19T00:00:00.000Z,7.2,31,14,10.35,21.95,6.394,668
2023-01-20T00:00:00.000Z,7.7,33.9,15.2,11.95,21.3,6.892,685
2023-01-21T00:00:00.000Z,5.5,41.1,10.6,8.8,17.6,5.54,659
2023-01-22T00:00:00.000Z,3.5,100.1,12.5,8.8,19.3,12.22,673
2023-01-23T00:00:00.000Z,4.2,32.5,10.8,8.2,15.7,6.405,328
2023-01-30T00:00:00.000Z,5,8.5,6.9,6.5,7.4,0.681,220
2023-01-31T00:00:00.000Z,5.2,30.5,7.7,6.7,9.2,3.176,612
2023-02-01T00:00:00.000Z,5.3,18.2,9.7,7.9,12.4,2.744,634
2023-02-02T00:00:00.000Z,5.2,28.8,10.3,8.5,11.9,3.213,649
2023-02-03T00:00:00.000Z,7,38.9,12.4,9.8,17.8,6.845,300
2023-07-30T00:00:00.000Z,36.7,126,54,40.9,81.5,27.794,199
2023-07-31T00:00:00.000Z,33.3,739.4,46.5,39,82,165.928,654
2023-08-01T00:00:00.000Z,21.6,60.5,35.75,27.6,45.2,8.832,626
2023-08-02T00:00:00.000Z,7.3,236.9,34.5,24.4,44.4,41.421,657
2023-08-03T00:00:00.000Z,17.7,309.5,33.29,24.55,41.15,35.252,644
2023-08-04T00:00:00.000Z,35.2,65,42.4,39.1,59.2,10.135,127
2023-08-08T00:00:00.000Z,17.5,217.4,43.2,34.54,48.5,19.835,269
2023-08-09T00:00:00.000Z,55.7,402.1,79.3,74.4,87.2,32.009,687
2023-08-10T00:00:00.000Z,0.4,223.2,17.7,3.9,44.2,27.792,646
2023-08-11T00:00:00.000Z,4.7,121.1,34.29,21.4,48.65,21.753,684
2023-08-12T00:00:00.000Z,5.3,342.4,44.65,23.8,55.1,25.248,666
2023-08-13T00:00:00.000Z,3.5,204.8,54.8,25.95,70.9,30.004,676
2023-08-14T00:00:00.000Z,6.5,177.1,33.5,20,49.1,23.426,658
2023-08-15T00:00:00.000Z,29.4,87.2,43.7,40.4,46.95,7.363,644
2023-08-16T00:00:00.000Z,27.1,94.7,38.7,35.4,43.7,6.569,642
2023-08-17T00:00:00.000Z,4.7,172.7,35.25,19.64,44.75,19.778,644
2023-08-18T00:00:00.000Z,17.8,177.3,53.3,33.79,65.8,26.587,629
2023-08-19T00:00:00.000Z,1,135,17.3,7.25,53,29.047,657
2023-08-20T00:00:00.000Z,0,49.4,5.9,1.2,10.1,6.747,627
2023-08-21T00:00:00.000Z,0.8,132.5,5.5,2.1,11.7,14.6,598
2023-08-22T00:00:00.000Z,0,59.4,4.55,0.9,9.15,7.367,628
2023-08-23T00:00:00.000Z,0.9,56.3,16.39,10.19,25.5,11.855,656
2023-08-24T00:00:00.000Z,4.7,68.4,21.6,11.35,31.4,12.171,641
2023-08-25T00:00:00.000Z,9.5,129.4,25.8,17,37.5,12.937,627
2023-08-26T00:00:00.000Z,5.4,79.9,44.9,19.39,58.5,19.588,651
2023-08-27T00:00:00.000Z,9.7,147.6,47.2,19.8,63.55,26.06,661
2023-08-28T00:00:00.000Z,7.1,153.2,42.7,23.7,53.3,18.686,658
2023-08-29T00:00:00.000Z,4.7,142,36.7,15.85,55,25.649,633
2023-08-30T00:00:00.000Z,4.6,136,16.45,10.4,27.1,11.585,614
2023-08-31T00:00:00.000Z,11.8,104.9,37.04,17.39,44.2,15.438,434
2023-09-02T00:00:00.000Z,12.6,79.2,47.55,29.45,51.4,13.872,560
2023-09-03T00:00:00.000Z,23.5,99.6,41.9,35.29,46.8,8.492,645
2023-09-04T00:00:00.000Z,13.5,131.1,32.3,25.6,35.79,9.52,667
2023-09-05T00:00:00.000Z,23.2,201.6,47.9,41,56.75,16.95,645
2023-10-01T00:00:00.000Z,26.5,65.8,37.6,34.8,41.75,5.382,433
2023-10-02T00:00:00.000Z,10.4,157,21.55,18.7,27.2,9.361,630
2023-10-03T00:00:00.000Z,8.4,237.3,18.89,15.4,24.5,13.691,675
2023-10-04T00:00:00.000Z,9.4,73.3,22.95,13.1,31.45,12.497,644
2023-10-05T00:00:00.000Z,7.2,105.5,22.7,17.7,34.79,10.544,641
2023-10-06T00:00:00.000Z,6.2,65.3,17.5,11.8,23.4,7.874,633
2023-10-07T00:00:00.000Z,4.2,71.3,16,8.7,32.9,13.967,635
2023-10-08T00:00:00.000Z,3.7,111.9,22.55,9.9,32.1,12.168,644
2023-10-09T00:00:00.000Z,5.5,49.4,12.9,10.7,19.8,7.529,655
2023-10-10T00:00:00.000Z,9.2,63.4,19.14,16.9,21.5,4.679,390
