date, pm25, pm10, o3, so2, co
2023/11/2, 31, 35, , , 
2023/11/3, 34, 25, , , 
2023/11/4, 32, 18, , , 
2023/11/5, 30, 15, , , 
2023/11/6, 24, 15, , , 
2023/11/7, 21, 22, , , 
2023/11/8, 32, 27, , , 
2023/11/9, 41, 17, , , 
2023/11/10, 26, 14, , , 
2023/11/11, 21, 25, , , 
2023/11/12, 25, 41, , , 
2023/11/13, 37, 35, , , 
2023/11/14, 44, 26, , , 
2023/11/15, 39, , , , 
2023/10/2, 24, 15, , , 
2023/10/3, 21, 33, , , 
2023/10/4, 29, 31, , , 
2023/10/5, 36, 22, , , 
2023/10/6, 32, 18, , , 
2023/10/7, 20, 25, , , 
2023/10/8, 31, 31, , , 
2023/10/9, 42, 23, , , 
2023/10/10, 38, 21, , , 
2023/10/11, 28, 30, , , 
2023/10/12, 39, 34, , , 
2023/10/13, 50, 28, , , 
2023/10/14, 46, 22, , , 
2023/10/15, 35, 21, , , 
2023/10/16, 36, 26, , , 
2023/10/17, 41, 19, , , 
2023/10/18, 31, 26, , , 
2023/10/19, 29, 23, , , 
2023/10/20, 35, 19, , , 
2023/10/21, 34, 17, , , 
2023/10/22, 30, 14, , , 
2023/10/23, 23, 23, , , 
2023/10/24, 28, 29, , , 
2023/10/25, 37, 23, , , 
2023/10/26, 39, 19, , , 
2023/10/27, 31, 20, , , 
2023/10/28, 25, 17, , , 
2023/10/29, 23, 17, , , 
2023/10/30, 23, 34, , , 
2023/10/31, 38, 34, , , 
2023/11/1, 42, 26, , , 
2023/7/2, 58, 83, , , 
2023/7/3, 57, 83, , , 
2023/7/4, 62, 84, , , 
2023/7/5, 62, 86, , , 
2023/7/6, 64, 86, , , 
2023/7/7, 63, 81, , , 
2023/7/8, 60, 84, , , 
2023/7/9, 62, 83, , , 
2023/7/10, 63, 82, , , 
2023/7/11, 58, 81, , , 
2023/7/12, 57, 82, , , 
2023/7/13, 59, 83, , , 
2023/7/14, 64, 82, , , 
2023/7/15, 67, 81, , , 
2023/7/16, 68, 82, , , 
2023/7/17, 68, 82, , , 
2023/7/18, 71, 83, , , 
2023/7/19, 74, 82, , , 
2023/7/20, 74, 80, , , 
2023/7/21, 73, 81, , , 
2023/7/22, 62, 82, , , 
2023/7/23, 64, 83, , , 
2023/7/24, 69, 82, , , 
2023/7/25, 69, 83, , , 
2023/7/26, 68, 84, , , 
2023/7/27, 69, 83, , , 
2023/7/28, 68, 83, , , 
2023/7/29, 75, 81, , , 
2023/7/30, 69, 80, , , 
2023/7/31, 65, 82, , , 
2023/8/1, 72, 82, , , 
2023/8/2, 72, 82, , , 
2023/8/3, 65, 82, , , 
2023/8/4, 68, 82, , , 
2023/8/5, 70, 80, , , 
2023/8/6, 71, 83, , , 
2023/8/7, 67, 81, , , 
2023/8/8, 72, 81, , , 
2023/8/9, 69, 81, , , 
2023/8/10, 76, 81, , , 
2023/8/11, 73, 85, , , 
2023/8/12, 79, 87, , , 
2023/8/13, 84, 83, , , 
2023/8/14, 79, 82, , , 
2023/8/15, 77, 84, , , 
2023/8/16, 77, 83, , , 
2023/8/17, 78, 86, , , 
2023/8/18, 80, 88, , , 
2023/8/19, 86, 105, , , 
2023/8/20, 89, 87, , , 
2023/8/21, 81, 84, , , 
2023/8/22, 88, 85, , , 
2023/8/23, 80, 85, , , 
2023/8/24, 85, 84, , , 
2023/8/25, 88, 85, , , 
2023/8/26, 90, 89, , , 
2023/8/27, 92, 87, , , 
2023/8/28, 94, 83, , , 
2023/8/29, 90, 87, , , 
2023/8/30, 100, 88, , , 
2023/8/31, 98, 87, , , 
2023/9/1, 102, 61, , , 
2023/9/2, 75, 15, , , 
2023/9/3, 22, 11, , , 
2023/9/4, 18, 22, , , 
2023/9/5, 25, 25, , , 
2023/9/6, 31, 19, , , 
2023/9/7, 25, 27, , , 
2023/9/8, 30, 31, , , 
2023/9/9, 43, 25, , , 
2023/9/10, 35, 25, , , 
2023/9/11, 31, 39, , , 
2023/9/12, 38, 43, , , 
2023/9/13, 45, 52, , , 
2023/9/14, 49, 37, , , 
2023/9/15, 47, 24, , , 
2023/9/16, 39, 19, , , 
2023/9/17, 28, 25, , , 
2023/9/18, 31, 31, , , 
2023/9/19, 48, 21, , , 
2023/9/20, 35, 11, , , 
2023/9/21, 18, 17, , , 
2023/9/22, 23, 22, , , 
2023/9/23, 27, 23, , , 
2023/9/24, 36, 22, , , 
2023/9/25, 35, 48, , , 
2023/9/26, 42, 51, , , 
2023/9/27, 44, 32, , , 
2023/9/28, 41, 25, , , 
2023/9/29, 35, 23, , , 
2023/9/30, 35, 18, , , 
2023/10/1, 28, 14, , , 
2023/4/2, 28, 59, , , 
2023/4/3, 29, 60, , , 
2023/4/4, 28, 62, , , 
2023/4/5, 29, 61, , , 
2023/4/6, 33, 64, , , 
2023/4/7, 40, 63, , , 
2023/4/8, 33, 60, , , 
2023/4/9, 24, 63, , , 
2023/4/10, 28, 62, , , 
2023/4/11, 27, 58, , , 
2023/4/12, 28, 60, , , 
2023/4/13, 24, 61, , , 
2023/4/14, 21, 66, , , 
2023/4/15, 30, 68, , , 
2023/4/16, 30, 71, , , 
2023/4/17, 38, 68, , , 
2023/4/18, 39, 70, , , 
2023/4/19, 45, 70, , , 
2023/4/20, 48, 68, , , 
2023/4/21, 39, 65, , , 
2023/4/22, 38, 68, , , 
2023/4/23, 37, 69, , , 
2023/4/24, 35, 69, , , 
2023/4/25, 33, 68, , , 
2023/4/26, 35, 66, , , 
2023/4/27, 32, 64, , , 
2023/4/28, 28, 69, , , 
2023/4/29, 31, 68, , , 
2023/4/30, 30, 79, , , 
2023/5/1, 39, 77, , , 
2023/5/2, 51, 69, , , 
2023/5/3, 41, 69, , , 
2023/5/4, 39, 70, , , 
2023/5/5, 43, 71, , , 
2023/5/6, 46, 71, , , 
2023/5/7, 45, 74, , , 
2023/5/8, 48, 75, , , 
2023/5/9, 56, 76, , , 
2023/5/10, 57, 75, , , 
2023/5/11, 55, 73, , , 
2023/5/12, 42, 71, , , 
2023/5/13, 42, 75, , , 
2023/5/14, 44, 73, , , 
2023/5/15, 43, 74, , , 
2023/5/16, 40, 74, , , 
2023/5/17, 40, 76, , , 
2023/5/18, 36, 78, , , 
2023/5/19, 45, 77, , , 
2023/5/20, 52, 76, , , 
2023/5/21, 51, 77, , , 
2023/5/22, 50, 77, , , 
2023/5/23, 50, 75, , , 
2023/5/24, 41, 80, , , 
2023/5/25, 47, 78, , , 
2023/5/26, 48, 79, , , 
2023/5/27, 49, 82, , , 
2023/5/28, 55, 79, , , 
2023/5/29, 54, 79, , , 
2023/5/30, 53, 78, , , 
2023/5/31, 54, 79, , , 
2023/6/1, 58, 81, , , 
2023/6/2, 58, 79, , , 
2023/6/3, 52, 81, , , 
2023/6/4, 54, 82, , , 
2023/6/5, 56, 79, , , 
2023/6/6, 56, 77, , , 
2023/6/7, 52, 76, , , 
2023/6/8, 44, 76, , , 
2023/6/9, 47, 78, , , 
2023/6/10, 51, 81, , , 
2023/6/11, 52, 83, , , 
2023/6/12, 57, 82, , , 
2023/6/13, 57, 82, , , 
2023/6/14, 59, 84, , , 
2023/6/15, 67, 85, , , 
2023/6/16, 68, 85, , , 
2023/6/17, 72, 84, , , 
2023/6/18, 64, 83, , , 
2023/6/19, 64, 80, , , 
2023/6/20, 55, 82, , , 
2023/6/21, 54, 82, , , 
2023/6/22, 59, 82, , , 
2023/6/23, 57, 91, , , 
2023/6/24, 59, 84, , , 
2023/6/25, 55, 81, , , 
2023/6/26, 58, 80, , , 
2023/6/27, 52, 85, , , 
2023/6/28, 59, 86, , , 
2023/6/29, 62, 83, , , 
2023/6/30, 61, 82, , , 
2023/7/1, 59, 82, , , 
2023/2/9, 54, 49, , , 
2023/2/10, 56, 47, , , 
2023/2/11, 55, 51, , , 
2023/2/12, 61, 46, , , 
2023/2/13, 44, 49, , , 
2023/2/14, 42, 48, , , 
2023/2/15, 38, 45, , , 
2023/2/16, 35, 43, , , 
2023/2/17, 32, 42, , , 
2023/2/18, 30, 44, , , 
2023/2/19, 25, 50, , , 
2023/2/20, 28, 47, , , 
2023/2/21, 42, 46, , , 
2023/2/22, 49, 50, , , 
2023/2/23, 44, 49, , , 
2023/2/24, 36, 48, , , 
