date, pm25, so2
2023/11/6, 38, 
2023/11/7, 46, 
2023/11/8, 29, 
2023/11/9, 34, 
2023/11/10, 31, 
2023/11/11, 20, 
2023/11/12, 45, 
2023/11/13, 37, 
2023/11/14, 44, 
2023/11/15, 36, 
2023/10/2, 26, 
2023/10/3, 33, 
2023/10/4, 40, 
2023/10/5, 47, 
2023/10/6, 46, 
2023/10/7, 47, 
2023/10/8, 40, 
2023/10/9, 26, 
2023/10/10, 34, 
2023/10/11, 43, 
2023/10/12, 49, 
2023/10/13, 45, 
2023/10/14, 36, 
2023/10/15, 43, 
2023/10/16, 42, 
2023/10/17, 41, 
2023/10/18, 48, 
2023/10/19, 44, 
2023/10/20, 49, 
2023/10/21, 48, 
2023/10/22, 34, 
2023/10/23, 45, 
2023/7/2, 38, 
2023/7/3, 39, 
2023/7/4, 38, 
2023/7/5, 42, 
2023/7/6, 43, 
2023/7/7, 43, 
2023/7/8, 51, 
2023/7/9, 47, 
2023/7/10, 45, 
2023/7/11, 67, 
2023/7/12, 39, 
2023/7/13, 39, 
2023/7/14, 45, 
2023/7/15, 39, 
2023/7/16, 27, 
2023/7/17, 21, 
2023/7/18, 43, 
2023/7/19, 51, 
2023/7/20, 45, 
2023/7/21, 36, 
2023/7/22, 38, 
2023/7/23, 38, 
2023/7/24, 46, 
2023/7/25, 42, 
2023/7/26, 35, 
2023/7/27, 39, 
2023/7/28, 30, 
2023/7/29, 41, 
2023/7/30, 42, 
2023/7/31, 39, 
2023/8/1, 43, 
2023/8/2, 36, 
2023/8/3, 35, 
2023/8/4, 43, 
2023/8/5, 48, 
2023/8/6, 50, 
2023/8/7, 40, 
2023/8/8, 46, 
2023/8/9, 44, 
2023/8/10, 50, 
2023/8/12, 28, 
2023/8/13, 36, 
2023/8/14, 35, 
2023/8/15, 30, 
2023/8/16, 29, 
2023/8/17, 32, 
2023/8/18, 32, 
2023/8/19, 28, 
2023/8/20, 29, 
2023/8/21, 37, 
2023/8/22, 48, 
2023/8/23, 55, 
2023/8/24, 41, 
2023/8/25, 35, 
2023/8/26, 50, 
2023/8/27, 15, 
2023/8/28, 29, 
2023/8/29, 39, 
2023/8/30, 42, 
2023/8/31, 34, 
2023/9/1, 43, 
2023/9/2, 54, 
2023/9/3, 49, 
2023/9/4, 32, 
2023/9/5, 47, 
2023/9/6, 42, 
2023/9/7, 33, 
2023/9/8, 28, 
2023/9/9, 45, 
2023/9/10, 32, 
2023/9/11, 25, 
2023/9/12, 46, 
2023/9/13, 43, 
2023/9/14, 39, 
2023/9/15, 44, 
2023/9/16, 35, 
2023/9/17, 35, 
2023/9/18, 56, 
2023/9/19, 46, 
2023/9/20, 35, 
2023/9/21, 45, 
2023/9/22, 46, 
2023/9/23, 44, 
2023/9/24, 34, 
2023/9/25, 31, 
2023/9/26, 43, 
2023/9/27, 32, 
2023/9/28, 35, 
2023/9/29, 33, 
2023/9/30, 41, 
2023/10/1, 25, 
2023/4/2, 47, 
2023/4/3, 43, 
2023/4/4, 46, 
2023/4/5, 48, 
2023/4/6, 59, 
2023/4/7, 43, 
2023/4/8, 50, 
2023/4/9, 47, 
2023/4/10, 46, 
2023/4/11, 45, 
2023/4/12, 46, 
2023/4/13, 33, 
2023/4/14, 43, 
2023/4/15, 55, 
2023/4/16, 38, 
2023/4/18, 39, 
2023/4/19, 41, 
2023/4/20, 61, 
2023/4/21, 50, 
2023/4/22, 48, 
2023/4/23, 45, 
2023/4/24, 44, 
2023/4/25, 45, 
2023/4/26, 61, 
2023/4/28, 36, 
2023/4/29, 48, 
2023/4/30, 50, 
2023/5/1, 39, 
2023/5/3, 38, 
2023/5/4, 41, 
2023/5/5, 38, 
2023/5/6, 43, 
2023/5/7, 46, 
2023/5/8, 47, 
2023/5/9, 53, 
2023/5/10, 55, 
2023/5/11, 46, 
2023/5/12, 43, 
2023/5/13, 48, 
2023/5/14, 38, 
2023/5/15, 44, 
2023/5/16, 42, 
2023/5/17, 41, 
2023/5/18, 52, 
2023/5/19, 48, 
2023/5/20, 47, 
2023/5/21, 35, 
2023/5/22, 32, 
2023/5/23, 35, 
2023/5/24, 38, 
2023/5/25, 31, 
2023/5/26, 39, 
2023/5/27, 45, 
2023/5/28, 49, 
2023/5/29, 39, 
2023/5/30, 33, 
2023/5/31, 26, 
2023/6/1, 43, 
2023/6/2, 29, 
2023/6/3, 36, 
2023/6/4, 41, 
2023/6/5, 33, 
2023/6/6, 44, 
2023/6/7, 34, 
2023/6/8, 31, 
2023/6/9, 52, 
2023/6/10, 42, 
2023/6/11, 35, 
2023/6/12, 44, 
2023/6/13, 47, 
2023/6/14, 45, 
2023/6/15, 46, 
2023/6/16, 53, 
2023/6/17, 52, 
2023/6/18, 48, 
2023/6/19, 46, 
2023/6/20, 45, 
2023/6/21, 39, 
2023/6/22, 41, 
2023/6/23, 37, 
2023/6/24, 45, 
2023/6/25, 45, 
2023/6/26, 46, 
2023/6/27, 60, 
2023/6/28, 46, 
2023/6/29, 45, 
2023/6/30, 30, 
2023/7/1, 31, 
2023/1/3, 46, 
2023/1/4, 46, 
2023/1/5, 45, 
2023/1/6, 44, 
2023/1/7, 36, 
2023/1/8, 53, 
2023/1/9, 47, 
2023/1/10, 54, 
2023/1/11, 58, 
2023/1/12, 56, 
2023/1/13, 36, 
2023/1/14, 47, 
2023/1/15, 44, 
2023/1/16, 38, 
2023/1/17, 52, 
2023/1/18, 58, 
2023/1/19, 42, 
2023/1/20, 49, 
2023/1/21, 45, 
2023/1/22, 52, 
2023/1/23, 39, 
2023/1/24, 38, 
2023/1/25, 47, 
2023/1/26, 49, 
2023/1/27, 34, 
2023/1/28, 39, 
2023/1/29, 45, 
2023/1/30, 40, 
2023/1/31, 39, 
2023/2/1, 40, 
2023/2/2, 42, 
2023/2/3, 36, 
2023/2/4, 41, 
2023/2/5, 38, 
2023/2/6, 43, 
2023/2/7, 35, 
2023/2/8, 40, 
2023/2/9, 44, 
2023/2/10, 37, 
2023/2/11, 47, 
2023/2/12, 43, 
2023/2/13, 50, 
2023/2/14, 54, 
2023/2/15, 52, 
2023/2/16, 56, 
2023/2/17, 45, 
2023/2/18, 37, 
2023/2/19, 45, 
2023/2/20, 51, 
2023/2/21, 45, 
2023/2/22, 38, 
2023/2/23, 42, 
2023/2/24, 50, 
2023/2/25, 36, 
2023/2/26, 48, 
2023/2/27, 43, 
2023/2/28, 43, 
2023/3/1, 47, 
2023/3/2, 48, 
2023/3/3, 52, 
2023/3/4, 57, 
2023/3/5, 50, 
2023/3/6, 55, 
2023/3/7, 53, 
2023/3/8, 39, 
2023/3/9, 46, 
2023/3/10, 18, 
2023/3/11, 38, 
2023/3/12, 28, 
2023/3/13, 30, 
2023/3/14, 26, 
2023/3/15, 38, 
2023/3/16, 38, 
2023/3/17, 41, 
