date, pm25, pm10
2023/11/6, 69, 
2023/11/7, 41, 
2023/11/14, 14, 
2023/11/15, 31, 
2023/11/16, 19, 
2023/10/2, 25, 
2023/10/3, 48, 
2023/10/4, 22, 
2023/10/5, 45, 
2023/10/6, 48, 
2023/10/7, 34, 
2023/10/8, 46, 
2023/10/9, 26, 
2023/10/10, 44, 
2023/10/11, 21, 
2023/10/12, 35, 
2023/10/13, 29, 
2023/10/14, 32, 
2023/10/15, 29, 
2023/10/16, 25, 
2023/10/17, 29, 
2023/10/18, 38, 
2023/10/19, 69, 
2023/10/20, 48, 
2023/10/21, 28, 
2023/10/22, 47, 
2023/10/23, 38, 
2023/10/24, 24, 
2023/7/2, 137, 
2023/7/3, 65, 
2023/7/4, 57, 
2023/7/5, 70, 
2023/7/6, 97, 
2023/7/7, 76, 
2023/7/8, 162, 
2023/7/9, 66, 
2023/7/10, 101, 
2023/7/11, 164, 
2023/7/12, 122, 
2023/7/13, 101, 
2023/7/14, 152, 
2023/7/15, 114, 
2023/7/16, 117, 
2023/7/17, 69, 
2023/7/18, 115, 
2023/7/19, 95, 
2023/7/20, 79, 
2023/7/21, 59, 
2023/7/22, 84, 
2023/7/23, 78, 
2023/7/24, 159, 
2023/7/25, 104, 
2023/7/26, 69, 
2023/7/27, 108, 
2023/7/28, 72, 
2023/7/29, 171, 
2023/7/30, 73, 
2023/7/31, 100, 
2023/8/1, 107, 
2023/8/2, 59, 
2023/8/3, 47, 
2023/8/4, 61, 
2023/8/5, 95, 
2023/8/6, 139, 
2023/8/7, 118, 
2023/8/8, 149, 
2023/8/9, 148, 
2023/8/10, 76, 
2023/8/11, 58, 
2023/8/12, 61, 
2023/8/13, 93, 
2023/8/14, 88, 
2023/8/15, 82, 
2023/8/16, 69, 
2023/8/17, 63, 
2023/8/18, 33, 
2023/8/19, 89, 
2023/8/20, 67, 
2023/8/21, 72, 
2023/8/22, 56, 
2023/8/23, 47, 
2023/8/24, 54, 
2023/8/25, 56, 
2023/8/26, 88, 
2023/8/27, 117, 
2023/8/28, 142, 
2023/8/29, 51, 
2023/8/30, 119, 
2023/8/31, 55, 
2023/9/1, 104, 
2023/9/2, 70, 
2023/9/3, 79, 
2023/9/4, 47, 
2023/9/5, 93, 
2023/9/6, 74, 
2023/9/7, 76, 
2023/9/8, 54, 
2023/9/9, 68, 
2023/9/10, 67, 
2023/9/11, 79, 
2023/9/12, 54, 
2023/9/13, 87, 
2023/9/14, 74, 
2023/9/15, 77, 
2023/9/16, 73, 
2023/9/17, 50, 
2023/9/18, 36, 
2023/9/19, 57, 
2023/9/20, 44, 
2023/9/21, 87, 
2023/9/22, 50, 
2023/9/23, 21, 
2023/9/24, 33, 
2023/9/25, 44, 
2023/9/26, 72, 
2023/9/27, 26, 
2023/9/28, 59, 
2023/9/29, 32, 
2023/9/30, 61, 
2023/10/1, 81, 
2023/4/2, 49, 
2023/4/3, 22, 
2023/4/4, 46, 
2023/4/5, 67, 
2023/4/6, 89, 
2023/4/7, 41, 
2023/4/8, 64, 
2023/4/9, 76, 
2023/4/10, 84, 
2023/4/11, 64, 
2023/4/12, 24, 
2023/4/13, 51, 
2023/4/14, 25, 
2023/4/15, 34, 
2023/4/16, 43, 
2023/4/17, 47, 
2023/4/18, 49, 
2023/4/19, 73, 
2023/4/20, 56, 
2023/4/21, 127, 
2023/4/22, 43, 
2023/4/23, 25, 
2023/4/24, 27, 
2023/4/25, 37, 
2023/4/26, 80, 
2023/4/27, 106, 
2023/4/28, 84, 
2023/4/29, 45, 
2023/4/30, 65, 
2023/5/1, 53, 
2023/5/2, 75, 
2023/5/3, 47, 
2023/5/4, 34, 
2023/5/5, 33, 
2023/5/6, 41, 
2023/5/7, 67, 
2023/5/8, 57, 
2023/5/9, 93, 
2023/5/10, 67, 
2023/5/11, 94, 
2023/5/12, 102, 
2023/5/13, 90, 
2023/5/14, 102, 
2023/5/15, 121, 
2023/5/16, 68, 
2023/5/17, 54, 
2023/5/18, 82, 
2023/5/19, 106, 
2023/5/20, 83, 
2023/5/21, 139, 
2023/5/22, 67, 
2023/5/23, 92, 
2023/5/24, 62, 
2023/5/25, 66, 
2023/5/26, 73, 
2023/5/27, 65, 
2023/5/28, 80, 
2023/5/29, 121, 
2023/5/30, 108, 
2023/5/31, 128, 
2023/6/1, 86, 
2023/6/2, 95, 
2023/6/3, 65, 
2023/6/4, 53, 
2023/6/5, 109, 
2023/6/6, 102, 
2023/6/7, 35, 
2023/6/8, 131, 
2023/6/9, 41, 
2023/6/10, 66, 
2023/6/11, 66, 
2023/6/12, 40, 
2023/6/13, 80, 
2023/6/14, 181, 
2023/6/15, 85, 
2023/6/16, 80, 
2023/6/17, 58, 
2023/6/18, 166, 
2023/6/19, 230, 
2023/6/20, 215, 
2023/6/21, 127, 
2023/6/22, 66, 
2023/6/23, 76, 
2023/6/24, 69, 
2023/6/25, 84, 
2023/6/26, 74, 
2023/6/27, 67, 
2023/6/28, 76, 
2023/6/29, 134, 
2023/6/30, 87, 
2023/7/1, 137, 
2023/1/3, 40, 
2023/1/4, 22, 
2023/1/5, 27, 
2023/1/6, 49, 
2023/1/7, 55, 
2023/1/8, 40, 
2023/1/9, 35, 
2023/1/10, 11, 
2023/1/11, 23, 
2023/1/12, 21, 
2023/1/13, 27, 
2023/1/14, 27, 
2023/1/15, 16, 
2023/1/16, 31, 
2023/1/17, 45, 
2023/1/18, 39, 
2023/1/19, 43, 
2023/1/20, 45, 
2023/1/21, 21, 
2023/1/22, 29, 
2023/1/23, 34, 
2023/1/24, 27, 
2023/1/25, 13, 
2023/1/26, 16, 
2023/1/27, 17, 
2023/1/28, 18, 
2023/1/29, 20, 
2023/1/30, 11, 
2023/1/31, 17, 
2023/2/1, 35, 
2023/2/2, 35, 
2023/2/3, 31, 
2023/2/4, 57, 
2023/2/5, 87, 
2023/2/6, 100, 
2023/2/7, 41, 
2023/2/8, 58, 
2023/2/9, 49, 
2023/2/10, 22, 
2023/2/11, 11, 
2023/2/12, 29, 
2023/2/13, 23, 
2023/2/14, 12, 
2023/2/15, 24, 
2023/2/16, 11, 
2023/2/17, 27, 
2023/2/18, 46, 
2023/2/19, 64, 
2023/2/20, 33, 
2023/2/21, 29, 
2023/2/22, 30, 
2023/2/23, 33, 
2023/2/24, 28, 
2023/2/25, 26, 
2023/2/26, 23, 
2023/2/27, 36, 
2023/2/28, 33, 
2023/3/1, 31, 
2023/3/2, 26, 
2023/3/3, 19, 
2023/3/4, 11, 
2023/3/5, 18, 
2023/3/6, 19, 
2023/3/7, 29, 
2023/3/8, 36, 
2023/3/9, 32, 
2023/3/10, 35, 
2023/3/11, 45, 
2023/3/12, 39, 
2023/3/13, 39, 
2023/3/14, 15, 
2023/3/15, 37, 
2023/3/16, 30, 
2023/3/17, 45, 
2023/3/18, 45, 
2023/3/19, 40, 
2023/3/20, 25, 
2023/3/21, 29, 
2023/3/22, 38, 
2023/3/23, 42, 
2023/3/24, 43, 
2023/3/25, 33, 
2023/3/26, 33, 
2023/3/27, 40, 
2023/3/28, 44, 
2023/3/29, 29, 
2023/3/30, 36, 
2023/3/31, 43, 
2023/4/1, 81, 
2022/10/2, 46, 
2022/10/3, 92, 
2022/10/4, 69, 
2022/10/5, 64, 
2022/10/6, 78, 
2022/10/7, 63, 
2022/10/8, 38, 
2022/10/9, 53, 
2022/10/10, 33, 
2022/10/11, 27, 
2022/10/12, 22, 
2022/10/13, 21, 
2022/10/14, 40, 
2022/10/15, 13, 
2022/10/16, 10, 
2022/10/17, 11, 
2022/10/18, 37, 
2022/10/19, 47, 
2022/10/20, 41, 
2022/10/21, 41, 
2022/10/22, 27, 
2022/10/23, 72, 
2022/10/24, 41, 
2022/10/25, 22, 
2022/10/26, 50, 
2022/10/27, 16, 
2022/10/28, 47, 
2022/10/29, 60, 
2022/10/30, 36, 
2022/10/31, 31, 
2022/11/1, 42, 
2022/11/2, 39, 
2022/11/3, 69, 
2022/11/4, 64, 
2022/11/5, 69, 
2022/11/6, 50, 
