date, pm25, pm10, o3, no2, so2, co
2023/11/2, 54, , , , , 
2023/11/3, 42, , , , , 
2023/11/4, 41, , , , , 
2023/11/5, 36, , , , , 
2023/11/6, 33, , , , , 
2023/11/7, 37, , , , , 
2023/11/8, 29, , , , , 
2023/11/9, 26, , , , , 
2023/11/10, 20, , , , , 
2023/11/11, 55, , , , , 
2023/11/12, 37, , , , , 
2023/11/13, 45, , , , , 
2023/11/14, 54, , , , , 
2023/11/15, 69, , , , , 
2023/10/2, 45, , , , , 
2023/10/3, 50, , , , , 
2023/10/4, 46, , , , , 
2023/10/5, 77, , , , , 
2023/10/6, 56, , , , , 
2023/10/7, 41, , , , , 
2023/10/8, 43, , , , , 
2023/10/9, 48, , , , , 
2023/10/10, 49, , , , , 
2023/10/11, 67, , , , , 
2023/10/12, 84, , , , , 
2023/10/13, 55, , , , , 
2023/10/14, 44, , , , , 
2023/10/15, 54, , , , , 
2023/10/16, 47, , , , , 
2023/10/17, 44, , , , , 
2023/10/18, 36, , , , , 
2023/10/19, 34, , , , , 
2023/10/20, 34, , , , , 
2023/10/21, 39, , , , , 
2023/10/22, 42, , , , , 
2023/10/23, 52, , , , , 
2023/10/24, 47, , , , , 
2023/10/25, 47, , , , , 
2023/10/26, 59, , , , , 
2023/10/27, 41, , , , , 
2023/10/28, 63, , , , , 
2023/10/29, 51, , , , , 
2023/10/30, 62, , , , , 
2023/10/31, 73, , , , , 
2023/11/1, 91, , , , , 
2023/7/2, 28, , , , , 
2023/7/3, 23, , , , , 
2023/7/4, 47, , , , , 
2023/7/5, 59, , , , , 
2023/7/6, 51, , , , , 
2023/7/7, 50, , , , , 
2023/7/8, 41, , , , , 
2023/7/9, 38, , , , , 
2023/7/10, 31, , , , , 
2023/7/11, 31, , , , , 
2023/7/12, 26, , , , , 
2023/7/13, 19, , , , , 
2023/7/14, 30, , , , , 
2023/7/15, 24, , , , , 
2023/7/16, 29, , , , , 
2023/7/17, 35, , , , , 
2023/7/18, 41, , , , , 
2023/7/19, 47, , , , , 
2023/7/20, 32, , , , , 
2023/7/21, 31, , , , , 
2023/7/22, 28, , , , , 
2023/7/23, 39, , , , , 
2023/7/24, 33, , , , , 
2023/7/25, 33, , , , , 
2023/7/26, 25, , , , , 
2023/7/27, 25, , , , , 
