date, pm25, pm10, o3, no2, so2, co
2023/11/2, 37, 16, 16, 6, 2, 1
2023/11/3, 32, 28, 22, 8, 3, 2
2023/11/4, 49, 42, 18, 4, 2, 1
2023/11/5, 53, 25, 17, 4, 2, 1
2023/11/6, 39, 42, 16, 6, 2, 1
2023/11/7, 34, 36, 15, 4, 2, 1
2023/11/8, 41, 48, 21, 5, 2, 1
2023/11/9, 62, 50, 15, 7, 3, 2
2023/11/10, 66, 19, 12, 6, 4, 2
2023/11/11, 40, 14, 17, 4, 4, 1
2023/11/12, 30, 27, 15, 4, 4, 1
2023/11/13, 45, 44, 17, 4, 4, 1
2023/11/14, 55, 41, 19, 7, 4, 1
2023/11/15, 52, , , , , 
2023/10/2, 53, 29, 23, 5, 3, 
2023/10/3, 47, 38, 20, 7, 3, 
2023/10/4, 43, 39, 23, 6, 3, 
2023/10/5, 48, 28, 21, 7, 3, 
2023/10/6, 42, 28, 21, 6, 3, 
2023/10/7, 31, 37, 21, 7, 3, 1
2023/10/8, 48, 43, 21, 8, 3, 2
2023/10/9, 65, 37, 21, 5, 3, 1
2023/10/10, 60, 28, 20, 4, 3, 
2023/10/11, 43, 30, 21, 6, 3, 
2023/10/12, 45, 52, 22, 9, 4, 2
2023/10/13, 62, 49, 22, 10, 4, 1
2023/10/14, 66, 34, 21, 9, 4, 
2023/10/15, 60, 33, 20, 7, 3, 
2023/10/16, 55, 39, 20, 7, 3, 
2023/10/17, 51, 38, 24, 7, 4, 
2023/10/18, 54, 28, 23, 5, 3, 
2023/10/19, 44, 37, 13, 7, 3, 
2023/10/20, 57, 33, 18, 6, 3, 
2023/10/21, 57, 18, 20, 5, 2, 
2023/10/22, 49, 22, 18, 7, 2, 1
2023/10/23, 60, 30, 19, 3, 2, 
2023/10/24, 43, 24, 19, 4, 2, 
2023/10/25, 51, 24, 20, 4, 2, 
2023/10/26, 61, 35, 21, 6, 2, 1
2023/10/27, 54, 28, 20, 8, 2, 
2023/10/28, 54, 28, 16, 8, 2, 1
2023/10/29, 48, 14, 14, 5, 2, 
2023/10/30, 38, 17, 17, 5, 2, 1
2023/10/31, 46, 19, 19, 6, 2, 1
2023/11/1, 52, 18, 15, 5, 2, 
2023/7/2, 87, 36, 17, 11, 3, 3
2023/7/3, 71, 42, 14, 13, 3, 3
2023/7/4, 80, 36, 15, 13, 3, 3
2023/7/5, 82, 36, 18, 12, 3, 2
2023/7/6, 65, 20, 18, 10, 3, 2
2023/7/7, 57, 31, 18, 13, 4, 2
2023/7/8, 59, 28, 19, 15, 4, 3
2023/7/9, 54, 30, 18, 10, 4, 3
2023/7/10, 67, 28, 16, 12, 4, 2
2023/7/11, 63, 18, 21, 14, 4, 1
2023/7/12, 35, 12, 18, 7, 4, 1
2023/7/13, 27, 33, 13, 11, 4, 3
2023/7/14, 68, 32, 15, 11, 4, 4
2023/7/15, 77, 43, 16, 12, 4, 5
2023/7/16, 99, 46, 17, 13, 4, 5
2023/7/17, 110, 39, 11, 14, 5, 4
2023/7/18, 105, 51, 10, 19, 6, 6
2023/7/19, 119, 44, 11, 16, 5, 5
2023/7/20, 80, 20, 19, 9, 5, 2
2023/7/21, 44, 16, 19, 6, 3, 1
2023/7/22, 33, 17, 20, 4, 1, 1
2023/7/23, 40, 30, 17, 7, 1, 2
2023/7/24, 60, 36, 18, 10, 1, 3
2023/7/25, 72, 27, 18, 10, 1, 2
2023/7/26, 53, 32, 13, 10, 1, 2
2023/7/27, 77, 37, 15, 12, 2, 3
2023/7/28, 83, 42, 10, 15, 2, 4
2023/7/29, 84, 37, 17, 12, 2, 4
2023/7/30, 87, 25, 18, 7, 2, 3
2023/7/31, 80, 24, 16, 8, 2, 3
2023/8/1, 67, 31, 16, 8, 1, 2
2023/8/2, 75, 52, 16, 10, 2, 3
2023/8/3, 83, 33, 20, 11, 2, 2
2023/8/4, 75, 26, 23, 11, 2, 2
2023/8/5, 77, 21, 14, 10, 2, 2
2023/8/6, 53, 17, 20, 9, 3, 2
2023/8/7, 48, 32, 15, 12, 3, 3
2023/8/8, 72, 34, 15, 11, 2, 4
2023/8/9, 94, 29, 22, 9, 1, 2
2023/8/10, 77, 18, 21, 6, 1, 1
2023/8/11, 42, 31, 18, 5, 1, 1
2023/8/12, 51, 43, 18, 8, 1, 2
2023/8/13, 67, 48, 18, 12, 2, 3
2023/8/14, 77, 29, 18, 12, 3, 2
2023/8/15, 64, 19, 17, 9, 2, 2
2023/8/16, 35, 23, 14, 11, 2, 2
2023/8/17, 36, 18, 19, 7, 1, 2
2023/8/18, 34, 26, 16, 8, 1, 2
2023/8/19, 39, 19, 13, 10, 1, 3
2023/8/20, 43, 21, 11, 11, 2, 2
2023/8/21, 41, 24, 15, 10, 7, 3
2023/8/22, 34, 18, 23, 3, 4, 1
2023/8/23, 27, 13, 21, 6, 5, 2
2023/8/24, 33, 27, 19, 7, 5, 2
2023/8/25, 45, 61, 18, 5, 5, 1
2023/8/26, 32, 62, 20, 8, 6, 2
2023/8/27, 56, 16, 22, 11, 7, 3
2023/8/28, 64, 14, 20, 10, 8, 2
2023/8/29, 50, 61, 21, 10, 9, 2
2023/8/30, 66, 24, 20, 5, 9, 1
2023/8/31, 47, 50, 19, 8, 8, 2
2023/9/1, 78, 51, 12, 11, 2, 2
2023/9/2, 82, 39, 14, 11, 2, 2
