date, pm25, pm10, o3, no2, so2, co
2023/11/6, 19, 16, , , , 
2023/11/7, 24, 19, , , , 
2023/11/8, 27, 20, , , , 
2023/11/9, 31, 23, , , , 
2023/11/10, 35, 16, , , , 
2023/11/11, 29, 18, , , , 
2023/11/12, 33, 18, , , , 
2023/11/13, 39, 19, , , , 
2023/11/14, 38, 21, , , , 
2023/11/15, 34, 18, , , , 
2023/11/16, 31, , , , , 
2023/10/2, 41, 17, , , , 
2023/10/3, 34, 26, , , , 
2023/10/4, 48, 31, , , , 
2023/10/5, 51, 21, , , , 
2023/10/6, 35, 12, , , , 
2023/10/7, 22, 21, , , , 
2023/10/8, 36, 20, , , , 
2023/10/9, 38, 23, , , , 
2023/10/10, 39, 24, , , , 
2023/10/11, 35, 40, , , , 
2023/10/12, 51, 38, , , , 
2023/10/13, 52, 34, , , , 
2023/10/14, 51, 32, , , , 
2023/10/15, 46, 21, , , , 
2023/10/16, 34, 26, , , , 
2023/10/17, 45, 46, , , , 
2023/10/18, 61, 43, , , , 
2023/10/19, 51, 36, , , , 
2023/10/20, 54, 33, , , , 
2023/10/21, 12, 40, , , , 
2023/10/22, 13, 37, , , , 
2023/10/23, 14, 20, , , , 
2023/10/24, 22, , , , , 
2023/7/4, 38, 27, , , , 
2023/7/5, 54, 19, , , , 
2023/7/6, 50, 22, , , , 
2023/7/7, 60, 13, , , , 
2023/7/8, 39, 24, , , , 
2023/7/9, 50, 24, , , , 
2023/7/10, 67, 38, , , , 
2023/7/11, 97, 14, , , , 
2023/7/12, 43, 23, , , , 
2023/7/13, 66, 31, , , , 
2023/7/14, 81, 35, , , , 
2023/7/15, 88, 40, , , , 
2023/7/16, 88, 33, , , , 
2023/7/17, 89, 32, , , , 
2023/7/18, 89, 14, , , , 
2023/7/19, 50, 14, , , , 
2023/7/20, 46, 9, , , , 
2023/7/21, 31, 21, , , , 
2023/7/22, 49, 20, , , , 
2023/7/23, 48, 20, , , , 
2023/7/24, 58, 8, , , , 
2023/7/25, 28, 23, , , , 
2023/7/26, 56, 29, , , , 
2023/7/27, 71, 33, , , , 
2023/7/28, 85, 62, , , , 
2023/7/29, 133, 24, , , , 
2023/7/30, 67, 41, , , , 
2023/7/31, 89, 20, , , , 
2023/8/1, 56, 28, , , , 
2023/8/2, 58, 34, , , , 
2023/8/3, 72, 41, , , , 
2023/8/4, 78, 55, , , , 
2023/8/5, 104, 17, , , , 
2023/8/6, 48, 28, , , , 
2023/8/7, 72, 49, , , , 
2023/8/8, 104, 44, , , , 
2023/8/9, 102, 18, , , , 
2023/8/10, 45, 25, , , , 
2023/8/11, 47, 29, , , , 
2023/8/12, 64, 31, , , , 
2023/8/13, 75, 34, , , , 
2023/8/14, 85, 36, , , , 
2023/8/15, 91, 15, , , , 
2023/8/16, 48, 10, , , , 
2023/8/17, 34, 19, , , , 
2023/8/18, 46, 10, , , , 
2023/8/19, 24, 12, , , , 
2023/8/20, 38, 8, , , , 
2023/8/21, 30, 20, , , , 
2023/8/22, 51, 18, , , , 
2023/8/23, 52, 18, , , , 
2023/8/24, 53, 18, , , , 
2023/8/25, 53, 16, , , , 
2023/8/26, 44, 30, , , , 
2023/8/27, 74, 26, , , , 
2023/8/28, 67, 20, , , , 
2023/8/29, 53, 26, , , , 
2023/8/30, 64, 23, , , , 
2023/8/31, 57, 27, , , , 
2023/9/1, 56, 31, , , , 
2023/9/2, 70, 27, , , , 
2023/9/3, 60, 25, , , , 
2023/9/4, 66, 20, , , , 
2023/9/5, 51, 8, , , , 
