date, pm25, pm10, o3, no2, so2, co
2023/11/2, 46, 28, 19, 6, 1, 3
2023/11/3, 68, 23, 20, 3, 1, 2
2023/11/4, 47, 25, 21, 5, 1, 2
2023/11/5, 45, 20, 12, 4, 1, 3
2023/11/6, 48, 23, 13, 4, 1, 2
2023/11/7, 53, 12, 17, 4, 1, 1
2023/11/8, 29, 23, 14, 3, 1, 1
2023/11/9, 27, 24, 20, 6, 1, 2
2023/11/10, 39, 26, 18, 4, 1, 1
2023/11/11, 36, 10, 16, 3, 1, 1
2023/11/12, 31, 18, 14, 3, , 2
2023/11/13, 40, 21, 14, 5, 1, 2
2023/11/14, 35, 20, 15, 3, 1, 1
2023/11/15, 29, 19, 14, 5, 1, 1
2023/11/16, 33, , , , , 
2023/10/2, 80, 27, 23, 6, 1, 4
2023/10/3, 65, 41, 17, 8, 1, 4
2023/10/4, 88, 43, 21, 4, 1, 3
2023/10/5, 73, 32, 20, 5, 1, 2
2023/10/6, 62, 30, 16, 5, 1, 4
2023/10/7, 75, 30, 19, 3, 1, 3
2023/10/8, 67, 25, 19, 2, 1, 2
2023/10/9, 66, 16, 20, 3, , 1
2023/10/10, 29, 26, 18, 4, , 1
2023/10/11, 34, 42, 21, 4, , 1
2023/10/12, 43, 46, 19, 3, 1, 1
2023/10/13, 46, 43, 19, 4, 1, 2
2023/10/14, 41, 28, 20, 3, 1, 1
2023/10/15, 36, 23, 19, 2, , 1
2023/10/16, 32, 36, 29, 5, , 4
2023/10/17, 37, 50, 24, 6, 1, 1
2023/10/18, 51, 39, 20, 6, 1, 2
2023/10/19, 69, 48, 22, 5, 1, 2
2023/10/20, 66, 37, 19, 3, 1, 1
2023/10/21, 38, 24, 23, 4, 1, 1
2023/10/22, 32, 25, 22, 3, 1, 1
2023/10/23, 40, 28, 24, 6, 1, 4
2023/10/24, 37, 40, 18, 2, , 1
2023/10/25, 45, 55, 21, 3, 1, 1
2023/10/26, 37, 31, 18, 3, , 1
2023/10/27, 31, 17, 13, 3, 1, 2
2023/10/28, 45, 10, 17, 2, , 1
2023/10/29, 31, 20, 16, 3, , 3
2023/10/30, 50, 23, 25, 6, 1, 6
2023/10/31, 65, 20, 17, 4, 1, 2
2023/11/1, 54, 17, 15, 4, 1, 2
2023/7/2, 125, 15, 14, 27, , 2
2023/7/3, 52, 19, 20, 17, , 2
2023/7/4, 50, 26, 18, 3, , 3
2023/7/5, 73, 38, 8, 4, , 9
2023/7/6, 117, 47, 9, 5, , 8
2023/7/7, 121, 56, 3, 4, , 10
2023/7/8, 138, 31, 15, 4, , 5
2023/7/9, 82, 47, 7, 5, , 8
2023/7/10, 124, 61, 13, 7, , 9
2023/7/11, 143, 83, 4, 13, , 13
2023/7/12, 240, 52, 10, 6, , 10
2023/7/13, 127, 86, 11, 8, , 15
2023/7/14, 179, 71, 12, 6, , 11
2023/7/15, 157, 43, 16, 3, , 7
2023/7/16, 115, 32, 16, 3, , 6
2023/7/17, 84, 77, 20, 8, 1, 12
2023/7/18, 164, 82, 8, 7, , 10
2023/7/19, 174, 55, 7, 5, , 8
2023/7/20, 139, 21, 12, 2, , 2
2023/7/21, 66, 28, 18, 3, , 3
2023/7/22, 75, 24, 18, 2, , 3
2023/7/23, 74, 48, 12, 4, , 7
2023/7/24, 123, 43, 8, 3, , 5
2023/7/25, 110, 23, 16, 3, , 2
2023/7/26, 71, 49, 13, 5, , 6
2023/7/27, 116, 65, 11, 6, , 10
2023/7/28, 154, 79, 9, 8, 1, 12
2023/7/29, 172, 75, 7, 5, 1, 12
2023/7/30, 175, 68, 14, 5, 1, 12
2023/7/31, 154, 36, 11, 2, 1, 6
2023/8/1, 90, 25, 18, 3, , 3
2023/8/2, 66, 38, 21, 2, , 4
2023/8/3, 87, 32, 20, 2, , 2
2023/8/4, 74, 47, 21, 5, 1, 7
2023/8/5, 96, 54, 14, 5, 1, 6
2023/8/6, 120, 67, 17, 6, 1, 9
2023/8/7, 153, 75, 22, 9, 1, 13
2023/8/8, 161, 74, 9, 8, 1, 11
2023/8/9, 165, 45, 16, 4, 1, 5
2023/8/10, 109, 20, 20, 3, , 3
2023/8/11, 59, 41, 19, 5, 1, 5
2023/8/12, 104, 29, 21, 3, 1, 5
2023/8/13, 83, 54, 16, 5, 1, 9
2023/8/14, 130, 80, 16, 7, 1, 14
2023/8/15, 172, 35, 13, 3, 1, 4
2023/8/16, 100, 21, 10, 3, 1, 4
2023/8/17, 74, 24, 18, 3, , 3
2023/8/18, 65, 39, 17, 4, 1, 5
2023/8/19, 100, 18, 16, 2, , 3
2023/8/20, 62, 16, 16, 1, , 2
2023/8/21, 58, 21, 21, 1, 1, 2
2023/8/22, 58, 26, 17, 3, , 4
2023/8/23, 72, 41, 20, 5, 1, 6
2023/8/24, 95, 33, 15, 3, 1, 5
2023/8/25, 90, 50, 17, 5, 1, 8
2023/8/26, 126, 68, 15, 6, 1, 11
2023/8/27, 162, 60, 14, 4, 1, 10
2023/8/28, 141, 21, 9, 7, 1, 3
2023/8/29, 71, 30, 12, 3, 1, 4
2023/8/30, 87, 21, 19, 5, 1, 3
2023/8/31, 61, 48, 8, 7, 1, 6
2023/9/1, 111, 28, 14, 5, 1, 3
2023/9/2, 77, 45, 14, 5, 1, 5
2023/9/3, 108, 16, 15, 1, 1, 2
2023/9/4, 61, , , , , 
2023/9/7, 67, 18, 15, 3, 1, 1
2023/9/8, 57, 29, 17, 4, 1, 2
2023/9/9, 77, 16, 17, 3, 1, 1
2023/9/10, 53, 23, 17, 2, , 2
2023/9/11, 71, 30, 17, 9, 3, 7
2023/9/12, 79, 46, 16, 8, 1, 6
2023/9/13, 116, 27, 14, 4, 1, 3
2023/9/14, 81, 12, 16, 3, 1, 2
2023/9/15, 42, 11, 12, 2, 1, 2
2023/9/16, 38, 21, 19, 3, 1, 3
2023/9/17, 62, 32, 18, 3, , 4
2023/9/18, 89, 22, 17, 2, , 3
2023/9/19, 58, 19, 18, 2, 1, 2
2023/9/20, 50, 31, 17, 5, 1, 4
2023/9/21, 82, 26, 11, 5, 1, 3
2023/9/22, 82, 15, 14, 3, 1, 1
2023/9/23, 48, 16, 19, 3, 1, 2
2023/9/24, 46, 26, 17, 4, 1, 3
2023/9/25, 64, 35, 34, 5, 1, 7
2023/9/26, 87, 26, 19, 4, 1, 2
2023/9/27, 70, 29, 18, 6, 1, 3
2023/9/28, 74, 21, 20, 3, 1, 1
2023/9/29, 37, 25, 21, 5, 1, 1
2023/9/30, 39, 38, 24, 8, 1, 3
2023/10/1, 74, 36, 15, 6, 1, 3
2023/4/2, 69, 29, 12, 3, , 1
2023/4/3, 65, 31, 18, 1, , 1
2023/4/4, 43, 48, 17, 7, , 2
2023/4/5, 67, 50, 15, 7, , 3
2023/4/6, 76, 17, 16, 3, , 1
2023/4/7, 26, 24, 18, 1, , 1
2023/4/8, 50, 34, 19, 4, 5, 2
2023/4/9, 77, 35, 17, 5, , 2
2023/4/10, 64, 22, 28, 3, , 1
2023/4/11, 39, 21, 9, 6, , 1
2023/4/12, 34, 36, 11, 7, , 2
2023/4/13, 63, 38, 10, 6, , 2
2023/4/14, 67, 34, 12, 5, , 1
2023/4/15, 62, 37, 15, 5, , 2
2023/4/16, 58, 39, 14, 3, , 2
2023/4/17, 63, 26, 28, 3, , 5
2023/4/18, 44, 35, 12, 6, , 2
2023/4/19, 62, 59, 11, 5, , 3
2023/4/20, 75, 34, 15, 4, , 2
2023/4/21, 57, 12, 4, 4, , 
2023/4/22, 61, 21, 11, 3, , 2
2023/4/23, 62, 22, 13, 5, , 4
2023/4/24, 68, 39, 6, 7, , 3
2023/4/25, 99, 51, 8, 8, , 3
2023/4/26, 119, 63, 11, 11, , 4
2023/4/27, 140, 30, 10, 5, , 1
2023/4/28, 73, 3, 12, 2, , 
2023/4/29, 34, 9, 15, 2, , 1
2023/4/30, 43, 20, 15, 3, , 3
2023/5/1, 55, 29, 21, 6, , 9
2023/5/2, 87, 22, 13, 4, , 4
2023/5/3, 67, 29, 10, 4, , 3
2023/5/4, 84, 30, 11, 4, , 4
2023/5/5, 82, 43, 13, 5, , 4
2023/5/6, 102, 46, 8, 7, , 5
2023/5/7, 122, 35, 13, 4, , 3
2023/5/8, 102, 46, 11, 5, , 6
2023/5/9, 106, 50, 14, 4, , 3
2023/5/10, 84, 65, 8, 8, , 7
2023/5/11, 136, 48, 10, 5, , 6
2023/5/12, 112, 61, 10, 8, , 7
2023/5/13, 128, 37, 11, 3, , 3
2023/5/14, 83, 36, 15, 3, , 4
2023/5/15, 90, 35, 11, 5, , 5
2023/5/16, 85, 34, 9, 5, , 3
2023/5/17, 92, 39, 11, 8, , 5
2023/5/18, 86, 72, 9, 11, 1, 11
2023/5/19, 159, 45, 15, 5, , 5
2023/5/20, 96, 48, 13, 5, 1, 5
2023/5/21, 118, 18, 11, 2, , 2
2023/5/22, 54, 17, 12, 2, , 4
2023/5/23, 48, 20, 15, , , 4
2023/5/24, 53, 31, 13, , , 4
2023/5/25, 70, 32, 12, , , 2
2023/5/26, 80, 27, 14, , , 3
2023/5/27, 79, 32, 16, 1, , 5
2023/5/28, 82, 78, 10, 1, , 13
2023/5/29, 172, 94, 16, 2, 3, 20
2023/5/30, 188, 79, 4, 1, , 12
2023/5/31, 173, 52, 13, , , 9
2023/6/1, 134, 47, 7, , , 7
2023/6/2, 118, 22, 12, , , 2
2023/6/3, 54, 31, 15, 1, , 4
2023/6/4, 76, 66, 10, 1, , 11
2023/6/5, 148, 72, 5, 5, 4, 13
2023/6/6, 162, 39, 9, 5, , 8
2023/6/7, 94, 57, 7, 5, 1, 9
2023/6/8, 134, 14, 17, 2, , 2
2023/6/9, 47, 36, 14, 4, , 5
2023/6/10, 92, 25, 16, 3, , 4
2023/6/11, 76, 11, 19, 1, , 1
2023/6/12, 40, 31, 16, 4, 3, 7
2023/6/13, 76, 42, 13, 6, , 7
2023/6/14, 106, 61, 13, 5, , 7
2023/6/15, 134, 30, 11, 2, , 3
2023/6/16, 57, 23, 10, 3, , 3
2023/6/17, 77, , , , , 
2023/6/19, 215, 96, 14, 8, 4, 14
2023/6/20, 192, 85, 4, 8, 1, 7
2023/6/21, 179, 43, 10, 3, , 
2023/6/22, 115, 15, 12, 3, , 10
2023/6/23, 56, 17, 12, 2, , 2
2023/6/24, 59, 27, 13, 4, , 4
2023/6/25, 78, 18, 16, 1, , 2
2023/6/26, 48, 33, 17, 8, 4, 6
2023/6/27, 79, 30, 14, 26, , 5
2023/6/28, 79, 51, 10, 25, , 7
2023/6/29, 124, 62, 14, 26, , 10
2023/6/30, 146, 79, 9, 28, , 14
2023/7/1, 170, 52, 8, 27, , 9
2023/2/14, 54, 41, 11, 2, , 3
2023/2/15, 38, 51, 8, , , 1
