date, pm25, pm10, o3, no2, so2, co
2023/11/2, 23, 16, 18, 7, 5, 7
2023/11/3, 22, 27, 23, 11, 10, 7
2023/11/4, 32, 32, 20, 6, 5, 7
2023/11/5, 25, 21, 20, 7, 4, 7
2023/11/6, 24, 15, 19, 7, 5, 7
2023/11/7, 31, 24, 16, 7, 5, 7
2023/11/8, 24, 46, 19, 8, 5, 8
2023/11/9, 38, 40, 18, 8, 5, 8
2023/11/10, 36, 15, 13, 7, 5, 8
2023/11/11, 17, 11, 18, 4, 4, 8
2023/11/12, 22, 13, 16, 4, 4, 7
2023/11/13, 19, 20, 18, 5, 4, 7
2023/11/14, 27, 22, 18, 5, 5, 8
2023/11/15, 27, , , , , 
2023/10/2, 51, 27, 25, 8, 4, 6
2023/10/3, 53, 26, 23, 8, 4, 6
2023/10/4, 38, 23, 23, 8, 5, 6
2023/10/5, 39, 23, 23, 7, 6, 6
2023/10/6, 29, 18, 22, 8, 4, 6
2023/10/7, 15, 25, 22, 8, 8, 6
2023/10/8, 26, 33, 24, 7, 5, 6
2023/10/9, 37, 32, 24, 7, 5, 6
2023/10/10, 33, 24, 21, 7, 4, 6
2023/10/11, 27, 23, 23, 8, 4, 6
2023/10/12, 29, 230, 21, 10, 8, 7
2023/10/13, 40, 42, 22, 9, 6, 7
2023/10/14, 43, 26, 21, 8, 5, 7
2023/10/15, 30, 27, 21, 8, 7, 7
2023/10/16, 38, 28, 19, 8, 10, 6
2023/10/17, 30, 29, 21, 7, 7, 7
2023/10/18, 26, 30, 23, 6, 4, 6
2023/10/19, 32, 27, 22, 8, 7, 7
2023/10/20, 35, 30, 20, 8, 5, 7
2023/10/21, 30, 27, 22, 7, 5, 7
2023/10/22, 32, 29, 20, 7, 6, 7
2023/10/23, 36, 25, 19, 7, 4, 7
2023/10/24, 31, 29, 20, 7, 4, 7
2023/10/25, 33, 30, 22, 7, 4, 7
2023/10/26, 33, 31, 23, 8, 4, 7
2023/10/27, 38, 24, 23, 8, 4, 7
2023/10/28, 29, 28, 19, 8, 5, 8
2023/10/29, 34, 20, 16, 5, 4, 7
2023/10/30, 24, 15, 17, 6, 4, 7
2023/10/31, 24, 20, 20, 7, 5, 7
2023/11/1, 22, 13, 17, 6, 5, 7
2023/7/2, 53, 46, 16, 8, 4, 5
2023/7/3, 44, 36, 12, 12, 16, 5
2023/7/4, 55, 32, 10, 13, 8, 6
2023/7/5, 47, 27, 12, 13, 14, 8
2023/7/6, 45, 26, 9, 13, 7, 8
2023/7/7, 42, 31, 16, 11, 6, 8
2023/7/8, 48, 27, 15, 14, 17, 8
2023/7/9, 48, 26, 12, 11, 9, 8
2023/7/10, 45, 27, 13, 11, 8, 7
2023/7/11, 44, 13, 18, 11, 5, 7
2023/7/12, 32, 11, 19, 10, 5, 6
2023/7/13, 23, 28, 8, 13, 18, 7
2023/7/14, 45, 40, 7, 14, 10, 8
2023/7/15, 58, 43, 10, 14, 12, 8
2023/7/16, 66, 38, 14, 12, 15, 7
2023/7/17, 67, 42, 8, 15, 11, 9
2023/7/18, 72, 81, 9, 18, 17, 9
2023/7/19, 70, 41, 9, 14, 9, 10
2023/7/20, 57, 32, 16, 10, 18, 10
2023/7/21, 51, 16, 16, 7, 5, 6
2023/7/22, 31, 11, 17, 6, 5, 7
2023/7/23, 24, 21, 12, 7, 8, 7
2023/7/24, 38, 29, 13, 9, 9, 8
2023/7/25, 51, 24, 12, 10, 13, 7
2023/7/26, 44, 27, 11, 9, 8, 7
2023/7/27, 42, 36, 11, 10, 7, 8
2023/7/28, 57, 46, 6, 15, 13, 9
2023/7/29, 66, 48, 14, 13, 9, 9
2023/7/30, 64, 27, 12, 8, 5, 8
2023/7/31, 57, 23, 12, 7, 5, 8
2023/8/1, 54, 38, 10, 11, 8, 8
2023/8/2, 53, 78, 14, 15, 16, 6
2023/8/3, 54, 31, 16, 11, 6, 6
2023/8/4, 54, 29, 17, 12, 6, 7
2023/8/5, 54, 21, 14, 8, 4, 6
2023/8/6, 35, 15, 18, 7, 5, 6
2023/8/7, 34, 24, 14, 12, 10, 7
2023/8/8, 49, 35, 22, 12, 6, 6
2023/8/9, 62, 32, 26, 10, 5, 6
2023/8/10, 56, 16, 25, 8, 5, 6
2023/8/11, 33, 47, 23, 10, 5, 12
2023/8/12, 30, 29, 22, 13, 9, 15
2023/8/13, 47, 63, 26, 14, 28, 15
2023/8/14, 52, 24, 24, 10, 5, 14
2023/8/15, 44, 31, 24, 8, 5, 13
2023/8/16, 38, 21, 21, 9, 5, 13
2023/8/17, 31, 16, 20, 11, 4, 10
2023/8/18, 29, 22, 14, 10, 5, 6
