date, pm25
2023/11/2, 22
2023/11/3, 30
2023/11/4, 41
2023/11/5, 32
2023/11/6, 29
2023/11/7, 22
2023/11/8, 27
2023/11/9, 69
2023/11/10, 49
2023/11/11, 23
2023/11/12, 10
2023/11/13, 19
2023/11/14, 34
2023/11/15, 33
2023/10/2, 42
2023/10/3, 41
2023/10/4, 25
2023/10/5, 35
2023/10/6, 31
2023/10/7, 19
2023/10/8, 36
2023/10/9, 46
2023/10/10, 49
2023/10/11, 32
2023/10/12, 33
2023/10/13, 51
2023/10/14, 55
2023/10/15, 45
2023/10/16, 44
2023/10/17, 37
2023/10/18, 44
2023/10/19, 40
2023/10/20, 41
2023/10/21, 45
2023/10/22, 38
2023/10/23, 39
2023/10/24, 23
2023/11/1, 38
2023/7/2, 61
2023/7/3, 52
2023/7/4, 61
2023/7/5, 47
2023/7/6, 46
2023/7/7, 49
2023/7/8, 51
2023/7/9, 56
2023/7/10, 40
2023/7/11, 44
2023/7/12, 25
2023/7/13, 24
2023/7/14, 52
2023/7/15, 67
2023/7/16, 79
2023/7/17, 80
2023/7/18, 93
2023/7/19, 86
2023/7/20, 71
2023/7/21, 44
2023/7/22, 28
2023/7/23, 18
2023/7/24, 34
2023/7/25, 54
2023/7/26, 45
2023/7/27, 45
2023/7/28, 62
2023/7/29, 78
2023/7/30, 77
2023/7/31, 71
2023/8/1, 56
2023/8/2, 65
2023/8/3, 62
2023/8/4, 56
2023/8/5, 62
2023/8/6, 40
2023/8/7, 26
2023/8/8, 51
2023/8/9, 77
2023/8/10, 75
2023/8/11, 26
2023/8/12, 28
2023/8/13, 48
2023/8/14, 64
2023/8/15, 45
2023/8/16, 36
2023/8/17, 24
2023/8/18, 21
2023/8/19, 40
2023/8/20, 44
2023/8/21, 42
2023/8/22, 27
2023/8/23, 22
2023/8/24, 21
2023/8/25, 27
2023/8/26, 29
2023/8/27, 45
2023/8/28, 54
2023/8/29, 49
2023/8/30, 50
2023/8/31, 31
2023/9/1, 45
2023/9/2, 68
2023/9/3, 76
2023/9/5, 44
2023/9/6, 47
2023/9/7, 40
2023/9/8, 28
2023/9/9, 44
2023/9/10, 43
2023/9/11, 49
2023/9/12, 28
2023/9/13, 34
2023/9/14, 40
2023/9/15, 45
2023/9/16, 48
2023/9/17, 36
2023/9/18, 39
2023/9/19, 51
2023/9/20, 57
2023/9/21, 38
2023/9/22, 34
2023/9/23, 42
2023/9/24, 38
2023/9/25, 39
2023/9/26, 27
2023/9/27, 23
2023/9/28, 43
2023/9/29, 62
2023/9/30, 54
2023/10/1, 51
2023/4/2, 54
2023/4/3, 64
2023/4/4, 74
2023/4/5, 53
2023/4/6, 49
2023/4/7, 43
2023/4/8, 44
2023/4/9, 55
2023/4/10, 52
2023/4/11, 48
2023/4/12, 37
2023/4/13, 17
2023/4/14, 17
2023/4/15, 19
2023/4/16, 45
2023/4/17, 34
2023/4/18, 44
2023/4/19, 52
2023/4/20, 61
2023/4/21, 32
2023/4/22, 32
2023/4/23, 45
2023/4/24, 39
2023/4/25, 70
2023/4/26, 52
2023/4/27, 83
2023/4/28, 69
2023/4/29, 27
2023/4/30, 22
2023/5/1, 19
2023/5/2, 33
2023/5/3, 43
2023/5/4, 48
2023/5/5, 70
2023/5/6, 77
2023/5/7, 86
2023/5/8, 98
2023/5/9, 114
2023/5/10, 110
2023/5/11, 103
2023/5/12, 93
2023/5/13, 62
2023/5/14, 80
2023/5/15, 67
2023/5/16, 32
2023/5/17, 41
2023/5/18, 33
2023/5/19, 57
2023/5/20, 79
2023/5/21, 78
2023/5/22, 59
2023/5/23, 61
2023/5/24, 42
2023/5/25, 39
2023/5/26, 61
2023/5/27, 42
2023/5/28, 48
2023/5/29, 64
2023/5/30, 72
2023/5/31, 77
2023/6/1, 92
2023/6/2, 66
2023/6/3, 43
2023/6/4, 43
2023/6/5, 62
2023/6/6, 66
2023/6/7, 74
2023/6/8, 78
2023/6/9, 49
2023/6/10, 14
2023/6/11, 34
2023/6/12, 57
2023/6/13, 83
2023/6/14, 103
2023/6/15, 122
2023/6/16, 95
2023/6/17, 88
2023/6/18, 96
2023/6/19, 88
2023/6/20, 44
2023/6/21, 43
2023/6/22, 63
2023/6/23, 36
2023/6/24, 38
2023/6/25, 38
2023/6/26, 41
2023/6/27, 31
2023/6/28, 31
2023/6/29, 59
2023/6/30, 68
2023/7/1, 67
2023/2/14, 34
2023/2/15, 32
2023/2/16, 10
2023/2/17, 7
2023/2/18, 21
2023/2/19, 56
2023/2/20, 53
2023/2/21, 68
2023/2/22, 61
2023/2/23, 52
2023/2/24, 47
2023/2/25, 54
2023/2/26, 33
2023/2/27, 54
2023/2/28, 56
2023/3/1, 51
2023/3/2, 47
2023/3/3, 40
2023/3/4, 33
2023/3/5, 54
2023/3/6, 36
2023/3/7, 27
2023/3/8, 19
2023/3/9, 21
2023/3/10, 19
2023/3/11, 23
2023/3/12, 29
2023/3/13, 20
2023/3/14, 19
2023/3/15, 46
2023/3/16, 34
2023/3/17, 16
2023/3/18, 17
2023/3/19, 26
2023/3/20, 40
2023/3/21, 26
2023/3/22, 31
2023/3/23, 45
2023/3/24, 61
2023/3/25, 66
2023/3/26, 62
2023/3/27, 46
2023/3/28, 50
2023/3/29, 44
2023/3/30, 30
2023/3/31, 53
2023/4/1, 62
