date, pm25, pm10, o3, no2, so2
2023/11/2, 35, 20, 28, 6, 12
2023/11/3, 39, 22, 18, 6, 2
2023/11/4, 43, 20, 16, 5, 1
2023/11/5, 41, 17, 16, 3, 1
2023/11/6, 34, 20, 15, 5, 1
2023/11/7, 38, 20, 20, 3, 1
2023/11/8, 26, 18, 15, 5, 1
2023/11/9, 30, 19, 14, 6, 1
2023/11/10, 27, 26, 19, 5, 1
2023/11/11, 43, 17, 16, 5, 1
2023/11/12, 37, 12, 6, 6, 
2023/11/13, 31, 15, 6, 7, 
2023/11/14, 36, 18, 8, 8, 
2023/11/15, 31, 20, 16, 6, 
2023/11/16, 45, , , , 
2023/10/2, 58, 23, 24, 3, 5
2023/10/3, 50, 27, 17, 6, 2
2023/10/4, 61, 40, 17, 6, 1
2023/10/5, 68, 29, 16, 5, 1
2023/10/6, 57, 13, 18, 4, 
2023/10/7, 37, 26, 18, 4, 1
2023/10/8, 51, 21, 18, 3, 1
2023/10/9, 55, 23, 16, 4, 1
2023/10/10, 54, 25, 12, 5, 2
2023/10/11, 68, , , , 
2023/10/14, 48, 32, 14, 5, 1
2023/10/15, 50, 19, 17, 3, 
2023/10/16, 33, 21, 49, 5, 15
2023/10/17, 52, , , , 
2023/10/24, 42, 30, 16, 5, 1
2023/10/25, 42, 37, 18, 7, 1
2023/10/26, 50, 28, 16, 5, 1
2023/10/27, 39, 29, 14, 4, 1
2023/10/28, 51, 22, 16, 2, 1
2023/10/29, 48, 24, 19, 3, 1
2023/10/30, 55, 16, 17, 3, 1
2023/10/31, 38, 15, 16, 4, 1
2023/11/1, 41, 16, 16, 4, 1
2023/7/2, 144, 37, 16, 5, 1
2023/7/3, 79, 36, 17, 3, 1
2023/7/4, 71, 46, 18, 5, 1
2023/7/5, 90, 47, 14, 5, 1
2023/7/6, 111, 44, 14, 6, 1
2023/7/7, 104, 72, 16, 4, 1
2023/7/8, 157, 44, 19, 4, 
2023/7/9, 92, 48, 18, 4, 1
2023/7/10, 120, 103, 10, 14, 1
2023/7/11, 208, 38, 11, 2, 1
2023/7/12, 103, 35, 22, 5, 8
2023/7/13, 59, 69, 12, 9, 1
2023/7/14, 47, 112, 11, 12, 1
2023/7/15, 171, 61, 15, 8, 1
2023/7/16, 216, 78, 12, 9, 2
2023/7/17, 268, 160, 11, 11, 2
2023/7/18, 300, 62, 11, 8, 1
2023/7/19, 288, 85, 10, 8, 1
2023/7/20, 181, 51, 15, 3, 1
2023/7/21, 64, 46, 18, 7, 1
2023/7/22, 78, 49, 19, 6, 1
2023/7/23, 98, 53, 10, 6, 2
2023/7/24, 119, 41, 15, 5, 1
2023/7/25, 96, 41, 29, 5, 11
2023/7/26, 89, 55, 12, 8, 1
2023/7/27, 109, 62, 14, 8, 1
2023/7/28, 126, 83, 7, 13, 2
2023/7/29, 166, 80, 10, 7, 1
2023/7/30, 135, 49, 10, 8, 1
2023/7/31, 105, 64, 12, 6, 1
2023/8/1, 132, 34, 18, 5, 1
