date, pm25, pm10, o3, no2, so2, co
2023/11/2, 95, 25, 16, , , 4
2023/11/3, 43, 14, 15, , , 3
2023/11/4, 33, 20, 16, , , 5
2023/11/5, 58, 25, 20, , , 6
2023/11/6, 61, 30, 15, , , 7
2023/11/7, 75, 15, 18, , , 4
2023/11/8, 46, 16, 18, , , 3
2023/11/9, 39, 16, 16, , 4, 4
2023/11/10, 36, 23, 15, , 1, 5
2023/11/11, 54, 16, 17, , 1, 4
2023/11/12, 50, 14, 15, , , 3
2023/11/13, 41, 18, 15, , , 4
2023/11/14, 55, 15, 14, , , 3
2023/11/15, 48, , , , , 
2023/10/2, 54, 26, 18, , , 2
2023/10/3, 61, 25, 18, , , 2
2023/10/4, 58, 23, 19, , , 1
2023/10/5, 46, 25, 19, , , 2
2023/10/6, 51, 20, 20, , , 1
2023/10/7, 55, 14, 24, , , 
2023/10/8, 32, 20, 23, , , 1
2023/10/9, 49, 16, 21, , , 1
2023/10/10, 43, 35, 18, , 2, 8
2023/10/11, 84, 36, 17, , , 3
2023/10/12, 53, 21, 20, , 2, 2
2023/10/13, 10, 26, 16, , 1, 3
2023/10/14, 9, 30, 17, , 2, 5
2023/10/15, 9, 19, 18, , 1, 3
2023/10/16, 33, 28, 20, , 1, 4
2023/10/17, 58, 28, 18, , 1, 4
2023/10/18, 57, 35, 22, , 2, 5
2023/10/19, 61, 17, 20, , 1, 4
2023/10/20, 30, 30, 20, , 2, 3
2023/10/21, 57, 31, 19, , 2, 5
2023/10/22, 60, 29, 21, , 2, 4
2023/10/23, 60, 61, 11, , 3, 10
2023/10/24, 127, , , , , 
2023/10/26, 27, , , , , 
2023/11/1, 112, 44, 17, , , 10
2023/7/2, 262, 52, 16, , , 6
2023/7/3, 128, 40, 16, , , 3
2023/7/4, 112, 58, 14, , , 7
2023/7/5, 153, 42, 15, , , 3
2023/7/6, 112, 45, 14, , , 5
2023/7/7, 117, 71, 9, , , 12
2023/7/8, 165, 73, 8, , 1, 7
2023/7/9, 171, 79, 10, , 1, 16
2023/7/10, 179, 61, 12, , , 5
2023/7/11, 154, 44, 14, , , 3
2023/7/12, 115, 77, 8, , 1, 11
2023/7/13, 171, 136, 8, , 3, 24
2023/7/14, 242, 89, 3, , 4, 15
2023/7/15, 200, 39, 13, , 3, 4
2023/7/16, 109, 70, 10, , 3, 10
2023/7/17, 162, 69, 9, , 3, 6
2023/7/18, 157, 78, 8, , 4, 7
2023/7/19, 168, 108, 7, , 5, 19
2023/7/20, 224, 95, 5, , 4, 17
2023/7/21, 202, 64, 14, , 3, 9
2023/7/22, 155, 53, 15, , 1, 6
2023/7/23, 127, 62, 14, , 1, 10
2023/7/24, 144, 89, 3, , 2, 14
2023/7/25, 193, 121, 4, , 3, 22
2023/7/26, 250, 79, 9, , 3, 16
2023/7/27, 177, 88, 3, , 6, 12
2023/7/28, 183, 104, 12, , 5, 19
2023/7/29, 216, 24, 19, , 3, 1
2023/7/30, 70, 57, 16, , 3, 9
2023/7/31, 126, 65, 17, , 3, 10
2023/8/1, 156, 25, 18, , 2, 1
2023/8/2, 66, 23, 17, , 2, 
2023/8/3, 71, 24, 17, , 2, 1
2023/8/4, 60, 26, 17, , 2, 3
2023/8/5, 69, 34, 16, , 2, 3
2023/8/6, 79, 33, 16, , 2, 5
2023/8/7, 81, 124, 7, , 3, 17
2023/8/8, 211, 72, 16, , 3, 14
2023/8/9, 139, 63, 8, , 4, 9
2023/8/10, 152, 45, 15, , 3, 6
2023/8/11, 118, 42, 15, , 2, 4
2023/8/12, 95, 100, 12, , 3, 18
2023/8/13, 209, 80, 17, , 4, 17
2023/8/14, 182, 51, 18, , 4, 8
2023/8/15, 123, 30, 15, , 2, 2
2023/8/16, 86, 52, 13, , 2, 7
2023/8/17, 133, 74, 11, , 3, 12
2023/8/18, 176, 90, 13, , 7, 15
2023/8/19, 175, 62, 11, , 4, 8
2023/8/20, 143, 61, 8, , 4, 7
2023/8/21, 148, 55, 13, , 4, 7
2023/8/22, 134, 31, 16, , 4, 2
2023/8/23, 77, 32, 15, , 3, 2
2023/8/24, 76, 31, 15, , 5, 2
2023/8/25, 80, 38, 15, , 4, 4
2023/8/26, 93, 27, 14, , 4, 1
2023/8/27, 72, 30, 16, , 4, 3
2023/8/28, 74, 27, 15, , 4, 1
2023/8/29, 65, 28, 15, , 4, 1
2023/8/30, 75, 27, 17, , 7, 2
2023/8/31, 71, 41, 17, , 2, 6
2023/9/1, 95, 29, 17, , 2, 2
2023/9/2, 74, 31, 15, , 2, 2
2023/9/3, 87, 48, 15, , 2, 8
2023/9/4, 119, 67, 14, , 2, 11
2023/9/5, 143, 70, 14, , 3, 7
2023/9/6, 128, 54, 10, , 3, 7
2023/9/7, 121, 58, 12, , 3, 7
2023/9/8, 134, 49, 13, , 3, 7
2023/9/9, 110, 51, 15, , 4, 6
2023/9/10, 133, 33, 16, , 3, 2
2023/9/11, 86, 29, 15, , 3, 2
2023/9/12, 77, 31, 16, , 3, 2
2023/9/13, 72, 31, 16, , 3, 3
2023/9/14, 68, 21, 20, , 4, 2
2023/9/15, 56, 32, 18, , 4, 5
2023/9/16, 88, 33, 15, , 4, 3
2023/9/17, 88, 32, 16, , 4, 2
2023/9/18, 85, 40, 16, , 4, 6
2023/9/19, 97, 71, 16, , 4, 15
2023/9/20, 149, 106, 12, , 5, 20
2023/9/21, 191, 70, 13, , 5, 14
2023/9/22, 134, 62, 13, , 4, 9
2023/9/23, 125, 45, 15, , 4, 5
2023/9/24, 95, 47, 15, , 5, 7
2023/9/25, 105, 44, 15, , 5, 6
2023/9/26, 89, 29, 18, , 5, 1
2023/9/27, 41, 28, 19, , 10, 3
2023/9/28, 68, 35, 14, , 8, 5
2023/9/29, 85, 34, 14, , 25, 18
2023/9/30, 74, 43, 47, , 1, 4
2023/10/1, 95, 23, 23, , 1, 2
2023/4/2, 76, 19, 13, , , 3
2023/4/3, 70, 15, 12, , , 3
2023/4/4, 50, 23, 11, , , 3
2023/4/5, 70, 30, 11, , , 6
2023/4/6, 92, 18, 14, , , 2
2023/4/7, 58, 27, 14, , , 6
2023/4/8, 87, 23, 13, , , 5
2023/4/9, 73, 13, 12, , , 1
2023/4/10, 46, 88, 8, , 1, 15
2023/4/11, 171, 85, 9, , 1, 27
2023/4/12, 183, 67, 9, , 1, 16
2023/4/13, 148, 108, 6, , 1, 29
2023/4/14, 208, 57, 8, , , 14
2023/4/15, 139, 42, 10, , , 7
2023/4/16, 117, 25, 13, , , 3
2023/4/17, 82, 23, 12, , , 2
2023/4/18, 73, 15, 12, , , 2
2023/4/19, 49, 15, 8, , , 1
2023/4/20, 44, 16, 12, , , 1
2023/4/21, 41, 24, 15, , , 6
2023/4/22, 57, 30, 13, , , 5
2023/4/23, 78, 42, 15, , , 14
2023/4/24, 100, 30, 12, , , 5
2023/4/25, 79, 25, 9, , , 2
2023/4/26, 73, 37, 11, , , 8
2023/4/27, 95, 41, 12, , , 7
2023/4/28, 111, 53, 12, , 1, 7
2023/4/29, 136, 12, 16, , , 1
