date, pm25, pm10, o3, no2, so2, co
2023/11/2, 41, 21, 23, 7, 10, 8
2023/11/3, 43, 26, 27, 10, 16, 1
2023/11/4, 36, 33, 19, 7, 12, 1
2023/11/5, 52, 27, 18, 5, 8, 1
2023/11/6, 40, 22, 17, 6, 10, 1
2023/11/7, 31, 22, 24, 5, 9, 7
2023/11/8, 23, 33, 26, 7, 12, 1
2023/11/9, 40, 42, 18, 7, 11, 1
2023/11/10, 51, 16, 8, 6, 10, 1
2023/11/11, 27, 17, 14, 4, 7, 1
2023/11/12, 20, 19, 13, 4, 7, 1
2023/11/13, 34, 27, 19, 5, 8, 1
2023/11/14, 40, 28, 20, 6, 10, 1
2023/11/15, 37, , , , , 
2023/10/2, 34, 28, 24, 4, 6, 1
2023/10/3, 43, 23, 27, 4, 6, 6
2023/10/4, 27, 27, 24, 7, 12, 1
2023/10/5, 42, 29, , 6, 10, 1
2023/10/6, 47, 23, 2, 5, 8, 1
2023/10/7, 35, 32, 30, 7, 11, 1
2023/10/8, 52, 39, 24, 7, 11, 1
2023/10/9, 59, 40, 21, 7, 12, 2
2023/10/10, 60, 26, 16, 5, 9, 1
2023/10/11, 37, 26, 28, 4, 7, 13
2023/10/12, 42, 38, 28, 9, 14, 1
2023/10/13, 57, 43, 29, 8, 13, 1
2023/10/14, 58, 45, 20, 8, 12, 2
2023/10/15, 62, 36, 23, 6, 10, 2
2023/10/16, 59, 33, 25, 6, 10, 1
2023/10/17, 56, 41, 22, 7, 11, 1
2023/10/18, 54, 35, 25, 6, 9, 11
2023/10/19, 42, 41, 23, 8, 13, 1
2023/10/20, 57, 37, 19, 6, 10, 1
2023/10/21, 55, 28, 18, 4, 7, 1
2023/10/22, 40, 33, 18, 6, 10, 1
2023/10/23, 51, 25, 23, 4, 6, 21
2023/10/24, 33, 34, 20, 5, 9, 1
2023/10/25, 45, 44, 19, 6, 9, 1
2023/10/26, 62, 35, 18, 6, 9, 1
2023/10/27, 52, 28, 19, 6, 10, 1
2023/10/28, 49, 27, 16, 8, 13, 1
2023/10/29, 53, 15, 14, 6, 10, 1
2023/10/30, 28, 18, 14, 5, 9, 1
2023/10/31, 31, 27, 21, 6, 10, 1
2023/11/1, 41, 25, 14, 6, 11, 1
2023/7/2, 64, 33, 17, 8, 13, 10
2023/7/3, 70, 38, 14, 11, 18, 3
2023/7/4, 80, 38, 14, 12, 19, 4
2023/7/5, 72, 33, 13, 13, 21, 2
2023/7/6, 63, 34, 17, 12, 19, 7
2023/7/7, 66, 40, 12, 12, 19, 4
2023/7/8, 83, 30, 15, 11, 17, 3
2023/7/9, 62, 31, 13, 10, 17, 3
2023/7/10, 66, 33, 11, 11, 17, 2
2023/7/11, 66, 24, 15, 12, 19, 1
2023/7/12, 49, 16, 16, 10, 16, 11
2023/7/13, 35, 37, 9, 13, 20, 5
2023/7/14, 61, 52, 5, 14, 22, 5
2023/7/15, 91, 68, 7, 13, 20, 10
2023/7/16, 113, 56, 10, 12, 19, 5
2023/7/17, 106, 80, 2, 15, 23, 6
2023/7/18, 145, 47, 4, 19, 30, 3
2023/7/19, 82, 55, 19, 19, 30, 11
2023/7/20, 93, 46, 8, 13, 21, 4
2023/7/21, 86, 33, 3, 12, 18, 2
2023/7/22, 68, 23, 15, 9, 14, 6
2023/7/23, 93, 35, 6, 9, 15, 5
2023/7/24, 72, 41, 10, 9, 15, 5
2023/7/25, 72, 36, 11, 10, 16, 3
2023/7/26, 67, 41, 5, 10, 17, 2
2023/7/27, 75, 53, 7, 12, 19, 5
2023/7/28, 94, 57, 10, 15, 24, 5
2023/7/29, 97, 53, 12, 14, 22, 4
2023/7/30, 95, 51, 9, 11, 17, 4
2023/7/31, 102, 29, 10, 11, 17, 1
2023/8/1, 63, 42, 18, 15, 24, 4
2023/8/2, 71, 46, 17, 15, 24, 7
2023/8/3, 65, 45, 9, 10, 15, 3
2023/8/4, 79, 37, 12, 11, 18, 1
2023/8/5, 68, 27, 10, 8, 12, 1
2023/8/6, 49, 25, 19, 8, 13, 4
2023/8/7, 53, 34, 10, 10, 16, 3
2023/8/8, 60, 48, 9, 10, 15, 2
2023/8/9, 93, 52, 9, 12, 18, 1
2023/8/10, 101, 20, 20, 7, 12, 7
2023/8/11, 38, 37, 13, 9, 14, 3
2023/8/12, 61, 43, 17, 11, 17, 4
2023/8/13, 72, 33, 21, 11, 17, 3
2023/8/14, 53, 28, 13, 7, 12, 2
2023/8/15, 56, 21, 12, 5, 9, 
2023/8/16, 31, 21, 11, 9, 14, 1
2023/8/17, 23, 25, 12, 8, 13, 2
2023/8/18, 48, 36, 14, 11, 17, 7
2023/8/19, 70, 33, 4, 11, 17, 5
2023/8/20, 67, 28, 8, 5, 9, 4
2023/8/21, 50, 24, 12, 5, 9, 2
2023/8/22, 34, 6, 23, 4, 7, 20
2023/8/23, 14, 7, 18, 5, 9, 2
2023/8/24, 38, 24, 20, 6, 10, 2
2023/8/25, 40, 32, 20, 7, 11, 3
2023/8/26, 47, 38, 23, 7, 12, 3
2023/8/27, 60, 34, 29, 8, 13, 2
2023/8/28, 58, 36, 20, 10, 16, 2
2023/8/29, 51, 33, 21, 9, 14, 1
2023/8/30, 43, 29, 18, 7, 12, 1
2023/8/31, 33, 39, 23, 11, 16, 5
2023/9/1, 48, 50, 8, 9, 14, 2
2023/9/2, 59, 41, 14, 8, 13, 3
2023/9/3, 62, 29, 19, 6, 10, 3
