date, pm25, pm10, o3, so2
2023/11/8, 25, 21, , 
2023/11/9, 32, 19, , 
2023/11/10, 26, 13, , 
2023/11/11, 31, 11, , 
2023/11/12, 23, 10, , 
2023/11/13, 26, 15, , 
2023/11/14, 27, 17, , 
2023/11/15, 29, 21, , 
2023/11/16, 36, , , 
2023/10/2, 39, 24, , 
2023/10/3, 46, 25, , 
2023/10/4, 41, 28, , 
2023/10/5, 48, 32, , 
2023/10/6, 51, 23, , 
2023/10/7, 36, 23, , 
2023/10/8, 34, 27, , 
2023/10/9, 43, 24, , 
2023/10/10, 43, 33, , 
2023/10/11, 55, 36, , 
2023/10/12, 47, 40, , 
2023/10/13, 54, 39, , 
2023/10/14, 52, 34, , 
2023/10/15, 50, 31, , 
2023/10/16, 44, 28, , 
2023/10/17, 34, 33, , 
2023/10/18, 38, 29, , 
2023/10/19, 37, 39, , 
2023/10/20, 52, 53, , 
2023/10/21, 67, 31, , 
2023/10/22, 44, 29, , 
2023/10/23, 44, 16, , 
2023/10/24, 35, , , 
2023/7/2, 138, 27, , 
2023/7/3, 69, 36, , 
2023/7/4, 77, 43, , 
2023/7/5, 88, 56, , 
2023/7/6, 106, 49, , 
2023/7/7, 92, 32, , 
2023/7/8, 73, 16, , 
2023/7/9, 47, 14, , 
2023/7/10, 36, 46, , 
2023/7/11, 96, 58, , 
2023/7/12, 131, 23, , 
2023/7/13, 56, 37, , 
2023/7/14, 86, 56, , 
2023/7/15, 122, 47, , 
2023/7/16, 101, 26, , 
2023/7/17, 73, 67, , 
2023/7/18, 140, 74, , 
2023/7/19, 155, 70, , 
2023/7/20, 136, 44, , 
2023/7/21, 95, 12, , 
2023/7/22, 45, 23, , 
2023/7/23, 52, 31, , 
2023/7/24, 78, 65, , 
2023/7/25, 134, 32, , 
2023/7/26, 89, 26, , 
2023/7/27, 72, 32, , 
2023/7/28, 85, 62, , 
2023/7/29, 132, 84, , 
2023/7/30, 162, 65, , 
2023/7/31, 140, 46, , 
2023/8/1, 106, 21, , 
2023/8/2, 52, 23, , 
2023/8/3, 52, 28, , 
2023/8/4, 67, 43, , 
2023/8/5, 95, 51, , 
2023/8/6, 116, 36, , 
2023/8/7, 89, 54, , 
2023/8/8, 110, 62, , 
2023/8/9, 133, 56, , 
2023/8/10, 123, 21, , 
2023/8/11, 62, 25, , 
2023/8/12, 61, 22, , 
2023/8/13, 57, 33, , 
2023/8/14, 80, 53, , 
2023/8/15, 113, 28, , 
2023/8/16, 68, 23, , 
2023/8/17, 57, 14, , 
2023/8/18, 33, 37, , 
2023/8/19, 80, 17, , 
2023/8/20, 53, 7, , 
2023/8/21, 27, 8, , 
2023/8/22, 28, 6, , 
2023/8/23, 29, 38, , 
2023/8/24, 53, 27, , 
2023/8/25, 62, 30, , 
2023/8/26, 64, 21, , 
2023/8/27, 57, 51, , 
2023/8/28, 113, 41, , 
2023/8/29, 95, 35, , 
2023/8/30, 80, 17, , 
2023/8/31, 30, 24, , 
2023/9/1, 56, 37, , 
2023/9/2, 79, 25, , 
2023/9/3, 75, 14, , 
2023/9/4, 50, 21, , 
2023/9/5, 59, 46, , 
2023/9/6, 107, 17, , 
2023/9/7, 53, 28, , 
2023/9/8, 53, 29, , 
2023/9/9, 57, 23, , 
2023/9/10, 57, 17, , 
2023/9/11, 52, 14, , 
2023/9/12, 27, 22, , 
2023/9/13, 44, 44, , 
2023/9/14, 81, 40, , 
2023/9/15, 85, 19, , 
2023/9/16, 44, 17, , 
2023/9/17, 43, 15, , 
2023/9/18, 31, 19, , 
2023/9/19, 50, 25, , 
2023/9/20, 58, 38, , 
2023/9/21, 77, 25, , 
2023/9/22, 48, 34, , 
2023/9/23, 56, 20, , 
2023/9/24, 45, 19, , 
2023/9/25, 39, 23, , 
2023/9/26, 46, 15, , 
2023/9/27, 28, 21, , 
2023/9/28, 46, 18, , 
2023/9/29, 37, 36, , 
2023/9/30, 60, 39, , 
2023/10/1, 59, 19, , 
2023/4/2, 65, 33, , 
2023/4/3, 46, 41, , 
2023/4/4, 48, 52, , 
2023/4/5, 61, 43, , 
2023/4/6, 41, 47, , 
2023/4/7, 54, 34, , 
2023/4/8, 52, 42, , 
2023/4/9, 55, 46, , 
2023/4/10, 65, 58, , 
2023/4/11, 66, 35, , 
2023/4/12, 37, 34, , 
2023/4/13, 32, 24, , 
2023/4/14, 28, 39, , 
2023/4/15, 68, 46, , 
2023/4/16, 81, 41, , 
2023/4/17, 67, 39, , 
2023/4/18, 51, 45, , 
2023/4/19, 59, 70, , 
2023/4/20, 108, 56, , 
2023/4/21, 59, 26, , 
2023/4/22, 33, 31, , 
2023/4/23, 64, 46, , 
2023/4/24, 93, 36, , 
2023/4/25, 70, 52, , 
2023/4/26, 109, 91, , 
2023/4/27, 164, 70, , 
2023/4/28, 122, 56, , 
2023/4/29, 64, 10, , 
2023/4/30, 15, 12, , 
2023/5/1, 21, 19, , 
2023/5/2, 45, 25, , 
2023/5/3, 65, 37, , 
2023/5/4, 87, 35, , 
2023/5/5, 91, 54, , 
2023/5/6, 122, 58, , 
2023/5/7, 131, 37, , 
2023/5/8, 98, 57, , 
2023/5/9, 127, 67, , 
2023/5/10, 139, 67, , 
2023/5/11, 132, 65, , 
2023/5/12, 135, 50, , 
2023/5/13, 100, 44, , 
2023/5/14, 87, 56, , 
2023/5/15, 105, 47, , 
2023/5/16, 89, 42, , 
2023/5/17, 82, 40, , 
2023/5/18, 62, 35, , 
2023/5/19, 83, 54, , 
2023/5/20, 122, 52, , 
2023/5/21, 110, 34, , 
2023/5/22, 81, 32, , 
2023/5/23, 39, 17, , 
2023/5/24, 40, 35, , 
2023/5/25, 66, 62, , 
2023/5/26, 127, 43, , 
2023/5/27, 89, 32, , 
2023/5/28, 80, 65, , 
2023/5/29, 156, 55, , 
2023/5/30, 143, 85, , 
2023/5/31, 174, 36, , 
2023/6/1, 129, 35, , 
2023/6/2, 88, 30, , 
2023/6/3, 67, 29, , 
2023/6/4, 63, 19, , 
2023/6/5, 53, 47, , 
2023/6/6, 106, 71, , 
2023/6/7, 154, 65, , 
2023/6/8, 129, 36, , 
2023/6/9, 75, 36, , 
2023/6/10, 66, 24, , 
2023/6/11, 59, 26, , 
2023/6/12, 69, 42, , 
2023/6/13, 107, 56, , 
2023/6/14, 134, 87, , 
2023/6/15, 167, 88, , 
2023/6/16, 167, 38, , 
2023/6/17, 94, 28, , 
2023/6/18, 80, 57, , 
2023/6/19, 133, 77, , 
2023/6/20, 148, 68, , 
2023/6/21, 148, 49, , 
2023/6/22, 112, 13, , 
2023/6/23, 38, 8, , 
2023/6/24, 17, 10, , 
2023/6/25, 30, 14, , 
2023/6/26, 34, 31, , 
2023/6/27, 79, 24, , 
2023/6/28, 52, 37, , 
2023/6/29, 80, 57, , 
2023/6/30, 120, 71, , 
2023/7/1, 144, 64, , 
2023/1/3, 37, 27, 32, 1
2023/1/4, 36, 33, 41, 1
2023/1/5, 42, 27, 30, 1
2023/1/6, 48, 27, 31, 1
2023/1/7, 52, 27, 33, 1
2023/1/8, 49, 24, 32, 1
2023/1/9, 38, 21, 26, 1
2023/1/10, 35, 24, 32, 1
2023/1/11, 43, 34, 34, 1
2023/1/12, 47, 35, 37, 1
2023/1/13, 45, 40, 39, 1
2023/1/14, 31, 30, 28, 2
2023/1/15, 10, 32, 40, 1
2023/1/16, 5, 53, 33, 1
2023/1/17, 26, 35, 29, 1
2023/1/18, 47, 41, 39, 1
2023/1/19, 47, 34, 26, 1
2023/1/20, 41, 27, 37, 1
2023/1/21, 35, 32, 43, 1
2023/1/22, 46, 29, 34, 1
2023/1/23, 34, 35, 35, 1
2023/1/24, 39, 21, 31, 1
2023/1/25, 25, 25, 40, 1
2023/1/26, 31, 27, 34, 1
2023/1/27, 33, 31, 38, 1
2023/1/28, 36, 33, 42, 1
2023/1/29, 46, 35, 40, 1
2023/1/30, 45, 27, 39, 1
2023/1/31, 28, 33, 34, 1
2023/2/1, 43, 36, 42, 1
2023/2/2, 42, 50, 47, 1
2023/2/3, 67, 57, 47, 1
2023/2/4, 76, 36, 34, 1
2023/2/5, 50, 92, 47, 1
