date, pm25, pm10, o3, no2, so2, co
2023/11/2, 30, 17, 12, 3, , 3
2023/11/3, 33, 21, 12, 4, , 3
2023/11/4, 31, 14, 11, 2, , 2
2023/11/5, 24, 10, 10, 3, 4, 4
2023/11/6, 21, 24, 11, 5, 1, 4
2023/11/7, 31, 14, 13, 2, 3, 1
2023/11/8, 28, 15, 11, 3, , 
2023/11/9, 24, 16, 13, 3, , 
2023/11/10, 27, 22, 15, 4, 3, 1
2023/11/11, 25, 10, 13, 5, , 3
2023/11/12, 23, 12, 11, 2, , 
2023/11/13, 24, 15, 11, 3, , 
2023/11/14, 24, 20, 13, 3, , 
2023/11/15, 28, 18, 12, 3, , 1
2023/11/16, 21, , , , , 
2023/10/2, 18, 23, 14, 3, 8, 3
2023/10/3, 30, 21, 13, 5, , 3
2023/10/4, 32, 23, 16, 4, , 4
2023/10/5, 40, 68, 15, 3, , 4
2023/10/6, 48, 22, 15, 4, , 4
2023/10/7, 28, 23, 16, 4, , 2
2023/10/8, 25, 17, 16, 2, , 3
2023/10/9, 26, 15, 16, 3, , 2
2023/10/10, 26, 37, 16, 3, , 3
2023/10/11, 34, 32, 14, 5, , 2
2023/10/12, 41, 30, 14, 4, , 2
2023/10/13, 41, 28, 14, 4, , 2
2023/10/14, 38, 21, 16, 3, , 2
2023/10/15, 33, 19, 15, , , 2
2023/10/16, 25, 30, 13, 5, , 2
2023/10/17, 31, 36, 14, 8, 1, 3
2023/10/18, 43, 43, 15, 4, 1, 3
2023/10/19, 47, 28, 13, 5, 1, 4
2023/10/20, 43, 28, 15, 4, , 3
2023/10/21, 38, 35, 14, 5, 6, 4
2023/10/22, 57, 28, 16, 5, 1, 3
2023/10/23, 49, 27, 14, 4, , 2
2023/10/24, 33, 34, 13, 4, , 2
2023/10/25, 36, 36, 14, 4, , 2
2023/10/26, 41, 23, 12, 3, , 2
2023/10/27, 32, 11, 10, 4, 1, 6
2023/10/28, 21, 13, 15, 3, 6, 5
2023/10/29, 30, 16, 15, 1, 10, 2
2023/10/30, 34, 14, 14, 3, , 4
2023/10/31, 29, 15, 12, 4, , 3
2023/11/1, 29, 17, 13, 2, , 2
2023/7/2, 64, 11, 16, 5, 1, 7
2023/7/3, 27, 22, 16, 4, , 4
2023/7/4, 31, 27, 18, 3, 2, 7
2023/7/5, 54, 31, 14, 8, 1, 10
2023/7/6, 59, 30, 14, 9, , 11
2023/7/7, 71, 33, 17, 6, , 8
2023/7/8, 55, 20, 18, 2, 1, 8
2023/7/9, 36, 25, 16, 6, , 12
2023/7/10, 62, 34, 10, 8, , 12
2023/7/11, 65, 36, 5, 8, , 11
2023/7/12, 77, 29, 13, 7, , 10
2023/7/13, 60, 31, 12, 7, , 9
2023/7/14, 62, 39, 13, 5, , 16
2023/7/15, 73, 26, 14, 6, , 9
2023/7/16, 58, 23, 13, 8, 1, 10
2023/7/17, 54, 53, 10, 6, 1, 15
2023/7/18, 90, 63, 9, 10, 1, 17
2023/7/19, 107, 21, 14, 8, 1, 9
2023/7/20, 42, 4, 12, 4, , 3
2023/7/21, 9, 18, 15, 7, 11, 6
2023/7/22, 32, 16, 16, 2, 11, 5
2023/7/23, 35, 36, 11, 4, , 16
2023/7/24, 76, 24, 16, 4, 1, 11
2023/7/25, 45, 21, 15, 2, , 7
2023/7/26, 51, 17, 10, 4, , 7
2023/7/27, 33, 38, 12, 5, 1, 12
2023/7/28, 68, 27, 9, 6, , 8
2023/7/29, 58, 15, 11, 4, , 9
2023/7/30, 45, 13, 8, 2, , 5
2023/7/31, 34, 31, 10, 7, 1, 17
2023/8/1, 57, 20, 13, 5, 1, 7
2023/8/2, 38, 29, 12, 6, , 5
2023/8/3, 42, 34, 12, 7, , 5
2023/8/4, 50, 34, 13, 6, , 7
2023/8/5, 51, 32, 14, 8, 1, 6
2023/8/6, 58, 37, 15, 7, , 9
