date, pm25, pm10
2023/11/7, 16, 13
2023/11/8, 19, 18
2023/11/9, 28, 20
2023/11/10, 30, 6
2023/11/11, 16, 6
2023/11/12, 16, 11
2023/11/13, 21, 21
2023/11/14, 21, 33
2023/11/15, 33, 27
2023/11/16, 27, 
2023/10/2, 19, 15
2023/10/3, 14, 20
2023/10/4, 27, 23
2023/10/5, 28, 24
2023/10/6, 30, 9
2023/10/7, 17, 22
2023/10/8, 28, 15
2023/10/9, 28, 15
2023/10/10, 30, 28
2023/10/11, 27, 27
2023/10/12, 39, 27
2023/10/13, 37, 24
2023/10/14, 47, 
2023/7/2, 61, 10
2023/7/3, 23, 13
2023/7/4, 20, 15
2023/7/5, 19, 
2023/7/13, 42, 32
2023/7/14, 59, 28
2023/7/15, 57, 32
2023/7/16, 62, 26
2023/7/17, 64, 25
2023/7/18, 41, 29
2023/7/19, 50, 9
2023/7/20, 21, 5
2023/7/21, 14, 13
2023/7/22, 16, 10
2023/7/23, 12, 13
2023/7/24, 30, 9
2023/7/25, 18, 17
2023/7/26, 14, 32
2023/7/27, 42, 35
2023/7/28, 47, 51
2023/7/29, 82, 27
2023/7/30, 39, 31
2023/7/31, 47, 22
2023/8/1, 31, 32
2023/8/2, 39, 36
2023/8/3, 54, 32
2023/8/4, 46, 43
2023/8/5, 66, 24
2023/8/6, 46, 19
2023/8/7, 45, 36
2023/8/8, 64, 32
2023/8/9, 65, 17
2023/8/10, 31, 20
2023/8/11, 21, 23
2023/8/12, 33, 27
2023/8/13, 44, 22
2023/8/14, 46, 31
2023/8/15, 51, 11
2023/8/16, 26, 7
2023/8/17, 14, 20
2023/8/18, 24, 11
2023/8/19, 17, 11
2023/8/20, 9, 9
2023/8/21, 8, 9
2023/8/22, 10, 9
2023/8/23, 16, 7
2023/8/24, 14, 10
2023/8/25, 25, 22
2023/8/26, 30, 19
2023/8/27, 33, 13
2023/8/28, 33, 12
2023/8/29, 27, 23
2023/8/30, 32, 15
2023/8/31, 20, 29
2023/9/1, 43, 17
2023/9/2, 25, 16
2023/9/3, 30, 22
2023/9/4, 47, 24
2023/9/5, 42, 8
2023/9/6, 20, 10
2023/9/7, 16, 12
2023/9/8, 17, 11
2023/9/9, 16, 11
2023/9/10, 17, 10
2023/9/11, 14, 18
2023/9/12, 16, 31
2023/9/13, 34, 13
2023/9/14, 25, 5
2023/9/15, 14, 7
2023/9/16, 14, 14
2023/9/17, 17, 10
2023/9/18, 16, 13
2023/9/19, 23, 23
2023/9/20, 41, 15
2023/9/21, 24, 8
2023/9/22, 13, 12
2023/9/23, 18, 18
2023/9/24, 29, 14
2023/9/25, 23, 17
2023/9/26, 20, 19
2023/9/27, 35, 16
2023/9/28, 22, 25
2023/9/29, 28, 45
2023/9/30, 49, 26
2023/10/1, 38, 12
2023/4/2, 49, 17
2023/4/3, 31, 34
2023/4/4, 49, 30
2023/4/5, 40, 17
2023/4/6, 26, 18
2023/4/7, 30, 27
2023/4/8, 51, 28
2023/4/9, 61, 17
2023/4/10, 36, 24
2023/4/11, 42, 9
2023/4/12, 23, 18
2023/4/13, 46, 11
2023/4/14, 18, 23
2023/4/15, 37, 21
2023/4/16, 46, 23
2023/4/17, 37, 25
2023/4/18, 36, 21
2023/4/19, 27, 33
2023/4/20, 47, 17
2023/4/21, 32, 14
2023/4/22, 27, 24
2023/4/23, 60, 18
2023/4/24, 39, 26
2023/4/25, 56, 34
2023/4/26, 67, 28
2023/4/27, 48, 14
2023/4/28, 35, 9
2023/4/29, 14, 17
2023/4/30, 17, 11
2023/5/1, 14, 17
2023/5/2, 36, 31
2023/5/3, 54, 29
2023/5/4, 59, 28
2023/5/5, 53, 32
2023/5/6, 54, 22
2023/5/7, 53, 28
2023/5/8, 65, 34
2023/5/9, 55, 48
2023/5/10, 85, 41
2023/5/11, 79, 41
2023/5/12, 75, 35
2023/5/13, 72, 32
2023/5/14, 62, 21
2023/5/15, 49, 17
2023/5/16, 35, 12
2023/5/17, 22, 24
2023/5/18, 42, 32
2023/5/19, 58, 31
2023/5/20, 62, 18
2023/5/21, 41, 12
2023/5/22, 24, 15
2023/5/23, 29, 18
2023/5/24, 19, 13
2023/5/25, 14, 16
2023/5/26, 21, 15
2023/5/27, 20, 22
2023/5/28, 42, 22
2023/5/29, 52, 33
2023/5/30, 67, 26
2023/5/31, 55, 28
2023/6/1, 53, 21
2023/6/2, 54, 18
2023/6/3, 27, 17
2023/6/4, 18, 27
2023/6/5, 44, 30
2023/6/6, 47, 17
2023/6/7, 26, 29
2023/6/8, 49, 10
2023/6/9, 18, 16
2023/6/10, 23, 17
2023/6/11, 35, 19
2023/6/12, 44, 38
2023/6/13, 74, 42
2023/6/14, 90, 47
2023/6/15, 97, 34
2023/6/16, 77, 41
2023/6/17, 73, 36
2023/6/18, 80, 28
2023/6/19, 67, 33
2023/6/20, 74, 25
2023/6/21, 59, 9
2023/6/22, 21, 5
2023/6/23, 8, 6
2023/6/24, 7, 8
