date, pm25, pm10, o3, no2, so2, co
2023/11/2, 20, 19, 11, 4, , 2
2023/11/3, 30, 13, 6, 7, , 1
2023/11/4, 25, 12, 10, 3, , 1
2023/11/5, 15, 10, 10, 2, , 4
2023/11/6, 18, 21, 10, 4, , 5
2023/11/7, 32, 22, 12, 6, , 9
2023/11/8, 27, 23, 9, 5, , 9
2023/11/9, 27, 22, 12, 4, , 4
2023/11/10, 29, 24, 14, 4, , 4
2023/11/11, 21, 9, 13, 2, , 4
2023/11/12, 12, 12, 11, 3, , 4
2023/11/13, 21, 20, 11, 3, , 4
2023/11/14, 24, 21, 11, 4, , 4
2023/11/15, 26, 16, 11, 5, , 2
2023/11/16, 17, , , , , 
2023/10/2, 14, 24, 12, 6, , 5
2023/10/3, 29, 27, 12, 6, , 5
2023/10/4, 30, 34, 12, 6, , 5
2023/10/5, 48, 29, 12, 5, , 2
2023/10/6, 36, 25, 12, 7, , 2
2023/10/7, 30, 26, 12, 6, , 2
2023/10/8, 35, 14, 12, 4, , 2
2023/10/9, 22, 17, 12, 5, , 2
2023/10/10, 32, 29, 12, 7, , 2
2023/10/11, 32, 35, 11, 7, , 3
2023/10/12, 44, 36, 11, 7, , 3
2023/10/13, 42, 33, 10, 7, , 3
2023/10/14, 41, 21, 11, 7, , 3
2023/10/15, 30, 16, 11, 6, , 3
2023/10/16, 18, 25, 10, 7, , 4
2023/10/17, 30, 40, 12, 9, , 5
2023/10/18, 51, 46, 12, 7, , 3
2023/10/19, 42, 31, 11, 7, , 1
2023/10/20, 45, 28, 11, 7, , 1
2023/10/21, 34, 31, 12, 8, , 2
2023/10/22, 48, 25, 12, 6, , 1
2023/10/23, 43, 23, 12, 7, , 2
2023/10/24, 25, 31, 11, 7, , 3
2023/10/25, 35, 34, 11, 8, , 3
2023/10/26, 40, 25, 10, 5, , 3
2023/10/27, 29, 9, 12, 2, , 4
2023/10/28, 14, 12, 14, 1, , 3
2023/10/29, 16, 13, 14, 2, , 2
2023/10/30, 16, 22, 12, 4, , 4
