date, pm25, pm10, o3, no2, so2, co
2023/11/15, 14, 12, 14, 3, 1, 
2023/11/16, 16, , , , , 
2023/10/2, 17, 12, 17, 3, 2, 3
2023/10/3, 28, 22, 15, 5, 1, 2
2023/10/4, 42, 24, 15, 5, 1, 2
2023/10/5, 40, 20, 16, 4, 1, 1
2023/10/6, 35, 18, 17, 5, 1, 1
2023/10/7, 49, 17, 16, 4, 1, 1
2023/10/8, 31, 16, 17, 3, 1, 1
2023/10/9, 33, 16, 15, 3, 1, 1
2023/10/10, 34, 18, 15, 4, 1, 1
2023/10/11, 110, 22, 14, 5, 1, 1
2023/10/12, 38, 31, 13, 6, 1, 1
2023/10/13, 46, 27, 13, 6, 1, 
2023/10/14, 40, 19, 14, 4, 1, 1
2023/10/15, 26, 15, 16, 3, 1, 1
2023/10/16, 21, 23, 13, 5, 1, 1
2023/10/17, 31, 30, 15, 6, 1, 1
2023/10/18, 36, 28, 18, 3, 1, 1
2023/10/19, 43, 28, 12, 6, 1, 
2023/10/20, 43, 28, 12, 7, 1, 1
2023/10/21, 39, 26, 18, 4, 1, 
2023/10/22, 43, 26, 15, 3, 1, 
2023/10/23, 47, 17, 10, 2, 1, 1
2023/10/24, 31, , , , , 
2023/7/2, 61, 6, 17, 2, 1, 
2023/7/3, 16, 12, 19, 2, 1, 
2023/7/4, 18, 26, 19, 3, 1, 3
2023/7/5, 66, 28, 13, 6, 1, 5
2023/7/6, 65, 30, 14, 6, 1, 5
2023/7/7, 76, 15, 20, 3, 1, 2
2023/7/8, 42, 22, 20, 2, 1, 3
2023/7/9, 60, 26, 18, 4, 1, 5
2023/7/10, 69, 19, 16, 5, 1, 3
2023/7/11, 54, 30, 9, 5, 1, 4
2023/7/12, 84, 30, 14, 6, 5, 8
2023/7/13, 73, 34, 11, 7, 1, 6
2023/7/14, 69, 36, 12, 7, 1, 7
2023/7/15, 90, 31, 18, 6, 1, 6
2023/7/16, 86, 26, 15, 5, 1, 5
2023/7/17, 75, 35, 14, 5, 1, 6
2023/7/18, 80, 41, 9, 7, 1, 7
2023/7/19, 97, 22, 14, 4, 1, 5
2023/7/20, 53, 6, 18, 1, 1, 1
2023/7/21, 25, 8, 19, 1, 1, 2
2023/7/22, 18, 14, 19, 2, 1, 3
2023/7/23, 43, 29, 12, 4, 1, 6
2023/7/24, 67, 16, 17, 3, 1, 3
2023/7/25, 51, 19, 19, 4, 1, 3
2023/7/26, 49, 22, 19, 5, 6, 7
2023/7/27, 54, 37, 13, 7, 2, 5
2023/7/28, 82, 35, 6, 8, 2, 3
2023/7/29, 82, 24, 10, 5, 2, 5
2023/7/30, 71, 25, 11, 4, 2, 2
2023/7/31, 61, 15, 14, 3, 1, 3
2023/8/1, 50, 16, 16, 4, 1, 1
2023/8/2, 36, 24, 19, 6, 2, 3
2023/8/3, 58, 22, 14, 5, 1, 2
2023/8/4, 50, 25, 15, 5, 1, 2
2023/8/5, 48, 22, 20, 3, 1, 1
2023/8/6, 58, 35, 17, 4, 1, 4
2023/8/7, 87, 35, 12, 6, 2, 3
2023/8/8, 81, 38, 10, 8, 2, 4
2023/8/9, 89, 15, 20, 3, 2, 3
2023/8/10, 35, 12, 20, 2, 1, 1
2023/8/11, 33, 25, 16, 6, 1, 3
2023/8/12, 59, 26, 15, 6, 1, 3
2023/8/13, 63, 21, 15, 4, 1, 2
2023/8/14, 57, 29, 13, 5, 1, 3
2023/8/15, 71, 7, 16, 1, 2, 1
2023/8/16, 17, 7, 15, 1, 1, 4
2023/8/17, 15, 13, 19, 4, 1, 3
2023/8/18, 41, 18, 19, 3, 1, 2
2023/8/19, 58, 7, 18, , 2, 2
2023/8/20, 12, 4, 17, , 1, 3
2023/8/21, 9, 11, 17, 1, 2, 2
2023/8/22, 18, 9, 16, 4, 2, 1
2023/8/23, 29, 10, 18, 3, 2, 2
2023/8/24, 34, 22, 19, 5, 2, 4
2023/8/25, 65, 20, 17, 5, 1, 3
2023/8/26, 52, 26, 17, 5, 2, 3
2023/8/27, 67, 22, 18, 4, 2, 3
2023/8/28, 55, 20, 15, 4, 1, 2
2023/8/29, 43, 20, 19, 3, 2, 2
2023/8/30, 45, 18, 19, 3, 1, 2
2023/8/31, 43, 32, 13, 7, 2, 3
2023/9/1, 72, 28, 16, 5, 2, 3
2023/9/2, 53, 20, 11, 3, 2, 1
2023/9/3, 58, 15, 19, 2, 2, 1
2023/9/4, 39, 23, 14, 5, 2, 3
2023/9/5, 48, 12, 18, 3, 2, 2
2023/9/6, 38, 9, 16, 2, 2, 1
2023/9/7, 21, 16, 16, 3, 2, 5
2023/9/8, 54, 14, 16, 4, 2, 1
2023/9/9, 40, 11, 18, 1, 2, 1
2023/9/10, 19, 6, 19, 1, 2, 3
2023/9/11, 10, 21, 18, 4, 2, 3
2023/9/12, 41, 17, 17, 3, 2, 1
2023/9/13, 36, 17, 19, 3, 2, 2
2023/9/14, 47, 5, 18, 2, 2, 1
2023/9/15, 15, 8, 12, 1, 1, 1
2023/9/16, 19, 18, 18, 2, 1, 1
2023/9/17, 36, 17, 18, 2, 1, 2
2023/9/18, 45, 17, 18, 2, 1, 2
2023/9/19, 44, 17, 17, 3, 1, 1
2023/9/20, 37, 18, 16, 2, 4, 5
2023/9/21, 31, 12, 17, , 1, 2
2023/9/22, 28, 9, 15, 3, , 2
2023/9/23, 13, 14, 16, 3, 1, 3
2023/9/24, 37, 13, 17, 2, , 3
2023/9/25, 29, 18, 14, 4, 1, 4
2023/9/26, 47, 16, 15, 4, 1, 3
2023/9/27, 35, 16, 16, 3, 1, 6
2023/9/28, 47, 15, 14, 4, 1, 2
2023/9/29, 25, 24, 13, 6, 1, 2
2023/9/30, 30, 25, 14, 5, 1, 2
2023/10/1, 44, 10, 18, 1, 1, 1
2023/4/2, 41, 14, 10, 3, 1, 3
2023/4/3, 27, 22, 12, 5, 1, 4
2023/4/4, 32, 23, 14, 6, 1, 6
2023/4/5, 34, 10, 12, 2, 1, 4
2023/4/6, 21, 14, 11, 4, 1, 5
2023/4/7, 27, 21, 13, 4, 1, 4
2023/4/8, 41, 23, 19, 3, 1, 5
2023/4/9, 51, 16, 14, 3, 1, 5
2023/4/10, 35, 13, 5, 4, 1, 4
2023/4/11, 30, 9, 8, 3, 1, 3
2023/4/12, 21, 18, 8, 4, 1, 5
2023/4/13, 43, 8, 8, 2, 1, 3
2023/4/14, 20, 17, 10, 4, 1, 2
2023/4/15, 35, 20, 14, 4, , 3
2023/4/16, 42, 23, 13, 3, 1, 3
2023/4/17, 48, 18, 12, 4, 1, 3
2023/4/18, 36, 23, 13, 5, 1, 3
2023/4/19, 42, 27, 8, 5, 1, 6
2023/4/20, 49, 12, 10, 2, 1, 1
2023/4/21, 24, 15, 9, 3, 1, 2
2023/4/22, 31, 19, 9, 4, 1, 3
2023/4/23, 50, 18, 12, 3, , 2
2023/4/24, 55, 23, 8, 4, 1, 2
2023/4/25, 56, 28, 10, 6, 1, 1
2023/4/26, 75, 37, 10, 7, 1, 8
2023/4/27, 88, 10, 14, 2, , 5
2023/4/28, 32, 9, 16, , 1, 2
2023/4/29, 10, 11, 14, 1, 1, 3
2023/4/30, 18, 22, 14, 3, 1, 7
2023/5/1, 45, 21, 14, 3, 1, 5
2023/5/2, 50, 25, 10, 6, 1, 5
2023/5/3, 54, 27, 8, 5, 1, 6
2023/5/4, 61, 32, 11, 6, , 9
2023/5/5, 73, 27, 13, 5, 1, 6
2023/5/6, 63, 19, 12, 3, 1, 4
2023/5/7, 56, 39, 12, 5, 1, 8
2023/5/8, 100, 29, 7, 6, 1, 5
2023/5/9, 63, 41, 8, 8, 1, 7
2023/5/10, 85, 44, 3, 8, 8, 10
2023/5/11, 96, 35, 8, 7, 1, 6
2023/5/12, 77, 33, 7, 6, 1, 6
2023/5/13, 73, 29, 7, 6, 1, 6
2023/5/14, 72, 15, 20, 2, 1, 2
2023/5/15, 42, 13, 20, 2, 1, 2
2023/5/16, 30, 14, 10, 4, 1, 3
2023/5/17, 34, 23, 21, 5, 1, 3
2023/5/18, 49, 36, 10, 7, 1, 5
2023/5/19, 78, 33, 14, 6, 1, 6
2023/5/20, 78, 27, 18, 3, 1, 3
2023/5/21, 65, 10, 17, , 1, 1
2023/5/22, 14, 10, 16, 2, 1, 2
2023/5/23, 23, 15, 18, 2, 1, 2
2023/5/24, 21, 12, 17, 2, 1, 2
2023/5/25, 25, 20, 14, 3, 1, 3
2023/5/26, 40, 18, 14, 4, 1, 6
2023/5/27, 68, 24, 13, 5, 1, 4
2023/5/28, 56, 29, 8, 5, 1, 5
2023/5/29, 80, 43, 6, 7, , 7
2023/5/30, 100, 33, 13, 4, 1, 4
2023/5/31, 77, 26, 10, 5, 1, 4
2023/6/1, 62, 17, 15, 2, 1, 5
2023/6/2, 44, 8, 15, 2, 1, 1
2023/6/3, 13, 21, 15, 2, 1, 2
2023/6/4, 48, 28, 13, 3, 1, 3
2023/6/5, 58, 32, 8, 6, , 3
2023/6/6, 64, 18, 9, 4, , 2
2023/6/7, 54, 25, 14, 3, 1, 87
2023/6/8, 56, 9, 17, 1, 1, 170
