date, pm25, pm10, o3, no2, so2, co
2023/11/2, 12, 23, , , , 1
2023/11/3, 15, 21, , , , 1
2023/11/4, 36, 15, , , , 1
2023/11/5, 25, 16, , , , 
2023/11/6, 25, 29, , , , 1
2023/11/7, 60, 16, , , , 1
2023/11/8, 26, 24, , , , 3
2023/11/9, 49, 58, , , , 1
2023/11/10, 16, 22, , , , 
2023/11/11, 29, 14, , , , 
2023/11/12, 31, 22, , , , 2
2023/11/13, 54, 20, , , , 
2023/11/14, 45, 18, , , , 
2023/11/15, 29, , , , , 
2023/10/2, 58, 24, , , , 4
2023/10/3, 80, 17, , , , 2
2023/10/4, 67, 37, , , , 6
2023/10/5, 104, 31, , , , 2
2023/10/6, 74, 61, , , , 4
2023/10/7, 78, 30, , , , 6
2023/10/8, 91, 29, , , , 6
2023/10/9, 99, 28, , , , 7
2023/10/10, 102, 24, , , , 7
2023/10/11, 97, 31, , , , 6
2023/10/12, 113, 17, , , , 3
2023/10/13, 64, 22, , , , 4
2023/10/14, 67, 19, , , , 3
2023/10/15, 64, 14, , , , 2
2023/10/16, 51, 30, , , , 6
2023/10/17, 60, 38, , , , 3
2023/10/18, 57, 39, , , , 
2023/10/19, 65, 32, , , , 
2023/10/20, 56, 22, , , , 1
2023/10/21, 45, 21, , , , 
2023/10/22, 45, 22, , , , 
2023/10/23, 50, 22, , , , 
2023/10/24, 39, , , , , 
2023/10/26, 53, 21, , , , 
2023/10/27, 44, , , , , 
2023/10/30, 67, 10, , , , 114
2023/10/31, 75, 9, , , , 10
2023/11/1, 73, 24, , , , 
2023/7/2, 76, 19, , , , 4
2023/7/3, 58, 15, , , , 3
2023/7/4, 55, 28, , , , 6
2023/7/5, 68, 31, , , , 9
2023/7/6, 91, 40, , , , 10
2023/7/7, 107, 56, , , , 14
2023/7/8, 138, 18, , , , 4
2023/7/9, 57, 29, , , , 6
2023/7/10, 86, 66, , , , 18
2023/7/11, 147, 74, , , , 17
2023/7/12, 153, 53, , , , 14
2023/7/13, 117, 73, , , , 17
2023/7/14, 140, 40, , , , 9
2023/7/15, 96, 55, , , , 13
2023/7/16, 103, 51, , , , 15
2023/7/17, 94, 78, , , , 18
2023/7/18, 133, 34, , , , 10
2023/7/19, 74, 26, , , , 9
2023/7/20, 63, 17, , , , 8
2023/7/21, 48, 18, , , , 7
2023/7/22, 54, 17, , , , 7
2023/7/23, 58, 48, , , , 15
2023/7/24, 95, 19, , , , 8
2023/7/25, 61, 17, , , , 7
2023/7/26, 48, 47, , , , 13
2023/7/27, 101, 45, , , , 13
2023/7/28, 83, 82, , , , 18
2023/7/29, 127, 16, , , , 8
2023/7/30, 56, 34, , , , 12
2023/7/31, 81, 20, , , , 7
2023/8/1, 60, 16, , , , 1
2023/8/2, 47, 28, , , , 3
2023/8/3, 71, 46, , , , 7
2023/8/4, 83, 116, , , , 15
2023/8/5, 112, 75, , , , 15
2023/8/6, 126, 79, , , , 14
2023/8/7, 137, 146, , , , 12
2023/8/8, 125, 99, , , , 
2023/8/9, 151, 38, , , , 
2023/8/10, 89, 68, , , , 1
2023/8/11, 44, 30, , , , 5
2023/8/12, 73, 53, , , , 10
2023/8/13, 112, 42, , , , 6
2023/8/14, 95, 38, , , , 6
2023/8/15, 84, 21, , , , 3
2023/8/16, 62, 24, , , , 4
2023/8/17, 66, 25, , , , 5
2023/8/18, 60, 24, , , , 3
2023/8/19, 59, 20, , , , 2
2023/8/20, 45, 10, , , , 1
2023/8/21, 40, 20, , , , 2
2023/8/22, 44, 15, , , , 1
2023/8/23, 43, 18, , , , 2
2023/8/24, 48, 35, , , , 6
2023/8/25, 72, 56, , , , 9
2023/8/26, 95, 61, , , , 11
2023/8/27, 103, 35, , , , 5
2023/8/28, 65, 27, , , , 4
2023/8/29, 59, 37, , , , 7
2023/8/30, 74, 20, , , , 2
2023/8/31, 45, 35, , , , 5
2023/9/1, 70, 28, , , , 3
2023/9/2, 54, 52, , , , 12
2023/9/3, 94, 36, , , , 6
2023/9/4, 67, 67, , , , 7
2023/9/5, 81, 10, , , , 5
2023/9/6, 34, 17, , , , 3
2023/9/7, 47, 14, , , , 2
2023/9/8, 41, 20, , , , 3
2023/9/9, 47, 22, , , , 2
2023/9/10, 42, 13, , , , 1
2023/9/11, 37, 15, , , , 1
2023/9/12, 39, 67, , , , 4
2023/9/13, 54, 13, , , , 2
2023/9/14, 38, 8, , , , 2
2023/9/15, 27, 11, , , , 1
2023/9/16, 27, 15, , , , 2
2023/9/17, 37, 27, , , , 4
2023/9/18, 54, 39, , , , 9
2023/9/19, 75, 34, , , , 7
2023/9/20, 69, 27, , , , 4
2023/9/21, 52, 18, , , , 2
2023/9/22, 43, 12, , , , 3
2023/9/23, 37, 24, , , , 5
2023/9/24, 51, 15, , , , 2
2023/9/25, 38, 31, , , , 5
2023/9/26, 56, 26, , , , 3
2023/9/27, 44, 68, , , , 5
2023/9/28, 75, 14, , , , 3
2023/9/29, 61, 27, , , , 4
2023/9/30, 74, 32, , , , 4
2023/10/1, 79, 13, , , , 2
2023/4/2, 105, 12, , , , 2
2023/4/3, 43, 20, , , , 3
2023/4/4, 53, 33, , , , 5
2023/4/5, 73, 36, , , , 5
2023/4/6, 76, 20, , , , 3
2023/4/7, 51, 25, , , , 5
2023/4/8, 67, 29, , , , 6
2023/4/9, 81, 38, , , , 7
2023/4/10, 95, 41, , , , 8
2023/4/11, 95, 11, , , , 4
2023/4/12, 29, 20, , , , 4
2023/4/13, 42, 24, , , , 6
2023/4/14, 60, 19, , , , 3
2023/4/15, 39, 30, , , , 6
2023/4/16, 61, 18, , , , 4
2023/4/17, 50, 34, , , , 5
2023/4/18, 63, 70, , , , 6
2023/4/19, 66, 19, , , , 7
2023/4/20, 51, 17, , , , 7
2023/4/21, 49, 23, , , , 3
2023/4/22, 47, 10, , , , 1
2023/4/23, 32, 19, , , , 1
2023/4/24, 50, 17, , , , 1
2023/4/25, 45, 37, , , , 3
2023/4/26, 74, 29, , , , 3
2023/4/27, 62, 33, , , , 2
2023/4/28, 65, 11, , , , 
2023/4/29, 26, 9, , , , 
2023/4/30, 23, 26, , , , 4
2023/5/1, 46, 37, , , , 7
2023/5/2, 73, 43, , , , 11
2023/5/3, 79, 29, , , , 5
2023/5/4, 64, 43, , , , 7
2023/5/5, 79, 26, , , , 3
2023/5/6, 48, 35, , , , 6
2023/5/7, 68, 36, , , , 4
2023/5/8, 44, 47, , , , 9
2023/5/9, 87, 37, , , , 4
2023/5/10, 64, 49, , , , 8
2023/5/11, 81, 53, , , , 9
2023/5/12, 77, 48, , , , 6
2023/5/13, 70, 31, , , , 4
2023/5/14, 43, 74, , , , 8
2023/5/15, 74, 46, , , , 7
2023/5/16, 66, 18, , , , 2
2023/5/17, 37, 27, , , , 4
2023/5/18, 52, 28, , , , 2
2023/5/19, 52, 43, , , , 7
2023/5/20, 59, 50, , , , 9
2023/5/21, 85, 14, , , , 
2023/5/22, 32, 21, , , , 
2023/5/23, 41, 51, , , , 1
2023/5/24, 36, 21, , , , 2
2023/5/25, 40, 20, , , , 3
2023/5/26, 37, 23, , , , 4
2023/5/27, 48, 78, , , , 7
2023/5/28, 87, 68, , , , 14
2023/5/29, 168, 73, , , , 13
2023/5/30, 167, 56, , , , 10
2023/5/31, 141, 43, , , , 9
2023/6/1, 115, 26, , , , 9
2023/6/2, 85, 23, , , , 5
2023/6/3, 66, 23, , , , 5
2023/6/4, 64, 59, , , , 13
2023/6/5, 147, 44, , , , 10
2023/6/6, 116, 37, , , , 8
2023/6/7, 93, 50, , , , 12
2023/6/8, 130, 10, , , , 3
2023/6/9, 42, 15, , , , 4
2023/6/10, 63, 45, , , , 9
2023/6/11, 106, 71, , , , 20
2023/6/12, 169, 82, , , , 22
2023/6/13, 181, 97, , , , 23
2023/6/14, 207, 83, , , , 18
2023/6/15, 184, 67, , , , 17
2023/6/16, 164, 42, , , , 9
2023/6/17, 99, 83, , , , 20
2023/6/18, 189, 82, , , , 19
2023/6/19, 189, 104, , , , 24
2023/6/20, 220, 73, , , , 19
2023/6/21, 179, 11, , , , 12
2023/6/22, 97, 12, , , , 5
2023/6/23, 39, 19, , , , 10
2023/6/24, 67, 26, , , , 6
2023/6/25, 66, 15, , , , 5
2023/6/26, 47, 17, , , , 5
2023/6/27, 58, 26, , , , 7
2023/6/28, 82, 42, , , , 8
2023/6/29, 113, 62, , , , 13
2023/6/30, 136, 54, , , , 12
2023/7/1, 128, 25, , , , 6
2023/1/21, 9, 15, , 1, , 
2023/1/22, 13, 13, , 1, , 
2023/1/23, 21, 20, , 1, , 
2023/1/24, 24, 12, , 2, , 
2023/1/25, 18, 399, , 2, , 
2023/1/26, 19, 298, , 3, , 
2023/1/27, 18, 10, , 4, , 
2023/1/28, 16, 3, , 4, , 
2023/1/29, 10, 2, , , , 
2023/1/30, 8, 21, , 1, , 
2023/1/31, 18, 26, , 1, , 1
2023/2/1, 32, 28, , , , 1
2023/2/2, 31, 29, , 1, , 1
2023/2/3, 26, 32, , , , 1
2023/2/4, 25, 35, , , , 2
2023/2/5, 54, 18, , 1, , 1
2023/2/6, 45, 23, , 1, , 1
2023/2/7, 33, 34, , , , 1
2023/2/8, 45, 19, , , , 1
2023/2/9, 23, 23, , , , 4
2023/2/10, 28, 13, , , , 1
2023/2/11, 19, 14, , , , 1
2023/2/12, 20, 14, , 1, , 2
2023/2/13, 24, 13, , , , 1
2023/2/14, 22, 19, , , , 2
2023/2/15, 32, 18, , , , 2
2023/2/16, 22, 34, , , , 4
2023/2/17, 35, 36, , , , 1
2023/2/18, 28, 27, , , , 1
