date, pm25, pm10, o3, no2, so2, co
2023/11/2, 35, 16, , , , 
2023/11/3, 31, 17, , , , 
2023/11/4, 22, 19, , , , 
2023/11/5, 27, 15, , , , 
2023/11/6, 31, 31, , , , 
2023/11/7, 42, 12, , , , 
2023/11/8, 18, 12, , , , 
2023/11/9, 19, 17, , , , 
2023/11/10, 24, 30, , , , 
2023/11/11, 25, 10, , , , 
2023/11/12, 19, 12, , , , 
2023/11/13, 20, 13, , , , 
2023/11/14, 7, 16, , , , 
2023/11/15, 11, 18, , , , 
2023/11/16, 9, , , , , 
2023/10/2, 53, 26, , , , 
2023/10/3, 44, 29, , , , 
2023/10/4, 37, 26, , , , 
2023/10/5, 33, 32, , , , 
2023/10/6, 35, 29, , , , 
2023/10/7, 43, 18, , , , 
2023/10/8, 27, 15, , , , 
2023/10/9, 25, 15, , , , 
2023/10/10, 27, 18, , , , 
2023/10/11, 29, 26, , , , 
2023/10/12, 28, 27, , , , 
2023/10/13, 35, 29, , , , 
2023/10/14, 29, 20, , , , 
2023/10/15, 25, 17, , , , 
2023/10/16, 27, 24, , , , 
2023/10/17, 22, 37, , , , 
2023/10/18, 48, 49, , , , 
2023/10/19, 49, 40, , , , 
2023/10/20, 50, 29, , , , 
2023/10/21, 29, 22, , , , 
2023/10/22, 24, 24, , , , 
2023/10/23, 28, 22, , , , 
2023/10/24, 36, , , , , 
2023/7/2, 111, 5, , , , 
2023/7/3, 11, 6, , , , 
2023/7/4, 13, 14, , , , 
2023/7/5, 36, 24, , , , 
2023/7/6, 51, 26, , , , 
2023/7/7, 76, 31, , , , 
2023/7/8, 67, 15, , , , 
2023/7/9, 36, 40, , , , 
2023/7/10, 101, 23, , , , 
2023/7/11, 48, 44, , , , 
2023/7/12, 96, 25, , , , 
2023/7/13, 72, 50, , , , 
2023/7/14, 105, 47, , , , 
2023/7/15, 90, 27, , , , 
2023/7/16, 54, 15, , , , 
2023/7/17, 45, 35, , , , 
2023/7/18, 91, 66, , , , 
2023/7/19, 140, 33, , , , 
2023/7/20, 70, 22, , , , 
2023/7/21, 56, 7, , , , 
2023/7/22, 17, 8, , , , 
2023/7/23, 22, 22, , , , 
2023/7/24, 67, 23, , , , 
2023/7/25, 54, 12, , , , 
2023/7/26, 21, 31, , , , 
2023/7/27, 84, 46, , , , 
2023/7/28, 87, 47, , , , 
2023/7/29, 101, 41, , , , 
