date, pm25, pm10, so2
2023/11/6, 51, , 
2023/11/7, 27, , 
2023/11/8, 56, , 
2023/11/9, 27, , 
2023/11/10, 21, , 
2023/11/11, 47, , 
2023/11/12, 60, , 
2023/11/13, 66, , 
2023/11/14, 74, , 
2023/11/15, 75, , 
2023/10/2, 35, , 
2023/10/3, 47, , 
2023/10/4, 68, , 
2023/10/5, 65, , 
2023/10/6, 66, , 
2023/10/7, 57, , 
2023/10/8, 71, , 
2023/10/9, 45, , 
2023/10/10, 61, , 
2023/10/11, 25, , 
2023/10/12, 15, , 
2023/10/13, 25, , 
2023/10/14, 27, , 
2023/10/15, 42, , 
2023/10/16, 30, , 
2023/10/17, 17, , 
2023/10/18, 11, , 
2023/10/19, 29, , 
2023/10/20, 18, , 
2023/10/21, 13, , 
2023/10/22, 20, , 
2023/10/23, 22, , 
2023/10/24, 29, , 
2023/10/26, 17, , 
2023/10/31, 260, , 
2023/11/1, 56, , 
2023/7/2, 38, , 
2023/7/3, 22, , 
2023/7/4, 62, , 
2023/7/5, 50, , 
2023/7/6, 82, , 
2023/7/7, 120, , 
2023/7/8, 112, , 
2023/7/9, 42, , 
2023/7/10, 87, , 
2023/7/11, 71, , 
2023/7/12, 190, , 
2023/7/13, 154, , 
2023/7/14, 83, , 
2023/7/15, 68, , 
2023/7/16, 94, , 
2023/7/17, 101, , 
2023/7/18, 190, , 
2023/7/19, 86, , 
2023/7/20, 29, , 
2023/7/21, 40, , 
2023/7/22, 58, , 
2023/7/23, 103, , 
2023/7/24, 150, , 
2023/7/25, 50, , 
2023/7/26, 66, , 
2023/7/27, 104, , 
2023/7/28, 42, , 
2023/7/29, 22, , 
2023/7/30, 52, , 
2023/7/31, 59, , 
2023/8/1, 52, , 
2023/8/2, 71, , 
2023/8/3, 83, , 
2023/8/4, 174, , 
2023/8/5, 101, , 
2023/8/6, 31, , 
2023/8/7, 76, , 
2023/8/8, 189, , 
2023/8/9, 47, , 
2023/8/10, 36, , 
2023/8/11, 82, , 
2023/8/12, 141, , 
2023/8/13, 47, , 
2023/8/14, 34, , 
2023/8/15, 34, , 
2023/8/16, 61, , 
2023/8/17, 59, , 
2023/8/18, 79, , 
2023/8/19, 62, , 
2023/8/20, 47, , 
2023/8/21, 37, , 
2023/8/22, 55, , 
2023/8/23, 86, , 
2023/8/24, 131, , 
2023/8/25, 132, , 
2023/8/26, 115, , 
2023/8/27, 83, , 
2023/8/28, 49, , 
2023/8/29, 101, , 
2023/8/30, 58, , 
2023/8/31, 80, , 
2023/9/1, 33, , 
2023/9/2, 80, , 
2023/9/3, 110, , 
2023/9/4, 142, , 
2023/9/5, 191, , 
2023/9/6, 50, , 
2023/9/7, 33, , 
2023/9/8, 83, , 
2023/9/9, 52, , 
2023/9/10, 62, , 
2023/9/11, 66, , 
2023/9/12, 83, , 
2023/9/13, 87, , 
2023/9/14, 35, , 
2023/9/15, 49, , 
2023/9/16, 63, , 
2023/9/17, 69, , 
2023/9/18, 73, , 
2023/9/19, 89, , 
2023/9/20, 31, , 
2023/9/21, 97, , 
2023/9/22, 72, , 
2023/9/23, 85, , 
2023/9/24, 60, , 
2023/9/25, 55, , 
2023/9/26, 84, , 
2023/9/27, 47, , 
2023/9/28, 62, , 
2023/9/29, 49, , 
2023/9/30, 29, , 
2023/10/1, 73, , 
2023/4/2, 45, , 
2023/4/3, 58, , 
2023/4/4, 141, , 
2023/4/5, 141, , 
2023/4/6, 47, , 
2023/4/7, 71, , 
2023/4/8, 104, , 
2023/4/9, 54, , 
2023/4/10, 59, , 
2023/4/11, 55, , 
2023/4/12, 46, , 
2023/4/13, 25, , 
2023/4/14, 82, , 
2023/4/15, 42, , 
2023/4/16, 40, , 
2023/4/17, 51, , 
2023/4/18, 78, , 
2023/4/19, 69, , 
2023/4/20, 38, , 
2023/4/21, 53, , 
2023/4/22, 72, , 
2023/4/23, 51, , 
2023/4/24, 94, , 
2023/4/25, 63, , 
2023/4/26, 37, , 
2023/4/27, 53, , 
2023/4/28, 41, , 
2023/4/29, 38, , 
2023/4/30, 48, , 
2023/5/1, 86, , 
2023/5/2, 62, , 
2023/5/3, 58, , 
2023/5/4, 70, , 
2023/5/5, 194, , 
2023/5/6, 73, , 
2023/5/7, 48, , 
2023/5/8, 62, , 
2023/5/9, 98, , 
2023/5/10, 101, , 
2023/5/11, 77, , 
2023/5/12, 58, , 
2023/5/13, 35, , 
2023/5/14, 22, , 
2023/5/15, 73, , 
2023/5/16, 38, , 
2023/5/17, 84, , 
2023/5/18, 66, , 
2023/5/19, 52, , 
2023/5/20, 136, , 
2023/5/21, 44, , 
2023/5/22, 67, , 
2023/5/23, 44, , 
2023/5/24, 25, , 
2023/5/25, 42, , 
2023/5/26, 89, , 
2023/5/27, 148, , 
2023/5/28, 138, , 
2023/5/29, 143, , 
2023/5/30, 73, , 
2023/5/31, 27, , 
2023/6/1, 83, , 
2023/6/2, 43, , 
2023/6/3, 18, , 
2023/6/4, 81, , 
2023/6/5, 68, , 
2023/6/6, 37, , 
2023/6/7, 93, , 
2023/6/8, 51, , 
2023/6/9, 83, , 
2023/6/10, 85, , 
2023/6/11, 134, , 
2023/6/12, 133, , 
2023/6/13, 43, , 
2023/6/14, 127, , 
2023/6/15, 57, , 
2023/6/16, 47, , 
2023/6/17, 53, , 
2023/6/18, 173, , 
2023/6/19, 38, , 
2023/6/20, 147, , 
2023/6/21, 121, , 
2023/6/22, 29, , 
2023/6/23, 88, , 
2023/6/24, 62, , 
2023/6/25, 74, , 
2023/6/26, 74, , 
2023/6/27, 47, , 
2023/6/28, 81, , 
2023/6/29, 93, , 
2023/6/30, 70, , 
2023/7/1, 52, , 
2023/1/3, 47, 7, 
2023/1/4, 10, 9, 
2023/1/5, 9, 9, 
2023/1/6, 10, 14, 
