date, pm25, pm10, o3, no2, so2
2023/11/2, 35, 25, 17, 5, 5
2023/11/3, 36, 32, 22, 7, 6
2023/11/4, 50, 34, 20, 4, 5
2023/11/5, 49, 25, 18, 5, 6
2023/11/6, 43, 21, 12, 4, 5
2023/11/7, 30, 35, 14, 4, 5
2023/11/8, 39, 42, 15, 5, 6
2023/11/9, 55, 41, 13, 4, 5
2023/11/10, 57, 20, 9, 4, 5
2023/11/11, 37, 19, 12, 6, 5
2023/11/12, 29, 24, 12, 4, 5
2023/11/13, 39, 33, 13, 11, 5
2023/11/14, 45, 30, 13, 9, 6
2023/11/15, 44, , , , 
2023/10/2, 42, 27, 23, 6, 4
2023/10/3, 40, 28, 20, 5, 5
2023/10/4, 37, 31, 20, 5, 5
2023/10/5, 38, 33, 20, 5, 5
2023/10/6, 43, 30, 20, 6, 5
2023/10/7, 41, 38, 19, 5, 5
2023/10/8, 46, 43, 19, 4, 5
2023/10/9, 54, 49, 19, 3, 5
2023/10/10, 52, 28, 16, 5, 4
2023/10/11, 40, 34, 20, 5, 5
2023/10/12, 47, 45, 19, 5, 5
2023/10/13, 58, 43, 20, 5, 5
2023/10/14, 61, 35, 18, 4, 5
2023/10/15, 53, 36, 18, 4, 5
2023/10/16, 55, 39, 18, 5, 5
2023/10/17, 49, 39, 20, 4, 5
2023/10/18, 52, 30, 21, 3, 5
2023/10/19, 47, 38, 21, 4, 5
2023/10/20, 52, 46, 17, 4, 4
2023/10/21, 56, 36, 19, 4, 5
2023/10/22, 48, 48, 18, 4, 4
2023/10/23, 46, 32, 15, 6, 5
2023/10/24, 43, 34, 16, 6, 5
2023/10/25, 48, 36, 18, 5, 5
2023/10/26, 58, 37, 20, 5, 5
2023/10/27, 52, 31, 19, 5, 5
2023/10/28, 44, 33, 18, 5, 5
2023/10/29, 42, 19, 15, 3, 5
2023/10/30, 21, 24, 16, 4, 5
2023/10/31, 32, 29, 18, 6, 5
2023/11/1, 44, 23, 15, 4, 5
2023/7/2, 62, 27, 20, 6, 3
2023/7/3, 49, 34, 13, 8, 3
2023/7/4, 51, 25, 16, 8, 4
2023/7/5, 43, 29, 13, 9, 5
2023/7/6, 46, 28, 13, 9, 5
2023/7/7, 47, 36, 19, 8, 4
2023/7/8, 45, 32, 19, 8, 4
2023/7/9, 46, 29, 12, 8, 5
2023/7/10, 46, 30, 16, 7, 4
2023/7/11, 44, 21, 23, 5, 4
2023/7/12, 31, 18, 18, 4, 4
2023/7/13, 25, 41, 8, 7, 5
2023/7/14, 58, 48, 7, 9, 6
2023/7/15, 65, 47, 8, 9, 7
2023/7/16, 77, 44, 14, 7, 5
2023/7/17, 79, 45, 7, 10, 6
2023/7/18, 82, 49, 6, 13, 8
2023/7/19, 80, 49, 6, 14, 5
2023/7/20, 61, 37, 14, 7, 4
2023/7/21, 55, 18, 12, 8, 4
2023/7/22, 31, 20, 18, 5, 4
2023/7/23, 28, 34, 8, 8, 5
2023/7/24, 53, 39, 10, 10, 5
2023/7/25, 59, 32, 13, 9, 5
2023/7/26, 50, 39, 9, 8, 4
2023/7/27, 56, 45, 9, 9, 5
2023/7/28, 72, 49, 7, 12, 5
2023/7/29, 74, 47, 15, 11, 5
2023/7/30, 74, 28, 13, 7, 4
2023/7/31, 59, 24, 15, 7, 4
2023/8/1, 52, 34, 12, 6, 4
