date, pm25, pm10, o3, no2, so2, co
2023/11/4, 28, 29, , , , 
2023/11/5, 37, 30, , , , 
2023/11/6, 32, 25, , , , 
2023/11/7, 31, 12, , , , 
2023/11/8, 19, 16, , , , 
2023/11/9, 20, 19, , , , 
2023/11/10, 27, 23, , , , 
2023/11/11, 31, 20, , , , 
2023/11/12, 41, 16, , , , 
2023/11/13, 32, 15, , , , 
2023/11/14, 17, 20, , , , 
2023/11/15, 21, 21, , , , 
2023/11/16, 29, , , , , 
2023/10/2, 42, 24, , , , 
2023/10/3, 41, 31, , , , 
2023/10/4, 59, 29, , , , 
2023/10/5, 42, 39, , , , 
2023/10/6, 63, 29, , , , 
2023/10/7, 41, 26, , , , 
2023/10/8, 40, 22, , , , 
2023/10/9, 32, 21, , , , 
2023/10/10, 26, 25, , , , 
2023/10/11, 30, 30, , , , 
2023/10/12, 22, 36, , , , 
2023/10/13, 29, 36, , , , 
2023/10/14, 31, 26, , , , 
2023/10/15, 31, 22, , , , 
2023/10/16, 28, 33, , , , 
2023/10/17, 17, 39, , , , 
2023/10/18, 35, 45, , , , 
2023/10/19, 40, 43, , , , 
2023/10/20, 48, 48, , , , 
2023/10/21, 58, 33, , , , 
2023/10/22, 39, 28, , , , 
2023/10/23, 31, 27, , , , 
2023/10/24, 34, , , , , 
2023/7/2, 141, 13, , , , 
2023/7/3, 49, 30, , , , 
2023/7/4, 75, 18, , , , 
2023/7/5, 62, 39, , , , 
2023/7/6, 95, 32, , , , 
2023/7/7, 74, 31, , , , 
2023/7/8, 82, 24, , , , 
2023/7/9, 77, 63, , , , 
2023/7/10, 148, 40, , , , 
2023/7/11, 87, 62, , , , 
2023/7/12, 153, 56, , , , 
2023/7/13, 121, 78, , , , 
2023/7/14, 147, 117, , , , 
2023/7/15, 199, 26, , , , 
2023/7/16, 71, 30, , , , 
2023/7/17, 81, 118, , , , 
2023/7/18, 210, 92, , , , 
2023/7/19, 183, 71, , , , 
2023/7/20, 156, 35, , , , 
2023/7/21, 84, 16, , , , 
2023/7/22, 54, 23, , , , 
2023/7/23, 71, 35, , , , 
2023/7/24, 104, 39, , , , 
2023/7/25, 109, 41, , , , 
2023/7/26, 94, 49, , , , 
2023/7/27, 110, 50, , , , 
2023/7/28, 119, 79, , , , 
2023/7/29, 148, 120, , , , 
2023/7/30, 198, 69, , , , 
2023/7/31, 137, 36, , , , 
2023/8/1, 96, 85, , , , 
2023/8/2, 56, 16, , , , 
2023/8/3, 38, 17, , , , 
2023/8/4, 48, 43, , , , 
2023/8/5, 113, 52, , , , 
2023/8/6, 153, 49, , , , 
2023/8/7, 134, 32, , , , 
2023/8/8, 106, 57, , , , 
2023/8/9, 164, 34, , , , 
2023/8/10, 116, 16, , , , 
2023/8/11, 59, 30, , , , 
2023/8/12, 95, 19, , , , 
2023/8/13, 70, 42, , , , 
2023/8/14, 131, 70, , , , 
2023/8/15, 187, 22, , , , 
2023/8/16, 80, 11, , , , 
2023/8/17, 53, 12, , , , 
2023/8/18, 42, 22, , , , 
2023/8/19, 87, 8, , , , 
2023/8/20, 37, 10, , , , 
2023/8/21, 43, 11, , , , 
2023/8/22, 49, 16, , , , 
2023/8/23, 54, 20, , , , 
2023/8/24, 77, 21, , , , 
2023/8/25, 79, 37, , , , 
2023/8/26, 118, 39, , , , 
2023/8/27, 126, 62, , , , 
2023/8/28, 180, 20, , , , 
2023/8/29, 76, 29, , , , 
2023/8/30, 103, 19, , , , 
2023/8/31, 49, 66, , , , 
2023/9/1, 98, 53, , , , 
2023/9/2, 109, 23, , , , 
2023/9/3, 66, 28, , , , 
2023/9/4, 63, 53, , , , 
2023/9/5, 103, 48, , , , 
2023/9/6, 101, 19, , , , 
2023/9/7, 37, 32, , , , 
2023/9/8, 69, 55, , , , 
2023/9/9, 105, 17, , , , 
2023/9/10, 47, 13, , , , 
2023/9/11, 45, 21, , , , 
2023/9/12, 46, 30, , , , 
2023/9/13, 59, 36, , , , 
2023/9/14, 77, 51, , , , 
2023/9/15, 84, 42, , , , 
2023/9/16, 79, 15, , , , 
2023/9/17, 38, 32, , , , 
2023/9/18, 75, 15, , , , 
2023/9/19, 34, 13, , , , 
2023/9/20, 28, 31, , , , 
2023/9/21, 62, 18, , , , 
2023/9/22, 43, 21, , , , 
2023/9/23, 44, 20, , , , 
2023/9/24, 47, 22, , , , 
2023/9/25, 41, 32, , , , 
2023/9/26, 66, 14, , , , 
2023/9/27, 24, 21, , , , 
2023/9/28, 36, 21, , , , 
2023/9/29, 19, 32, , , , 
2023/9/30, 42, 40, , , , 
2023/10/1, 66, 21, , , , 
2023/4/2, 54, 37, , , , 
2023/4/3, 72, 34, , , , 
2023/4/4, 48, 43, , , , 
2023/4/5, 54, 38, , , , 
2023/4/6, 43, 31, , , , 
2023/4/7, 38, 28, , , , 
2023/4/8, 42, 48, , , , 
2023/4/9, 79, 48, , , , 
2023/4/10, 69, 43, , , , 
2023/4/11, 59, 19, , , , 
2023/4/12, 24, 27, , , , 
2023/4/13, 43, 24, , , , 
2023/4/14, 43, 42, , , , 
2023/4/15, 80, 57, , , , 
2023/4/16, 101, 57, , , , 
2023/4/17, 105, 29, , , , 
2023/4/18, 46, 38, , , , 
2023/4/19, 62, 45, , , , 
2023/4/20, 54, 48, , , , 
2023/4/21, 81, 17, , , , 
2023/4/22, 31, 31, , , , 
2023/4/23, 59, 58, , , , 
2023/4/24, 118, 53, , , , 
2023/4/25, 120, 53, , , , 
2023/4/26, 119, 98, , , , 
2023/4/27, 192, 83, , , , 
2023/4/28, 147, 59, , , , 
2023/4/29, 60, 8, , , , 
2023/4/30, 20, 20, , , , 
2023/5/1, 51, 16, , , , 
2023/5/2, 51, 22, , , , 
2023/5/3, 57, 26, , , , 
2023/5/4, 60, 43, , , , 
2023/5/5, 104, 35, , , , 
2023/5/6, 86, 65, , , , 
2023/5/7, 158, 37, , , , 
2023/5/8, 98, 34, , , , 
2023/5/9, 85, 37, , , , 
2023/5/10, 85, 54, , , , 
2023/5/11, 130, 47, , , , 
2023/5/12, 106, 37, , , , 
2023/5/13, 81, 27, , , , 
2023/5/14, 63, 28, , , , 
2023/5/15, 74, 27, , , , 
2023/5/16, 71, 49, , , , 
2023/5/17, 119, 26, , , , 
2023/5/18, 76, 54, , , , 
2023/5/19, 134, 49, , , , 
2023/5/20, 122, 56, , , , 
2023/5/21, 133, 19, , , , 
2023/5/22, 61, 14, , , , 
2023/5/23, 45, 18, , , , 
2023/5/24, 46, 18, , , , 
