date, pm25, pm10, o3, no2, so2, co
2023/11/2, 33, 20, 23, 6, 3, 1
2023/11/3, 25, 33, 29, 6, 3, 1
2023/11/4, 39, 35, 24, 4, 3, 1
2023/11/5, 46, 28, 20, 3, 3, 1
2023/11/6, 27, 17, 23, 8, 3, 1
2023/11/7, 29, 29, 22, 3, 3, 1
2023/11/8, 30, 59, 25, 4, 3, 1
2023/11/9, 64, 47, 22, 5, 3, 1
2023/11/10, 55, 22, 19, 6, 3, 1
2023/11/11, 36, 16, 22, 4, 3, 1
2023/11/12, 17, 36, 20, 3, 3, 1
2023/11/13, 35, 58, 21, 4, 3, 1
2023/11/14, 61, 48, 23, 5, 3, 1
2023/11/15, 53, , , , , 
2023/10/2, 42, 32, 23, 5, 3, 1
2023/10/3, 42, 42, 20, 6, 2, 1
2023/10/4, 45, 37, 27, 5, 3, 1
2023/10/5, 37, 30, 26, 6, 3, 1
2023/10/6, 37, 25, 25, 5, 2, 1
2023/10/7, 26, 38, 27, 7, 3, 1
2023/10/8, 44, 52, 26, 6, 3, 1
2023/10/9, 60, 38, 25, 6, 3, 2
2023/10/10, 57, 36, 26, 3, 3, 1
2023/10/11, 40, 41, 27, 5, 2, 1
2023/10/12, 47, 50, 28, 8, 3, 2
2023/10/13, 57, 46, 26, 8, 3, 1
2023/10/14, 59, 32, 25, 8, 2, 1
2023/10/15, 43, 33, 26, 7, 3, 1
2023/10/16, 42, 42, 26, 7, 3, 1
2023/10/17, 43, 40, 28, 9, 3, 1
2023/10/18, 49, 31, 27, 4, 3, 1
2023/10/19, 41, 38, 28, 6, 3, 1
2023/10/20, 48, 34, 26, 5, 3, 1
2023/10/21, 46, 38, 26, 5, 3, 1
2023/10/22, 48, 38, 24, 6, 3, 1
2023/10/23, 51, 36, 26, 3, 3, 1
2023/10/24, 38, 37, 25, 3, 3, 1
2023/10/25, 41, 42, 27, 4, 3, 1
2023/10/26, 45, 35, 27, 4, 3, 1
2023/10/27, 48, 37, 27, 8, 3, 1
2023/10/28, 46, 30, 22, 5, 3, 1
2023/10/29, 45, 35, 20, 5, 3, 1
2023/10/30, 49, 55, 24, 4, 3, 1
2023/10/31, 57, 44, 26, 5, 3, 1
2023/11/1, 49, 28, 22, 4, 3, 1
2023/7/2, 69, 28, 17, 10, 2, 2
2023/7/3, 43, 42, 15, 11, 2, 2
2023/7/4, 58, 30, 16, 11, 2, 2
2023/7/5, 52, 33, 18, 10, 2, 1
2023/7/6, 44, 24, 19, 10, 3, 2
2023/7/7, 37, 29, 18, 10, 2, 2
2023/7/8, 49, 24, 17, 12, 2, 3
2023/7/9, 43, 27, 17, 8, 2, 2
2023/7/10, 37, 23, 16, 11, 2, 2
2023/7/11, 40, 16, 20, 9, 2, 2
2023/7/12, 31, 14, 20, 7, 2, 1
2023/7/13, 19, 27, 14, 11, 2, 3
2023/7/14, 43, 35, 16, 11, 3, 2
2023/7/15, 56, 46, 17, 10, 2, 2
