date, pm25, pm10, o3, no2, so2, co
2023/11/11, 13, 27, , , , 8
2023/11/12, 40, 17, , , , 6
2023/11/13, 24, 29, , , , 5
2023/11/14, 17, 31, , , , 6
2023/11/15, 28, 26, , , , 5
2023/11/16, 26, , , , , 
2023/10/2, 53, 21, , , , 3
2023/10/3, 34, 23, , , , 3
2023/10/4, 35, 32, , , , 3
2023/10/5, 35, 37, , , , 8
2023/10/6, 39, 35, , , , 3
2023/10/7, 42, 39, , , , 4
2023/10/8, 41, 31, , , , 3
2023/10/9, 35, 30, , , , 3
2023/10/10, 32, 44, , , 2, 4
2023/10/11, 44, 39, , , , 3
2023/10/12, 42, 40, , , , 3
2023/10/13, 35, 42, , , , 3
2023/10/14, 42, 42, , , , 3
2023/10/15, 46, 30, , , , 3
2023/10/16, 26, 38, , , , 3
2023/10/17, 30, 44, , , , 3
2023/10/18, 42, 38, , , , 2
2023/10/19, 39, 45, , , , 3
2023/10/20, 45, 55, , , , 4
2023/10/21, 61, 46, , , , 3
2023/10/22, 66, 49, , , , 4
2023/10/23, 80, 33, , , , 3
2023/10/24, 59, , , , , 
2023/7/2, 131, 53, , , , 7
2023/7/3, 110, 74, , , , 11
2023/7/4, 130, 54, , , , 6
2023/7/5, 90, 62, , , , 7
2023/7/6, 98, 74, , , 2, 11
2023/7/7, 110, 72, , , , 9
2023/7/8, 124, 53, , , , 7
2023/7/9, 107, 32, , , , 4
2023/7/10, 69, 53, , , , 5
2023/7/11, 103, 58, , , , 6
2023/7/12, 127, 21, , , , 3
2023/7/13, 46, 93, , , , 15
2023/7/14, 132, 75, , , , 12
2023/7/15, 136, 66, , , , 8
2023/7/16, 126, 89, , , , 16
2023/7/17, 176, 105, , , , 20
2023/7/18, 159, 102, , , 2, 13
2023/7/19, 162, 102, , , 3, 12
2023/7/20, 123, 80, , , 2, 12
2023/7/21, 121, 39, , , , 5
2023/7/22, 61, 22, , , , 4
2023/7/23, 65, 47, , , , 10
2023/7/24, 104, 75, , , , 13
2023/7/25, 129, 60, , , , 7
2023/7/26, 98, 53, , , 2, 5
2023/7/27, 92, 69, , , 1, 10
2023/7/28, 115, 80, , , , 12
2023/7/29, 116, 62, , , , 11
2023/7/30, 112, 78, , , , 14
2023/7/31, 135, 60, , , 3, 8
2023/8/1, 92, 37, , , , 4
2023/8/2, 69, 36, , , , 3
2023/8/3, 69, 74, , , , 9
2023/8/4, 123, 78, , , , 11
2023/8/5, 128, 63, , , , 8
2023/8/6, 137, 49, , , , 6
2023/8/7, 109, 54, , , , 5
2023/8/8, 95, 76, , , 2, 12
2023/8/9, 122, 80, , , , 9
2023/8/10, 149, 26, , , , 3
2023/8/11, 53, 28, , , , 4
2023/8/12, 47, 50, , , , 6
2023/8/13, 81, 46, , , , 6
2023/8/14, 81, 50, , , , 5
2023/8/15, 65, 29, , , , 3
2023/8/16, 63, 51, , , , 5
2023/8/17, 81, 35, , , , 9
2023/8/18, 73, 50, , , , 6
2023/8/19, 81, 15, , , , 3
2023/8/20, 36, 10, , , , 1
2023/8/21, 8, 12, , , , 1
2023/8/22, 21, 4, , , , 1
2023/8/23, 8, 23, , , , 2
2023/8/24, 28, 36, , , 2, 6
2023/8/25, 49, 39, , , , 3
2023/8/26, 55, 39, , , , 4
2023/8/27, 67, 35, , , , 3
2023/8/28, 66, 44, , , , 7
2023/8/29, 69, 51, , , 5, 12
2023/8/30, 64, 37, , , , 4
2023/8/31, 50, 52, , , , 5
2023/9/1, 64, 50, , , 1, 5
2023/9/2, 82, 26, , , 1, 5
2023/9/3, 66, 27, , , , 4
2023/9/4, 62, 26, , , , 5
2023/9/5, 58, 44, , , , 10
