date, pm25, pm10
2023/11/2, 33, 19
2023/11/3, 32, 14
2023/11/4, 28, 13
2023/11/5, 24, 14
2023/11/6, 24, 15
2023/11/7, 27, 14
2023/11/8, 22, 12
2023/11/9, 21, 20
2023/11/10, 31, 19
2023/11/11, 33, 15
2023/11/12, 22, 15
2023/11/13, 24, 20
2023/11/14, 32, 21
2023/11/15, 35, 
2023/10/2, 38, 19
2023/10/3, 38, 19
2023/10/4, 34, 25
2023/10/5, 45, 22
2023/10/6, 42, 19
2023/10/7, 29, 17
2023/10/8, 32, 20
2023/10/9, 39, 23
2023/10/10, 42, 21
2023/10/11, 42, 25
2023/10/12, 45, 21
2023/10/13, 42, 18
2023/10/14, 36, 18
2023/10/15, 39, 17
2023/10/16, 38, 16
2023/10/17, 33, 16
2023/10/18, 34, 17
2023/10/19, 29, 16
2023/10/20, 31, 16
2023/10/21, 32, 17
2023/10/22, 34, 21
2023/10/23, 42, 18
2023/10/24, 36, 15
2023/10/25, 30, 18
2023/10/26, 36, 15
2023/10/27, 31, 20
2023/10/28, 39, 21
2023/10/29, 35, 22
2023/10/30, 36, 26
2023/10/31, 46, 20
2023/11/1, 42, 17
2023/7/2, 32, 19
2023/7/3, 33, 19
2023/7/4, 50, 26
2023/7/5, 52, 25
2023/7/6, 52, 27
2023/7/7, 55, 25
2023/7/8, 51, 19
2023/7/9, 40, 19
2023/7/10, 44, 18
2023/7/11, 44, 18
2023/7/12, 39, 15
2023/7/13, 31, 21
2023/7/14, 41, 22
2023/7/15, 42, 16
2023/7/16, 34, 20
2023/7/17, 45, 20
2023/7/18, 46, 20
2023/7/19, 49, 20
2023/7/20, 43, 18
2023/7/21, 40, 18
2023/7/22, 37, 21
2023/7/23, 43, 22
2023/7/24, 42, 18
2023/7/25, 34, 17
2023/7/26, 33, 15
2023/7/27, 35, 18
2023/7/28, 35, 18
2023/7/29, 38, 17
2023/7/30, 37, 20
2023/7/31, 42, 21
2023/8/1, 49, 21
2023/8/2, 44, 20
2023/8/3, 40, 18
2023/8/4, 40, 18
2023/8/5, 39, 20
2023/8/6, 43, 20
2023/8/7, 43, 19
2023/8/8, 41, 16
2023/8/9, 35, 16
2023/8/10, 32, 16
2023/8/11, 35, 17
2023/8/12, 36, 23
2023/8/13, 41, 21
2023/8/14, 37, 
2023/8/23, 41, 19
2023/8/24, 37, 15
2023/8/25, 28, 16
2023/8/26, 30, 17
2023/8/27, 35, 16
2023/8/28, 35, 15
2023/8/29, 32, 19
2023/8/30, 42, 25
2023/8/31, 47, 21
2023/9/1, 39, 20
2023/9/2, 38, 16
2023/9/3, 29, 13
2023/9/4, 23, 16
2023/9/5, 26, 24
2023/9/6, 43, 18
2023/9/7, 38, 17
2023/9/8, 35, 17
2023/9/9, 32, 18
2023/9/10, 38, 20
2023/9/11, 37, 20
2023/9/12, 34, 34
2023/9/13, 48, 26
2023/9/14, 47, 23
2023/9/15, 44, 24
2023/9/16, 41, 20
2023/9/17, 31, 16
2023/9/18, 34, 16
2023/9/19, 29, 18
2023/9/20, 36, 16
2023/9/21, 30, 16
2023/9/22, 30, 20
2023/9/23, 38, 
2023/9/27, 34, 21
2023/9/28, 40, 21
2023/9/29, 40, 19
2023/9/30, 40, 20
2023/10/1, 40, 19
2023/4/14, 5, 1
2023/6/6, 50, 23
2023/6/7, 45, 23
2023/6/8, 48, 23
2023/6/9, 59, 30
2023/6/10, 55, 27
2023/6/11, 48, 22
2023/6/12, 37, 18
2023/6/13, 36, 20
2023/6/14, 44, 21
2023/6/15, 40, 21
2023/6/16, 45, 20
2023/6/17, 49, 20
2023/6/18, 39, 18
2023/6/19, 36, 17
2023/6/20, 41, 18
2023/6/21, 42, 19
2023/6/22, 39, 17
2023/6/23, 35, 15
2023/6/24, 36, 15
2023/6/25, 31, 18
2023/6/26, 26, 16
2023/6/27, 30, 17
2023/6/28, 40, 19
2023/6/29, 35, 18
2023/6/30, 31, 18
2023/7/1, 31, 19
2023/2/15, 5, 1
2023/2/16, 5, 1
2023/2/17, 5, 1
2023/2/18, 5, 1
2023/2/19, 5, 1
2023/2/20, 5, 1
2023/2/23, 5, 1
2023/2/24, 5, 1
2023/2/25, 5, 1
2023/2/26, 5, 1
2023/2/27, 5, 1
2023/3/1, 5, 1
2023/3/2, 5, 1
2023/3/3, 5, 1
2023/3/5, 5, 1
2023/3/10, 5, 2
2023/3/11, 5, 1
2023/3/12, 5, 1
2023/8/22, , 18
2023/9/26, , 18
2023/4/2, , 1
2023/4/3, , 1
2023/4/4, , 1
2023/4/6, , 1
2023/4/7, , 1
2023/4/8, , 1
2023/4/9, , 1
2023/4/10, , 1
2023/4/11, , 1
2023/4/12, , 1
2023/4/13, , 1
2023/4/15, , 1
2023/4/16, , 1
2023/4/17, , 1
2023/4/18, , 1
2023/4/19, , 1
2023/4/20, , 1
2023/4/21, , 1
2023/4/22, , 1
2023/4/23, , 1
2023/4/24, , 1
2023/4/25, , 1
2023/4/26, , 1
2023/4/27, , 1
2023/4/28, , 1
2023/4/29, , 1
2023/4/30, , 1
2023/5/1, , 1
2023/5/2, , 1
2023/5/3, , 1
2023/5/4, , 1
2023/5/5, , 1
2023/5/6, , 1
2023/5/7, , 1
2023/5/8, , 1
2023/5/9, , 1
2023/5/10, , 1
2023/5/11, , 1
2023/5/12, , 1
2023/5/13, , 1
2023/2/14, , 1
2023/2/21, , 1
2023/2/22, , 1
2023/2/28, , 1
2023/3/4, , 1
2023/3/6, , 1
2023/3/7, , 1
2023/3/8, , 1
2023/3/9, , 1
2023/3/13, , 1
2023/3/15, , 1
2023/3/16, , 1
2023/3/17, , 1
2023/3/18, , 1
2023/3/20, , 1
2023/3/21, , 1
2023/3/22, , 1
2023/3/23, , 1
2023/3/24, , 1
2023/3/25, , 1
2023/3/26, , 1
2023/3/27, , 1
2023/3/28, , 1
2023/3/29, , 1
2023/3/30, , 1
2023/3/31, , 1
2023/4/1, , 1
