date, pm25, pm10, o3, no2, so2, co
2023/11/2, 41, 22, 10, 5, 5, 
2023/11/3, 44, 42, 13, 6, 5, 
2023/11/4, 53, 51, 13, 2, 4, 
2023/11/5, 74, 31, 11, 5, 5, 
2023/11/6, 55, 27, 11, 3, 4, 
2023/11/7, 41, 35, 8, 4, 4, 
2023/11/8, 42, 60, 12, 5, 4, 
2023/11/9, 86, 59, 9, 3, 4, 
2023/11/10, 61, 22, 7, 5, 4, 
2023/11/11, 35, 19, 10, 6, 4, 
2023/11/12, 35, 28, 9, 4, 4, 
2023/11/13, 40, 46, 11, 4, 4, 
2023/11/14, 56, 46, 12, 4, 4, 
2023/11/15, 57, , , , , 
2023/10/2, 49, 36, 15, 5, 4, 
2023/10/3, 56, 48, 13, 5, 4, 
2023/10/4, 52, 43, 14, 4, 5, 
2023/10/5, 48, 38, 13, 4, 5, 
2023/10/6, 50, 38, 13, 6, 5, 
2023/10/7, 43, 44, 12, 7, 5, 
2023/10/8, 54, 57, 12, 5, 5, 
2023/10/9, 81, 46, 12, 3, 5, 
2023/10/10, 62, 31, 12, 3, 5, 
2023/10/11, 50, 44, 13, 4, 5, 
2023/10/12, 55, 55, 11, 6, 5, 
2023/10/13, 68, 54, 13, 4, 5, 
2023/10/14, 66, 40, 12, 3, 5, 
2023/10/15, 59, 41, 11, 5, 5, 
2023/10/16, 61, 47, 11, 5, 5, 
2023/10/17, 60, 51, 13, 3, 5, 
2023/10/18, 59, 44, 14, 2, 4, 
2023/10/19, 60, 51, 13, 4, 4, 
2023/10/20, 60, 44, 12, 3, 4, 
2023/10/21, 60, 38, 13, 4, 4, 
2023/10/22, 53, 43, 11, 5, 4, 
2023/10/23, 60, 31, 10, 7, 5, 
2023/10/24, 52, 41, 10, 7, 4, 
2023/10/25, 53, 45, 12, 5, 5, 
2023/10/26, 65, 41, 14, 4, 5, 
2023/10/27, 57, 45, 13, 4, 5, 
2023/10/28, 58, 51, 11, 3, 5, 
2023/10/29, 56, 37, 8, 2, 4, 
2023/10/30, 47, 33, 11, 3, 5, 
2023/10/31, 53, 41, 11, 6, 5, 
2023/11/1, 52, 29, 9, 6, 5, 
2023/7/2, 78, 26, 17, 4, 2, 
2023/7/3, 65, 31, 12, 8, 2, 
2023/7/4, 53, 28, 14, 7, 2, 
2023/7/5, 59, 27, 12, 8, 3, 
2023/7/6, 59, 15, 12, 9, 2, 
2023/7/7, 57, 24, 17, 4, 2, 
2023/7/8, 48, 30, 16, 6, 2, 
2023/7/9, 60, 38, 12, 8, 2, 
2023/7/10, 57, 23, 16, 4, 2, 
2023/7/11, 69, 15, 20, 3, 2, 
2023/7/12, 46, 13, 17, 6, 2, 
2023/7/13, 38, 31, 8, 12, 5, 
2023/7/14, 69, 36, 31, 11, 5, 
2023/7/15, 79, 48, 7, 11, 4, 
2023/7/16, 77, 47, 9, 9, 4, 
2023/7/17, 90, 38, 5, 11, 6, 
2023/7/18, 81, 50, 3, 17, 5, 
2023/7/19, 95, 37, 7, 12, 5, 
2023/7/20, 72, 18, 12, 5, 4, 
2023/7/21, 50, 13, 12, 3, 4, 
2023/7/22, 32, 17, 12, 3, 4, 
2023/7/23, 52, 30, 10, 6, 4, 
2023/7/24, 59, 33, 9, 8, 5, 
2023/7/25, 64, 27, 9, 10, 5, 
2023/7/26, 50, 34, 7, 9, 4, 
2023/7/27, 72, 36, 8, 9, 5, 
2023/7/28, 99, 42, 7, 12, 5, 
2023/7/29, 86, 41, 11, 9, 4, 
2023/7/30, 79, 23, 11, 5, 4, 
2023/7/31, 76, 21, 11, 6, 4, 
2023/8/1, 74, 36, 6, 11, 7, 
2023/8/2, 73, 51, 10, 7, 5, 
2023/8/3, 90, 30, 12, 11, 7, 
2023/8/4, 88, 27, 15, 9, 7, 
2023/8/5, 81, 20, 11, 3, 4, 
