date, pm25, pm10, no2, co
2023/11/2, 30, 16, , 
2023/11/3, 33, 13, , 
2023/11/4, 18, 11, , 
2023/11/5, 10, 9, , 
2023/11/6, 11, 20, , 
2023/11/7, 41, 9, , 
2023/11/8, 12, 14, , 
2023/11/9, 30, 12, , 
2023/11/10, 11, 15, , 
2023/11/11, 15, 9, , 
2023/11/12, 13, 14, , 
2023/11/13, 34, 14, , 
2023/11/14, 28, 11, , 
2023/11/15, 20, , , 
2023/10/2, 33, 22, , 
2023/10/3, 41, 15, , 
2023/10/4, 21, 24, , 
2023/10/5, 45, 20, , 
2023/10/6, 25, 14, , 
2023/10/7, 29, 23, , 
2023/10/8, 51, 17, , 
2023/10/9, 41, 21, , 
2023/10/10, 44, 15, , 
2023/10/11, 34, 14, , 
2023/10/12, 22, 17, , 
2023/10/13, 17, 18, , 
2023/10/14, 20, 18, , 
2023/10/15, 26, 16, , 
2023/10/16, 20, 20, , 
2023/10/17, 26, 26, , 
2023/10/18, 23, 43, , 
2023/10/19, 43, 25, , 
2023/10/20, 27, 23, , 
2023/10/21, 15, 20, , 
2023/10/22, 23, 19, , 
2023/10/23, 17, 20, , 
2023/10/24, 10, , , 
2023/10/31, 24, 20, , 
2023/11/1, 55, 12, , 
2023/7/2, 81, 15, , 
2023/7/3, 35, 15, , 
2023/7/4, 42, 21, , 
2023/7/5, 43, 33, , 
2023/7/6, 87, 31, , 
2023/7/7, 90, 54, , 
2023/7/8, 132, 13, , 
2023/7/9, 32, 38, , 
2023/7/10, 98, 51, , 
2023/7/11, 122, 69, , 
2023/7/12, 151, 34, , 
2023/7/13, 76, 63, , 
2023/7/14, 145, 44, , 
2023/7/15, 112, 40, , 
2023/7/16, 104, 51, , 
2023/7/17, 106, 62, , 
2023/7/18, 145, 42, , 
2023/7/19, 112, 37, , 
2023/7/20, 102, 18, , 
2023/7/21, 46, 11, , 
2023/7/22, 27, 15, , 
2023/7/23, 44, 33, , 
2023/7/24, 91, 31, , 
2023/7/25, 84, 17, , 
2023/7/26, 42, 44, , 
2023/7/27, 112, 48, , 
2023/7/28, 110, 50, , 
2023/7/29, 114, 24, , 
2023/7/30, 68, 22, , 
2023/7/31, 57, 23, , 
2023/8/1, 59, 14, , 
2023/8/2, 37, 21, , 
2023/8/3, 55, 18, , 
2023/8/4, 48, 18, , 
2023/8/5, 50, 59, , 
2023/8/6, 141, 73, , 
2023/8/7, 166, 69, , 
2023/8/8, 163, 68, , 
2023/8/9, 156, 36, , 
2023/8/10, 78, 13, , 
2023/8/11, 36, 21, , 
2023/8/12, 62, 54, , 
2023/8/13, 126, 44, , 
2023/8/14, 114, 34, , 
2023/8/15, 85, 26, , 
2023/8/16, 77, 15, , 
2023/8/17, 37, 22, , 
2023/8/18, 53, 23, , 
2023/8/19, 60, 18, , 
2023/8/20, 59, 19, , 
2023/8/21, 55, 10, , 
2023/8/22, 31, 13, , 
2023/8/23, 41, 11, , 
2023/8/24, 29, 18, , 
2023/8/25, 53, 40, , 
2023/8/26, 103, 50, , 
2023/8/27, 123, 35, , 
2023/8/28, 85, 21, , 
2023/8/29, 56, 29, , 
2023/8/30, 80, 17, , 
2023/8/31, 33, 39, , 
2023/9/1, 105, 20, , 
2023/9/2, 48, 36, , 
2023/9/3, 96, 22, , 
2023/9/4, 64, 21, , 
2023/9/5, 54, 14, , 
2023/9/6, 42, 11, , 
2023/9/7, 34, 8, , 
2023/9/8, 24, 21, , 
2023/9/9, 54, 16, , 
2023/9/10, 40, 16, , 
2023/9/11, 47, 10, , 
2023/9/12, 23, 23, , 
2023/9/13, 66, 21, , 
2023/9/14, 58, 9, , 
2023/9/15, 29, 8, , 
2023/9/16, 33, 11, , 
2023/9/17, 33, 16, , 
2023/9/18, 46, 26, , 
2023/9/19, 70, 11, , 
2023/9/20, 35, 23, , 
2023/9/21, 59, 19, , 
