# Sensor Alba 19, Las Condes, Chile (Purple Air/147458)
# https://aqicn.org/station/@349675/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-07-27T00:00:00.000Z,37.6,49.4,43.75,41.25,47.1,3.299,84
2022-07-28T00:00:00.000Z,39.1,59.7,46.85,45.3,50.4,3.262,614
2022-07-29T00:00:00.000Z,0.9,55.7,35.2,15.45,45.25,16.533,648
2022-07-30T00:00:00.000Z,33,88.4,57.6,41.7,67.5,14.026,650
2022-07-31T00:00:00.000Z,43.6,88.2,62.9,54.7,71.3,9.759,665
2022-08-01T00:00:00.000Z,32.8,105.8,60.2,45.35,78.95,21.412,605
2022-08-02T00:00:00.000Z,50.1,94.2,69.6,63.2,76.09,10.411,622
2022-08-03T00:00:00.000Z,35.9,102.1,63,58,69.09,10.998,647
2022-08-04T00:00:00.000Z,30,73.6,49.5,36.2,56.6,12.735,626
2022-08-05T00:00:00.000Z,32.8,90.1,48.1,44.8,62.05,13.246,660
2022-08-06T00:00:00.000Z,5.9,72.6,48.1,46.2,49.4,7.771,649
2022-08-07T00:00:00.000Z,0,67,6,3.4,17.89,9.534,652
2022-08-08T00:00:00.000Z,4.8,51.1,26.1,16.39,36.3,11.976,661
2022-08-09T00:00:00.000Z,2.4,52.3,31.6,18.6,40.5,14.189,659
2022-08-10T00:00:00.000Z,0.5,53.9,16.8,9.69,28.6,13.581,667
2022-08-11T00:00:00.000Z,19.8,86.7,36.1,28.9,51.8,12.875,651
2022-08-12T00:00:00.000Z,36.1,54.9,45.8,42.35,48.1,3.752,656
2022-08-13T00:00:00.000Z,30.2,70.2,45.6,40.6,51.1,6.916,659
2022-08-14T00:00:00.000Z,8.3,116.9,41.8,38.7,45.9,10.63,662
2022-08-15T00:00:00.000Z,0,32.5,2.9,0.7,6.1,5.638,526
2022-08-16T00:00:00.000Z,7.9,63.3,29.9,22.2,42.9,11.556,635
2022-08-17T00:00:00.000Z,0.8,60.7,34.5,28.2,38.6,8.656,635
2022-08-18T00:00:00.000Z,32.8,57.3,41,37.65,42.7,3.71,384
2022-09-13T00:00:00.000Z,30.4,30.4,30.4,30.4,30.4,0,1
