# Sensor Alta 2, Peñalolén, Chile (Purple Air/115293)
# https://aqicn.org/station/@349018/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-07-21T00:00:00.000Z,21.4,93.3,59.9,44.4,67.4,17.39,287
2022-07-22T00:00:00.000Z,7.2,75.2,44.2,29.55,52,16.28,669
2022-07-23T00:00:00.000Z,27.9,74.8,43,33.29,54.9,13.286,663
2022-07-24T00:00:00.000Z,34.3,112.7,54.4,46.8,67.9,18.369,651
2022-07-25T00:00:00.000Z,33,94.1,55.9,51,72.5,14.225,639
2022-07-26T00:00:00.000Z,18.2,57.8,41.2,39,44.2,7.411,609
2022-07-27T00:00:00.000Z,14.8,51.5,39.04,32.9,46.3,8.533,632
2022-07-28T00:00:00.000Z,22.6,53.5,40.2,36.15,44.7,5.981,636
2022-07-29T00:00:00.000Z,0,46.1,34.95,3.3,42.55,18.149,408
2022-07-30T00:00:00.000Z,13.6,82.6,56.8,26,69.9,22.029,650
2022-07-31T00:00:00.000Z,0,73.9,51.7,44.3,58.4,15.233,570
2022-08-01T00:00:00.000Z,16.2,98.9,40.25,26.6,63.1,24.471,586
2022-08-02T00:00:00.000Z,40,91,62,48.65,69.09,13.13,628
2022-08-03T00:00:00.000Z,36.4,89.6,52.4,48.5,68.5,13.808,658
2022-08-04T00:00:00.000Z,28.9,78.2,41.5,36.5,57.65,12.817,621
2022-08-05T00:00:00.000Z,33.9,78.6,47.6,42.7,58.1,12.018,602
2022-08-06T00:00:00.000Z,30.8,52.7,39.79,37.6,45.6,4.925,621
2022-08-11T00:00:00.000Z,56.8,77.1,59.8,58.7,61.2,3.702,27
2022-08-12T00:00:00.000Z,36.2,81.4,44.8,42.3,48.45,5.313,605
2022-08-13T00:00:00.000Z,35.4,101.2,50.7,45.9,55.1,8.894,663
2022-08-14T00:00:00.000Z,3.3,80.1,44.1,41.6,48.6,10.68,647
2022-08-15T00:00:00.000Z,0,27.8,2,0.5,4.09,6.165,321
2022-08-16T00:00:00.000Z,11.9,74.8,33.3,28.05,46.1,12.433,645
2022-08-17T00:00:00.000Z,7.8,54.2,34,20.75,37.6,9.252,644
2022-08-18T00:00:00.000Z,18.4,78.6,45.2,39.1,52.4,12.618,631
2022-08-19T00:00:00.000Z,6.8,71.1,43.8,30.25,50.1,14.03,633
2022-08-20T00:00:00.000Z,8,89.9,37.7,28.55,46.75,13.036,612
2022-08-21T00:00:00.000Z,33,80.7,47.5,40.5,54.8,9.964,623
2022-08-22T00:00:00.000Z,33.1,89.9,59.3,41.2,74,16.76,641
2022-08-23T00:00:00.000Z,54,102.8,78.5,69,86.5,11.666,651
2022-08-24T00:00:00.000Z,27.4,131.1,82.95,70.6,97.3,24.441,658
2022-08-25T00:00:00.000Z,27,89.6,64.3,54.9,71.3,12.227,638
2022-08-26T00:00:00.000Z,38.4,108,55.7,50.2,64.55,12.706,656
2022-08-27T00:00:00.000Z,23.4,123.1,68.3,61,81.45,20.048,665
2022-08-28T00:00:00.000Z,2.9,95.4,44.7,32.3,50.8,15.347,642
2022-08-29T00:00:00.000Z,2.9,50.7,29.6,16.95,35.45,12.506,645
2022-08-30T00:00:00.000Z,35,84.5,43.9,41.7,61.8,12.977,626
2022-08-31T00:00:00.000Z,29.8,80.1,49.6,40.1,51.2,7.278,554
2022-09-13T00:00:00.000Z,38.4,38.4,38.4,38.4,38.4,0,1
