# Sensor Antonio Bellet, Providencia, Chile (Citizen Science project sensor.community/50886)
# https://aqicn.org/station/@172708/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-10-20T00:00:00.000Z,7.53,19.27,10.66,9.35,12.9,2.673,42
2020-10-21T00:00:00.000Z,1.25,8.02,2.17,1.8,3.4,1.204,411
2020-10-22T00:00:00.000Z,0.47,12.55,2.33,1.88,3.5,1.526,375
2020-10-23T00:00:00.000Z,0.45,2.85,1.1,0.88,1.65,0.499,400
2020-10-24T00:00:00.000Z,0.4,1.45,1,0.8,1.1,0.21,422
2020-10-25T00:00:00.000Z,0.2,0.82,0.4,0.35,0.5,0.104,467
2020-10-26T00:00:00.000Z,0.22,2.35,1.17,0.65,1.58,0.538,474
2020-10-27T00:00:00.000Z,0.32,1.63,0.65,0.56,0.82,0.222,444
2020-10-28T00:00:00.000Z,0.4,2.58,0.73,0.6,1.33,0.56,461
2020-10-29T00:00:00.000Z,0.32,1.88,0.7,0.6,1.02,0.334,355
2020-11-04T00:00:00.000Z,6.43,14.52,8.77,7.23,11.87,2.453,49
2020-11-05T00:00:00.000Z,2.83,22.02,7.9,6.72,10.85,3.948,275
2020-11-06T00:00:00.000Z,3.15,65.63,5.68,4.62,6.79,4.233,316
2020-11-07T00:00:00.000Z,1.85,27.27,5.13,4.05,6.97,4.975,371
2020-11-08T00:00:00.000Z,3.3,13.63,6.6,5.39,7.9,1.772,341
2020-11-09T00:00:00.000Z,4.88,15.63,7.47,6.05,10.68,2.796,155
