# Sensor Antonio Planet, Las Condes, Chile (Citizen Science project sensor.community/15605)
# https://aqicn.org/station/@121591/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-05-17T00:00:00.000Z,3.3,30.53,19.8,14.81,21.76,5.884,388
2020-05-18T00:00:00.000Z,2.88,153.34,4.3,3.46,8.11,13.187,496
2020-05-19T00:00:00.000Z,4.2,248.47,23.03,5.8,30.7,20.051,285
2020-05-20T00:00:00.000Z,3.6,73.09,15.85,7.52,25.85,10.978,268
2020-05-21T00:00:00.000Z,3.5,29.2,11.3,10.44,13.07,5.555,29
2020-05-22T00:00:00.000Z,7.8,36.29,10.53,9.19,23.05,8.515,129
2020-05-23T00:00:00.000Z,5.6,213.03,18.47,7.55,25.35,23.707,260
2020-05-24T00:00:00.000Z,2.29,78.7,10.54,3.93,15,9.26,266
2020-05-25T00:00:00.000Z,2.77,52.07,11.5,4.73,16.95,8.846,209
2020-05-26T00:00:00.000Z,2.4,30.47,6.8,3.33,11.1,5.621,247
2020-05-27T00:00:00.000Z,4.59,104.2,18.39,8.72,23.64,13.254,252
2020-05-28T00:00:00.000Z,8.57,36.6,16.39,13.4,18.27,6.433,238
2020-05-29T00:00:00.000Z,9.77,347.73,19.6,16.42,21.82,54.934,257
2020-05-30T00:00:00.000Z,4.17,98.17,24.17,12.05,36.45,16.155,261
2020-05-31T00:00:00.000Z,6.47,100.8,17.92,10.3,36.53,17.121,238
2020-06-01T00:00:00.000Z,4.37,19.1,9.83,7.19,13.47,4.006,228
2020-06-02T00:00:00.000Z,4.3,110.37,14.59,7.73,29.3,16.699,250
2020-06-03T00:00:00.000Z,3.3,46.2,4.75,4.26,7.63,7.124,216
2020-06-04T00:00:00.000Z,3.2,56.03,8.1,4.47,14.2,9.731,254
2020-06-05T00:00:00.000Z,3.7,26.47,7.02,5.04,9.6,3.953,220
2020-06-06T00:00:00.000Z,3.9,112.9,9.27,5,18.07,13.439,227
2020-06-07T00:00:00.000Z,5.43,40.47,13.18,10.57,20.03,8.309,258
2020-06-08T00:00:00.000Z,4.5,180,9.39,7.1,11.99,31.391,252
2020-06-09T00:00:00.000Z,4.4,123.87,7.27,5.97,20.9,21.843,240
2020-06-10T00:00:00.000Z,4.8,76.33,12.65,6.75,16.35,8.605,252
2020-06-11T00:00:00.000Z,4.57,27.9,11.87,6.53,14.87,5.78,262
2020-06-12T00:00:00.000Z,2.83,21.3,5.47,4.59,8.22,4.757,264
2020-06-13T00:00:00.000Z,2.6,60.37,4.63,3.13,13.97,12.773,251
2020-06-14T00:00:00.000Z,2.7,47,8.1,3.83,11.7,7.191,195
2020-06-15T00:00:00.000Z,3.7,35.5,12.97,7.97,17.43,6.91,261
2020-06-16T00:00:00.000Z,4.63,138.33,15,7.4,24.03,27.563,262
2020-06-17T00:00:00.000Z,4.07,25.57,7.63,6,11.47,4.812,259
2020-06-18T00:00:00.000Z,2.9,93.87,6.53,4.4,8.89,9.259,237
2020-06-19T00:00:00.000Z,3,30.27,7.1,4.7,8.94,5.686,221
2020-06-20T00:00:00.000Z,4.26,69.9,7.47,5.5,10.87,13.199,265
2020-06-21T00:00:00.000Z,3.7,140.63,7,4.98,13.3,17.749,265
2020-06-22T00:00:00.000Z,4.3,147.63,10.77,7.37,22.4,21.132,250
2020-06-23T00:00:00.000Z,2.77,121.63,4.53,3.55,10.52,22.838,257
2020-06-24T00:00:00.000Z,2.29,17.89,3.5,3.03,4.13,2.663,263
2020-06-25T00:00:00.000Z,2.7,16.1,4.87,3.42,7.07,2.66,257
2020-06-26T00:00:00.000Z,4.43,153.47,6.7,5.77,12.2,29.023,257
2020-06-27T00:00:00.000Z,2.9,30.83,8.1,3.9,13.3,6.403,254
2020-06-28T00:00:00.000Z,4.26,215.17,10.59,7.03,19.63,40.585,134
2020-06-29T00:00:00.000Z,3.6,379.43,7.53,5.63,14.83,64.754,247
2020-06-30T00:00:00.000Z,2.4,14.57,5.45,3,7.15,2.541,244
2020-07-01T00:00:00.000Z,2.9,92.63,4.67,3.57,6.57,10.004,239
2020-07-02T00:00:00.000Z,3.03,50.07,6,3.79,7.65,5.232,233
2020-07-03T00:00:00.000Z,3.37,99.83,8.93,5.35,13.92,7.847,249
2020-07-04T00:00:00.000Z,3.43,57.27,6.27,4.5,8.07,10.158,249
2020-07-05T00:00:00.000Z,2.5,50.63,4,3.1,7.45,8.689,240
2020-07-06T00:00:00.000Z,3.2,47.83,6.73,4.17,17.2,10.745,150
2020-07-07T00:00:00.000Z,4.07,61.87,7.87,5.37,16.07,11.965,227
2020-07-08T00:00:00.000Z,4.09,61.1,7.09,5.8,11.1,8.982,242
2020-07-09T00:00:00.000Z,2.83,30.6,4.97,3.6,6.5,4.54,163
2020-07-10T00:00:00.000Z,3.53,64.59,8,6.05,16.75,9.335,77
2020-07-11T00:00:00.000Z,5,19.93,8.65,7.32,11.17,2.843,72
2020-07-12T00:00:00.000Z,4.2,112.3,11.2,5.22,23.82,21.589,73
2020-07-13T00:00:00.000Z,3.1,45.37,12.67,6.89,19.92,8.122,81
2020-07-14T00:00:00.000Z,3.3,40.22,5.92,4.29,8.94,6.479,84
2020-07-15T00:00:00.000Z,3.8,27.4,6.42,5.3,11.77,6.198,62
2020-07-16T00:00:00.000Z,4.67,69.43,18.2,6.57,46.5,20.184,57
2020-07-17T00:00:00.000Z,13.17,104.43,44.24,32.47,73.53,24.415,86
2020-07-18T00:00:00.000Z,5.03,71.5,35.22,27.14,39.86,13.232,77
2020-07-19T00:00:00.000Z,4.09,9.3,5.03,4.42,6.24,1.306,29
2020-07-20T00:00:00.000Z,2.83,615.27,6.13,3.3,6.77,133.192,35
2020-07-21T00:00:00.000Z,3.1,465.2,6.49,4.53,11.87,100.098,54
2020-07-22T00:00:00.000Z,2.5,44.1,5.22,3.2,7.1,7.864,54
2020-07-23T00:00:00.000Z,3.2,15.97,5.9,3.73,8.57,3.015,71
2020-07-24T00:00:00.000Z,3.1,171.83,4.5,3.8,6.63,24.963,75
