# Sensor Av. Santa Maria, Providencia, Chile (Purple Air/20771)
# https://aqicn.org/station/@06577/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-05-10T00:00:00.000Z,42.57,59.75,51.28,43.94,57.49,5.902,31
2019-05-11T00:00:00.000Z,31.13,75.48,52.02,47.47,58.03,8.329,99
2019-05-12T00:00:00.000Z,24.71,159.38,47.89,40,51.94,18.619,90
2019-05-13T00:00:00.000Z,32.86,60.81,46.55,40.98,50.26,5.984,91
2019-05-14T00:00:00.000Z,34,76.69,45.58,39.79,48.99,7.345,39
2019-05-15T00:00:00.000Z,14.07,207.32,42.52,26.33,102.34,48.079,39
2019-05-16T00:00:00.000Z,45.86,58.67,50.94,49.11,55.47,3.887,28
2019-05-17T00:00:00.000Z,24,132.66,43.73,36.33,57.47,15.456,71
2019-05-18T00:00:00.000Z,8.63,52.42,24.98,19.37,39.76,13.1,54
2019-05-19T00:00:00.000Z,18.85,101.25,40.36,35.78,58.38,14.82,70
2019-05-20T00:00:00.000Z,6.93,95.62,41.6,35.92,46.06,12.72,69
2019-05-21T00:00:00.000Z,9.47,42.45,28.29,15.22,35.03,9.76,62
2019-05-22T00:00:00.000Z,17.67,47.4,29.13,26.41,36.46,7.339,42
2019-05-23T00:00:00.000Z,26.52,51.71,40.74,37.07,46.24,7.029,29
2019-05-24T00:00:00.000Z,10.87,55.05,41.2,34.31,46.59,10.711,69
2019-05-25T00:00:00.000Z,8.67,90.15,46.39,39.65,54.11,12.49,92
2019-05-26T00:00:00.000Z,31.4,52.07,44.8,39.29,47.53,5.138,57
2019-05-27T00:00:00.000Z,28.33,51.03,43.36,40.5,46.32,4.535,39
2019-05-28T00:00:00.000Z,20.32,50.76,39.67,34.15,41.5,7.415,31
2019-05-29T00:00:00.000Z,0.4,50.49,29.46,1.74,42.43,18.219,50
2019-05-30T00:00:00.000Z,1.32,23.44,10.11,3.25,14.98,6.831,32
2019-05-31T00:00:00.000Z,8.86,41.05,21.94,15.62,32.9,9.78,62
2019-06-01T00:00:00.000Z,3.92,87.96,21.45,11.91,47.81,18.152,679
2019-06-02T00:00:00.000Z,6.49,114.59,37.94,23.47,45.3,16.029,714
2019-06-03T00:00:00.000Z,1.9,100.63,27.17,16.14,45.95,19.487,720
2019-06-04T00:00:00.000Z,8.19,116.56,42.09,31.25,50.17,16.041,719
2019-06-05T00:00:00.000Z,25.58,96.34,52.85,45.75,58.94,10.006,718
2019-06-06T00:00:00.000Z,3.06,123.63,36.64,31.67,44.63,15.583,692
2019-06-07T00:00:00.000Z,5.44,80.17,29.24,17.14,35.4,11.697,705
2019-06-08T00:00:00.000Z,17.7,230.22,40.22,32.32,49.76,15.452,713
2019-06-09T00:00:00.000Z,24.74,81.45,50.81,39.06,54.47,10.434,719
2019-06-10T00:00:00.000Z,48.38,166.91,57.27,54.83,60.62,11.623,713
2019-06-11T00:00:00.000Z,24.33,157.36,62.08,53.79,75.92,20.415,651
2019-06-12T00:00:00.000Z,6.29,91.69,36.21,29.33,40.81,12.549,715
2019-06-13T00:00:00.000Z,0,74.17,8.01,1.94,23.99,14.139,505
2019-06-14T00:00:00.000Z,3.33,44.49,16.63,12.38,23.35,8.214,639
2019-06-15T00:00:00.000Z,1.81,115.85,27.02,9.27,34.47,14.811,720
2019-06-16T00:00:00.000Z,17.53,142.58,45.47,40.38,48.45,10.759,720
2019-06-17T00:00:00.000Z,24.94,110.82,58.02,55.22,63.74,14.667,721
2019-06-18T00:00:00.000Z,5.04,98.82,34,26.93,38.22,11.361,718
2019-06-19T00:00:00.000Z,8.16,87.02,34.57,24.49,50.4,18.782,721
2019-06-20T00:00:00.000Z,1.1,99.72,29.49,16.14,39.17,16.613,723
2019-06-21T00:00:00.000Z,42.21,132.85,63.32,57.21,86.26,17.453,720
2019-06-22T00:00:00.000Z,37.52,133.06,89.36,60.29,109.26,26.495,718
2019-06-23T00:00:00.000Z,58.75,196.8,89.15,74.81,101.17,23.785,719
2019-06-24T00:00:00.000Z,0.43,138.86,64.9,36.24,79.58,27.866,722
2019-06-25T00:00:00.000Z,4.36,63.77,37.08,20.7,45.41,14.953,715
2019-06-26T00:00:00.000Z,37.71,138.97,55.97,51.97,63.5,13.988,721
2019-06-27T00:00:00.000Z,45.51,124.46,68.65,62.35,78.31,12.705,612
2019-06-28T00:00:00.000Z,21.25,104.73,65.66,56.22,84.15,16.501,719
2019-06-29T00:00:00.000Z,0,107.96,22.02,4.45,39.1,18.792,718
2019-06-30T00:00:00.000Z,10.75,102.28,32.58,17.61,37.61,13.328,719
2019-07-01T00:00:00.000Z,15.19,118.2,50.86,40.81,54.67,12.422,718
2019-07-02T00:00:00.000Z,31.49,119.8,54.88,48.76,69.56,14.923,722
2019-07-03T00:00:00.000Z,20.51,162.27,60.87,54.88,72.84,16.887,719
2019-07-04T00:00:00.000Z,19.8,164.6,58.91,52.25,68.13,15.815,716
2019-07-05T00:00:00.000Z,41.48,131.35,64.2,55.06,83.12,20.078,720
2019-07-06T00:00:00.000Z,7.9,102.06,44.74,24.62,70.47,24.683,720
2019-07-07T00:00:00.000Z,49.12,153.36,62,56.95,82.71,18.304,715
2019-07-08T00:00:00.000Z,87.63,184.54,100.74,97.7,108.03,10.733,716
2019-07-09T00:00:00.000Z,47.24,182.73,66.89,53.72,75.68,16.093,716
2019-07-10T00:00:00.000Z,46.85,199.1,67.59,56.94,79.5,21.518,719
2019-07-11T00:00:00.000Z,39.9,139.61,82.12,61.94,99.51,21.589,719
2019-07-12T00:00:00.000Z,50.9,143.06,72.42,66.88,82.8,13.286,720
2019-07-13T00:00:00.000Z,57.84,157.57,80.68,73.5,86.95,10.939,720
2019-07-14T00:00:00.000Z,58.19,189.96,85.25,78.19,94.12,13.945,713
2019-07-15T00:00:00.000Z,48.8,196.53,62.74,58.22,78.09,14.276,716
2019-07-16T00:00:00.000Z,14.29,203.94,50.09,35.54,60.85,22.649,718
2019-07-17T00:00:00.000Z,48.25,142.76,63.21,59.41,75.94,14.716,718
2019-07-18T00:00:00.000Z,44.87,171.98,91.47,86.95,98.97,15.308,718
2019-07-19T00:00:00.000Z,52.17,298.77,81.53,67.84,92.48,18.512,719
2019-07-20T00:00:00.000Z,35.42,211.24,70.62,59.01,87.3,21.176,680
2019-07-21T00:00:00.000Z,1.22,55.38,8.67,3.26,22.24,17.817,345
2019-07-22T00:00:00.000Z,0.76,57.96,34.46,22.5,38.22,11.22,700
2019-07-23T00:00:00.000Z,28.12,115.55,44.33,39.29,47.94,7.123,702
2019-07-24T00:00:00.000Z,32.88,197.03,53.43,46.61,58.67,11.809,721
2019-07-25T00:00:00.000Z,47.18,147.13,57.82,55.19,60.07,6.163,719
2019-07-26T00:00:00.000Z,53.42,221.55,62.36,58.9,70.9,11.159,719
2019-07-27T00:00:00.000Z,43.95,176.5,59.65,53.58,66.78,12.554,720
2019-07-28T00:00:00.000Z,31.17,205.12,70.11,56.03,85.15,24.011,718
2019-07-29T00:00:00.000Z,29.45,118.75,58.08,52.03,63.73,10.609,717
2019-07-30T00:00:00.000Z,27.12,116.39,46.78,42.79,50.41,11.106,719
2019-07-31T00:00:00.000Z,11.93,87.48,40.53,34.76,45.58,8.785,716
2019-08-01T00:00:00.000Z,5.34,155.33,16.94,11.57,29.84,16.378,717
2019-08-02T00:00:00.000Z,8.91,106.8,30.4,19.41,45.93,14.569,718
2019-08-03T00:00:00.000Z,12.6,149.65,33.81,18.73,50.52,18.851,718
2019-08-04T00:00:00.000Z,7.25,135.19,33.5,22.06,43.52,13.963,716
2019-08-05T00:00:00.000Z,32.97,127.41,43.84,40.17,50.5,11.329,716
2019-08-06T00:00:00.000Z,34.11,130.19,57.77,54.25,61.26,10.174,718
2019-08-07T00:00:00.000Z,19.61,115.99,42.07,35.9,47.86,9.841,717
2019-08-08T00:00:00.000Z,28.18,114.32,43.39,38.39,49.54,9.389,716
2019-08-09T00:00:00.000Z,22.18,114.94,50.45,40.11,57.27,12.036,717
2019-08-10T00:00:00.000Z,49.24,101.83,66.41,59.1,71.31,8.501,718
2019-08-11T00:00:00.000Z,7.57,138.94,55.73,35.4,65.02,22.71,717
2019-08-12T00:00:00.000Z,6.29,61.38,33.26,15.04,45.75,15.45,718
2019-08-13T00:00:00.000Z,23.37,178.06,43.9,35.79,64.59,23.72,717
2019-08-14T00:00:00.000Z,1.01,96.01,23.61,13.4,45.42,17.965,713
2019-08-15T00:00:00.000Z,21.5,112.81,46.59,35.28,55.21,11.862,713
2019-08-16T00:00:00.000Z,40.57,196.55,64.64,52.89,71.45,19.735,716
2019-08-17T00:00:00.000Z,23.37,131.63,44.61,35.29,48.94,9.785,715
2019-08-18T00:00:00.000Z,20.01,132.4,49,43.96,62.86,14.623,717
2019-08-19T00:00:00.000Z,36.03,210.58,60.04,52.67,72.47,23.46,719
2019-08-20T00:00:00.000Z,10.5,95.8,38.21,27.14,48.38,19.563,719
2019-08-21T00:00:00.000Z,20.48,136.74,44.68,35.85,53.41,14.24,717
2019-08-22T00:00:00.000Z,33.96,138.65,60.24,51.65,67.44,14.623,549
2019-08-23T00:00:00.000Z,20,61.9,35.78,30.98,47.58,9.446,500
2019-08-24T00:00:00.000Z,23.77,75.47,39.75,35.34,48.34,10.771,718
2019-08-25T00:00:00.000Z,11.97,66.39,44.46,41.61,46.29,9.474,717
2019-08-26T00:00:00.000Z,14.93,98.89,37.51,32.47,44.74,9.852,717
2019-08-27T00:00:00.000Z,27.85,82.29,40.86,36.63,45.01,6.036,610
2019-08-28T00:00:00.000Z,2.36,76.61,37.78,32.18,42.5,12.896,668
2019-08-29T00:00:00.000Z,2.42,76.86,10.65,6.81,27.68,14.081,719
2019-08-30T00:00:00.000Z,6.91,198.07,46.5,29.86,51.65,29.616,716
2019-08-31T00:00:00.000Z,8.94,98.91,34.24,26.99,43.2,12.73,718
2019-09-01T00:00:00.000Z,8.15,103.6,39.72,33.18,45.5,13.282,718
2019-09-02T00:00:00.000Z,8.14,101.86,31.3,18.51,41.65,13.849,718
2019-09-03T00:00:00.000Z,8.53,87.14,28.72,22.01,39.03,10.913,705
2019-09-04T00:00:00.000Z,21.76,52.33,32.01,27.78,39.07,7.459,716
2019-09-05T00:00:00.000Z,9.92,84.39,33.97,25.08,41.58,10.193,716
2019-09-06T00:00:00.000Z,7.66,69.17,21.35,16.17,40.11,12.973,714
2019-09-07T00:00:00.000Z,1.13,57.33,16.79,3.33,27.75,12.396,719
2019-09-08T00:00:00.000Z,6.07,83.78,37.59,28.17,44.81,11.649,716
2019-09-09T00:00:00.000Z,2.41,70.63,11.39,6.78,16.03,9.361,718
2019-09-10T00:00:00.000Z,5.69,128.13,23.83,18.1,38.47,14.894,718
2019-09-11T00:00:00.000Z,3.37,117.43,19.19,11.7,24.16,10.731,714
2019-09-12T00:00:00.000Z,5.96,200.69,30.64,20.42,40.81,15.731,716
2019-09-13T00:00:00.000Z,15.17,151.11,35.35,22.22,41.87,15.106,718
2019-09-14T00:00:00.000Z,15.38,107.67,50.45,41.86,56.48,12.712,717
2019-09-15T00:00:00.000Z,2.9,130.63,28.53,20.13,37.29,14.081,718
2019-09-16T00:00:00.000Z,0.99,73.79,9.49,3.01,33.06,15.045,693
2019-09-17T00:00:00.000Z,8.52,118.39,21.67,14.8,31.69,12.752,720
2019-09-18T00:00:00.000Z,11.13,312.29,32.11,23.1,41.89,17.707,717
2019-09-19T00:00:00.000Z,5.38,51.54,25.88,17.73,33.42,9.689,715
2019-09-20T00:00:00.000Z,2.71,104.45,13.61,7.9,20.34,12.106,714
2019-09-21T00:00:00.000Z,4.57,80.84,13.42,9.98,22.75,11.287,716
2019-09-22T00:00:00.000Z,6.49,57.91,14.39,10.55,24.14,10.544,719
2019-09-23T00:00:00.000Z,9.42,152.52,26.51,15.83,42.46,19.347,712
2019-09-24T00:00:00.000Z,17.23,66.01,29.74,24.08,39.4,9.84,718
2019-09-25T00:00:00.000Z,21.69,78.5,41.01,30.83,48.06,9.414,717
2019-09-26T00:00:00.000Z,28.16,173.59,55.6,40.65,60.37,16.985,714
2019-09-27T00:00:00.000Z,23.57,106.03,39.69,35.74,47.26,9.44,697
2019-09-28T00:00:00.000Z,10.28,106.72,38.14,28.55,41.15,11.856,705
2019-09-29T00:00:00.000Z,13.39,75.52,25.29,19.69,32.25,9.158,720
2019-09-30T00:00:00.000Z,1.31,69.75,30.28,15.44,38.21,14.116,713
2019-10-01T00:00:00.000Z,0.69,49.18,8.88,4.73,13.9,8.772,717
2019-10-02T00:00:00.000Z,1.86,78.04,9,5.15,28.14,15.316,718
2019-10-03T00:00:00.000Z,1.94,60.24,10.91,4.87,17.43,10.007,717
2019-10-04T00:00:00.000Z,3.13,89.46,18.03,10.95,24.8,9.941,717
2019-10-05T00:00:00.000Z,6.71,103.38,26.84,18.77,33.54,11.373,718
2019-10-06T00:00:00.000Z,6.17,73.56,19.97,14.59,29.59,10.079,718
2019-10-07T00:00:00.000Z,2.58,92.85,11.32,8.17,18.95,10.716,718
2019-10-08T00:00:00.000Z,2.63,183.74,10.31,5.35,20.7,11.384,710
2019-10-09T00:00:00.000Z,5.54,46.63,10.92,8,24.57,11.118,714
2019-10-10T00:00:00.000Z,7.61,115.56,24.71,14.68,35.15,14.993,716
2019-10-11T00:00:00.000Z,4.24,110.37,22.26,10.72,32.35,16.827,718
2019-10-12T00:00:00.000Z,25.21,185.39,47.52,38.59,53.01,19.509,715
2019-10-13T00:00:00.000Z,12.55,113.88,53.76,46.42,59.23,13.671,702
2019-10-14T00:00:00.000Z,6.33,89.04,18.72,13.32,24.4,9.254,713
2019-10-15T00:00:00.000Z,5.94,90.08,23.03,12.41,33.53,12.66,701
2019-10-16T00:00:00.000Z,7.81,87.96,14.36,10.53,16.91,6.369,711
2019-10-17T00:00:00.000Z,7.01,55.87,17.01,14.46,32.78,10.88,714
2019-10-18T00:00:00.000Z,7.8,124.21,14.53,11.12,30.66,13.346,716
2019-10-19T00:00:00.000Z,9.97,75.38,30.23,23.07,39.19,10.022,717
2019-10-20T00:00:00.000Z,6.03,122.14,28.91,16.68,41.79,16.503,713
2019-10-21T00:00:00.000Z,5.18,198.32,45.05,13.48,60.31,26.997,713
2019-10-22T00:00:00.000Z,0.43,80.33,16.23,7.77,26.38,14.576,711
2019-10-23T00:00:00.000Z,1.84,56.38,10.47,7.43,25.41,10.288,686
2019-10-24T00:00:00.000Z,4.59,46.26,22.17,14.9,32.63,10.274,604
2019-10-25T00:00:00.000Z,3.94,51.17,12.69,8.94,21.28,11.047,719
2019-10-26T00:00:00.000Z,2.87,72.84,16.14,9.75,21.28,9.736,717
2019-10-27T00:00:00.000Z,2.72,46.06,12.65,8.93,20.01,7.994,742
2019-10-28T00:00:00.000Z,0.88,67.81,5.05,3.16,11.51,10.533,714
2019-10-29T00:00:00.000Z,0,89.56,5.94,2.73,11.48,11.229,719
2019-10-30T00:00:00.000Z,0.79,72.41,6.75,3.31,16.64,11.665,719
2019-10-31T00:00:00.000Z,1.88,76.39,6.52,4.83,9.49,7.293,718
2019-11-01T00:00:00.000Z,0.45,52.41,6.26,2.87,9.41,7.744,716
2019-11-02T00:00:00.000Z,2.45,116.43,8.88,5.31,17.96,11.318,718
2019-11-03T00:00:00.000Z,3.33,36.31,6.99,5.31,9.11,3.275,720
2019-11-04T00:00:00.000Z,3.19,49.8,10.59,6.12,19.86,9.742,718
2019-11-05T00:00:00.000Z,2.21,49.42,16.1,9.51,25.95,9.761,720
2019-11-06T00:00:00.000Z,2.34,41.22,8.01,5.3,12.59,7.215,719
2019-11-07T00:00:00.000Z,1.82,65.58,10.07,7.4,14.7,8.383,715
2019-11-08T00:00:00.000Z,3.97,73.95,11.62,9.32,19.91,11.441,719
2019-11-09T00:00:00.000Z,1.73,99.63,22.61,5.78,35.67,17.559,721
2019-11-10T00:00:00.000Z,2.63,46.01,8.16,6.62,10.41,5.862,719
2019-11-11T00:00:00.000Z,6.69,58.27,16.22,10.61,20.09,5.591,717
2019-11-12T00:00:00.000Z,10.46,53.23,17.59,14.68,26.96,8.634,716
2019-11-13T00:00:00.000Z,5.53,65.56,33.92,15.46,39.96,13.507,718
2019-11-14T00:00:00.000Z,4.28,34.36,13.19,10.14,20.76,6.227,677
2019-11-15T00:00:00.000Z,5.24,51.9,22.09,12.1,33.51,11.614,717
2019-11-16T00:00:00.000Z,0.06,25.93,5.91,1.76,9.4,4.516,718
2019-11-17T00:00:00.000Z,0.9,53.4,6.11,3.42,7.94,4.459,718
2019-11-18T00:00:00.000Z,2.84,39.83,9.43,6.37,15.89,7.634,720
2019-11-19T00:00:00.000Z,6.86,45.01,17.5,12.39,22.81,6.979,716
2019-11-20T00:00:00.000Z,2.34,99.15,13.82,8.06,25.51,12.545,715
2019-11-21T00:00:00.000Z,5.09,49.66,12.87,10.3,17.04,6.476,717
2019-11-22T00:00:00.000Z,10.21,43.57,15.07,13.07,20.74,7.101,714
2019-11-23T00:00:00.000Z,7.63,31.63,14.85,12.18,18.59,4.744,716
2019-11-24T00:00:00.000Z,5.89,61.15,10.49,8.25,16.05,8.102,718
2019-11-25T00:00:00.000Z,1.9,91.42,8.74,5.05,15.23,8.116,717
2019-11-26T00:00:00.000Z,1.57,86.37,6.57,3.96,11.59,9.313,590
2019-11-27T00:00:00.000Z,2.44,56.76,8.74,4.9,17.68,10.605,743
2019-11-28T00:00:00.000Z,1.62,47.48,7.14,4.26,12.49,7.381,711
2019-11-29T00:00:00.000Z,0.88,73.45,4.16,2.29,14.1,10.266,714
2019-11-30T00:00:00.000Z,1.9,77.38,8.1,3.97,15.4,10.787,714
2019-12-01T00:00:00.000Z,3.17,107.25,7.94,6.28,10.09,7.442,716
2019-12-02T00:00:00.000Z,5.63,34.78,13.6,10.71,20.18,6.947,717
2019-12-03T00:00:00.000Z,0.69,62.49,10.68,6.74,12.79,6.039,718
2019-12-04T00:00:00.000Z,1.69,34.93,6.9,4.68,9.69,4.281,714
2019-12-05T00:00:00.000Z,2.17,249.63,7.72,5.38,11.5,11.553,717
2019-12-06T00:00:00.000Z,3.5,42.09,14.79,8.52,20.61,8.702,717
2019-12-07T00:00:00.000Z,5.14,84.7,11.87,9.27,21.42,10.101,717
2019-12-08T00:00:00.000Z,5.96,51.93,11.04,8.09,16.07,7.344,720
2019-12-09T00:00:00.000Z,6.61,35.96,13.27,10.6,16.52,6.033,665
2019-12-10T00:00:00.000Z,6,37.88,10.16,8.44,14.73,8.199,716
2019-12-11T00:00:00.000Z,3.93,31.2,9.21,7.19,15.43,6.148,708
2019-12-12T00:00:00.000Z,3.25,45.9,7.94,5.63,11.71,6.711,699
2019-12-13T00:00:00.000Z,3.71,42,8.58,6.73,12.46,5.269,712
2019-12-14T00:00:00.000Z,2.31,28.94,8.64,6.84,10.42,3.677,719
2019-12-15T00:00:00.000Z,1.45,37.42,6.41,4.37,8.66,3.902,708
2019-12-16T00:00:00.000Z,2.66,32.67,7.12,5.05,8.52,3.408,712
2019-12-17T00:00:00.000Z,6.53,36.59,11.5,9.14,15.2,6.334,709
2019-12-18T00:00:00.000Z,3.14,47.46,10.81,8.16,16.35,7.222,607
2019-12-19T00:00:00.000Z,1.56,37.9,6.49,4.16,10.66,5.01,705
2019-12-20T00:00:00.000Z,1.71,33.46,6.68,3.75,12.63,5.67,710
2019-12-21T00:00:00.000Z,0.62,46.4,8.07,4.5,11.4,5.297,692
2019-12-22T00:00:00.000Z,2.96,110.54,11.55,7.36,13.17,13.193,712
2019-12-23T00:00:00.000Z,3.49,106.34,8.27,6.31,11.46,6.407,713
2019-12-24T00:00:00.000Z,1.21,37.92,4.86,3.15,6.86,3.052,703
2019-12-25T00:00:00.000Z,1.37,15.27,6.07,4.62,7.46,2.025,708
2019-12-26T00:00:00.000Z,1.84,17.67,4.68,3.41,7.54,3.304,715
2019-12-27T00:00:00.000Z,2.41,35.65,7.55,5.49,11.18,5.545,709
2019-12-28T00:00:00.000Z,3.67,74.88,10.1,7.73,13.94,8.007,714
2019-12-29T00:00:00.000Z,2.31,32.19,10.96,6.81,13.72,4.448,723
2019-12-30T00:00:00.000Z,2.5,49.9,7.29,4.26,9.92,6.717,717
2019-12-31T00:00:00.000Z,3.23,58.26,10.56,6.64,15.88,7.261,713
2020-01-01T00:00:00.000Z,6.44,36.22,14.55,11.67,24.51,7.219,705
2020-01-02T00:00:00.000Z,7.85,33.06,12.54,9.63,15.7,4.863,713
2020-01-03T00:00:00.000Z,11.93,32.84,16.34,14.64,20.21,5.388,707
2020-01-04T00:00:00.000Z,7.68,52.77,19.79,13.95,23.42,6.306,696
2020-01-05T00:00:00.000Z,8.23,43.94,12.92,11.16,17.13,4.765,698
2020-01-06T00:00:00.000Z,10.66,55.78,22.94,18.04,29.08,7.845,683
2020-01-07T00:00:00.000Z,10.7,32.97,14.84,12.93,23.12,5.933,412
2021-12-25T00:00:00.000Z,3.4,63,10.9,8.5,14.2,6.929,427
2021-12-26T00:00:00.000Z,3.1,55.8,14.6,11.4,17.1,6.631,591
2021-12-27T00:00:00.000Z,1.9,57.9,21.2,18.6,24.3,7.037,576
2021-12-28T00:00:00.000Z,9.6,52.2,20,16.55,23.5,4.979,608
2021-12-29T00:00:00.000Z,8.8,75,18.3,11.1,24.9,9.055,613
2021-12-30T00:00:00.000Z,5.6,54.4,13.7,8.3,22.6,8.429,578
2021-12-31T00:00:00.000Z,2.6,46.7,8.9,6.8,12.6,5.514,567
2022-01-01T00:00:00.000Z,0.7,104.7,8.6,6.2,13.1,12.316,591
2022-01-02T00:00:00.000Z,0.1,107.9,2.4,1.3,3.85,11.799,565
2022-01-03T00:00:00.000Z,0.2,209,2.5,1.6,8.25,14.307,557
2022-01-04T00:00:00.000Z,0.1,107.6,3.1,1.7,6.2,15.779,562
2022-01-05T00:00:00.000Z,0.9,108.7,5.4,3.8,7.7,13.22,593
2022-01-06T00:00:00.000Z,3.6,114.6,9.44,6.2,12,8.245,582
2022-01-07T00:00:00.000Z,3.8,71.7,9.1,5.7,12.95,7.463,577
2022-01-08T00:00:00.000Z,5.1,63.2,12.7,9.3,16.6,7.578,571
2022-01-09T00:00:00.000Z,4.6,82.4,9.5,7.7,15.15,6.839,553
2022-01-10T00:00:00.000Z,4,51.5,10.3,6.15,18,8.68,581
2022-01-11T00:00:00.000Z,3.2,145.6,7.9,6.4,12.9,9.913,562
2022-01-12T00:00:00.000Z,5.3,135.6,10.6,7.4,16.3,11,607
2022-01-13T00:00:00.000Z,4.6,100.2,10.1,6.5,17.95,8.391,572
2022-01-14T00:00:00.000Z,2.9,91.8,8.8,4.5,14,9.597,567
2022-01-15T00:00:00.000Z,2.9,100.6,5.6,4.8,7,9.584,571
2022-01-16T00:00:00.000Z,4.4,125.2,11.3,9.4,15.5,12.372,596
