# Sensor Avenida Providencia, Chile (Citizen Science project sensor.community/17518)
# https://aqicn.org/station/@80221/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,2.74,13.93,4.65,3.93,6.61,2.286,157
2019-12-10T00:00:00.000Z,2.75,17.78,4.51,3.74,6.24,3.403,249
2019-12-11T00:00:00.000Z,1.9,20.78,2.65,2.38,4.96,4.145,89
2019-12-12T00:00:00.000Z,1.85,9.74,3.3,2.66,3.87,1.268,403
2019-12-13T00:00:00.000Z,2.24,7.68,4.17,3.57,5.19,1.126,424
2019-12-17T00:00:00.000Z,2.64,13.48,4.38,3.9,7.14,2.654,177
2019-12-18T00:00:00.000Z,1.76,17.41,6.43,4.03,7.79,3.355,136
2019-12-19T00:00:00.000Z,1.18,6.59,2.56,2.04,3.42,1.012,505
2019-12-20T00:00:00.000Z,1.1,8.59,3.22,1.9,4.55,1.934,476
2019-12-23T00:00:00.000Z,1.7,3.3,2.33,2.12,2.56,0.322,81
2019-12-24T00:00:00.000Z,1.5,2.54,2.06,1.89,2.21,0.224,131
2019-12-27T00:00:00.000Z,3,14.45,5.58,3.88,8.36,2.772,91
2019-12-31T00:00:00.000Z,1.6,23.65,3.71,2.96,4.55,1.694,477
2020-01-01T00:00:00.000Z,2.79,13.82,5.52,4.44,8.65,2.405,532
2020-01-02T00:00:00.000Z,3.08,10.56,4.72,3.84,6.13,1.915,521
2020-01-03T00:00:00.000Z,4.63,16.98,6.64,5.78,7.81,3.029,509
2020-01-04T00:00:00.000Z,2.92,13.62,7.72,5.57,9.39,2.383,516
2020-01-05T00:00:00.000Z,3.28,15.61,5.68,4.99,6.68,1.607,518
2020-01-06T00:00:00.000Z,4.05,14.12,7.08,5.72,8.82,2.422,475
2020-01-07T00:00:00.000Z,3.7,10.89,5.19,4.3,6.19,1.888,321
2020-01-08T00:00:00.000Z,1.9,6.35,4.05,2.94,4.8,1.075,183
2020-01-09T00:00:00.000Z,1.6,18.02,2.52,2.19,4.65,4.507,184
