# Sensor Calle Europa - Outside, Providencia, Chile (Purple Air/94409)
# https://aqicn.org/station/@206194/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,1.8,123.1,6.7,4.1,11.7,8.784,299
2021-09-08T00:00:00.000Z,0.3,51.5,9.5,3.8,13.8,7.212,569
2021-09-09T00:00:00.000Z,10.3,52.8,29.8,21.7,39.2,9.571,595
2021-09-10T00:00:00.000Z,23.6,55.7,40.8,37.3,43.9,6.08,574
2021-09-11T00:00:00.000Z,18.9,49.9,42,38.4,44.3,7.279,614
2021-09-12T00:00:00.000Z,0,41.1,6.5,4.6,12.2,7.372,405
2021-09-13T00:00:00.000Z,0.8,20,3.8,2.6,4.9,1.753,559
2021-09-14T00:00:00.000Z,2.9,49.2,13.9,9,21.4,9.703,605
2021-09-15T00:00:00.000Z,10.5,49.7,20.7,16.95,31.05,10.931,604
2021-09-16T00:00:00.000Z,8.9,54.4,28.75,24.3,32,8.289,624
2021-09-17T00:00:00.000Z,8.3,42.9,19.8,14.55,29,8.636,609
2021-09-18T00:00:00.000Z,12.7,44.4,29.45,21.9,36.5,8.633,620
2021-09-19T00:00:00.000Z,11.3,40.6,24.4,19.1,33.4,7.224,607
2021-09-20T00:00:00.000Z,5.6,40.9,19.85,10.8,29.7,10.941,594
2021-09-21T00:00:00.000Z,14.3,198.4,28.6,25.35,30.8,10.021,608
2021-09-22T00:00:00.000Z,11.6,37.5,24.2,19.7,27.65,5.158,589
2021-09-23T00:00:00.000Z,10,41.7,24,16.8,31.1,8.408,470
2021-09-27T00:00:00.000Z,12.5,37.9,17.7,15.6,22.5,6.34,146
