# Sensor Cervantes.SR8.ex, Santiago, Chile (Purple Air/115333)
# https://aqicn.org/station/@363064/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-11-14T00:00:00.000Z,0,4,0.9,0.15,2,1.228,84
2022-11-15T00:00:00.000Z,0,31.9,7.7,2.7,17.2,9.146,495
2022-11-17T00:00:00.000Z,1.6,7.9,3.05,2.4,4.1,1.279,206
2022-11-18T00:00:00.000Z,0.1,28,8.6,4,16.1,7.516,640
2022-11-19T00:00:00.000Z,0,11.9,2.6,1.6,3.9,2.154,623
2022-11-20T00:00:00.000Z,0,24.2,5.7,3.2,7,4.783,530
2022-11-21T00:00:00.000Z,0,13.9,0.7,0.2,2.7,2.166,491
2022-11-22T00:00:00.000Z,0,17.1,2.9,1.3,4.4,2.781,632
2022-11-23T00:00:00.000Z,0,22.1,4.3,2.3,10.35,5.542,633
2022-11-24T00:00:00.000Z,0.6,30.4,5.6,4.1,8.3,6.56,451
