# Sensor Costanera - RespiraAccion, Temuco, Chile (Purple Air/47757)
# https://aqicn.org/station/@107212/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-03-22T00:00:00.000Z,2.18,112.26,34.4,12.49,52.43,27.53,266
2020-03-23T00:00:00.000Z,10.15,158.36,34.14,24.4,45.63,27.957,719
2020-03-24T00:00:00.000Z,3.57,198.58,11.61,7.7,27.07,19.022,718
2020-03-25T00:00:00.000Z,0.09,112.66,9.88,6.84,15.45,8.967,721
2020-03-26T00:00:00.000Z,1.8,129.69,9.66,6.82,14.81,8.446,719
2020-03-27T00:00:00.000Z,0.17,44.11,5.58,4.22,9.18,7.114,721
2020-03-28T00:00:00.000Z,2.35,216,12.1,5.51,29.46,18.883,723
2020-03-29T00:00:00.000Z,0.88,258.79,21.07,9.88,39.61,47.965,690
2020-03-30T00:00:00.000Z,1.34,85.82,15.77,6.02,31.17,16.055,718
2020-03-31T00:00:00.000Z,1.14,164.4,17.27,7.98,28.1,15.128,723
2020-04-01T00:00:00.000Z,0.13,152.25,19.45,12.3,37.44,16.928,686
2020-04-02T00:00:00.000Z,1.12,60.78,14.86,6.8,29.46,14.62,717
2020-04-03T00:00:00.000Z,0.98,66,14.84,7.98,22.55,9.822,714
2020-04-04T00:00:00.000Z,1.3,92.22,10.79,4.54,19.62,11.78,720
2020-04-05T00:00:00.000Z,6.05,372.41,32.79,24.45,44.64,24.539,682
2020-04-06T00:00:00.000Z,1.24,147.33,32.69,11.93,53.39,31.592,667
2020-04-07T00:00:00.000Z,6.1,124.56,30.66,16.79,45.4,22.65,617
2020-04-08T00:00:00.000Z,13.98,420.02,42.46,36.14,48.64,31.802,721
2020-04-09T00:00:00.000Z,11.57,156.24,34.49,24.67,39.81,15.445,722
2020-04-10T00:00:00.000Z,7.03,209.25,41.75,32.11,54.43,23.927,719
2020-04-11T00:00:00.000Z,4.74,68.92,17.71,9.33,34.35,13.33,549
2020-04-12T00:00:00.000Z,3.88,201.29,40.13,24.34,57.26,24.274,726
2020-04-13T00:00:00.000Z,5.11,230.19,62.69,35.21,90.05,42.864,721
2020-04-14T00:00:00.000Z,42.27,415.75,70.56,58.04,86.4,41.057,720
2020-04-15T00:00:00.000Z,60.61,439.55,110.49,83.12,161.25,63.618,701
2020-04-16T00:00:00.000Z,7.92,536.71,68.29,39.11,151.44,75.664,722
2020-04-17T00:00:00.000Z,12.22,484.5,40.15,32.21,79.38,98.139,716
2020-04-18T00:00:00.000Z,0.22,152.96,18.32,10.25,30.7,20.287,718
2020-04-19T00:00:00.000Z,3.22,274.64,37.25,23.89,68.53,43.087,717
2020-04-20T00:00:00.000Z,2.09,263.86,48.54,29.27,83.92,46.817,717
2020-04-21T00:00:00.000Z,12.8,520.89,43.81,30.91,71.59,65.95,717
2020-04-22T00:00:00.000Z,37.15,577.09,107.15,70.76,176.02,82.658,721
2020-04-23T00:00:00.000Z,17.98,524.21,124.07,47.75,208.58,98.379,723
2020-04-24T00:00:00.000Z,3.2,202.1,15.51,10.14,31.51,28.553,720
2020-04-25T00:00:00.000Z,1.66,215.85,20.22,9.09,33.76,23.098,719
2020-04-26T00:00:00.000Z,13.14,793.23,52.15,33.94,84.82,76.67,717
2020-04-27T00:00:00.000Z,1.12,264.83,18.84,7.53,40.2,35.05,723
2020-04-28T00:00:00.000Z,8.46,493.85,34.68,20.05,54.21,65.117,719
2020-04-29T00:00:00.000Z,6.78,613.19,56.89,40.7,126.84,146.314,719
2020-04-30T00:00:00.000Z,6.07,435.66,60.44,45.03,184.67,100.295,725
2020-05-01T00:00:00.000Z,43.38,656.84,90.57,61.23,204.52,165.515,690
2020-05-02T00:00:00.000Z,67.3,417.86,126.74,90.89,149.62,69.98,47
2020-05-03T00:00:00.000Z,9.26,728.97,54.38,21.82,111.22,82.762,724
2020-05-04T00:00:00.000Z,16.32,660.25,50.83,29.47,116.02,90.048,718
2020-05-05T00:00:00.000Z,5.98,710.02,55.75,34.51,196.19,170.181,720
2020-05-06T00:00:00.000Z,10.93,426.24,47.11,31.69,90.15,61.143,721
2020-05-07T00:00:00.000Z,27.04,613.97,86.49,55.43,134.88,81.992,546
2020-05-08T00:00:00.000Z,42.83,550.17,114.04,83.67,208.68,109.676,524
2020-05-09T00:00:00.000Z,8.98,234.12,35.29,24.97,44.92,30.587,476
2020-05-10T00:00:00.000Z,1.58,94.46,14.08,6.8,30.1,14.415,354
2020-05-11T00:00:00.000Z,39.22,551.39,153.26,59.23,265.16,120.646,481
2020-05-12T00:00:00.000Z,11.5,712.08,127.2,51.94,261.3,117.047,702
2020-05-13T00:00:00.000Z,26.4,1176.08,99.96,57.56,162.62,107.041,715
2020-05-14T00:00:00.000Z,33.93,745.39,93.26,63.89,166.45,134.493,714
2020-05-15T00:00:00.000Z,13.36,767.92,72.78,32.72,136.96,80.163,718
2020-05-16T00:00:00.000Z,15.85,391.33,53.72,35,87.01,42.601,724
2020-05-17T00:00:00.000Z,0.89,473.63,54.22,39.15,88.98,70.615,723
2020-05-18T00:00:00.000Z,36.1,643.34,93.39,62.15,168.44,133.163,704
2020-05-19T00:00:00.000Z,6.61,605.66,92.32,43.45,161.35,90.74,715
2020-05-20T00:00:00.000Z,34.97,702.22,99.67,63.86,157.6,97.006,721
2020-05-21T00:00:00.000Z,25.28,830.24,92.4,58.61,187.86,163.159,716
2020-05-22T00:00:00.000Z,37.21,835.42,108.6,66.12,310.97,180.979,720
2020-05-23T00:00:00.000Z,69.81,1118.24,224.13,147.52,371.28,154.675,717
2020-05-24T00:00:00.000Z,30.98,1091.34,103.35,59.76,237.52,157.836,716
2020-05-25T00:00:00.000Z,5.95,760.29,84.1,36.54,139.22,166.353,678
2020-05-26T00:00:00.000Z,16.04,564.22,114.67,59.56,199.85,90.592,717
2020-05-27T00:00:00.000Z,9.19,357.56,42.25,25.48,72.72,50.231,717
2020-05-28T00:00:00.000Z,8,526.77,83.92,43.07,147.69,80.245,718
2020-05-29T00:00:00.000Z,21.22,759.98,89.63,46.41,235.24,155.557,719
2020-05-30T00:00:00.000Z,38.04,838.87,147.6,76.65,359.24,175.917,721
2020-05-31T00:00:00.000Z,34.07,682.22,95.33,59.09,327.86,169.7,718
2020-06-01T00:00:00.000Z,49.68,787.13,156.56,104.5,441.42,204.602,311
2020-06-22T00:00:00.000Z,58.96,811.05,324.62,103.96,445.17,196.297,67
2020-06-23T00:00:00.000Z,4.69,754.76,202.02,43.36,338.71,166.65,651
2020-06-24T00:00:00.000Z,0.83,719.17,97.7,43.4,180.39,138.668,645
2020-06-25T00:00:00.000Z,27.88,715.45,130.26,84.22,209.28,114.086,667
2020-06-26T00:00:00.000Z,2.14,772.65,106.88,44.45,207.89,169.61,648
2020-06-27T00:00:00.000Z,6.11,531.84,69.37,27.89,124.24,101.419,607
2020-06-28T00:00:00.000Z,1.75,605.05,44.68,16.11,153.29,116.676,578
2020-06-29T00:00:00.000Z,10.07,601.1,111.32,48.42,218.54,115.878,553
2020-06-30T00:00:00.000Z,6.02,493.7,92.23,28.11,224.23,123.133,522
2020-07-01T00:00:00.000Z,0.72,621.84,73.62,11.08,128.49,103.072,517
2020-07-02T00:00:00.000Z,19.3,694.94,205.5,92.55,384.7,168.666,535
2020-07-03T00:00:00.000Z,1.2,742.22,51.75,27.11,137.52,155.789,534
2020-07-04T00:00:00.000Z,14.08,675.24,77.37,42.18,195.09,154.655,578
2020-07-05T00:00:00.000Z,14.37,820.27,89.88,42.52,181.03,174.921,548
2020-07-06T00:00:00.000Z,39.54,693.38,136.71,78.16,320.68,155.055,347
2020-07-07T00:00:00.000Z,36.93,900.43,124.53,67.62,236.12,211.027,535
2020-07-08T00:00:00.000Z,19.18,596.08,132.27,65.47,234.69,111.855,533
2020-07-09T00:00:00.000Z,8.84,508.69,42.92,24.82,69.19,74.296,565
2020-07-10T00:00:00.000Z,3.12,431.92,33.53,12.42,46.34,47.83,563
2020-07-11T00:00:00.000Z,1.5,559.12,58.21,32.54,139.53,122.811,462
2020-07-12T00:00:00.000Z,8.47,582.59,107.94,41.75,187.5,98.279,559
2020-07-13T00:00:00.000Z,24.26,774.22,107.28,55.3,198.67,145.708,560
2020-07-14T00:00:00.000Z,49,792.52,136.1,83.35,277.7,184.887,544
2020-07-15T00:00:00.000Z,46.64,753.69,242.7,119.04,423.33,188.067,559
2020-07-16T00:00:00.000Z,49.16,872.95,225.22,145.57,391.59,178.807,540
2020-07-17T00:00:00.000Z,3.07,570.51,65.45,34.38,119.13,106.375,566
2020-07-18T00:00:00.000Z,3.83,746.74,69.62,26,220.04,149.264,563
2020-07-19T00:00:00.000Z,4.09,512.22,46.21,27.05,112.49,94.912,576
2020-07-20T00:00:00.000Z,1.24,680.47,137.35,30.26,235.02,130.234,545
2020-07-21T00:00:00.000Z,19.62,826.89,94.28,50.29,189.77,130.812,537
2020-07-22T00:00:00.000Z,18.28,704.95,155.82,76.86,279.86,151.296,531
2020-07-23T00:00:00.000Z,7.46,768.71,210.7,86.49,420.39,201.646,531
2020-07-24T00:00:00.000Z,51.65,717.59,190.9,95.33,294.44,141.651,547
2020-07-25T00:00:00.000Z,14.14,659.08,68.23,40.15,125.05,66.535,558
2020-07-26T00:00:00.000Z,1.12,225.16,36.56,15.31,63.38,37.344,505
2020-07-27T00:00:00.000Z,7.72,714.4,151.94,54.94,256.64,132.068,524
2020-07-28T00:00:00.000Z,34.59,962.68,159.32,111.39,360.11,195.879,480
2020-07-29T00:00:00.000Z,38.03,1120.18,304.74,111.12,514.26,232.428,492
2020-07-30T00:00:00.000Z,51.87,842.81,226.3,134,341.45,140.912,494
2020-07-31T00:00:00.000Z,10.27,905.14,176.33,66.44,305.13,165.55,508
2020-08-01T00:00:00.000Z,8.94,861.26,156.26,35.97,344.15,183.781,493
2020-08-02T00:00:00.000Z,10.95,989.22,139.65,61.38,251.37,158.699,485
2020-08-03T00:00:00.000Z,22.09,810.24,80.27,48.71,261.95,181.406,479
2020-08-04T00:00:00.000Z,17.34,540.52,98.26,42.09,199.52,116.605,550
2020-08-05T00:00:00.000Z,1.57,535.16,29.95,13.45,54.64,97.394,612
2020-08-06T00:00:00.000Z,7.68,626.2,120.33,71.47,258.33,144.334,633
2020-08-07T00:00:00.000Z,36.97,658.55,135.12,81.56,250.2,106.06,636
2020-08-08T00:00:00.000Z,31.25,818.02,175.15,97.41,344.37,171.088,645
2020-08-09T00:00:00.000Z,24.33,596.02,78.53,41.72,211.94,124.103,628
2020-08-10T00:00:00.000Z,2.14,561.19,58.3,34.86,117.24,86.587,614
2020-08-11T00:00:00.000Z,15.69,1015.33,136.47,59.19,334.38,201.338,636
2020-08-12T00:00:00.000Z,31.25,812.44,251.29,95.12,348.19,153.554,614
2020-08-13T00:00:00.000Z,8.49,936.66,129.76,59.07,285.22,158.534,638
2020-08-14T00:00:00.000Z,5.18,1021.63,79.72,47.27,135.07,125.055,636
2020-08-15T00:00:00.000Z,12.62,956.54,67.91,38.77,127.09,99.723,597
2020-08-16T00:00:00.000Z,13.79,1108.95,118.02,48.91,226.93,148.292,631
2020-08-17T00:00:00.000Z,15.51,773.4,93.76,42.69,217.3,110.046,628
2020-08-18T00:00:00.000Z,4.15,481.27,48.72,25.99,98.64,74.643,616
2020-08-19T00:00:00.000Z,17.36,683.58,101.14,64.94,220.31,145.549,592
2020-08-20T00:00:00.000Z,7.2,415.54,45.73,32.9,84.23,61.117,570
2020-08-21T00:00:00.000Z,14.39,301.25,87.91,49.35,124.98,48.74,579
2020-08-22T00:00:00.000Z,35.35,547.8,108.36,65.39,200.67,91.56,514
2020-08-23T00:00:00.000Z,37.71,765.37,102.86,77.83,186.55,160.09,545
2020-08-24T00:00:00.000Z,16.16,515.91,50.8,35.6,85.32,61.942,493
2020-08-25T00:00:00.000Z,0.02,542.54,32.93,5.72,54.15,60.122,489
2020-08-26T00:00:00.000Z,0.24,385.1,47.49,13.74,109.18,75.434,510
2020-08-27T00:00:00.000Z,7.6,899.01,51.09,22.56,90.28,81.863,577
2020-08-28T00:00:00.000Z,2.7,486.32,60.84,18.76,127.59,89.631,521
2020-08-29T00:00:00.000Z,15.88,813.86,102.3,39.39,236.54,138.1,521
2020-08-30T00:00:00.000Z,16.23,563.19,122.75,60.81,251.68,126.634,515
2020-08-31T00:00:00.000Z,13.68,610.91,51.05,37.18,109.54,97.468,499
2020-09-01T00:00:00.000Z,10.47,679.54,89.53,56.58,181.77,126.075,526
2020-09-02T00:00:00.000Z,26.36,788.69,65.36,48.9,112.95,83.404,505
2020-09-03T00:00:00.000Z,16.32,501.33,55.75,34.86,104.39,61.053,498
2020-09-04T00:00:00.000Z,49.63,819.79,161.53,99.83,256.89,154.644,480
2020-09-05T00:00:00.000Z,32.1,611.3,144.81,69.47,321.36,152.261,490
2020-09-06T00:00:00.000Z,28.91,799.6,105.39,65.33,267.29,172.38,499
2020-09-07T00:00:00.000Z,23.79,389.87,65.26,47.65,92.96,46.946,472
2020-09-08T00:00:00.000Z,11.04,331.21,58.02,29.44,114.36,69.622,406
2020-09-09T00:00:00.000Z,15.04,653.3,65.55,43.86,183.64,112.827,391
2020-09-10T00:00:00.000Z,5.61,256.39,34.03,14.52,71.53,56.213,404
2020-09-11T00:00:00.000Z,15.02,747.05,82.55,53.04,208.66,133.807,339
2020-09-12T00:00:00.000Z,3.58,564.82,46.93,29.4,185.89,127.688,327
2020-09-13T00:00:00.000Z,4.73,879.71,94.33,52.88,195.1,177.704,393
2020-09-14T00:00:00.000Z,10.33,783.37,56.53,34.11,123.56,76.981,347
2020-09-15T00:00:00.000Z,3.86,257.61,44.74,15.13,61.2,43.691,340
2020-09-16T00:00:00.000Z,5.46,512.47,41.87,21.02,78.15,62.277,444
2020-09-17T00:00:00.000Z,10.97,286.79,42.39,32.46,62.28,40.427,361
2020-09-18T00:00:00.000Z,9.25,481.64,88.81,47.84,148.88,101.171,363
2020-09-19T00:00:00.000Z,5.93,407.23,33.69,22.95,86.43,90.045,431
2020-09-20T00:00:00.000Z,5.92,386.77,27.63,18.17,99.58,86.378,432
2020-09-21T00:00:00.000Z,12.07,718.69,36.44,24.73,51.4,58.935,420
2020-09-22T00:00:00.000Z,2.61,667.11,23.57,10.7,51.77,67.547,432
2020-09-23T00:00:00.000Z,13.17,349.1,49.24,34.36,65.51,37.468,449
2020-09-24T00:00:00.000Z,14.85,647.97,45.05,32.21,58.72,61.251,469
2020-09-25T00:00:00.000Z,36.57,857.97,59.79,45.51,93.06,93.539,493
2020-09-26T00:00:00.000Z,10.36,343.73,46.15,32.39,68.91,43.185,489
2020-09-27T00:00:00.000Z,6.62,512,42.41,29.82,65.79,70.188,480
2020-09-28T00:00:00.000Z,4.22,249.27,40.95,27.48,62.9,30.979,469
2020-09-29T00:00:00.000Z,5.53,889.3,37.43,25.13,47.68,68.547,437
2020-09-30T00:00:00.000Z,2.47,286.36,23.86,10.03,37.64,25.838,389
2020-10-01T00:00:00.000Z,6.9,415.23,50.7,39.97,135.4,95.029,309
2020-10-02T00:00:00.000Z,10.59,316.82,35.81,29.53,48.2,52.464,290
2020-10-03T00:00:00.000Z,2.31,668.47,93.35,67.51,147.66,97.998,284
2020-10-04T00:00:00.000Z,5.73,406.74,55.76,34.39,108.82,79.968,296
2020-10-05T00:00:00.000Z,9.68,256.64,37.7,27.54,54.11,37.179,318
2020-10-06T00:00:00.000Z,8.68,544.29,56.09,40.7,135.72,107.738,340
2020-10-07T00:00:00.000Z,6.03,596.3,50.09,32.18,116.48,91.442,329
2020-10-08T00:00:00.000Z,11,598,44.61,32.32,95.63,84.091,309
2020-10-09T00:00:00.000Z,2.5,442.58,35.46,14.33,53.06,51.111,368
2020-10-10T00:00:00.000Z,1.49,234.57,23.59,8.89,34.03,17.978,397
2020-10-11T00:00:00.000Z,4.73,122.61,21.77,12.9,35.35,23.486,416
2020-10-12T00:00:00.000Z,5.45,49.86,16.26,11.41,30.61,11.449,371
2020-10-13T00:00:00.000Z,3.56,50.43,13.77,8.34,30.65,11.88,397
2020-10-14T00:00:00.000Z,3.44,43.53,12.78,8,19.53,9.231,394
2020-10-15T00:00:00.000Z,4.95,174,21.68,15.86,30.33,19.135,394
2020-10-16T00:00:00.000Z,5.2,227.41,22.8,16.02,31.69,17.259,421
2020-10-17T00:00:00.000Z,14.65,129.87,29.89,20.53,37.51,12.069,410
2020-10-18T00:00:00.000Z,2.16,233.6,38.93,10.88,64.7,36.93,410
2020-10-19T00:00:00.000Z,2.29,505.05,32.14,18.2,48.33,52.019,423
2020-10-20T00:00:00.000Z,2.19,211.86,19.05,12.09,34.26,16.937,402
2020-10-21T00:00:00.000Z,2.2,118.16,18.38,11.35,25.13,12.518,392
2020-10-22T00:00:00.000Z,4.36,174.78,21.22,9.94,34.5,18.273,397
2020-10-23T00:00:00.000Z,1.81,282.14,15.46,7.57,23.02,19.59,388
2020-10-24T00:00:00.000Z,15.22,770.79,49.08,33.21,68.84,59.778,412
2020-10-25T00:00:00.000Z,4.53,481.86,46.91,26.07,142.86,81.209,513
2020-10-26T00:00:00.000Z,9.31,345.1,56.67,41.76,126.2,59.081,464
2020-10-27T00:00:00.000Z,1.8,717.65,25.94,15.33,48.64,60.728,408
2020-10-28T00:00:00.000Z,1.98,223.32,21.35,10.05,37.04,26.667,420
2020-10-29T00:00:00.000Z,2.5,136.71,20.88,9.71,47.28,29.912,426
2020-10-30T00:00:00.000Z,1.09,50.6,19.02,8.69,29.46,12.224,450
2020-10-31T00:00:00.000Z,2.36,75.62,14.47,9.43,19.09,7.414,427
2020-11-01T00:00:00.000Z,3.89,64.67,13.32,9.4,18.67,9.088,463
2020-11-02T00:00:00.000Z,4.51,226.34,20.54,7.88,31.48,18.714,440
2020-11-03T00:00:00.000Z,4.73,243.49,23.21,12.03,36.64,27.816,450
2020-11-04T00:00:00.000Z,1.6,101.53,11.77,7.29,24.95,14.106,310
2020-11-05T00:00:00.000Z,3.12,206.02,23.37,12.03,36.54,21.502,297
2020-11-06T00:00:00.000Z,2.4,42.43,13.06,7.17,22.09,8.969,312
2020-11-07T00:00:00.000Z,2,120.02,14.77,8.78,18.25,11.941,354
2020-11-08T00:00:00.000Z,5.53,57.63,15.56,10.69,21.32,7.527,303
2020-11-09T00:00:00.000Z,3.44,36.64,10.52,6.88,19.42,7.826,239
2020-11-10T00:00:00.000Z,4.51,37.09,15.1,10.79,20.54,7.608,298
2020-11-11T00:00:00.000Z,0.48,63.02,11.34,5.59,31.49,14.663,288
2020-11-12T00:00:00.000Z,1.53,65.8,8.82,6.29,15.16,9.346,294
2020-11-13T00:00:00.000Z,7.47,132.09,24.6,17.48,28.7,10.737,265
2020-11-14T00:00:00.000Z,2.43,203.73,20.76,9.68,38.85,27.807,276
2020-11-15T00:00:00.000Z,2.19,50.09,14.26,5.17,23.08,10.31,256
2020-11-16T00:00:00.000Z,2.06,458.44,8.96,4.71,16.05,29.357,252
2020-11-17T00:00:00.000Z,2.14,38.28,9.84,6.74,14.59,5.452,245
2020-11-20T00:00:00.000Z,24.56,41.88,35.78,30.65,38.38,4.51,30
2020-11-21T00:00:00.000Z,4.7,176.11,23.92,11.55,38.85,26.302,266
2020-11-22T00:00:00.000Z,2,332.33,17.51,11.18,25.49,29.93,266
2020-11-23T00:00:00.000Z,1.25,292.17,15.1,4.24,28.23,48.76,231
2020-11-24T00:00:00.000Z,6.95,158.21,23.27,17.66,37.22,16.867,276
2020-11-25T00:00:00.000Z,4.04,77.7,23.61,11.81,33.99,13.316,273
2020-11-26T00:00:00.000Z,1.11,119.09,19.53,5.11,40.36,22.893,249
2020-11-27T00:00:00.000Z,0.84,46.91,9.94,5.57,14.91,6.606,242
2020-11-28T00:00:00.000Z,4.01,218.65,17.55,12.24,27.32,16.793,249
2020-11-29T00:00:00.000Z,0.98,105.79,9.03,4.71,15.52,12.165,255
2020-11-30T00:00:00.000Z,1.02,36.28,9.15,4.47,13.88,6.655,225
2020-12-01T00:00:00.000Z,1.18,23,5.53,3.61,7.45,3.459,225
2020-12-02T00:00:00.000Z,0.85,71.44,8.19,5.36,11.41,6.573,258
2020-12-03T00:00:00.000Z,1.25,107.8,6.39,3.84,9.56,9.348,222
2020-12-04T00:00:00.000Z,1.21,39.42,5.96,3.37,17.87,10.238,249
2020-12-05T00:00:00.000Z,2.47,54.28,10.09,6.88,12.97,6.411,243
2020-12-06T00:00:00.000Z,2.06,112.64,7.22,4.34,9.25,6.996,306
2020-12-07T00:00:00.000Z,0.53,103.27,5.41,3.11,8.57,10.273,244
2020-12-08T00:00:00.000Z,1.43,91.78,8.63,5.09,13.84,11.631,234
2021-04-10T00:00:00.000Z,19.9,195.9,40.5,32.6,56.2,26.075,242
