# Sensor Escuela Juan Bautista Chesta, Pitrufquén, Chile (Purple Air/177685)
# https://aqicn.org/station/@417172/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-09-28T00:00:00.000Z,1.8,97.1,24.2,11.9,38.04,18.709,204
2023-09-29T00:00:00.000Z,0,115.1,7.8,3.8,19.5,20.367,604
2023-09-30T00:00:00.000Z,0,100.2,6.3,3,16.6,15.423,642
2023-10-01T00:00:00.000Z,0.7,106.4,18.8,10.05,30.45,15.161,617
2023-10-02T00:00:00.000Z,3,314.1,33.1,19.8,44.7,29.897,679
2023-10-03T00:00:00.000Z,1.2,276.9,20.95,8.5,34.2,42.492,656
2023-10-04T00:00:00.000Z,0.5,613,34.5,6.2,63.65,57.71,625
2023-10-05T00:00:00.000Z,1,152.1,24.1,10.6,46.3,30.087,554
2023-10-06T00:00:00.000Z,1.8,211.5,19.2,8.94,44.1,34.056,624
2023-10-07T00:00:00.000Z,0.6,239.9,20.65,7.6,46.8,40.894,572
2023-10-08T00:00:00.000Z,1.3,239.5,29.1,16.6,50.45,42.481,640
2023-10-09T00:00:00.000Z,1.5,363.4,28.5,9.19,49.6,55.476,656
2023-10-10T00:00:00.000Z,5.6,178,36.79,25.35,47,23.377,645
2023-10-11T00:00:00.000Z,0.8,227.4,14.15,5,41.3,32.441,666
2023-10-12T00:00:00.000Z,1.9,313.5,11.9,5.5,24.9,27.644,662
2023-10-13T00:00:00.000Z,1.3,154.9,8.4,4.5,24.9,33.008,633
2023-10-14T00:00:00.000Z,1.6,150.4,21.7,6.15,46.65,28.484,644
2023-10-15T00:00:00.000Z,2.8,181,15.9,9.3,34.29,19.383,651
2023-10-16T00:00:00.000Z,0.9,203.1,24.8,7.7,41.1,30.785,691
2023-10-17T00:00:00.000Z,0.4,372.4,7.1,2.8,13.9,23.933,669
2023-10-18T00:00:00.000Z,2.7,233.1,15.2,11.2,20.4,15.317,623
2023-10-19T00:00:00.000Z,4,303.4,15.8,10.3,30.6,21.726,559
2023-10-20T00:00:00.000Z,0.6,616.3,11.25,6,20.1,36.289,586
2023-10-21T00:00:00.000Z,0.8,318.2,9.1,4.4,26.1,19.615,575
2023-10-22T00:00:00.000Z,1.6,102.8,6.1,3.4,37.2,21.742,573
2023-10-23T00:00:00.000Z,3.5,160,19.89,10.2,28.9,15.34,666
2023-10-24T00:00:00.000Z,3.8,461.6,14.7,7.6,32.4,31.978,575
2023-10-25T00:00:00.000Z,0.3,126.4,7.4,2.9,32.2,24.509,570
2023-10-26T00:00:00.000Z,0.3,321.9,13.05,3.5,27.6,27.628,658
2023-10-27T00:00:00.000Z,8.3,190,31.7,23.3,41.1,18.337,575
2023-10-28T00:00:00.000Z,0,118.9,15.8,6.5,26.1,13.739,644
2023-10-29T00:00:00.000Z,2.5,120,19.89,11.4,30.75,18.363,664
2023-10-30T00:00:00.000Z,4.4,225.5,35.95,22.6,47.1,29.74,634
2023-10-31T00:00:00.000Z,0,381.6,35.45,4.2,94.4,74.588,616
2023-11-01T00:00:00.000Z,3.8,164.6,34.45,23.85,46.5,22.679,660
2023-11-02T00:00:00.000Z,0.6,424.3,34.7,9.6,46.5,54.086,575
2023-11-03T00:00:00.000Z,0.4,241.9,22.1,6.65,47.4,29.867,621
2023-11-04T00:00:00.000Z,0,66.4,21.7,4.3,38.2,17.9,663
2023-11-05T00:00:00.000Z,3.6,210.7,20.3,13.6,32.5,21.782,666
2023-11-06T00:00:00.000Z,9.3,523.7,46.8,26.1,73.5,54.62,651
2023-11-07T00:00:00.000Z,0.6,149.2,19,7.5,31.1,16.009,629
2023-11-08T00:00:00.000Z,0,123,11.8,3.1,33.3,24.42,659
2023-11-09T00:00:00.000Z,0.4,181.5,7.5,2.7,35.4,33.953,613
2023-11-10T00:00:00.000Z,1.6,122.8,14.8,7.9,23.2,13.232,643
2023-11-11T00:00:00.000Z,0.9,88.9,16.14,7.9,25.1,13.207,646
2023-11-12T00:00:00.000Z,1.5,174.9,18.45,10.2,33.4,29.2,408
2023-11-13T00:00:00.000Z,0.8,301.2,24.4,13,54,43.493,632
2023-11-14T00:00:00.000Z,0.7,172.4,13,5.4,34.9,28.133,633
2023-11-15T00:00:00.000Z,6.3,292.2,33.3,20.35,58.15,48.708,481
