# Sensor Escuela Las Americas, Pitrufquén, Chile (Purple Air/177647)
# https://aqicn.org/station/@412366/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-08-21T00:00:00.000Z,11.7,123.1,29.2,21.6,60.5,27.07,190
2023-08-22T00:00:00.000Z,3.2,328.5,44.25,25.6,69.8,53.791,658
2023-08-23T00:00:00.000Z,3.3,444.8,47.2,33.1,86.85,73.162,653
2023-08-24T00:00:00.000Z,2.5,840.3,55.4,32.15,93.45,111.859,664
2023-08-25T00:00:00.000Z,5.7,594.6,82.4,41.7,229.6,145.38,619
2023-08-26T00:00:00.000Z,2.5,679.2,176.2,28.7,327.8,172.869,631
2023-08-27T00:00:00.000Z,9.7,660.5,83,27.8,162.6,108.047,654
2023-08-28T00:00:00.000Z,5,705.2,41.25,26.55,83.2,64.876,596
2023-08-29T00:00:00.000Z,20.5,539.9,91.5,63.9,195.9,124.746,626
2023-08-30T00:00:00.000Z,2.4,234.8,31.75,19.85,48.75,31.783,660
2023-08-31T00:00:00.000Z,22.5,649.3,89.6,62.55,144.19,87.967,633
2023-09-01T00:00:00.000Z,7,491.3,30.3,21.3,41.75,63.117,632
2023-09-02T00:00:00.000Z,2.9,525.7,106.65,23,196.5,115.487,660
2023-09-03T00:00:00.000Z,0.4,620.3,79.8,42.5,150.4,128.816,643
2023-09-04T00:00:00.000Z,5.8,495.6,70.7,33.79,120,68.18,647
2023-09-05T00:00:00.000Z,7.7,295.9,42.25,27.8,67.7,57.785,682
2023-09-06T00:00:00.000Z,4.2,215.1,29.7,15.95,43.5,22.151,640
2023-09-07T00:00:00.000Z,2.9,126.1,33.7,17.14,45.7,21.436,673
2023-09-08T00:00:00.000Z,8.7,501.2,142.44,71.59,161,69.172,666
2023-09-09T00:00:00.000Z,1.2,510.9,155.94,143.69,178.05,81.762,644
2023-09-10T00:00:00.000Z,137.4,635.5,178.9,161.9,208.7,87.356,651
2023-09-18T00:00:00.000Z,0.9,646.3,98.55,21.3,235.6,160.846,658
2023-09-19T00:00:00.000Z,1.8,624.4,25.4,8.6,185.25,159.222,665
2023-09-20T00:00:00.000Z,3.6,221.9,27.9,16.05,47.85,35.53,625
2023-09-21T00:00:00.000Z,9.3,250.5,36.35,26.6,46,24.95,654
2023-09-22T00:00:00.000Z,2.5,110.6,33.04,19.8,44.7,21.525,622
2023-09-23T00:00:00.000Z,1.5,456.6,89.3,14.5,167.6,99.339,627
2023-09-24T00:00:00.000Z,2.7,257.1,42.3,19.8,63.95,33.073,608
2023-09-25T00:00:00.000Z,8.1,396.5,56.65,30,122.8,78.777,666
2023-09-26T00:00:00.000Z,1.6,333,51,21.3,98.3,59.576,602
2023-09-27T00:00:00.000Z,28.3,374.8,74.8,49.4,112.6,57.975,503
2023-09-28T00:00:00.000Z,0.5,416.8,22.5,6.8,54.5,44.009,659
2023-09-29T00:00:00.000Z,0.1,278.1,4.7,2.8,18.7,53.178,637
2023-09-30T00:00:00.000Z,0.2,159.3,17.45,4.5,39,25.038,628
2023-10-01T00:00:00.000Z,0,87.7,13,6,23.2,16.605,622
2023-10-02T00:00:00.000Z,3.7,467,26.75,16.39,45.9,29.624,518
2023-10-03T00:00:00.000Z,0.5,174.6,28.1,8.1,49.1,36.262,611
2023-10-04T00:00:00.000Z,0.8,562,51.2,19.45,76.9,49.913,560
2023-10-05T00:00:00.000Z,0.9,164.2,33.79,9.3,51.2,28.55,643
2023-10-06T00:00:00.000Z,1,166.9,16.1,8.69,42.9,32.32,640
2023-10-07T00:00:00.000Z,0.8,377.5,40,8.5,79.3,70.261,675
2023-10-08T00:00:00.000Z,2.9,275.8,30.55,16.6,74.3,56.052,662
2023-10-09T00:00:00.000Z,2.7,291.7,41.9,17.39,65,48.592,635
2023-10-10T00:00:00.000Z,2.2,239.8,38.25,22.8,52.2,24.78,634
2023-10-11T00:00:00.000Z,0.6,158.7,12.4,4.7,35.95,33.825,652
2023-10-12T00:00:00.000Z,1.1,129.6,13.7,5.3,42.65,26.045,657
2023-10-13T00:00:00.000Z,1.4,224,21.4,5.8,67,38.483,663
2023-10-14T00:00:00.000Z,1.7,162.2,32.4,5.4,51,27.247,663
2023-10-15T00:00:00.000Z,2.2,78.2,15.05,8.55,31,15.678,660
2023-10-16T00:00:00.000Z,0.8,195.8,26.85,4.5,60.5,36.834,666
2023-10-17T00:00:00.000Z,0.2,410.9,4.84,2.3,12.05,29.157,648
2023-10-18T00:00:00.000Z,4.9,181.5,20.9,14.4,31.7,21.536,635
2023-10-19T00:00:00.000Z,4.3,113.1,24.85,11.8,40.29,19.34,638
2023-10-20T00:00:00.000Z,1.8,235.3,9.4,5.8,25.5,19.942,546
2023-10-21T00:00:00.000Z,1.3,109.9,16.55,6.2,27.3,15.435,656
2023-10-22T00:00:00.000Z,1.7,306.9,13.4,3.8,47.5,31.647,667
2023-10-23T00:00:00.000Z,3.3,174.4,18.55,9.05,29.7,19.573,636
2023-10-24T00:00:00.000Z,2.9,954.7,21.7,8.15,41.25,51.785,632
2023-10-25T00:00:00.000Z,1.4,143.7,17.2,4.09,43.5,23.247,650
