# Sensor Estación centro, Pitrufquén, Chile (Purple Air/177601)
# https://aqicn.org/station/@404980/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-06-23T00:00:00.000Z,38.8,176.7,75.2,57.55,108.05,33.022,193
2023-06-24T00:00:00.000Z,2.8,418.6,27.9,14.7,53.3,76.315,679
2023-06-25T00:00:00.000Z,0,118.5,22.8,13.8,40.4,22.08,655
2023-06-26T00:00:00.000Z,1.3,213.5,32.79,16,43.6,32.759,675
2023-06-27T00:00:00.000Z,3.4,212.5,33.29,22.2,47.15,30.62,685
2023-06-28T00:00:00.000Z,5.7,485.5,62.6,40.45,98.8,52.021,664
2023-06-29T00:00:00.000Z,7,487,46,33.79,69.3,81.342,662
2023-06-30T00:00:00.000Z,21.3,905.8,66.09,45.6,150.19,199.598,670
2023-07-01T00:00:00.000Z,5.9,569.4,55.05,39.1,138.19,112.418,682
2023-07-02T00:00:00.000Z,3.1,171.3,14.6,9.69,35,30.441,667
2023-07-03T00:00:00.000Z,3.3,219.9,31.25,14.7,53.4,34.07,678
2023-07-04T00:00:00.000Z,2.1,421.3,20.6,11.1,35.15,60.208,684
2023-07-05T00:00:00.000Z,11.4,796.3,48.55,31.7,99.5,128.499,670
2023-07-06T00:00:00.000Z,4.8,572.4,68.15,44.4,145.25,122.891,668
2023-07-07T00:00:00.000Z,38.5,707.1,105.6,67.5,174.15,143.087,664
2023-07-08T00:00:00.000Z,3.7,89,19,12,35.79,16.956,675
2023-07-09T00:00:00.000Z,6.4,410.8,65.2,38.04,110.8,79.846,677
2023-07-10T00:00:00.000Z,3.5,607.5,130.75,30.15,236.6,138.636,680
2023-07-11T00:00:00.000Z,42.6,505.8,125.7,70.25,197.7,90.597,684
2023-07-12T00:00:00.000Z,24.6,633.6,91.9,55,189.95,102.373,669
2023-07-13T00:00:00.000Z,42.8,622.9,134,79.95,227.55,102.339,641
2023-07-14T00:00:00.000Z,20.8,521.3,90.4,48.25,209.85,107.852,625
2023-07-15T00:00:00.000Z,21.7,761,90.35,52.6,223.4,153.266,666
2023-07-16T00:00:00.000Z,7.1,939.5,39.9,20,139,177.675,657
2023-07-17T00:00:00.000Z,14.5,962.5,53.4,33.7,118.75,174.447,668
2023-07-18T00:00:00.000Z,40,962.8,126.8,79.3,215.5,148.384,675
2023-07-19T00:00:00.000Z,13.7,213.2,50.85,37.9,84,40.556,674
2023-07-20T00:00:00.000Z,4.9,388.7,39.29,28.8,56.8,43.906,691
2023-07-21T00:00:00.000Z,2.6,186.5,34.29,19.8,46.3,26.829,673
2023-07-22T00:00:00.000Z,2.2,262.3,43.8,28.6,61.1,41.933,658
2023-07-23T00:00:00.000Z,15,509.6,98.5,52.7,180,95.118,666
2023-07-24T00:00:00.000Z,8.3,649.5,61,37,174.5,137.972,651
2023-07-25T00:00:00.000Z,2.9,177.6,25.4,16.9,37.95,23.25,617
2023-07-26T00:00:00.000Z,10.3,573.6,78.25,50.1,138.8,95.633,622
2023-07-27T00:00:00.000Z,20.9,430.7,69,43.2,136.19,85.043,667
2023-07-28T00:00:00.000Z,37.7,716,117.2,77.7,253,165.814,388
2023-08-01T00:00:00.000Z,7.6,59.4,26.1,17.14,35.6,11.35,257
2023-08-02T00:00:00.000Z,3.9,204.3,44.2,23.3,56.05,30.23,636
2023-08-03T00:00:00.000Z,2.6,310.8,21.6,9.85,48.05,43.643,645
2023-08-04T00:00:00.000Z,5,373.9,40,16.5,89.3,64.553,672
2023-08-05T00:00:00.000Z,10.5,442.4,47.4,30.35,100.8,79.007,669
2023-08-06T00:00:00.000Z,21.3,601.8,72.6,46.2,134.6,113.986,663
2023-08-07T00:00:00.000Z,31.1,805.5,157.19,73,282.39,166.425,635
2023-08-08T00:00:00.000Z,40,831.1,137.05,99.75,212.65,142.391,700
2023-08-09T00:00:00.000Z,32,369.3,73.5,50.55,122.4,58.853,673
2023-08-10T00:00:00.000Z,2.6,155.6,23.9,12.3,40.1,22.331,683
2023-08-11T00:00:00.000Z,2.6,601.2,50.1,30.35,70.65,80.837,681
2023-08-12T00:00:00.000Z,2.6,562.2,97.8,45.3,215.2,130.443,683
2023-08-13T00:00:00.000Z,6.1,798.6,45.5,25.2,94.1,156.42,671
2023-08-14T00:00:00.000Z,21.7,741.5,45.7,36.9,112.5,175.937,665
2023-08-15T00:00:00.000Z,8.5,95.7,40.79,32.45,46.15,13.143,656
2023-08-16T00:00:00.000Z,8,445.3,42,30.1,64.3,39.453,637
2023-08-17T00:00:00.000Z,1.5,342.9,19.89,11.9,40.29,64.087,691
2023-08-18T00:00:00.000Z,4,507.5,38.2,17.55,73.34,72.259,656
2023-08-19T00:00:00.000Z,0.2,156,26.1,6.15,44.45,29.818,661
2023-08-20T00:00:00.000Z,1.7,105.8,22.65,14.7,42,17.7,636
2023-08-21T00:00:00.000Z,0.8,134.4,18.75,12.5,26.3,18.493,620
2023-08-22T00:00:00.000Z,2.5,420.8,35.4,19.6,56.4,49.696,678
2023-08-23T00:00:00.000Z,4.2,389.1,44.9,31.85,60.75,69.413,645
2023-08-24T00:00:00.000Z,1,541,47.6,18.39,75,107.075,649
2023-08-25T00:00:00.000Z,5.1,623.5,99.8,39.29,268.35,160.898,632
2023-08-26T00:00:00.000Z,2.7,781.5,208.1,25.1,336.8,184.885,656
2023-08-27T00:00:00.000Z,4.5,699.2,70.2,20.8,140.3,120.299,670
2023-08-28T00:00:00.000Z,2.5,233.4,32.6,16.89,52.9,44.791,669
2023-08-29T00:00:00.000Z,17.3,790.4,82.8,46.1,257,156.058,675
2023-08-30T00:00:00.000Z,3.6,241,27.5,15.6,40.1,19.985,656
2023-08-31T00:00:00.000Z,23.8,691.4,72.7,48.6,142.3,107.407,655
2023-09-01T00:00:00.000Z,7.3,259.4,24,16.45,36.3,33.442,672
2023-09-02T00:00:00.000Z,1.9,570.2,110.65,18.1,212,133.248,650
