# Sensor Eulogio Altamirano, La Cisterna, Chile (Citizen Science project sensor.community/50715)
# https://aqicn.org/station/@169621/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-10-15T00:00:00.000Z,5.05,7.95,5.7,5.44,5.99,0.482,44
2020-10-16T00:00:00.000Z,4.3,9.68,5.57,4.87,7.1,1.398,418
2020-10-17T00:00:00.000Z,4.8,10.73,8.52,6.78,9.35,1.549,416
2020-10-18T00:00:00.000Z,3.55,6.57,4.8,4.4,5.4,0.644,419
2020-10-19T00:00:00.000Z,2.65,6.68,4.59,4.2,4.93,0.798,423
2020-10-20T00:00:00.000Z,2.17,14.6,2.97,2.7,3.84,1.627,376
2020-10-21T00:00:00.000Z,0.1,27.85,1,0.8,1.3,2.126,358
2020-10-22T00:00:00.000Z,0.2,18.05,0.8,0.45,1.38,1.53,416
2020-10-23T00:00:00.000Z,0.28,14.57,1.3,0.6,2,1.746,400
2020-10-24T00:00:00.000Z,0.13,3.83,0.9,0.56,1.42,0.615,419
2020-10-25T00:00:00.000Z,0.1,10.45,1.08,0.7,1.45,0.939,462
2020-10-26T00:00:00.000Z,0.17,16.88,2,1.4,2.63,1.827,470
2020-10-27T00:00:00.000Z,0.2,3.47,0.6,0.47,0.8,0.547,439
2020-10-28T00:00:00.000Z,0.2,2.35,0.77,0.6,1,0.383,461
2020-10-29T00:00:00.000Z,0.2,8.23,1.05,0.73,1.52,0.95,460
2020-10-30T00:00:00.000Z,0.13,5.3,0.98,0.64,1.85,0.87,469
2020-10-31T00:00:00.000Z,0.35,13.77,1.88,1.2,2.4,1.37,482
2020-11-01T00:00:00.000Z,0.43,5.85,1.48,1.05,1.92,0.913,474
2020-11-02T00:00:00.000Z,0.3,8.85,2.47,1.3,5.25,2.227,435
2020-11-03T00:00:00.000Z,3.38,10.4,5.7,4.59,6.78,1.527,458
2020-11-04T00:00:00.000Z,3.78,25.73,6.7,5.7,8.36,2.538,345
2020-11-05T00:00:00.000Z,3,10.3,4.28,3.82,5.12,1.232,296
2020-11-06T00:00:00.000Z,2.63,9.63,4.09,3.63,5.19,1.246,329
2020-11-07T00:00:00.000Z,2.65,26.88,4.71,3.83,5.6,2.448,392
2020-11-08T00:00:00.000Z,3.2,9.05,4.78,4.32,5.45,1.14,351
2020-11-09T00:00:00.000Z,2.97,112,4.28,3.89,4.84,6.44,284
2020-11-10T00:00:00.000Z,2.54,47.55,4.63,3.76,5.18,2.658,333
2020-11-11T00:00:00.000Z,2.92,21.58,5.7,4.21,9.56,3.33,337
2020-11-12T00:00:00.000Z,2.54,22.77,5.57,4.44,7.68,2.742,288
2020-11-13T00:00:00.000Z,4.75,19.27,7.78,6.78,9.68,2.467,308
2020-11-14T00:00:00.000Z,2.95,14.5,6.32,5.28,8.32,2.403,335
2020-11-15T00:00:00.000Z,2.29,6.13,3.54,3.2,4,0.705,292
2020-11-16T00:00:00.000Z,1.8,17.85,3.3,2.54,4,1.379,283
2020-11-17T00:00:00.000Z,2.95,13.8,6.34,4.3,8.69,2.884,312
2020-11-18T00:00:00.000Z,3.35,19.5,5.95,4.9,8.69,3.257,367
2020-11-19T00:00:00.000Z,2.58,19.89,6.57,4.75,8.53,2.723,369
2020-11-20T00:00:00.000Z,2.63,14.13,6.32,4.82,8.55,2.402,370
2020-11-21T00:00:00.000Z,1.73,7.4,3.2,2.6,4.25,1.185,311
2020-11-22T00:00:00.000Z,1.92,11.5,3.05,2.58,4.65,1.817,306
2020-11-23T00:00:00.000Z,1.7,15.18,2.75,2.47,3.5,2.144,274
2020-11-24T00:00:00.000Z,1.65,8.93,2.46,2.2,2.88,0.639,286
2020-11-25T00:00:00.000Z,1.12,9.27,2.39,2.1,3,0.931,294
2020-11-26T00:00:00.000Z,1.23,53.3,3.1,2.6,3.6,5.442,280
2020-11-27T00:00:00.000Z,2.4,19.6,4.22,3.7,5.2,1.389,265
2020-11-28T00:00:00.000Z,2.2,13.7,4,3.5,4.88,1.558,277
2020-11-29T00:00:00.000Z,1.58,14.18,2.7,2.38,3.65,1.154,276
2020-11-30T00:00:00.000Z,1.88,7.9,3.25,2.85,3.92,0.904,254
2020-12-01T00:00:00.000Z,1.55,7.13,3.35,2.8,3.8,0.74,225
2020-12-02T00:00:00.000Z,2.4,7.78,3.85,3.38,4.84,1.126,222
2020-12-03T00:00:00.000Z,1.77,32.75,3.41,2.6,4.72,3.746,228
2020-12-04T00:00:00.000Z,2.25,14.2,3.42,3.03,4.13,1.415,263
2020-12-05T00:00:00.000Z,2.4,25.5,3.8,3.3,4.57,1.866,250
2020-12-06T00:00:00.000Z,3.1,30.6,4.22,3.72,5,3.551,343
2020-12-07T00:00:00.000Z,2.25,5.78,3.74,3.3,4.13,0.61,292
2020-12-08T00:00:00.000Z,2.25,14,4.15,3.65,4.53,1.182,279
2020-12-09T00:00:00.000Z,1.7,10.07,3.45,2.9,3.9,1.11,247
2020-12-10T00:00:00.000Z,1.85,6.75,3.4,2.7,3.9,0.876,259
2020-12-11T00:00:00.000Z,1.8,15,3,2.63,3.7,1.146,310
2020-12-12T00:00:00.000Z,1.33,7.63,3.13,2.7,3.7,0.861,314
2020-12-13T00:00:00.000Z,1.05,8.68,2.7,2.22,3.1,0.981,302
2020-12-14T00:00:00.000Z,0.9,22.6,2.2,1.8,3.3,2.176,288
2020-12-15T00:00:00.000Z,1.17,26.98,2.65,2.2,3.12,1.542,304
2020-12-16T00:00:00.000Z,1.98,18,3.3,2.8,4.2,1.448,304
2020-12-17T00:00:00.000Z,1.85,31,3.8,3.2,4.8,2.79,277
2020-12-18T00:00:00.000Z,2.13,42.92,5.63,4.72,6.5,3.765,276
2020-12-19T00:00:00.000Z,1.75,7.55,3.45,2.6,4.09,0.981,289
2020-12-20T00:00:00.000Z,1.63,8.32,2.88,2.4,3.5,1.336,302
2020-12-21T00:00:00.000Z,1.85,12.63,2.87,2.5,3.48,0.976,296
2020-12-22T00:00:00.000Z,1.63,6.22,3.7,3.2,4.22,0.83,283
2020-12-23T00:00:00.000Z,3.08,7.6,4.45,3.9,4.9,0.868,302
2020-12-24T00:00:00.000Z,2.88,13.38,4.28,3.78,6.57,2.806,282
2020-12-25T00:00:00.000Z,2.27,19.38,5.4,3.6,7.02,2.861,308
2020-12-26T00:00:00.000Z,2.67,8.88,3.69,3.4,4.84,1.034,290
2020-12-27T00:00:00.000Z,3.15,13.2,5.22,4.32,7.3,2.188,303
2020-12-28T00:00:00.000Z,2.38,17.77,4.2,3.7,4.7,1.15,296
2020-12-29T00:00:00.000Z,2.7,10.25,4.34,3.78,5.15,1.37,287
2020-12-30T00:00:00.000Z,2,8.69,3.16,2.6,4.43,1.462,290
2020-12-31T00:00:00.000Z,1.6,31.23,3.3,2.63,4.09,2.767,309
2021-01-01T00:00:00.000Z,2.5,30.4,5.53,3.83,14.35,6.639,282
2021-01-02T00:00:00.000Z,2.8,7.93,4.55,3.88,5.2,0.936,269
2021-01-03T00:00:00.000Z,3.05,22.7,4.25,3.88,4.75,2.15,255
2021-01-04T00:00:00.000Z,2.33,7.5,4,3.13,5.04,1.174,237
2021-01-05T00:00:00.000Z,1.83,5.7,4,3.3,4.5,0.836,263
2021-01-06T00:00:00.000Z,3.25,9.82,4.4,3.9,5.38,1.147,240
2021-01-07T00:00:00.000Z,2.95,8.23,4.05,3.6,4.7,0.953,270
2021-01-08T00:00:00.000Z,1.7,9.75,3.6,2.82,4.29,1.282,285
2021-01-09T00:00:00.000Z,2.8,14.2,5.15,4.13,7.4,2.391,285
2021-01-10T00:00:00.000Z,1.52,17.63,2.67,2.29,3.07,1.272,277
2021-01-11T00:00:00.000Z,1.23,6.32,2.29,1.9,2.88,0.702,250
2021-01-12T00:00:00.000Z,1.6,13.1,2.95,2.62,3.33,1.323,268
2021-01-13T00:00:00.000Z,1.65,12.45,2.78,2.38,3.17,1.31,259
2021-01-14T00:00:00.000Z,2.25,7.03,3.62,3.15,4.09,0.879,258
2021-01-15T00:00:00.000Z,2.04,18.8,3.85,3.28,5.38,1.91,278
2021-01-16T00:00:00.000Z,2.1,51.42,3.14,2.85,3.6,3.504,258
2021-01-17T00:00:00.000Z,2.4,10.13,3.99,3.16,5.59,1.651,240
2021-01-18T00:00:00.000Z,2.22,7.93,4.8,3.83,5.44,1.193,229
2021-01-19T00:00:00.000Z,5.53,13.3,8.15,7,9.4,1.694,63
