# Sensor Exyma Oficinas ETFA, Pedro Aguirre Cerda, Chile (Purple Air/55917)
# https://aqicn.org/station/@123673/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-06-03T00:00:00.000Z,3.42,9.6,5.03,4.5,5.57,1.218,101
2020-06-04T00:00:00.000Z,7.84,41.54,18.55,16.1,20.86,5.096,712
2020-06-05T00:00:00.000Z,19.95,56.05,31.46,28.12,38.4,6.132,693
2020-06-06T00:00:00.000Z,18.04,72.17,38.61,33.64,55.58,13.549,709
2020-06-07T00:00:00.000Z,27.77,83.56,58.04,44.4,68.06,13.998,708
2020-06-08T00:00:00.000Z,26.37,55.15,39.89,35.29,44.92,6.336,712
2020-06-09T00:00:00.000Z,35.68,248.88,53.04,48.94,62.93,12.313,713
2020-06-10T00:00:00.000Z,28.02,59.91,40.27,35.54,45.72,7.676,715
2020-06-11T00:00:00.000Z,23.85,87.19,53.81,43.31,64.65,17.09,715
2020-06-12T00:00:00.000Z,0.03,73.67,11.57,3.25,46.44,24.074,712
2020-06-13T00:00:00.000Z,3.97,39.53,21.22,14.02,26.97,7.526,642
2020-06-14T00:00:00.000Z,10.21,92.32,32.69,22.43,58.57,22.227,713
2020-06-15T00:00:00.000Z,17.89,49.07,29.74,26.15,34.17,6.958,713
2020-06-16T00:00:00.000Z,16.72,50.57,30.89,22.97,41.49,9.669,712
2020-06-17T00:00:00.000Z,2.57,77.54,38.88,14.16,50.02,21.631,711
2020-06-18T00:00:00.000Z,2.65,52.91,19.13,15.16,27.21,9.633,717
2020-06-19T00:00:00.000Z,10.19,101.89,36.14,16.21,61.45,25.78,720
2020-06-20T00:00:00.000Z,16.37,43.64,33.9,29.51,37.67,5.995,718
2020-06-21T00:00:00.000Z,20,54.23,37.29,29.33,43.16,8.366,716
2020-06-22T00:00:00.000Z,30.77,137.63,63.55,49.74,88.48,24.067,715
2020-06-23T00:00:00.000Z,1.65,47.94,10.84,4.99,20.02,10.136,668
