# Sensor FAV - Mulchen - Escuela La Granja, Mulchén, Chile (Purple Air/83849)
# https://aqicn.org/station/@211981/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,0,279.8,21.1,3.35,65.3,69.057,313
2021-09-08T00:00:00.000Z,15.8,398.3,76.15,34.75,166.45,82.985,588
2021-09-09T00:00:00.000Z,30.6,217.1,66.2,50.5,94.5,38.959,407
2021-09-19T00:00:00.000Z,11.6,197.8,26.1,20.3,32.95,25.352,172
2021-09-20T00:00:00.000Z,10.4,321.7,45.6,31.5,100.7,51.862,614
2021-09-21T00:00:00.000Z,4.8,343.8,41,14.1,66.6,51.423,622
2021-09-22T00:00:00.000Z,6.5,107.8,15.2,14,16.6,11.661,488
2021-09-28T00:00:00.000Z,2.2,233.5,20.5,10.5,43.6,39.002,295
2021-09-29T00:00:00.000Z,2.4,194.4,45.7,18.1,70.5,38.321,542
2021-09-30T00:00:00.000Z,0.3,191.8,6.9,4.3,14.45,21.01,577
2021-10-01T00:00:00.000Z,0.4,313.9,14,5.6,53,46.906,593
2021-10-02T00:00:00.000Z,0,164,21.1,5.7,34.7,24.141,557
2021-10-03T00:00:00.000Z,7,172.5,31,21.1,51,29.606,607
2021-10-04T00:00:00.000Z,12.3,210.4,42.6,26.1,74.3,34.897,479
2021-10-05T00:00:00.000Z,6.7,116.8,28.1,20.1,37.6,16.746,230
2021-10-06T00:00:00.000Z,5.4,270.7,57.15,22.5,82.9,45.024,546
2021-10-07T00:00:00.000Z,1.8,296.9,53.7,15.35,82.45,52.451,589
2021-10-08T00:00:00.000Z,4.5,206.6,27.05,14.65,60.45,44.561,580
2021-10-09T00:00:00.000Z,9.4,103.1,28.8,20.3,36.6,14.197,601
2021-10-10T00:00:00.000Z,10.5,151.6,29.2,21.5,41.25,16.207,469
2021-10-11T00:00:00.000Z,11.2,117.2,26.7,16.3,38,20.895,603
2021-10-12T00:00:00.000Z,13.8,106.8,33,19.64,57.55,24.523,588
2021-10-13T00:00:00.000Z,4.2,149.3,24.2,14.3,39.1,20.063,598
2021-10-14T00:00:00.000Z,0,137.8,4.6,1.6,15.6,15.211,566
2021-10-15T00:00:00.000Z,0.7,250.3,44.2,18.7,76.7,56.547,619
2021-10-16T00:00:00.000Z,6.1,103.4,39,21.5,53.95,21.023,604
2021-10-17T00:00:00.000Z,4.3,155,17,11.3,41.1,25.703,596
2021-10-18T00:00:00.000Z,5.1,98.4,25.1,13.5,39.79,17.009,609
2021-10-19T00:00:00.000Z,10,294.5,40.79,31.9,49.8,31.345,434
2021-10-20T00:00:00.000Z,12.5,35.4,15.5,14.6,16.55,5.009,109
2021-10-21T00:00:00.000Z,7.7,71.1,28.6,22.25,34.79,10.243,597
2021-10-22T00:00:00.000Z,7.7,124.4,35.79,22.7,50.45,23.235,613
2021-10-23T00:00:00.000Z,0.5,79.8,8.3,3.1,35.5,17.811,610
2021-10-24T00:00:00.000Z,0.3,98.4,21.15,5.6,49.7,24.429,608
2021-10-25T00:00:00.000Z,1.4,82,13.45,7.4,27,12.246,618
2021-10-26T00:00:00.000Z,3.6,95.3,17.39,12.8,27.6,15.868,610
2021-10-27T00:00:00.000Z,2.7,61.6,21.7,13.4,30.9,11.095,601
