# Sensor FAV Victoria, Chile (Purple Air/83933)
# https://aqicn.org/station/@211993/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,1.9,530.7,34.1,19.8,72.4,92.366,330
2021-09-08T00:00:00.000Z,21.1,632.2,107.5,43.2,224.6,123.804,591
2021-09-09T00:00:00.000Z,23.1,284.9,51.3,44.7,73.8,47.261,593
2021-09-10T00:00:00.000Z,9.9,411.3,61.75,31.8,119.7,68.505,600
2021-09-11T00:00:00.000Z,12.7,467.4,36.9,30.75,77.25,77.229,624
2021-09-12T00:00:00.000Z,3.1,117.8,37.29,15.2,46.5,20.515,609
2021-09-13T00:00:00.000Z,4.7,187.4,39.5,29.3,51.6,27.629,581
2021-09-14T00:00:00.000Z,6.6,743.7,92.6,35.5,186.7,130.317,619
2021-09-15T00:00:00.000Z,6.4,324.6,52,33.6,122.8,67.214,630
2021-09-16T00:00:00.000Z,10.5,503.9,87.7,30.5,187.45,104.67,629
2021-09-17T00:00:00.000Z,1.4,150.2,36.65,24.3,46.9,26.486,610
2021-09-18T00:00:00.000Z,8.1,108.5,35.7,25.95,47.2,17.468,617
2021-09-19T00:00:00.000Z,10.7,125.1,31.95,24.15,47.65,19.4,604
2021-09-20T00:00:00.000Z,12.5,414.4,45.2,33.79,78.8,55.826,611
2021-09-21T00:00:00.000Z,10.9,307.1,45.4,23.75,74.05,49.65,624
2021-09-22T00:00:00.000Z,14.3,263.8,27.8,19.1,49.8,35.321,398
2021-09-23T00:00:00.000Z,22.6,440.4,79.09,41.1,139.5,92.174,595
2021-09-24T00:00:00.000Z,8.9,307.6,52.1,30.1,78.8,49.488,607
2021-09-25T00:00:00.000Z,6.2,118.5,31.75,17.95,50.65,22.016,592
2021-09-26T00:00:00.000Z,8,494.2,30.95,22.5,62.3,93.174,596
2021-09-27T00:00:00.000Z,10.7,401.7,75.9,29.7,145.9,82.794,607
2021-09-28T00:00:00.000Z,6.5,315.4,50.4,23.4,118.3,70.039,611
2021-09-29T00:00:00.000Z,9.2,284.1,45.4,27.5,97.4,53.54,603
2021-09-30T00:00:00.000Z,9.4,189.3,37.75,25.8,59.9,31.369,574
2021-10-01T00:00:00.000Z,6.1,379.6,35.9,25.4,63.4,83.564,598
2021-10-02T00:00:00.000Z,4.2,104.2,38.95,27,51.4,19.765,594
2021-10-03T00:00:00.000Z,11.2,274.8,32.04,24.1,51.6,37.65,600
2021-10-04T00:00:00.000Z,8.5,178,32.4,23.35,54.45,33.46,592
2021-10-05T00:00:00.000Z,10.4,154.5,30.4,22.7,44.2,23.318,600
2021-10-06T00:00:00.000Z,5.6,170.4,46.45,20.7,77.7,35.516,600
2021-10-07T00:00:00.000Z,4.3,357.1,47.4,18.55,131.35,79.033,612
2021-10-08T00:00:00.000Z,7,316.7,31.1,17.64,63.4,60.998,596
2021-10-09T00:00:00.000Z,11,148,30.3,20.5,38.5,15.705,591
2021-10-10T00:00:00.000Z,9.8,250.9,36.54,30.2,42.85,28.548,592
2021-10-11T00:00:00.000Z,13.6,163.5,33.54,24.6,43.6,29.895,598
2021-10-12T00:00:00.000Z,13.3,355,46.8,39,70.9,72.984,595
2021-10-13T00:00:00.000Z,14.4,189.6,38.7,32.65,51.85,30.913,592
2021-10-14T00:00:00.000Z,4.9,131.9,37,29.45,45.7,15.432,600
2021-10-15T00:00:00.000Z,7.3,408.4,46,26.9,109.4,76.119,615
2021-10-16T00:00:00.000Z,13.4,190.2,42.4,30.2,83,37.108,607
2021-10-17T00:00:00.000Z,7.8,155.4,23.3,15.8,43,32.031,594
2021-10-18T00:00:00.000Z,8.4,157.4,27,18.39,45.9,24.872,617
2021-10-19T00:00:00.000Z,4.9,144.4,28.6,14.4,54.5,31.423,607
2021-10-20T00:00:00.000Z,7.8,190.3,35.7,26.45,43.3,16.79,601
2021-10-21T00:00:00.000Z,6.5,91.3,35.1,29,43.35,13.611,613
2021-10-22T00:00:00.000Z,10.1,259.4,33,24.5,63.35,43.952,625
2021-10-23T00:00:00.000Z,2.8,169.2,30.3,15.1,46.8,26.949,627
2021-10-24T00:00:00.000Z,0.7,244.8,22.5,7.3,55.5,45.346,617
2021-10-25T00:00:00.000Z,3.2,87.7,22.45,13.8,34.75,13.558,624
2021-10-26T00:00:00.000Z,3.8,107.5,22.9,13.4,33.9,15.58,611
2021-10-27T00:00:00.000Z,1.8,63.7,26.8,14.1,34.9,13.314,610
2021-10-28T00:00:00.000Z,4,104.6,24.2,17.5,34.15,14.966,624
2021-10-29T00:00:00.000Z,3.7,53.5,34.79,24.9,39.4,11.618,587
2021-10-30T00:00:00.000Z,3,116.5,18.1,10.1,33.29,18.57,595
2021-10-31T00:00:00.000Z,1.1,247.9,25.3,6.15,49.05,34.882,612
2021-11-01T00:00:00.000Z,5,87.9,13.7,9.19,19.7,8.905,585
2021-11-02T00:00:00.000Z,2.5,41.7,9.55,6.4,16.14,7.784,592
2021-11-03T00:00:00.000Z,6.7,78.6,24.35,15.95,34.25,13.734,592
2021-11-04T00:00:00.000Z,4.1,289.8,24.85,14.9,45.6,36.995,606
2021-11-05T00:00:00.000Z,3.1,73.8,14.6,7.8,27.4,15.029,586
2021-11-06T00:00:00.000Z,4.1,156.9,18.85,9.4,44.6,23.41,582
2022-02-01T00:00:00.000Z,0.4,31,3.3,2.29,4.59,3.475,387
2022-02-02T00:00:00.000Z,0.4,22.1,4.7,2.2,7.6,3.582,593
2022-02-03T00:00:00.000Z,1.6,31.4,7.1,4.75,9.55,4.247,596
2022-02-04T00:00:00.000Z,0.3,36.1,6,3.9,9.9,8.263,391
2022-02-05T00:00:00.000Z,0.7,33.9,6.7,4.4,9.1,4.293,602
2022-02-06T00:00:00.000Z,2.3,57.9,22,6.3,41.9,17.361,594
2022-02-07T00:00:00.000Z,1.4,49.5,5.4,4,7.5,6.28,578
2022-02-08T00:00:00.000Z,0.7,50.2,4.09,2.8,6,7.629,559
2022-02-09T00:00:00.000Z,1.2,45,4.9,3.7,7.75,7.665,584
2022-02-10T00:00:00.000Z,0.8,95.5,10.4,4.9,13.9,12,590
2022-02-11T00:00:00.000Z,1.3,48.6,4.7,3.4,8.15,10.251,589
2022-02-12T00:00:00.000Z,0.5,301.4,18.45,7.1,53.8,57.112,594
2022-02-13T00:00:00.000Z,20.8,453.9,66.25,43.9,163.5,101.871,588
2022-02-14T00:00:00.000Z,22.2,142.8,46.7,29.4,54.9,28.391,590
2022-02-15T00:00:00.000Z,3.7,154.3,32.6,26.6,41.2,24.08,558
2022-02-16T00:00:00.000Z,1.5,75.9,9.65,6.45,33.04,18.833,584
2022-02-17T00:00:00.000Z,0.1,82.9,15.8,3.8,36.2,18.409,589
2022-02-18T00:00:00.000Z,0.5,97.2,12.95,7,35.4,23.223,586
2022-02-19T00:00:00.000Z,1.7,69.5,10.75,6.7,26.8,16.734,590
2022-02-20T00:00:00.000Z,0.5,47.8,7.4,3.4,12.8,7.076,591
2022-02-21T00:00:00.000Z,0.2,103.4,13.2,3.1,24.8,20.808,607
2022-02-22T00:00:00.000Z,0,310.5,68,36.4,125.1,67.667,529
2022-02-23T00:00:00.000Z,4.3,189.4,49.1,34.2,85.65,38.109,597
2022-02-24T00:00:00.000Z,4.2,49,18.95,14,27.3,9.741,596
2022-02-25T00:00:00.000Z,1.7,94.2,20.95,10.8,42.8,19.645,610
2022-02-26T00:00:00.000Z,2.5,31.2,8.4,6.3,12.5,5.168,607
2022-02-27T00:00:00.000Z,1.5,32.8,9.1,6.3,12.7,5.647,606
2022-02-28T00:00:00.000Z,0.8,66.5,11.8,5.3,22.7,14.1,611
2022-03-01T00:00:00.000Z,1,86.7,10.45,5.8,17,9.582,596
2022-03-02T00:00:00.000Z,1.3,98.7,9.4,3.9,16.6,15.623,579
2022-03-03T00:00:00.000Z,1.4,40.1,6.6,4.9,9.4,5.382,602
2022-03-04T00:00:00.000Z,0.3,49.6,9.85,4.09,17.5,9.681,610
2022-03-05T00:00:00.000Z,0.9,94.7,10.4,4.65,20.65,17.733,601
2022-03-06T00:00:00.000Z,2,94.7,14.6,10.4,22.7,11.702,587
2022-03-07T00:00:00.000Z,2,69.8,11.7,7.3,24,12.589,606
2022-03-08T00:00:00.000Z,3,177.4,19.39,10.19,31.35,16.296,609
2022-03-09T00:00:00.000Z,2.9,123.7,17.8,7.85,32.45,18.937,609
2022-03-10T00:00:00.000Z,5.6,191.5,16.3,10.45,29.15,18.22,588
2022-03-11T00:00:00.000Z,0.9,326.9,22.9,11.7,39.29,29.742,597
2022-03-12T00:00:00.000Z,8.9,168.6,24.15,17.35,33.04,19.607,612
2022-03-13T00:00:00.000Z,2.4,57.7,21.75,13.8,28.05,10.818,604
2022-03-14T00:00:00.000Z,7.9,53.6,16.9,13.6,24.9,10.194,326
2022-08-22T00:00:00.000Z,5.6,117.8,24.45,12.9,29.6,21.896,252
2022-08-23T00:00:00.000Z,26.1,50.4,43.9,39.1,46.7,5.031,627
2022-08-24T00:00:00.000Z,5.9,97.4,38.7,22.9,48.7,19.156,619
2022-08-25T00:00:00.000Z,15,49.5,32.9,28.8,38.25,7.565,608
2022-08-26T00:00:00.000Z,22,62.5,38.04,30.45,45.8,10.468,620
2022-08-27T00:00:00.000Z,10.7,141.9,52,20.1,97.2,43.364,646
2022-08-28T00:00:00.000Z,19.4,58.9,37.65,25.3,44,10.334,636
2022-08-29T00:00:00.000Z,18,318.3,113.3,35.65,224.05,103.533,633
2022-08-30T00:00:00.000Z,23.4,112.8,63.5,48.2,94.7,25.676,637
2022-08-31T00:00:00.000Z,17.5,87.8,42.7,35.29,68.3,19.956,613
2022-09-01T00:00:00.000Z,8.3,41.9,21.5,17.39,33.9,9.544,622
2022-09-02T00:00:00.000Z,16.7,57.3,27.2,22.5,32.79,7.691,629
2022-09-03T00:00:00.000Z,15.8,40.2,28.6,24.35,32.29,5.879,624
2022-09-04T00:00:00.000Z,12.9,46.3,21.25,18.89,32.4,9.459,626
2022-09-05T00:00:00.000Z,8.1,161.6,34.29,28.5,39,18.428,629
2022-09-06T00:00:00.000Z,9.8,195.6,47.25,24.3,73.84,50.532,624
2022-09-07T00:00:00.000Z,4.3,42.3,12.8,7.4,25.4,10.325,626
2022-09-08T00:00:00.000Z,4.7,158.7,34.7,18.2,82.1,46.537,635
2022-09-09T00:00:00.000Z,11.2,52,20.75,18.14,22.4,7.311,612
2022-09-10T00:00:00.000Z,17.5,47.6,36.5,27.7,41.8,8.197,598
2022-09-11T00:00:00.000Z,27.6,138.8,43.9,37.2,64.4,31.64,631
2022-09-12T00:00:00.000Z,14,96,50.1,24.2,71.6,26.062,587
2022-09-13T00:00:00.000Z,21.9,101,51.5,37.1,65,17.287,625
2022-09-14T00:00:00.000Z,19.4,158.7,54.8,30.1,104.3,42.347,603
2022-09-15T00:00:00.000Z,19.7,102.1,44.75,27.8,58.6,24.96,614
2022-09-16T00:00:00.000Z,4.4,42.4,23.2,10.9,34.5,12.403,627
2022-09-17T00:00:00.000Z,2.5,49,22.2,11.1,41.9,15.904,596
2022-09-18T00:00:00.000Z,16,99.4,39.25,26.2,49.3,17.327,634
2022-09-19T00:00:00.000Z,25.6,265.3,73.59,44.15,202.75,82.594,641
2022-09-20T00:00:00.000Z,16.8,88.5,37.6,32.85,54,17.044,612
2022-09-21T00:00:00.000Z,9.9,111,37.15,30.6,48.7,17.794,622
2022-09-22T00:00:00.000Z,12.3,58.8,40.2,32.1,46.2,10.713,607
2022-09-23T00:00:00.000Z,6.8,102.8,32.29,12.8,36,18.965,629
2022-09-24T00:00:00.000Z,10.4,49.6,16.14,13.2,23.2,8.557,620
2022-09-25T00:00:00.000Z,13.8,110.6,48.4,36.4,80.8,27.828,638
2022-09-26T00:00:00.000Z,31,58.2,45.7,38.45,51.2,7.675,513
2022-09-27T00:00:00.000Z,10.3,55.2,20.5,14.45,32.85,13.5,601
2022-09-28T00:00:00.000Z,8.2,102.6,49.55,15.35,73.8,31.737,624
2022-09-29T00:00:00.000Z,14.8,55.1,28.1,21.3,31.8,9.136,547
2022-09-30T00:00:00.000Z,9.9,46.1,26.7,20.1,32.9,8.618,639
2022-10-01T00:00:00.000Z,17.3,40.4,25.25,21.85,31.8,6.612,620
2022-10-02T00:00:00.000Z,17.5,53.1,39.6,32.1,47.05,9.078,621
2022-10-03T00:00:00.000Z,20.3,58.3,27.1,25.5,35.5,8.989,639
2022-10-04T00:00:00.000Z,18.6,151,34,26.75,39.29,27.337,629
2022-10-05T00:00:00.000Z,9,137,57.3,31.1,67.9,29.045,627
2022-10-06T00:00:00.000Z,11,60.3,29.7,23.4,34.4,10.953,622
2022-10-07T00:00:00.000Z,8.6,42.2,23.4,13,32.29,9.914,621
2022-10-08T00:00:00.000Z,12.8,78,42.75,30.65,58.85,17.361,636
2022-10-09T00:00:00.000Z,8.3,33.8,16.6,12.5,26.3,7.915,635
2022-10-10T00:00:00.000Z,9.8,64.2,18.4,13.3,43.9,16.961,622
2022-10-11T00:00:00.000Z,17.8,37.1,30.5,22.9,33,5.546,603
2022-10-12T00:00:00.000Z,6.7,58.1,29.3,10.7,45.2,17.368,619
2022-10-13T00:00:00.000Z,8.2,47.4,21.8,12.7,30.1,10.456,628
2022-10-14T00:00:00.000Z,4.9,41.6,17.5,12.3,27.5,9.543,614
2022-10-15T00:00:00.000Z,5.1,14.6,11.8,8.1,13.1,2.724,605
2022-10-16T00:00:00.000Z,4.6,99.4,10.6,7,40.1,24.587,618
2022-10-17T00:00:00.000Z,4.3,46.6,22.2,13.15,33.8,11.573,624
2022-10-18T00:00:00.000Z,3.7,43.9,15.9,5,26.9,10.883,443
2022-10-21T00:00:00.000Z,9.4,60.5,25.1,16.2,37.1,12.845,607
2022-10-22T00:00:00.000Z,10.2,50.8,36.5,24.65,46.6,12.596,633
2022-10-23T00:00:00.000Z,11,22.2,18,16.1,19.3,2.286,624
2022-10-24T00:00:00.000Z,2.4,48.9,27.45,18.5,30.9,11.262,634
2022-10-25T00:00:00.000Z,12.1,54.8,28.75,23,32.9,7.84,642
2022-10-26T00:00:00.000Z,2.7,105.6,21.9,15,32.2,14.566,649
2022-10-27T00:00:00.000Z,3.1,33.5,13.5,11.25,17.5,6.997,624
2022-10-28T00:00:00.000Z,3.1,19.1,12.2,10.3,13.4,3.382,625
2022-10-29T00:00:00.000Z,3.8,19.6,10.8,8.25,13.3,3.814,608
2022-10-30T00:00:00.000Z,8.2,24.3,14.55,10.1,19.8,5.106,634
2022-10-31T00:00:00.000Z,7.8,45.5,24.4,12.7,37.6,12.541,599
2022-11-01T00:00:00.000Z,6.9,29.8,15.3,9.8,23.5,7.111,611
2022-11-02T00:00:00.000Z,5.6,33.3,8.19,7.3,14.3,7.219,623
2022-11-03T00:00:00.000Z,5.6,37.2,20.7,10.6,27.45,9.107,584
2022-11-04T00:00:00.000Z,16.1,43.7,29.05,21.3,38.5,8.717,626
2022-11-05T00:00:00.000Z,8,19.7,11.2,10.1,16.6,3.419,636
2022-11-06T00:00:00.000Z,5,9.9,7.45,6.65,8.4,1.088,640
2022-11-07T00:00:00.000Z,7.6,23.2,14.8,13,16.89,3.197,625
2022-11-08T00:00:00.000Z,5.7,27.9,10.3,8.8,11.8,2.78,599
2022-11-09T00:00:00.000Z,6,45.1,11.7,9.55,15.9,6.56,612
2022-11-10T00:00:00.000Z,3.6,28.5,10.8,8.8,17.45,6.156,605
2022-11-11T00:00:00.000Z,8.7,34.6,21.5,12.1,27.5,8.109,614
2022-11-12T00:00:00.000Z,7.3,16.9,12.4,10.4,14,2.387,617
2022-11-13T00:00:00.000Z,6.3,24.4,11.1,8.5,18.89,5.504,597
