# Sensor FAV-CholChol, Chile (Purple Air/132041)
# https://aqicn.org/station/@252472/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-03-28T00:00:00.000Z,0.7,1.3,0.8,0.7,1.1,0.245,4
2022-03-29T00:00:00.000Z,0.5,191.5,10.75,4.7,22.9,24.271,130
2022-03-30T00:00:00.000Z,0.3,180.8,23.9,7,36.79,22.29,599
2022-03-31T00:00:00.000Z,0.3,157.9,19.05,7.3,30.65,19.22,596
2022-04-01T00:00:00.000Z,0,181.8,16.75,6.8,26.75,30.643,564
2022-04-02T00:00:00.000Z,0,60.9,16.3,3.6,30.15,13.703,524
2022-04-03T00:00:00.000Z,0,129.8,9.19,2.7,26.4,18.37,579
2022-04-04T00:00:00.000Z,0,122.9,24.35,6.1,35.79,19.232,558
2022-04-05T00:00:00.000Z,0.9,357.7,28.5,14.9,38.1,41.875,617
2022-04-06T00:00:00.000Z,0.1,167.2,20.2,7.1,32.1,22.647,614
2022-04-07T00:00:00.000Z,0,163.3,29.9,9.65,36.29,16.37,537
2022-04-08T00:00:00.000Z,0.1,75.8,13.3,5.2,20.7,11.472,611
2022-04-09T00:00:00.000Z,0,365.1,21.75,10.9,32.35,45.234,580
2022-04-10T00:00:00.000Z,0,462.4,25.8,9.5,47.3,51.535,601
2022-04-11T00:00:00.000Z,2.3,298.6,40.9,23.5,78.05,54.124,617
2022-04-12T00:00:00.000Z,0,130.2,11.5,2.4,33.6,24.917,543
2022-04-13T00:00:00.000Z,1.5,220.6,34.1,12.7,48.1,27.914,598
2022-04-14T00:00:00.000Z,3.6,221.8,44.75,29.5,58.7,28.962,610
2022-04-15T00:00:00.000Z,1.8,80.9,29.55,22,39,14.704,594
2022-04-16T00:00:00.000Z,2.8,72.9,17.39,9.69,33,14.869,613
2022-04-17T00:00:00.000Z,7.6,197.4,37.5,29.55,53.15,35.035,613
2022-04-18T00:00:00.000Z,0.5,355,30.4,21.85,44.45,66.235,609
2022-04-19T00:00:00.000Z,16.4,344.2,45.15,34.5,62.35,40.558,604
2022-04-20T00:00:00.000Z,0,144.3,17.5,5.5,31,25.99,579
2022-04-21T00:00:00.000Z,0.7,320.7,30.45,17.89,56.7,58.821,604
2022-04-22T00:00:00.000Z,0,275.2,26.1,12.1,40.04,41.027,613
2022-04-23T00:00:00.000Z,0,141.1,7.15,2.5,16.89,14.494,494
2022-04-24T00:00:00.000Z,0,253.2,13.8,3.4,30.8,30.94,537
2022-04-25T00:00:00.000Z,0,214.5,18.35,8.1,32.79,35.265,622
2022-04-26T00:00:00.000Z,0,148.7,10.4,4,19.3,14.702,598
2022-04-27T00:00:00.000Z,0,181.7,20.9,6.7,42.2,34.538,507
2022-04-28T00:00:00.000Z,1,246.1,35.2,18.8,67.59,44.13,611
2022-04-29T00:00:00.000Z,1.9,225.4,40.1,17.1,75.4,44.335,615
2022-04-30T00:00:00.000Z,5.6,291.8,45.05,33.7,91.15,51.11,604
2022-05-01T00:00:00.000Z,4.1,300.6,52.25,32.6,99.65,56.894,608
2022-05-02T00:00:00.000Z,0.4,172.1,31.2,15.6,48.6,26.554,607
2022-05-03T00:00:00.000Z,2,411.3,39.65,29.6,49.9,47.54,626
2022-05-04T00:00:00.000Z,2.4,340.8,49.2,29.9,93.8,71.599,615
2022-05-05T00:00:00.000Z,2.5,321.9,39.04,26.5,62.4,47.923,614
2022-05-06T00:00:00.000Z,6.2,325.8,34.25,23.3,53.45,45.806,612
2022-05-07T00:00:00.000Z,2.4,532.5,37,26.65,49.75,101.433,593
2022-05-08T00:00:00.000Z,10.9,352.4,52.2,33.29,80.5,64.431,599
2022-05-09T00:00:00.000Z,8.9,157.7,36.7,31.3,47.5,20.28,611
2022-05-10T00:00:00.000Z,2.7,250.3,15.1,6.8,48.5,46.732,592
2022-05-11T00:00:00.000Z,31,354.4,49,41.8,77.1,65.479,607
2022-05-12T00:00:00.000Z,7.2,322.4,42.05,33,50.9,40.925,598
2022-05-13T00:00:00.000Z,0.1,202,31.6,18.1,52.9,43.406,606
2022-05-14T00:00:00.000Z,0.7,583.7,44.65,18.8,88.5,101.011,602
2022-05-15T00:00:00.000Z,5.6,552.1,106.2,41.85,285.7,133.982,421
2022-05-16T00:00:00.000Z,17,582.6,103.7,48.25,261.05,135.785,593
2022-05-17T00:00:00.000Z,20.4,553.8,98.6,58.6,281,137.715,599
2022-05-18T00:00:00.000Z,41.9,550.3,84.45,67.5,153.94,101.977,612
2022-05-19T00:00:00.000Z,13.8,147.3,42.7,32.6,50.3,22.504,611
2022-05-20T00:00:00.000Z,0,142.7,21.3,8.1,30.9,19.101,583
2022-05-21T00:00:00.000Z,3.8,117.8,30.2,20.5,42,16.197,606
2022-05-22T00:00:00.000Z,0.2,400.6,19.39,5.7,29.7,74.767,599
2022-05-23T00:00:00.000Z,1.2,410.8,47,28.7,92.6,76.6,615
2022-05-24T00:00:00.000Z,0,403.1,31.55,18,48.1,57.797,582
2022-05-25T00:00:00.000Z,1.7,446.5,35.79,21.1,98.5,77.218,623
2022-05-26T00:00:00.000Z,3.4,509.3,84.3,31.3,135.6,91.96,618
2022-05-27T00:00:00.000Z,127.4,570.9,277.55,239.4,366.4,105.008,86
2022-05-28T00:00:00.000Z,1.5,532.9,57.6,18.5,100.5,80.664,475
2022-05-29T00:00:00.000Z,8.7,452,52.6,33.4,108.5,77.82,660
2022-05-30T00:00:00.000Z,19.6,437.2,52.4,39.95,107.75,57.252,649
2022-05-31T00:00:00.000Z,22.9,481.9,71.09,42.95,187.45,109.535,653
2022-06-01T00:00:00.000Z,29.6,225.9,44.85,37.5,62.1,32.794,594
2022-06-02T00:00:00.000Z,34.8,534.2,80.5,56.25,139.85,69.467,589
2022-06-03T00:00:00.000Z,2.2,537.7,41.75,19.5,108.1,116.661,654
2022-06-04T00:00:00.000Z,0,232.5,47.85,29.7,64.9,33.119,614
2022-06-05T00:00:00.000Z,0.1,252.3,49.6,29.35,82.7,47.073,644
2022-06-06T00:00:00.000Z,0,226.9,31.1,20.2,41.3,21.821,539
2022-06-07T00:00:00.000Z,0,248.1,20.5,6.1,34.79,31.63,627
2022-06-08T00:00:00.000Z,0,342.4,35.8,21.75,73.25,52.228,648
2022-06-09T00:00:00.000Z,7.6,547.1,45.9,35.29,71.4,100.897,646
2022-06-10T00:00:00.000Z,17.2,696.2,53.8,37.2,335.7,187.125,647
2022-06-11T00:00:00.000Z,24,554.9,64.3,44.3,217.3,139.197,654
2022-06-12T00:00:00.000Z,21.1,535.1,54.1,45.4,91.2,92.44,655
2022-06-13T00:00:00.000Z,32.1,115,54.3,44.5,66.3,15.855,644
2022-06-14T00:00:00.000Z,12.1,272.3,48.6,38,58.9,32.741,650
2022-06-15T00:00:00.000Z,8.3,596,54.8,38.6,100.3,72.932,659
2022-06-16T00:00:00.000Z,4,513.1,52.25,30.4,108.8,91.26,654
2022-06-17T00:00:00.000Z,3.4,260,30.1,16.4,52,52.749,573
2022-06-18T00:00:00.000Z,10.6,386.8,41.75,31.2,85.6,66.532,658
2022-06-19T00:00:00.000Z,11.7,160.2,39.5,29.1,57.5,24.671,631
2022-06-20T00:00:00.000Z,16.8,269.9,50,35.79,78.59,40.314,646
2022-06-21T00:00:00.000Z,13,251.9,50.4,37.54,85.45,49.15,653
2022-06-22T00:00:00.000Z,20.8,467.4,83.9,46.3,149.85,84.028,649
2022-06-23T00:00:00.000Z,11.1,263.5,61.65,44.2,94.4,46.819,636
2022-06-24T00:00:00.000Z,0,263.4,46.3,20.6,65,39.106,625
2022-06-25T00:00:00.000Z,8.2,472.8,49.5,35.6,96.3,80.498,644
2022-06-26T00:00:00.000Z,21.4,497.5,73.05,46.2,144.9,115.405,654
2022-06-27T00:00:00.000Z,28,664.5,66.65,47.7,106.65,124.7,648
2022-06-28T00:00:00.000Z,0.5,145,21,8.69,32.2,24.548,635
2022-06-29T00:00:00.000Z,0,351.3,32,11.3,57.6,48.218,639
