# Sensor General Jofré, Santiago, Chile (Citizen Science project sensor.community/33028)
# https://aqicn.org/station/@91552/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-01-06T00:00:00.000Z,3.68,25.22,5.75,4.65,6.92,1.702,511
2020-01-07T00:00:00.000Z,3.66,4.34,3.99,3.91,4.09,0.171,36
2020-01-18T00:00:00.000Z,4.57,11.98,5.82,5.4,7.66,2.067,217
2020-01-19T00:00:00.000Z,4.55,12.72,6.14,5.52,6.74,1.022,465
2020-01-20T00:00:00.000Z,4.98,14.04,7.14,6.62,8.1,1.634,358
2020-01-21T00:00:00.000Z,4.51,12.59,6.12,5.42,7.13,1.263,454
2020-01-22T00:00:00.000Z,4.4,7.12,5.38,5.13,5.93,0.641,17
2020-01-23T00:00:00.000Z,3.25,7.01,4.4,3.97,5.01,0.663,85
2020-01-24T00:00:00.000Z,2.89,8.11,4.84,3.74,6.09,1.317,262
2020-01-25T00:00:00.000Z,3.24,14.88,6.32,5.62,8.02,2.068,295
2020-01-26T00:00:00.000Z,3.64,65.5,5.39,4.62,7.94,4,302
2020-01-27T00:00:00.000Z,2.08,8.07,4.25,3.79,4.99,1,249
2020-01-28T00:00:00.000Z,2.2,20.66,4.12,2.87,5.91,3.333,273
2020-01-29T00:00:00.000Z,1.98,9.31,3.22,2.84,3.78,1.407,306
2020-01-30T00:00:00.000Z,2.37,10.66,4.34,3.68,5.84,1.612,290
2020-01-31T00:00:00.000Z,2.76,10.24,4.05,3.47,4.84,1.312,286
2020-02-01T00:00:00.000Z,2.42,11.9,4.71,3.99,6.75,2.017,329
2020-02-02T00:00:00.000Z,1.2,10.09,5.58,4.11,6.43,1.606,326
2020-02-03T00:00:00.000Z,1.05,4.78,2.15,1.66,2.65,0.658,293
2020-02-04T00:00:00.000Z,0.95,4.93,2.1,1.66,2.72,0.808,246
2020-02-05T00:00:00.000Z,1.42,5.01,2.44,2.14,2.93,0.729,227
2020-02-06T00:00:00.000Z,1.1,6.78,2.18,1.6,3.09,0.986,234
2020-02-07T00:00:00.000Z,1.75,9.85,2.76,2.31,3.82,1.125,214
2020-02-08T00:00:00.000Z,1.65,8.22,3.29,2.29,3.98,1.342,199
2020-02-09T00:00:00.000Z,1.7,13.71,3.75,3.16,5.72,1.837,355
2020-02-10T00:00:00.000Z,2.7,10.68,5.22,4.4,6.71,1.518,363
2020-02-11T00:00:00.000Z,6.7,29.58,10.26,8.59,14.01,4.742,360
2020-02-12T00:00:00.000Z,6.45,403.92,12.86,10.45,17.92,24.999,380
2020-02-13T00:00:00.000Z,2.76,10.88,6.28,4.37,7.66,1.971,377
2020-02-14T00:00:00.000Z,4.69,24.72,7.56,6.31,9.11,4.278,381
2020-02-15T00:00:00.000Z,5.3,35.79,9,7.54,10.02,3.18,320
2020-02-16T00:00:00.000Z,3.9,9.8,5.86,5.11,7.56,1.371,373
2020-02-17T00:00:00.000Z,2.09,14.92,4.84,3.85,7.3,3.439,338
2020-02-18T00:00:00.000Z,2.02,7.1,3.93,3.74,4.66,1.016,25
2020-03-08T00:00:00.000Z,2.5,5.6,3.18,2.92,3.5,0.512,190
2020-03-09T00:00:00.000Z,2.85,26.26,6.01,4.37,6.82,2.325,413
2020-03-10T00:00:00.000Z,3.72,10.22,7.72,5.5,8.57,1.626,175
2020-03-11T00:00:00.000Z,2.6,10.63,6.39,5.82,7.9,1.549,200
2020-03-12T00:00:00.000Z,2.31,26.64,4.9,3.42,5.94,2.741,315
2020-03-13T00:00:00.000Z,1.35,10.8,4.11,2.52,7.25,2.719,313
2020-03-14T00:00:00.000Z,1.7,11.79,4.72,3.91,5.48,1.834,190
2020-03-15T00:00:00.000Z,2.2,6.39,3.7,2.74,4.55,1.113,285
2020-03-16T00:00:00.000Z,2.46,16.07,4.46,3.64,5.7,1.896,576
2020-03-17T00:00:00.000Z,3.38,20.34,5.66,4.7,9.73,4.345,573
2020-03-18T00:00:00.000Z,2.2,14.12,5.14,3.75,6.22,2.117,490
2020-03-19T00:00:00.000Z,2.85,16.54,6.18,3.95,9.3,3.198,543
2020-03-20T00:00:00.000Z,4.09,13.42,6.27,5.47,7.26,1.573,340
2020-03-21T00:00:00.000Z,5.9,33.92,8.02,6.91,16.39,6.272,478
2020-03-22T00:00:00.000Z,2.4,15.23,4.51,3.76,8.02,3.337,446
2020-03-23T00:00:00.000Z,1.23,9.72,2.8,2.17,4.03,1.907,426
2020-03-24T00:00:00.000Z,1.1,8.94,2.35,1.84,3.87,2.008,429
2020-03-25T00:00:00.000Z,1.25,14.26,2.31,2.06,3.69,1.311,371
2020-03-26T00:00:00.000Z,2.9,20.68,6.11,4.8,8.24,3.435,430
2020-03-27T00:00:00.000Z,8.23,51.24,20.68,13,31.02,10.792,355
2020-03-28T00:00:00.000Z,14.68,63.5,32.4,24.32,49.74,15.099,169
2020-03-29T00:00:00.000Z,5.25,36.79,17.22,13.06,21.42,8.085,318
2020-03-30T00:00:00.000Z,4.5,25.41,5.9,5.36,13.9,6.266,127
2020-03-31T00:00:00.000Z,2.95,30,5.84,4.9,10.31,4.815,275
