# Sensor Ger.ex.SR3, Santiago, Chile (Purple Air/115345)
# https://aqicn.org/station/@352213/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-08-23T00:00:00.000Z,59.8,76.2,63.3,62.1,66.2,3.683,93
2022-08-24T00:00:00.000Z,48.2,120.5,66.5,60.8,82.95,17.423,657
2022-08-25T00:00:00.000Z,44,176.1,62.3,52.3,80.09,19.507,639
2022-08-26T00:00:00.000Z,43.3,125.2,55.9,49.1,71.34,16.122,665
2022-08-27T00:00:00.000Z,6.9,90.6,47.2,42.1,58.4,19.432,671
2022-08-28T00:00:00.000Z,19.8,69.8,45.55,38.35,51.4,10.088,652
2022-08-29T00:00:00.000Z,26.8,55.4,37.5,31.8,41,6.532,650
2022-08-30T00:00:00.000Z,31.6,102.5,42.7,37.75,47.7,8.314,620
2022-08-31T00:00:00.000Z,21.9,46.5,36.3,27.95,41,6.796,625
2022-09-01T00:00:00.000Z,23.1,53.2,31.5,27.7,43.4,8.983,645
2022-09-02T00:00:00.000Z,37.4,75,53.2,48.6,57.7,8.465,647
2022-09-03T00:00:00.000Z,18.9,105.3,52.1,39.7,62.5,13.944,651
2022-09-04T00:00:00.000Z,30.7,141.3,48.6,38.6,52.7,13.121,670
2022-09-05T00:00:00.000Z,24.2,66.2,46.7,36.4,50.1,7.691,637
2022-09-06T00:00:00.000Z,22.9,76,40.8,34.4,45.9,8.093,645
2022-09-07T00:00:00.000Z,4.4,44.9,27.4,21.4,33.85,8.841,661
2022-09-08T00:00:00.000Z,0,40.2,3.4,2.29,9.3,6.142,427
2022-09-09T00:00:00.000Z,18.3,70.7,32.3,29.15,41.4,9.395,664
2022-09-10T00:00:00.000Z,23,61.2,48.3,31.7,51.7,10.754,643
2022-09-11T00:00:00.000Z,4.5,34.7,23.1,14.6,28,8.176,626
2022-09-12T00:00:00.000Z,16,74.3,40.3,21.9,48,14.055,595
2022-09-13T00:00:00.000Z,15.7,43.4,26.8,23.4,35.4,6.879,612
2022-09-14T00:00:00.000Z,21.1,84.1,38,31.9,51,11.424,651
2022-09-15T00:00:00.000Z,21.7,57.2,40.5,34.4,46.1,7.124,615
2022-09-16T00:00:00.000Z,23.2,45.6,34.8,31,38.4,5.521,619
2022-09-17T00:00:00.000Z,6.5,47.6,33.9,25.75,38.7,8.455,637
2022-09-18T00:00:00.000Z,0,28.3,7.9,3.7,17.4,7.366,639
2022-09-19T00:00:00.000Z,4.3,46.1,26.7,14,33.5,11.514,651
2022-09-20T00:00:00.000Z,0,19.2,6.8,4.6,9.9,4.361,632
2022-09-21T00:00:00.000Z,0,38.6,5.4,0.6,9.6,6.752,396
2022-11-21T00:00:00.000Z,0,3.2,0.2,0.1,0.3,0.524,71
2022-11-22T00:00:00.000Z,0,14.8,2.9,1.4,5.2,2.727,620
2022-11-23T00:00:00.000Z,0.1,32.3,4.3,2.2,13.85,6.839,640
2022-11-24T00:00:00.000Z,0.9,27.3,5,3.6,6.7,5.36,656
2022-11-25T00:00:00.000Z,0.7,34.9,4.4,3.3,8.6,7.779,555
2022-11-26T00:00:00.000Z,1.4,26.8,6.2,3.8,10.19,6.054,642
2022-11-27T00:00:00.000Z,3.5,40.3,9.4,6.2,15.9,6.627,657
2022-11-28T00:00:00.000Z,3.9,30.2,13.3,7.6,19.1,6.977,674
2022-11-29T00:00:00.000Z,3.9,38.2,15.35,10.8,26.8,9.405,656
2022-11-30T00:00:00.000Z,4.6,38.3,14.05,8.6,22.5,8.591,672
2022-12-01T00:00:00.000Z,0.6,39.4,7.6,5.5,19,8.175,610
2022-12-02T00:00:00.000Z,0.1,41.4,2.5,1.2,5.2,5.141,638
2022-12-03T00:00:00.000Z,0.3,29.8,3.8,1.9,8.2,6.468,635
2022-12-04T00:00:00.000Z,0,17.6,3.3,2.4,4.6,2.056,624
2022-12-05T00:00:00.000Z,0,14.9,2.25,0.5,5.4,3.113,562
2022-12-06T00:00:00.000Z,0,19.2,2.9,0.2,5.2,3.63,540
2022-12-07T00:00:00.000Z,0,34.8,4.8,2.4,9.6,7.821,573
2022-12-08T00:00:00.000Z,0,45.4,16.5,1.7,24.6,13.198,535
2022-12-09T00:00:00.000Z,0,27.1,2.2,0.5,4.5,2.987,347
2022-12-10T00:00:00.000Z,0,19.4,1.7,0.2,3.3,2.237,453
2022-12-11T00:00:00.000Z,0,33.4,2.7,0.7,4,5.013,611
2022-12-12T00:00:00.000Z,0.1,38.3,9,3.6,18,9.111,648
2022-12-13T00:00:00.000Z,0,18.6,2.5,1.2,5.1,3.302,583
2022-12-14T00:00:00.000Z,0,18.2,1.1,0.3,5,4.234,428
