# Sensor Israel.SR4.ex, Santiago, Chile (Purple Air/115281)
# https://aqicn.org/station/@352309/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-08-24T00:00:00.000Z,29.9,68.6,61.35,48.45,64.05,10.978,60
2022-08-25T00:00:00.000Z,39.5,103.1,59.9,54.05,77.34,15.554,648
2022-08-26T00:00:00.000Z,44,96.8,60.7,54.5,69.5,13.455,665
2022-08-27T00:00:00.000Z,5.6,103,54.65,45.15,66.3,22.614,672
2022-08-28T00:00:00.000Z,22.2,98.7,57.4,40.4,75.7,20.979,603
2022-08-29T00:00:00.000Z,19.9,51.3,34.1,29,41.2,7.225,643
2022-08-30T00:00:00.000Z,32.8,66.1,44.45,39.15,48.5,6.431,636
2022-08-31T00:00:00.000Z,21.7,53.7,37.29,30.2,42.6,8.267,624
2022-09-01T00:00:00.000Z,23.8,51.3,40.6,36.2,44.15,6.612,620
2022-09-02T00:00:00.000Z,43.4,90,62.1,58.1,65,8.4,398
2022-09-05T00:00:00.000Z,27.5,68.4,41.05,37.29,49.55,9.56,244
2022-09-06T00:00:00.000Z,27,73.7,37.15,34.9,39.75,8.72,228
2022-09-07T00:00:00.000Z,5.7,44.7,27.6,22.4,36.65,9.863,629
2022-09-08T00:00:00.000Z,0,50.1,6.4,2.5,13.3,9.152,522
2022-09-09T00:00:00.000Z,23.7,70.9,43.1,36.15,47.8,9.546,604
2022-09-10T00:00:00.000Z,22.1,103,46.9,34,62.7,18.69,635
2022-09-11T00:00:00.000Z,2.4,40,18.39,10.1,30.8,10.348,520
2022-09-12T00:00:00.000Z,16.1,67.1,46.2,26.15,50.85,13.269,573
2022-09-13T00:00:00.000Z,18.2,53.4,27.3,23.9,34.4,6.145,621
2022-09-14T00:00:00.000Z,25.8,66,47.5,38.4,53.5,9.896,485
2022-10-05T00:00:00.000Z,20,20.1,20.05,20,20.1,0.05,2
2022-11-16T00:00:00.000Z,1.2,12,3.6,2.8,5.2,2.043,257
2022-11-17T00:00:00.000Z,0.1,22,4.59,2.4,8.5,4.727,640
2022-11-18T00:00:00.000Z,0.1,31,11.55,3.9,19.2,8.854,642
2022-11-19T00:00:00.000Z,0,34.4,3.1,2.2,4.8,3.384,634
2022-11-20T00:00:00.000Z,0,25.2,6.5,3.1,8.9,5.048,538
2022-11-21T00:00:00.000Z,0,11.9,1.1,0.3,3,2.228,548
2022-11-22T00:00:00.000Z,0,17.6,3.9,1.5,5.9,3.424,624
2022-11-23T00:00:00.000Z,0,31.8,5.1,2.2,15,6.925,651
2022-11-24T00:00:00.000Z,0.6,32.3,5.4,3.3,7.2,6.53,656
2022-11-25T00:00:00.000Z,0.1,34.9,5,3.1,9.75,8.978,649
2022-11-26T00:00:00.000Z,0.1,44,6.7,3.5,12.4,8.004,657
2022-11-27T00:00:00.000Z,2.5,45.6,9.7,6.3,18.6,7.465,662
2022-11-28T00:00:00.000Z,3.5,35.5,13.9,7.6,21.2,8.466,659
2022-11-29T00:00:00.000Z,3.7,40.8,15.8,8.9,29.7,10.939,642
2022-11-30T00:00:00.000Z,3.3,38,15.9,7.7,20.8,9.214,551
2022-12-01T00:00:00.000Z,0.1,44.4,8.3,6.1,20.65,9.101,617
2022-12-02T00:00:00.000Z,0,23.2,3.2,1.5,6.4,5.634,681
2022-12-03T00:00:00.000Z,0.2,29.7,4.4,2.6,7.9,6.337,642
2022-12-04T00:00:00.000Z,0,33.5,3.8,2.6,5.7,3.402,651
2022-12-05T00:00:00.000Z,0,28.4,2.25,0.6,5.8,4.532,606
2022-12-06T00:00:00.000Z,0,29.1,2,0.3,6,4.887,615
2022-12-07T00:00:00.000Z,0,34.1,5.3,2.95,12.8,8.16,593
2022-12-08T00:00:00.000Z,0,47.4,15.5,2.5,29.45,14.086,517
2022-12-09T00:00:00.000Z,0,14.7,2.35,0.3,5.55,3.385,380
2022-12-10T00:00:00.000Z,0,11,1.5,0.3,4.3,2.516,506
2022-12-11T00:00:00.000Z,0,36,3,0.9,4.3,4.623,628
2022-12-12T00:00:00.000Z,0.2,39.9,9.5,3.8,18.7,9.567,652
2022-12-13T00:00:00.000Z,0,14.4,2.9,1.2,5.25,2.788,601
2022-12-14T00:00:00.000Z,0,26.8,1.7,0.7,4.8,4.482,382
2023-03-22T00:00:00.000Z,6,6,6,6,6,0,1
