# Sensor John-ex-14, Macul, Chile (Purple Air/127023)
# https://aqicn.org/station/@349819/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-07-28T00:00:00.000Z,28.2,61.3,45.7,33.6,51.3,9.501,99
2022-07-29T00:00:00.000Z,30.2,108.3,57.5,44.3,67.4,14.237,625
2022-07-30T00:00:00.000Z,39.4,105,49.9,45.8,55.6,8.498,658
2022-07-31T00:00:00.000Z,39.3,93.6,63.8,58.6,69,10.552,659
2022-08-01T00:00:00.000Z,44.7,112.1,62.6,52.35,72.9,15.824,513
2022-08-02T00:00:00.000Z,49.9,90.1,72.9,66.9,78.4,8.677,611
2022-08-03T00:00:00.000Z,25.7,111.5,72.84,48.9,87.5,22.724,650
2022-08-04T00:00:00.000Z,21.4,165.8,45.7,32.4,62.95,18.542,653
2022-08-05T00:00:00.000Z,28.5,94.6,66,54.15,74.09,16.073,661
2022-08-06T00:00:00.000Z,9,146.2,46.2,39.2,51.9,12.64,663
2022-08-07T00:00:00.000Z,0,32.2,10.9,4.2,19.1,8.455,595
2022-08-08T00:00:00.000Z,4.7,56.5,37.2,28.5,41.9,9.442,633
2022-08-09T00:00:00.000Z,26.9,246,49.7,42.9,55.3,20.381,634
2022-08-10T00:00:00.000Z,13.6,85,44.5,35.45,57,15.064,585
2022-08-11T00:00:00.000Z,37.5,189.6,49.1,44.5,58.2,13.85,587
2022-08-12T00:00:00.000Z,29.1,61.8,40.1,36.6,43.5,4.597,621
2022-08-13T00:00:00.000Z,25.6,253.8,54.1,41.25,63.65,21.165,668
2022-08-14T00:00:00.000Z,0,90.9,42.1,32.1,51.85,15.923,652
2022-08-15T00:00:00.000Z,0,25.8,0.6,0.1,6.7,7.556,390
2022-08-16T00:00:00.000Z,9.2,122.8,34.1,27.3,41.55,14.794,613
2022-08-17T00:00:00.000Z,24.1,47.5,35.4,33.2,37.5,3.246,598
2022-08-18T00:00:00.000Z,27.6,80.4,40.7,33.6,47.2,8.258,365
2022-08-23T00:00:00.000Z,77.4,77.4,77.4,77.4,77.4,0,1
2022-10-05T00:00:00.000Z,8.6,24.5,15.1,12.4,17,3.279,110
2022-10-06T00:00:00.000Z,4.1,45.9,19.64,12.9,28.3,10.619,638
2022-10-07T00:00:00.000Z,0,40.8,20.5,7.4,29.8,11.59,614
2022-10-08T00:00:00.000Z,0,25.2,2.29,0.9,7.6,7.104,555
2022-10-09T00:00:00.000Z,0,29,8.1,3.7,13.8,7.49,629
2022-10-10T00:00:00.000Z,0.2,36.1,3.7,2.6,6,5.48,619
2022-10-11T00:00:00.000Z,4.8,39.7,10.19,6.8,20,10.261,658
2022-10-12T00:00:00.000Z,0.9,46.8,18.39,11.75,29.25,12.492,636
2022-10-13T00:00:00.000Z,0.3,43.9,17.8,7,23.25,10.83,637
2022-10-14T00:00:00.000Z,1,42.6,11.2,5.7,23.85,11.732,633
2022-10-15T00:00:00.000Z,3.2,45.5,19.35,8.8,24.05,11.855,648
2022-10-16T00:00:00.000Z,2.8,61.9,18.6,7.6,24.75,9.734,633
2022-10-17T00:00:00.000Z,0,28.8,5,2.1,18.6,8.879,650
2022-10-18T00:00:00.000Z,0.2,41.8,22.6,7.1,31,12.915,462
2022-10-21T00:00:00.000Z,0,35.7,15.2,6.4,25,10.422,615
2022-10-22T00:00:00.000Z,0,35.9,5.8,3.2,13.2,9.395,655
2022-10-23T00:00:00.000Z,0,38.4,8.5,3.6,18.6,10.245,658
2022-10-24T00:00:00.000Z,0.8,36.4,8.9,5.6,19.6,9.854,639
2022-10-25T00:00:00.000Z,0.2,20.1,3.3,1.5,6.3,4.054,368
2022-11-16T00:00:00.000Z,7.8,7.8,7.8,7.8,7.8,0,1
