# Sensor John.SR5.ex, Quilicura, Chile (Purple Air/115343)
# https://aqicn.org/station/@348931/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-07-20T00:00:00.000Z,23,28.2,24.75,23.7,26.65,1.903,4
2022-07-21T00:00:00.000Z,4.1,38.5,29.8,28.6,30.8,5.189,104
2022-07-22T00:00:00.000Z,28.4,49.6,37.9,35.7,42.2,4.529,622
2022-07-23T00:00:00.000Z,31.2,49.8,44.2,39.8,47,4.607,627
2022-07-24T00:00:00.000Z,32.5,70.2,51.6,45.9,57,8.264,624
2022-07-25T00:00:00.000Z,15.1,49.5,37.4,31.8,40.5,7.493,589
2022-07-26T00:00:00.000Z,3.8,58.1,24.2,17.2,33.4,12.794,644
2022-07-27T00:00:00.000Z,4.9,31.8,15.7,11.6,21.65,5.903,625
2022-07-28T00:00:00.000Z,20.5,39.3,29.4,26,31.4,3.724,538
2022-09-22T00:00:00.000Z,35.6,35.6,35.6,35.6,35.6,0,1
2022-10-28T00:00:00.000Z,0.2,44.6,9.25,1.2,33.8,16.245,92
2022-10-29T00:00:00.000Z,0,52.8,20.8,13.2,34.3,13.221,567
2022-10-30T00:00:00.000Z,0,12.6,0.4,0.1,1,1.772,431
2022-10-31T00:00:00.000Z,0,18.7,1.7,0.6,3.4,2.266,470
2022-11-01T00:00:00.000Z,0,20.4,2.29,0.8,5.9,4.735,572
2022-11-02T00:00:00.000Z,0.4,27.5,6.8,4.6,13.2,5.964,641
2022-11-03T00:00:00.000Z,1,33.4,5.4,4,13.7,8.109,602
2022-11-04T00:00:00.000Z,5.4,39.3,14.45,7.9,25.5,9.608,662
2022-11-05T00:00:00.000Z,4.9,35.2,9.6,7,23.35,9.913,649
2022-11-06T00:00:00.000Z,5.9,144.5,15.6,8.1,21.3,12.518,647
2022-11-07T00:00:00.000Z,6.7,30.6,15.7,10.1,24.2,7.603,648
2022-11-08T00:00:00.000Z,9.4,36.3,22.4,16.9,28.4,6.762,653
2022-11-09T00:00:00.000Z,0,37.8,20.7,12.3,26.1,9.016,655
2022-11-10T00:00:00.000Z,0.2,36.9,8.75,2.9,21.9,11.064,634
2022-11-11T00:00:00.000Z,0,30.5,4.95,2.1,16.35,9.76,584
2022-11-12T00:00:00.000Z,0,37.1,0.9,0.2,2.5,6.498,85
2022-11-15T00:00:00.000Z,0,345.3,0.15,0.1,0.4,44.963,62
2022-11-16T00:00:00.000Z,0,18.6,6.2,3.4,9.9,4.248,638
2022-11-17T00:00:00.000Z,0.8,20.6,5.35,2.7,7.6,3.931,624
2022-11-18T00:00:00.000Z,2.2,28.2,10.6,7.3,19,7.054,514
2022-11-22T00:00:00.000Z,4.9,5,4.95,4.9,5,0.05,2
