# Sensor Las Encinas - RespiraAccion, Temuco, Chile (Purple Air/51609)
# https://aqicn.org/station/@116182/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-05-02T00:00:00.000Z,25.83,470.28,66.43,47.4,107.61,97.841,699
2020-05-03T00:00:00.000Z,11.6,271.83,38.71,22.8,73.43,41.706,719
2020-05-04T00:00:00.000Z,2.39,271.95,35.81,11.7,78.45,52.894,715
2020-05-05T00:00:00.000Z,6.07,709.07,45.36,24.45,213.79,192.112,706
2020-05-06T00:00:00.000Z,7.73,466.21,74.7,36.17,144.74,108.834,725
2020-05-07T00:00:00.000Z,23.48,396.96,64.52,46.71,132.16,81.943,544
2020-05-08T00:00:00.000Z,22.98,574.54,88.36,63.07,160.24,130.925,525
2020-05-09T00:00:00.000Z,3.97,117.02,20.23,10.63,33.38,20.287,479
2020-05-10T00:00:00.000Z,3.35,68.78,19.29,8.6,30.04,12.833,351
2020-05-11T00:00:00.000Z,10.48,507.6,68.64,33.54,126.98,115.551,481
2020-05-12T00:00:00.000Z,19,486.65,106.17,45.07,250.2,121.428,700
2020-05-13T00:00:00.000Z,28.82,364.67,91.5,48.36,145.57,69.352,718
2020-05-14T00:00:00.000Z,14.2,522.51,74.77,55.44,234.33,124.011,712
2020-05-15T00:00:00.000Z,6.79,207.52,49.46,38.53,71.8,26.208,719
2020-05-16T00:00:00.000Z,9.19,178.02,44.67,33.67,74.56,37.112,721
2020-05-17T00:00:00.000Z,5.18,247.28,44.05,18.02,69.26,43.323,717
2020-05-18T00:00:00.000Z,23.88,469.64,59.01,49.34,103.72,97.894,704
2020-05-19T00:00:00.000Z,2.63,370.62,57.78,41.02,88.15,50.366,722
2020-05-20T00:00:00.000Z,39.36,470.93,80.88,55.98,166.34,71.95,712
2020-05-21T00:00:00.000Z,16.52,667.72,69.52,49.55,142.16,160.035,710
2020-05-22T00:00:00.000Z,36.67,602.27,102.66,60.58,306.81,160.543,671
2020-05-23T00:00:00.000Z,52.22,743.7,181.93,128.57,241.17,96.792,717
2020-05-24T00:00:00.000Z,6.04,465.25,63.88,37.97,148.47,92.791,716
2020-05-25T00:00:00.000Z,9.02,697.88,62.28,37.15,117.32,126.454,719
2020-05-26T00:00:00.000Z,7.22,415.36,54.25,38.02,170.76,92.541,716
2020-05-27T00:00:00.000Z,4.12,477.37,36.24,18.86,82.76,95.119,718
2020-05-28T00:00:00.000Z,8.34,471.3,41.7,26.34,78.02,61.422,717
2020-05-29T00:00:00.000Z,14.88,768.98,77.95,48.49,221.68,193.971,653
2020-05-30T00:00:00.000Z,30.87,1293.79,108.56,72.75,509.21,241.948,713
2020-05-31T00:00:00.000Z,30.84,898.71,143.12,73.51,319.64,193.706,716
2020-06-01T00:00:00.000Z,54.26,874.32,175.31,117.09,297.25,171.372,658
2020-06-02T00:00:00.000Z,12.27,368.72,87.72,49.31,167.02,78.04,717
2020-06-03T00:00:00.000Z,17.43,981.45,130.63,60.25,421.55,255.713,717
2020-06-04T00:00:00.000Z,16.88,688.45,216.13,140.11,464.92,184.919,589
2020-06-05T00:00:00.000Z,23.53,618.55,89.42,50.41,150.36,106.755,718
2020-06-06T00:00:00.000Z,20.28,586.36,104.93,43.24,226.75,115.457,717
2020-06-07T00:00:00.000Z,33.5,672.71,110.86,67.16,191.31,130.026,711
2020-06-08T00:00:00.000Z,3.52,414.7,55.44,28.87,126.96,74.595,712
2020-06-09T00:00:00.000Z,13.21,578.4,76.63,44.94,132.66,81.137,718
2020-06-10T00:00:00.000Z,6.68,176.23,42.46,21.88,68.33,31.891,716
2020-06-11T00:00:00.000Z,2.54,116.84,29.33,11.14,41.77,20.004,714
2020-06-12T00:00:00.000Z,5.47,424.12,41.64,29,62.91,67.811,712
2020-06-13T00:00:00.000Z,21.18,536.64,55.07,42.64,104.53,98.47,713
2020-06-14T00:00:00.000Z,42.02,700.39,143.46,90.57,277.86,170.29,715
2020-06-15T00:00:00.000Z,24.32,697.87,89.36,42.07,183.98,155.726,710
2020-06-16T00:00:00.000Z,6.16,195.89,42.19,26.96,64.06,34.083,714
2020-06-17T00:00:00.000Z,16.05,352.88,109.2,71.09,154.85,71.235,718
2020-06-18T00:00:00.000Z,0.66,244.7,29.2,5.11,48.93,44.144,718
2020-06-19T00:00:00.000Z,1.47,425.23,37.88,26.22,50.64,54.455,713
2020-06-20T00:00:00.000Z,2.24,466.98,35.49,17.34,52.36,47.956,716
2020-06-21T00:00:00.000Z,19.91,259.98,56.78,40.47,104.64,47.465,714
2020-06-22T00:00:00.000Z,0.7,433.26,34.21,14.88,53.99,73.686,712
2020-06-23T00:00:00.000Z,3.59,746.03,70.73,36.79,202.24,141.795,647
2020-06-24T00:00:00.000Z,2.47,316,54.5,37.33,89.49,50.296,645
2020-06-25T00:00:00.000Z,29.36,547.04,97.05,56.59,171.21,84.897,642
2020-06-26T00:00:00.000Z,1.24,536.86,46.95,29.15,108.98,118.695,642
2020-06-27T00:00:00.000Z,6.67,312.64,54.98,37.85,101.77,57.57,599
2020-06-28T00:00:00.000Z,0.86,421.93,32.29,17.42,55.22,90.696,580
2020-06-29T00:00:00.000Z,2.1,282.13,55.72,20.92,107.35,57.116,548
2020-06-30T00:00:00.000Z,8.44,378.36,53.64,34.15,124.3,90.429,546
2020-07-01T00:00:00.000Z,3.98,522.13,40.57,29.76,61.13,63.959,523
2020-07-02T00:00:00.000Z,16.63,476.79,84.33,43.91,223.77,128.108,533
2020-07-03T00:00:00.000Z,3.31,552.9,40,25.79,87.1,122.134,532
2020-07-04T00:00:00.000Z,13.22,577.34,51.56,27.61,140.51,105.935,568
2020-07-05T00:00:00.000Z,35.51,481.7,96.79,64.62,197.44,97.667,194
2020-07-06T00:00:00.000Z,58.51,699.09,149.88,111.2,468.2,200.384,347
2020-07-07T00:00:00.000Z,22.57,732.88,59.34,46.28,141.19,174.321,535
2020-07-08T00:00:00.000Z,8.05,337.98,75.84,50.34,134.29,63.251,532
2020-07-09T00:00:00.000Z,2.31,374.36,36.07,15.13,63.26,75.729,396
2020-07-10T00:00:00.000Z,1.09,310.05,33.14,9.52,49.48,39.04,560
2020-07-11T00:00:00.000Z,1.65,258.89,38.26,13.29,55.56,41.652,561
2020-07-12T00:00:00.000Z,4.05,348.74,62.02,39.75,96.58,46.722,561
2020-07-13T00:00:00.000Z,10.92,563.17,99.08,49.47,142,84.97,562
2020-07-14T00:00:00.000Z,50.73,699.8,133.56,78.33,196.41,152.774,541
2020-07-15T00:00:00.000Z,48.98,783.16,248.52,107.96,361.43,159.16,554
2020-07-16T00:00:00.000Z,45.98,1126.38,266.82,152.36,457.05,201.944,538
2020-07-17T00:00:00.000Z,7.24,261.75,36.36,22.72,55.7,38.848,569
2020-07-18T00:00:00.000Z,2.38,256.72,37.04,9.64,55.82,43.614,561
2020-07-19T00:00:00.000Z,7.9,407.84,43.56,28.76,76.77,55.743,570
2020-07-20T00:00:00.000Z,2.54,457.04,37.97,23.31,68.8,71.903,546
2020-07-21T00:00:00.000Z,11.87,360.64,44.25,32.4,66.75,37.836,528
2020-07-22T00:00:00.000Z,18.77,600.83,71.39,43.65,126.81,81.655,495
2020-07-23T00:00:00.000Z,4.29,643.79,86.21,42.73,163.85,146.853,524
2020-07-24T00:00:00.000Z,16.62,496.15,66.22,47.74,128.1,110.518,472
2020-07-25T00:00:00.000Z,5.11,483.58,45.2,29.76,75.75,54.941,566
2020-07-26T00:00:00.000Z,1.36,138.4,31.31,19.16,41.27,20.105,502
2020-07-27T00:00:00.000Z,12.66,366.86,81.96,47.68,186.39,80.082,525
2020-07-28T00:00:00.000Z,20.65,807.1,160.99,73.37,353.14,198.006,484
2020-07-29T00:00:00.000Z,49.68,967.86,144.32,79.63,258.83,215.945,352
2020-07-30T00:00:00.000Z,28.09,423.89,133.72,57.75,254.89,110.372,494
2020-07-31T00:00:00.000Z,10.28,821.95,79.22,55.33,131.54,65.071,434
2020-08-01T00:00:00.000Z,6.8,398.48,56.75,31.95,154.55,92.224,502
2020-08-02T00:00:00.000Z,19.05,272.3,81.69,56.43,120.46,56.357,475
