# Sensor Las Encinas, Ñuñoa, Chile (Citizen Science project sensor.community/48169)
# https://aqicn.org/station/@130543/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-07-18T00:00:00.000Z,11.93,53.3,38.99,21.71,44.08,12.476,684
2020-07-19T00:00:00.000Z,6.1,96.78,42.72,37.22,48.78,9.473,298
2020-07-20T00:00:00.000Z,1.6,12.55,3.5,2.92,6.13,2.79,117
2020-07-21T00:00:00.000Z,1,23.48,5.82,3.6,8.9,4.808,350
2020-07-22T00:00:00.000Z,1.2,9.77,4.45,2.37,6.4,2.334,510
2020-07-23T00:00:00.000Z,5.12,36.03,14.1,9.94,17.85,5.897,489
2020-07-24T00:00:00.000Z,3.8,33.63,9.3,7.2,11.39,6.589,577
2020-07-25T00:00:00.000Z,14.3,28.8,23.06,19.27,25.67,3.699,94
2020-07-26T00:00:00.000Z,30.1,39.36,31.7,30.1,39.36,4.046,3
2020-07-27T00:00:00.000Z,10.3,84.77,42.67,21.83,62.5,21.086,183
2020-07-28T00:00:00.000Z,11.9,57.35,41.22,26.48,46.37,12.492,299
2020-07-29T00:00:00.000Z,12.82,51.6,30.62,24,38.17,9.911,327
2020-07-30T00:00:00.000Z,15.45,64.06,26.05,22.58,28.4,6.703,479
2020-07-31T00:00:00.000Z,65.22,82.75,75.89,68.9,79.31,5.537,30
2020-08-01T00:00:00.000Z,6.2,89.9,21.08,14.07,30.77,22.271,390
2020-08-02T00:00:00.000Z,18.1,56.42,31.31,27.13,35.46,6.997,500
2020-08-03T00:00:00.000Z,21.77,68.77,41.7,37.83,45.28,7.48,451
2020-08-04T00:00:00.000Z,25,84.37,44.47,37.42,55.07,12.249,477
2020-08-05T00:00:00.000Z,5.2,52.8,16.32,11.84,24,10.316,557
2020-08-06T00:00:00.000Z,10.3,41.37,19.92,16.34,33,9.135,409
2020-08-07T00:00:00.000Z,7.5,73.3,38.9,15.08,45.54,16.329,549
2020-08-08T00:00:00.000Z,10.1,77.23,29.99,25.85,44.34,16.716,440
2020-08-09T00:00:00.000Z,2.08,60.33,35.22,7.28,45.47,18.257,556
2020-08-10T00:00:00.000Z,5.6,78.81,14.63,10.98,23.25,7.399,561
2020-08-11T00:00:00.000Z,2.6,30.97,9.88,4.78,17.23,7.347,471
2020-08-12T00:00:00.000Z,4.5,29.8,17.75,12.68,22.95,5.964,551
2020-08-13T00:00:00.000Z,12.5,54.42,34.2,25.09,38.7,9.315,533
2020-08-14T00:00:00.000Z,7.5,44.75,24.3,13.24,27.98,9.042,445
2020-08-15T00:00:00.000Z,6.3,70.47,48.7,42.18,55.59,18.284,561
2020-08-16T00:00:00.000Z,5.4,60.75,32.14,10.03,37.39,13.859,484
2020-08-17T00:00:00.000Z,7.53,33.03,15.88,11.31,22.09,6.925,668
2020-08-18T00:00:00.000Z,8.69,43.95,13.6,12.05,18.25,4.066,935
2020-08-19T00:00:00.000Z,10.7,49.1,27.97,19.77,39.53,11.161,972
2020-08-20T00:00:00.000Z,8.6,48.63,31.95,23.65,36.95,8.729,983
2020-08-21T00:00:00.000Z,6.45,58.6,14.38,10.01,21.23,7.102,973
2020-08-22T00:00:00.000Z,8.4,57.65,21.41,12.48,30.4,11.103,822
2020-08-23T00:00:00.000Z,4.15,63.6,25.35,20.7,44.96,14.744,901
2020-08-24T00:00:00.000Z,1.43,15.5,6.37,4.43,7.8,3.103,709
2020-08-25T00:00:00.000Z,1.4,32.7,9.88,7.43,16.17,5.567,769
2020-08-26T00:00:00.000Z,1.2,49.42,5.82,2.8,10.93,8.834,779
2020-08-27T00:00:00.000Z,2.2,35.33,13.17,4.28,16.1,6.046,984
2020-08-28T00:00:00.000Z,3.62,28.17,10.45,6.37,13.5,4.747,556
2020-08-29T00:00:00.000Z,1.8,30.9,16.85,8.78,19.64,7.354,840
2020-08-30T00:00:00.000Z,3,47.5,15.2,9.8,22.04,10.979,721
2020-08-31T00:00:00.000Z,4.28,22.83,13.14,8.84,16.23,4.403,824
2020-09-01T00:00:00.000Z,6.55,46.37,18.36,11.75,28.97,9.26,736
2020-09-02T00:00:00.000Z,11.98,54.67,36.17,21.59,43.24,11.428,873
2020-09-03T00:00:00.000Z,9.57,47.5,28.67,21.34,34.53,9.165,873
2020-09-04T00:00:00.000Z,10.19,43.65,24.9,19.37,27.67,7.433,695
2020-09-06T00:00:00.000Z,3.03,36.1,18.3,15.47,23.99,7.427,709
2020-09-07T00:00:00.000Z,4.5,23.1,11.6,10.63,15.07,3.343,643
2020-09-08T00:00:00.000Z,11.02,44.92,23.45,18.05,28.4,7.843,521
2020-09-09T00:00:00.000Z,7.88,58.47,42.03,29.02,46.15,13.967,571
2020-09-10T00:00:00.000Z,2.13,29.38,18.47,14.82,22.8,6.365,475
2020-09-11T00:00:00.000Z,1.63,27.52,8.81,4.44,22.32,8.678,412
2020-09-12T00:00:00.000Z,2.9,39.72,16.3,12.48,20.95,6.882,388
2020-09-13T00:00:00.000Z,1.5,27.1,12.81,8.75,15.69,5.972,488
2020-09-14T00:00:00.000Z,4.3,23.5,7.47,6.43,9.48,3.135,383
2020-09-15T00:00:00.000Z,5.35,36.54,9.94,7.19,24.92,9.467,336
2020-09-16T00:00:00.000Z,10.85,16.45,14.04,12.75,14.8,1.427,38
2020-09-17T00:00:00.000Z,2.29,40.97,24.51,22.83,26.27,8.484,164
2020-09-18T00:00:00.000Z,2.38,27.6,12.8,10.23,16.23,5.336,423
2020-09-19T00:00:00.000Z,2.4,33.9,11.25,8.69,17.77,5.788,407
2020-09-20T00:00:00.000Z,3.07,20.48,8.1,6.63,11.34,2.984,281
2020-09-21T00:00:00.000Z,6.5,33.83,20.14,13.47,26.86,7.537,255
2020-09-22T00:00:00.000Z,3.3,43.7,13.45,5.57,18.05,7.275,454
2020-09-23T00:00:00.000Z,3.5,27.9,7.65,6.02,9.6,4.638,637
2020-09-24T00:00:00.000Z,5.6,218.95,10.8,8.99,17.63,12.649,689
2020-09-25T00:00:00.000Z,9.1,63.03,24.4,18.89,48.25,15.988,496
2020-09-26T00:00:00.000Z,1.8,19.92,6.63,3.55,11.82,4.366,315
2021-06-29T00:00:00.000Z,1,619.35,1.7,1.4,2.7,87.24,109
