# Sensor Los Tordos, Las Condes, Chile (Citizen Science project sensor.community/50884)
# https://aqicn.org/station/@172660/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-10-20T00:00:00.000Z,5.3,15.52,9.86,7.68,13.45,3.238,26
2020-10-21T00:00:00.000Z,2.65,11.35,4.4,3.65,5.68,1.88,378
2020-10-22T00:00:00.000Z,4.68,22.13,5.9,5.46,6.8,2.74,404
2020-10-23T00:00:00.000Z,4.93,65.81,7.88,6.9,11.82,5.107,403
2020-10-24T00:00:00.000Z,2.4,42.4,8.78,6.78,10.5,4.058,422
2020-10-25T00:00:00.000Z,2.5,23.38,4.34,3.28,6.93,2.785,432
2020-10-26T00:00:00.000Z,3.1,20.42,6.38,5.28,7.92,4.486,425
2020-10-27T00:00:00.000Z,2.27,25.38,3.9,3.41,5.78,2.047,441
2020-10-28T00:00:00.000Z,2.83,22.3,6.21,4.5,12.94,5.307,460
2020-10-29T00:00:00.000Z,2.22,18.57,3.85,3.47,4.59,2.912,450
2020-10-30T00:00:00.000Z,2.63,11,3.7,3.35,4.63,1.703,469
2020-10-31T00:00:00.000Z,3.38,30.63,5.5,4.69,6.7,3.778,485
2020-11-01T00:00:00.000Z,4.75,33.67,10.31,8.23,12.98,3.711,464
2020-11-02T00:00:00.000Z,4.47,50.28,6.63,5.85,7.9,3.857,395
2020-11-03T00:00:00.000Z,3.4,51.67,8.57,7.25,10.18,5.438,443
2020-11-04T00:00:00.000Z,5.35,35.97,11.89,8.64,15.15,7.22,336
2020-11-05T00:00:00.000Z,2,25.63,7.43,5.5,9.57,5.202,286
2020-11-06T00:00:00.000Z,1.67,24.1,2.9,2.4,3.58,2.541,319
2020-11-07T00:00:00.000Z,1.75,8.15,2.7,2.39,3.21,1.232,384
2020-11-08T00:00:00.000Z,1.9,11.52,3.37,2.83,4.12,1.173,352
2020-11-09T00:00:00.000Z,2.33,11.32,3.5,2.96,4.87,1.45,281
2020-11-10T00:00:00.000Z,1.9,7.28,2.9,2.63,3.8,1.118,330
2020-11-11T00:00:00.000Z,1.88,16.89,4.13,2.6,6.7,3.578,340
2020-11-12T00:00:00.000Z,1.95,9.82,3.95,2.7,6.32,2.164,292
2020-11-13T00:00:00.000Z,3.1,19.7,7.34,4.5,10.32,3.847,310
2020-11-14T00:00:00.000Z,2.29,14.1,5.32,4.63,8.74,2.915,340
2020-11-15T00:00:00.000Z,1.63,5.5,3,2.7,3.7,0.724,289
2020-11-16T00:00:00.000Z,1.14,7.63,2.17,1.77,2.7,1.045,281
2020-11-17T00:00:00.000Z,1.77,13.32,4.7,2.45,7.65,2.961,314
2020-11-18T00:00:00.000Z,2.29,14.85,5.17,4,8.15,3.213,368
2020-11-19T00:00:00.000Z,2.15,16.8,5.94,3.1,9.02,3.6,366
2020-11-20T00:00:00.000Z,2.15,15.2,6.28,5.43,7.75,2.696,367
2020-11-21T00:00:00.000Z,1.65,10.19,3.17,2.29,5.22,1.897,311
2020-11-22T00:00:00.000Z,1.3,6.82,2.15,1.88,2.5,0.78,302
2020-11-23T00:00:00.000Z,1.1,10.57,2.1,1.7,2.83,1.157,273
2020-11-24T00:00:00.000Z,1,4.38,1.8,1.52,2.2,0.722,286
2020-11-25T00:00:00.000Z,0.7,5.22,1.58,1.27,2,0.769,294
2020-11-26T00:00:00.000Z,1,15.65,2.04,1.6,2.58,1.346,287
2020-11-27T00:00:00.000Z,1.55,8.4,2.83,2.38,4.84,1.61,272
2020-11-28T00:00:00.000Z,1.7,7.7,2.8,2.42,3.51,0.859,281
2020-11-29T00:00:00.000Z,1.3,5.9,2.15,1.8,2.63,0.602,284
2020-11-30T00:00:00.000Z,1.1,5.85,2,1.8,2.29,0.513,257
2020-12-01T00:00:00.000Z,1.12,5.6,2.1,1.88,2.4,0.478,223
2020-12-02T00:00:00.000Z,1.75,10.43,2.85,2.5,3.6,1.175,225
2020-12-03T00:00:00.000Z,1.23,5.95,2.35,2,2.78,0.616,229
2020-12-04T00:00:00.000Z,1.2,7.1,2.2,1.9,2.7,1.148,263
2020-12-05T00:00:00.000Z,1.6,5.2,2.4,2,3,0.699,239
2020-12-06T00:00:00.000Z,2.1,11.95,3.25,2.72,3.6,0.808,339
2020-12-07T00:00:00.000Z,1.92,9.55,2.7,2.29,3.38,0.857,291
2020-12-08T00:00:00.000Z,1.67,7.47,3,2.64,4.2,1.203,280
2020-12-09T00:00:00.000Z,1.47,9.93,2.29,1.98,2.89,1.154,249
2020-12-10T00:00:00.000Z,1.2,9.44,2.33,2,3.42,1.047,261
2020-12-11T00:00:00.000Z,1.1,6.15,2.35,1.63,3.47,1.088,309
2020-12-12T00:00:00.000Z,1.2,6.9,2.4,2.02,2.91,0.769,308
2020-12-13T00:00:00.000Z,0.85,21.23,2,1.67,2.35,1.395,303
2020-12-14T00:00:00.000Z,0.85,5.93,1.6,1.39,2,0.681,284
2020-12-15T00:00:00.000Z,1.17,7.78,1.9,1.63,2.2,0.751,307
2020-12-16T00:00:00.000Z,1.2,4.84,2.17,1.9,2.8,0.617,303
2020-12-17T00:00:00.000Z,1.1,7.22,2.4,1.75,3.4,1.343,279
2020-12-18T00:00:00.000Z,1.8,13.6,5.15,4.09,6.4,2.458,303
2020-12-19T00:00:00.000Z,1.6,15.35,2.29,2,2.83,1.076,285
2020-12-20T00:00:00.000Z,1.1,14.7,2.08,1.8,2.54,1.253,299
2020-12-21T00:00:00.000Z,1.2,11.43,1.92,1.65,2.29,0.933,297
2020-12-22T00:00:00.000Z,1.3,8.55,2.24,1.85,2.63,0.757,286
2020-12-23T00:00:00.000Z,1.77,11.15,3.05,2.58,4.05,1.02,303
2020-12-24T00:00:00.000Z,2.17,18.67,2.9,2.7,3.5,1.442,277
2020-12-25T00:00:00.000Z,1.8,9.69,3.22,2.7,4.15,1.043,307
2020-12-26T00:00:00.000Z,1.65,6.9,2.8,2.42,3.17,0.656,295
2020-12-27T00:00:00.000Z,2.17,10.48,3.72,2.67,4.97,1.48,300
2020-12-28T00:00:00.000Z,2.08,7.2,3.42,2.72,4.28,1.196,295
2020-12-29T00:00:00.000Z,1.9,9.25,3.1,2.4,4.03,1.495,288
2020-12-30T00:00:00.000Z,1.3,7.05,2.2,1.95,3.07,1.215,292
2020-12-31T00:00:00.000Z,1.23,6.6,2.2,1.77,2.5,0.596,306
2021-01-01T00:00:00.000Z,2.02,11.5,4.18,3.37,6.97,2.371,289
2021-01-02T00:00:00.000Z,1.8,13.52,2.8,2.29,4.28,1.292,266
2021-01-03T00:00:00.000Z,1.83,5.45,3.1,2.72,3.55,0.633,259
2021-01-04T00:00:00.000Z,1.83,10.6,2.42,2.25,3.1,0.874,233
2021-01-05T00:00:00.000Z,1,10.18,2.29,1.48,2.76,0.932,237
2021-01-06T00:00:00.000Z,1.65,7,2.45,2.08,3.13,0.779,226
2021-01-07T00:00:00.000Z,1.7,4.57,2.5,2.1,2.88,0.566,262
2021-01-08T00:00:00.000Z,1.4,8.19,2.31,1.95,3.03,0.897,280
2021-01-09T00:00:00.000Z,2.13,8.9,3.1,2.6,5.01,1.426,284
