# Sensor Nuncio Monseñor Sótero Sanz, Providencia, Chile (Citizen Science project sensor.community/7348)
# https://aqicn.org/station/@87943/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-24T00:00:00.000Z,0.75,1.95,1.19,1.02,1.38,0.274,122
2019-12-25T00:00:00.000Z,0.6,3.38,1.38,1.1,1.66,0.442,510
2019-12-26T00:00:00.000Z,0.4,10.3,1.02,0.78,1.23,0.665,267
2019-12-27T00:00:00.000Z,1.5,2.67,1.91,1.81,2.04,0.269,20
2019-12-28T00:00:00.000Z,1,6.13,2.1,1.73,2.7,0.909,509
2019-12-29T00:00:00.000Z,0.85,6.25,2.12,1.65,2.54,0.664,516
2019-12-30T00:00:00.000Z,0.7,3.49,1.31,1.06,1.71,0.584,256
2020-03-26T00:00:00.000Z,2.43,15.8,3.42,3,4.08,2.245,77
2020-03-27T00:00:00.000Z,2.65,17.94,6.89,4.62,10.48,3.677,366
2020-03-28T00:00:00.000Z,4.84,22.62,11.84,9.36,17.48,4.899,169
2020-03-29T00:00:00.000Z,2.38,13.73,6.38,5.05,9.63,2.816,332
2020-03-30T00:00:00.000Z,2.45,11.43,4.05,3.51,7.86,2.57,129
2020-03-31T00:00:00.000Z,1.6,15.78,3.09,2.54,4.25,2.132,312
2020-04-01T00:00:00.000Z,1.33,18.67,2.68,2.16,3.5,1.985,188
2020-04-02T00:00:00.000Z,1.37,19,2.79,2.37,3.52,1.234,430
2020-04-03T00:00:00.000Z,1.48,18.84,3.4,2.5,5.86,3.104,454
2020-04-04T00:00:00.000Z,2.5,11.78,4.65,4.08,6.16,2.293,491
2020-04-05T00:00:00.000Z,0.9,8.61,3.85,2.95,4.8,1.457,486
2020-04-06T00:00:00.000Z,0.98,8.65,2.25,1.78,3.15,1.715,469
2020-04-07T00:00:00.000Z,1.06,6.62,2.4,1.94,3.15,1.162,417
2020-04-08T00:00:00.000Z,0.77,9.4,4.22,2.18,6.6,2.289,450
2020-04-09T00:00:00.000Z,4.08,21.66,7.99,5.98,13.3,4.756,430
2020-04-10T00:00:00.000Z,3.55,19.57,7.5,5.54,11.24,3.814,469
2020-04-11T00:00:00.000Z,3.33,13.5,7.18,5.23,9.22,2.447,141
2020-04-12T00:00:00.000Z,3.42,13.8,7.26,6.45,8.75,1.986,515
2020-04-13T00:00:00.000Z,2.66,16.85,6.75,5.47,8.68,2.673,517
2020-04-14T00:00:00.000Z,1.94,18.32,4.34,3.66,6.26,2.979,501
2020-04-15T00:00:00.000Z,2.76,14.04,5.67,4.19,8.86,2.746,465
2020-04-16T00:00:00.000Z,5.95,22.9,9.15,8.24,14.32,4.219,463
2020-04-17T00:00:00.000Z,4.28,18.52,7.08,6.2,9.19,3.379,513
2020-04-18T00:00:00.000Z,3.37,12.98,5.2,4.54,6.36,2.001,523
2020-04-19T00:00:00.000Z,2.38,15.44,4.26,3.72,4.97,1.205,501
2020-04-20T00:00:00.000Z,1.35,11.98,3.5,2.84,4.71,2.138,461
2020-04-21T00:00:00.000Z,0.77,8.89,2.45,1.68,3.74,1.646,347
2020-04-22T00:00:00.000Z,1.65,15.45,3.55,2.87,4.44,2.573,387
2020-04-23T00:00:00.000Z,2.8,24.32,8.18,5.45,12,3.866,431
2020-04-24T00:00:00.000Z,2.08,12.44,7.08,5.44,8.69,2.241,483
2020-04-25T00:00:00.000Z,1,19.78,4.82,3.74,7.34,3.019,451
2020-04-26T00:00:00.000Z,0.68,4.3,2.27,1.75,2.73,0.702,496
2020-04-27T00:00:00.000Z,0.3,4.38,1.1,0.75,1.66,0.696,478
2020-04-28T00:00:00.000Z,0.46,6.28,1.92,1.37,2.96,1.183,362
2020-04-29T00:00:00.000Z,0.57,23.28,1.98,1.22,5.98,3.738,458
2020-04-30T00:00:00.000Z,1.1,20.38,3.55,2.04,7.93,4.294,484
2020-05-01T00:00:00.000Z,3.92,24.24,7.22,6.2,8.52,2.491,495
2020-05-02T00:00:00.000Z,2.93,17.45,6.2,5.17,8.44,2.958,486
2020-05-03T00:00:00.000Z,4.03,30.67,7.24,6,9.61,3.139,509
2020-05-04T00:00:00.000Z,2.25,13.02,8.44,6.46,9.74,2.557,478
2020-05-05T00:00:00.000Z,1.85,14.88,4.72,3.55,7.61,2.948,440
2020-05-06T00:00:00.000Z,0.75,14.25,4.28,2.74,9.9,3.924,535
