# Sensor P Harris outside, Las Condes, Chile (Purple Air/95321)
# https://aqicn.org/station/@212935/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,2.4,24.8,13.2,10.75,17.25,4.957,304
2021-09-08T00:00:00.000Z,0.7,30.4,5.9,3.8,14.3,7.567,555
2021-09-09T00:00:00.000Z,6.4,62.3,28.8,13.4,36.1,15.128,583
2021-09-10T00:00:00.000Z,27.5,73,37.6,33.5,43.5,10.162,592
2021-09-11T00:00:00.000Z,12.1,57.3,45,39.1,48.7,8.848,619
2021-09-12T00:00:00.000Z,0,32.9,6.3,0.8,11.4,7.168,450
2021-09-13T00:00:00.000Z,0.3,10.2,4.8,3.5,6.3,2.059,547
2021-09-14T00:00:00.000Z,1.3,49.1,7.2,3.9,13.3,10.466,579
2021-09-15T00:00:00.000Z,6.6,49.6,17.5,11.4,27.3,11.729,623
2021-09-16T00:00:00.000Z,11.3,52.3,26.6,16.1,34.45,11.228,604
2021-09-17T00:00:00.000Z,10.3,47.8,29.9,25.3,31.6,8.336,602
2021-09-18T00:00:00.000Z,13.6,52.2,37,32.1,39.45,7.626,589
2021-09-19T00:00:00.000Z,15,44,37.1,34.35,39.4,6.474,584
2021-09-20T00:00:00.000Z,8.1,44.7,23.3,11,33.9,11.878,599
2021-09-21T00:00:00.000Z,10.2,50.6,27.9,16.7,32.2,9.438,597
2021-09-22T00:00:00.000Z,19.4,34.8,30.1,27.7,32.1,2.976,583
2021-09-23T00:00:00.000Z,9.2,46.4,22.8,18.25,27.95,7.554,608
2021-09-24T00:00:00.000Z,3.4,25.6,14.3,10,17.6,5.119,583
2021-09-25T00:00:00.000Z,12.6,51.3,36.2,25.75,39.7,9.893,581
2021-09-26T00:00:00.000Z,9.6,44.7,30.7,24.55,36.29,8.588,573
2021-09-27T00:00:00.000Z,9.1,37.5,19.1,14.1,24.6,6.931,609
2021-09-28T00:00:00.000Z,5.5,29.8,15.3,12.9,19.64,4.93,452
