# Sensor PLC - RespiraAcción, Padre Las Casas, Chile (Purple Air/51611)
# https://aqicn.org/station/@116341/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-05-03T00:00:00.000Z,40.19,415.23,109.47,68.47,164.86,59.616,207
2020-05-04T00:00:00.000Z,11.38,555.44,43.81,24.21,88.26,47.651,713
2020-05-05T00:00:00.000Z,4.7,797.47,46.62,21.76,216.24,180.881,703
2020-05-06T00:00:00.000Z,9.52,492.84,61.63,34.22,103.65,98.838,724
2020-05-07T00:00:00.000Z,21.77,531.1,78.08,45.66,140.83,100.057,541
2020-05-08T00:00:00.000Z,31.84,627.33,103.87,73.17,176.84,130.205,517
2020-05-09T00:00:00.000Z,2.96,74.81,19.29,14.41,29.37,12.112,473
2020-05-10T00:00:00.000Z,1.59,77.73,14.36,7.06,34.08,16.34,352
2020-05-11T00:00:00.000Z,25.89,390,82.68,42.52,181.56,88.072,482
2020-05-12T00:00:00.000Z,18.86,551.41,133.02,49.96,225.72,129.676,694
2020-05-13T00:00:00.000Z,23.25,781.33,78.9,46.36,149.25,82.117,715
2020-05-14T00:00:00.000Z,11.31,546.07,68.83,54.6,191.93,105.895,711
2020-05-15T00:00:00.000Z,16.07,278.19,50.28,33.31,83.04,38.397,710
2020-05-16T00:00:00.000Z,11.27,278.45,43.27,33.9,58.04,34.424,725
2020-05-17T00:00:00.000Z,3.88,247.16,46.57,21.72,68.06,40.759,710
2020-05-18T00:00:00.000Z,28.94,743.18,70.76,51.53,123.61,118.495,685
2020-05-19T00:00:00.000Z,3.67,329.76,65.15,40.95,95.49,50.085,717
2020-05-20T00:00:00.000Z,41.96,332.61,95.22,64.65,148.56,54.177,723
2020-05-21T00:00:00.000Z,24.67,762.08,101.71,58.56,209.14,164.876,712
2020-05-22T00:00:00.000Z,18.91,895.31,107.69,56.61,285.45,194.56,714
2020-05-23T00:00:00.000Z,43.83,637.35,158.76,108.91,277.04,129.699,718
2020-05-24T00:00:00.000Z,26.29,586.24,76.45,45.77,170.4,114.225,721
2020-05-25T00:00:00.000Z,4.96,568.16,75.22,33.27,149.53,115.949,718
2020-05-26T00:00:00.000Z,39.75,542.48,60.39,51.29,120.91,84.963,207
2020-05-27T00:00:00.000Z,5.03,410.67,42.58,17.55,96.37,71.75,716
2020-05-28T00:00:00.000Z,9.51,337.3,47.69,35.97,78.28,54.222,712
2020-05-29T00:00:00.000Z,14.82,890.34,74.62,47.63,240.41,212.222,701
2020-05-30T00:00:00.000Z,34.81,843.48,130.93,81.34,433.03,253.141,717
2020-05-31T00:00:00.000Z,21.92,925.1,115.09,55.22,238.63,205.186,709
2020-06-01T00:00:00.000Z,52.38,844.8,185.1,117.94,251.23,167.383,656
2020-06-02T00:00:00.000Z,23.89,312.77,77.19,50.53,117.11,61.581,676
2020-06-03T00:00:00.000Z,17.54,370.54,55.85,45.6,101.07,55.119,229
2020-06-04T00:00:00.000Z,17.25,974.98,160.93,100.45,359.24,206.447,714
2020-06-05T00:00:00.000Z,27.8,657.8,93.59,59.93,183.88,125.411,718
2020-06-06T00:00:00.000Z,27.45,595.19,86.76,48.37,191.77,133.201,716
2020-06-07T00:00:00.000Z,31.78,396.69,75.84,47.32,146.62,82.769,718
2020-06-08T00:00:00.000Z,2.31,329.32,53.69,21.88,86.64,60.481,717
2020-06-09T00:00:00.000Z,14.43,513.21,58.28,37.54,150.59,84.92,719
2020-06-10T00:00:00.000Z,5.18,167.55,44.44,12.98,68.31,35.062,714
2020-06-11T00:00:00.000Z,1.33,167.91,33.19,16.59,46.82,23.322,715
2020-06-12T00:00:00.000Z,1.45,570.32,44.37,13.52,73.92,82.491,713
2020-06-13T00:00:00.000Z,9.18,825.28,56.57,36.92,109.53,139.081,720
2020-06-14T00:00:00.000Z,42.41,921.38,155.93,87.48,313.36,172.865,717
2020-06-15T00:00:00.000Z,15.6,970.74,108.02,58.85,204.44,197.811,708
2020-06-16T00:00:00.000Z,49.82,202.02,109.11,83.28,147.46,39.595,97
2020-06-17T00:00:00.000Z,25.68,416.06,99.62,66.95,158.66,84.82,719
2020-06-18T00:00:00.000Z,0.11,256.05,30.7,5.83,53.58,37.71,713
2020-06-19T00:00:00.000Z,0.98,337.24,48.22,35.79,71.56,49.05,718
2020-06-20T00:00:00.000Z,1.88,321.72,32.54,14.88,56.88,52.864,716
2020-06-21T00:00:00.000Z,6.89,380.28,55.09,39.11,111.26,57.666,715
2020-06-22T00:00:00.000Z,0.63,450.28,49.09,27.7,88.87,76.539,719
2020-06-23T00:00:00.000Z,2.65,557.45,90.14,31.91,157.33,125.097,674
2020-06-24T00:00:00.000Z,1.68,350.56,64.53,15.54,114.97,60.022,561
2020-06-25T00:00:00.000Z,21.76,616.42,66.05,50.73,104.62,80.983,655
2020-06-26T00:00:00.000Z,7.46,823.39,56.63,37.64,129.68,134.069,641
2020-06-27T00:00:00.000Z,5.12,447.04,42.98,22.04,63.45,65.34,563
2020-06-28T00:00:00.000Z,2.21,577.38,47.24,18.27,94.43,99.35,583
2020-06-29T00:00:00.000Z,2.6,433.41,58.52,36.83,101.84,72.411,548
2020-06-30T00:00:00.000Z,6.8,400.12,51.09,28.16,119.61,71.679,545
2020-07-01T00:00:00.000Z,3.8,427.47,44.09,19.32,71.42,69.101,529
2020-07-02T00:00:00.000Z,14.48,995.92,119.05,55.53,262.2,137.594,533
2020-07-03T00:00:00.000Z,0.59,583.48,43.91,12.17,96.62,121.1,533
2020-07-04T00:00:00.000Z,4.71,446.09,51.16,31.39,125.43,89.14,574
2020-07-05T00:00:00.000Z,8.05,534.34,58.14,33.44,97.83,100.884,552
2020-07-06T00:00:00.000Z,50.58,1018.49,167.29,98.06,381.23,230.756,345
2020-07-07T00:00:00.000Z,25.46,701.31,74.67,52.21,224.26,169.078,528
2020-07-08T00:00:00.000Z,8.47,477.62,75.04,40.81,126.32,78.15,526
2020-07-09T00:00:00.000Z,3.78,197.06,45.61,24.64,73.73,41.593,565
2020-07-10T00:00:00.000Z,0.98,259.06,33.6,9.61,58.37,43.593,560
2020-07-11T00:00:00.000Z,1.25,331.96,44.14,10.35,86.07,60.977,549
2020-07-12T00:00:00.000Z,3.14,401.26,63.66,29.26,97.37,61.293,567
2020-07-13T00:00:00.000Z,13.08,671.72,83.86,50.55,153.06,104.02,555
2020-07-14T00:00:00.000Z,42.48,755.87,136.69,82.96,263.05,154.266,537
2020-07-15T00:00:00.000Z,57.22,746.05,201.29,113.7,385.73,159.766,544
2020-07-16T00:00:00.000Z,40.47,924.38,180.44,117.04,282.58,219.609,536
2020-07-17T00:00:00.000Z,3.32,341.65,38.97,24.89,64.29,46.167,563
2020-07-18T00:00:00.000Z,0.63,282.73,42.8,6.72,79.11,50.725,567
2020-07-19T00:00:00.000Z,2.41,311.45,43.68,25.47,67.25,54.565,579
2020-07-20T00:00:00.000Z,1.07,558.9,48.7,29.55,69.93,49.317,544
2020-07-21T00:00:00.000Z,13.93,177.94,45.59,35,68.91,32.533,532
2020-07-22T00:00:00.000Z,16.26,453.7,92.07,55.74,152.05,79.397,480
2020-07-23T00:00:00.000Z,4.67,400.42,64.53,43.84,161.38,84.042,530
2020-07-24T00:00:00.000Z,22.88,460.33,79.81,58.05,125.44,75.553,546
2020-07-25T00:00:00.000Z,7.43,353.62,55.72,34.76,99.3,54.308,560
2020-07-26T00:00:00.000Z,2,227.35,28.4,16.69,37.59,22.157,503
2020-07-27T00:00:00.000Z,10.65,641.38,98.29,49.32,166.25,90.222,522
2020-07-28T00:00:00.000Z,35.09,868.9,144,95.93,396.84,192.93,477
2020-07-29T00:00:00.000Z,44.43,1188.68,151.01,81.18,329.2,262.908,480
2020-07-30T00:00:00.000Z,32.36,511.21,113.19,60.82,238.76,112.751,488
2020-07-31T00:00:00.000Z,13.67,269.55,52.68,36.71,83.56,44.127,501
2020-08-01T00:00:00.000Z,4.86,409.18,79.34,29.9,159.29,90.271,493
2020-08-02T00:00:00.000Z,14.53,333.91,69.14,47.44,108.12,55.016,434
2020-08-03T00:00:00.000Z,23.95,538.02,62.89,45.02,123.71,121.372,467
2020-08-04T00:00:00.000Z,5.87,319.3,64,33.47,109.71,56.894,542
2020-08-05T00:00:00.000Z,1.12,310.95,29.8,11.61,50.41,62.423,617
2020-08-06T00:00:00.000Z,14.12,490.11,64.16,37.85,124.55,95.835,631
2020-08-07T00:00:00.000Z,29.64,585.02,158.91,67.14,325.95,155.337,630
2020-08-08T00:00:00.000Z,21.45,780.13,97.35,69.38,191.29,137.905,628
2020-08-09T00:00:00.000Z,14.88,624.97,47.36,33.18,189.93,129.023,623
2020-08-10T00:00:00.000Z,0.49,259.44,41.51,17.39,82.57,43.377,643
2020-08-11T00:00:00.000Z,38.02,924.92,112.28,62.51,295.38,205.974,442
2020-08-12T00:00:00.000Z,20.78,537.14,77.23,54.07,155.83,116.655,627
2020-08-13T00:00:00.000Z,9.28,345.55,59.68,41.55,90.34,37.339,615
2020-08-14T00:00:00.000Z,4.37,253.85,49.33,33.39,83.43,40.965,645
2020-08-15T00:00:00.000Z,4.32,340.91,40.21,29.14,61.51,38.453,614
2020-08-16T00:00:00.000Z,12.37,532.58,54.51,38.4,147,85.081,616
2020-08-17T00:00:00.000Z,7.74,428.04,61.49,43.71,108.81,54.471,621
2020-08-18T00:00:00.000Z,0.18,219.72,45.16,29.07,66.52,39.493,619
2020-08-19T00:00:00.000Z,13.93,899.27,91.68,54.33,260.39,214.251,597
2020-08-20T00:00:00.000Z,6.64,261.16,41.1,27.78,71.2,40.943,577
2020-08-21T00:00:00.000Z,13.41,474.93,88.09,41.4,131.44,70.014,529
2020-08-22T00:00:00.000Z,33.89,532.9,70.98,52.23,184.54,136.776,517
