# Sensor PPL-9, Quilicura, Chile (Purple Air/96465)
# https://aqicn.org/station/@342172/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-05-24T00:00:00.000Z,30.5,42.8,36.8,35,38.2,2.376,127
2022-05-25T00:00:00.000Z,0.8,116.5,29.7,11.3,38.5,23.682,610
2022-05-26T00:00:00.000Z,4.1,125,45,13.35,73.8,34.712,593
2022-05-27T00:00:00.000Z,17.4,81.9,51.7,35.25,63.7,18.171,85
2022-05-28T00:00:00.000Z,2.3,145,9.6,4.59,44.4,33.124,459
2022-05-29T00:00:00.000Z,3.7,185.3,85,10.3,143,60.992,647
2022-05-30T00:00:00.000Z,8.9,130.2,52.35,41.5,79.8,29.936,202
2022-05-31T00:00:00.000Z,62.6,76,69.09,66.4,71.5,3.319,173
2022-06-01T00:00:00.000Z,49.6,154,76.5,63.05,97.05,25.943,640
2022-06-02T00:00:00.000Z,43,208.1,95.5,69.2,125.8,47.419,643
2022-06-03T00:00:00.000Z,20.7,136.3,33.4,27.1,54.35,35.249,652
2022-06-04T00:00:00.000Z,7,39.9,11.6,10,23.6,10.322,595
2022-06-05T00:00:00.000Z,11.3,36.6,22.7,17.89,30.6,7.008,639
2022-06-06T00:00:00.000Z,3.1,39.7,14.7,8.65,18.9,9.34,624
2022-06-07T00:00:00.000Z,4.3,48.2,26.7,16.5,37.8,12.22,631
2022-06-08T00:00:00.000Z,11.6,75.7,31.2,18.7,51.1,18.873,642
2022-06-09T00:00:00.000Z,1.9,89.6,17.64,6.25,26.2,13.802,628
2022-06-10T00:00:00.000Z,8.8,171.2,46.75,30.05,65.6,32.71,648
2022-06-11T00:00:00.000Z,44.9,168.6,66.55,55.8,98,31.995,650
2022-06-12T00:00:00.000Z,30.4,201.4,47.3,38,72.1,45.204,643
2022-06-13T00:00:00.000Z,29.8,73.8,47.75,42.3,51.5,8.022,636
2022-06-14T00:00:00.000Z,27.9,69.1,44,39.8,52.1,9.354,642
2022-06-15T00:00:00.000Z,21.2,89.3,48.7,42.6,69.05,18.187,621
2022-06-16T00:00:00.000Z,21.2,175.7,48,41.3,72.4,41.002,641
2022-06-17T00:00:00.000Z,16.9,71.8,40.9,30.2,49,12.427,566
2022-06-18T00:00:00.000Z,18.6,73.9,39.4,28.4,50.7,13.976,653
2022-06-19T00:00:00.000Z,40.3,89.9,49,45.4,60.4,13.597,626
2022-06-20T00:00:00.000Z,39.6,101.2,49.4,46,59.15,11.96,648
2022-06-21T00:00:00.000Z,31.9,67.7,43.6,37.7,54.9,10.206,639
2022-06-22T00:00:00.000Z,33.6,109.1,54.6,44.6,67.7,17.976,631
2022-06-23T00:00:00.000Z,11.5,51.6,31.6,17.5,43.2,13.087,619
2022-06-24T00:00:00.000Z,6.7,48.6,29.9,19.4,35.29,11.491,631
2022-06-25T00:00:00.000Z,10.9,48.1,22.3,19.8,25.9,7.512,629
2022-06-26T00:00:00.000Z,41.7,139.5,57.25,47.6,100.35,30.51,636
2022-06-27T00:00:00.000Z,32,80.4,51.2,45.3,66.9,13.179,622
2022-06-28T00:00:00.000Z,7.6,40.2,22.7,14.2,27.8,8.623,627
2022-06-29T00:00:00.000Z,0.8,46.2,12.2,5.5,22.75,11.876,641
2022-06-30T00:00:00.000Z,36.9,76.6,49.8,44.3,53.3,7.319,640
2022-07-01T00:00:00.000Z,1.6,93.4,19.39,7.5,32.9,18.505,650
2022-07-02T00:00:00.000Z,15.3,76.6,29.55,21.5,44.8,15.049,646
2022-07-03T00:00:00.000Z,17.4,76.4,34.7,23.45,43.2,13.755,596
2022-07-04T00:00:00.000Z,13,40.5,27.9,21.1,31.7,6.847,427
2022-07-05T00:00:00.000Z,2.6,48.8,32.4,14.4,40.7,14.412,614
2022-07-06T00:00:00.000Z,1.2,53.7,16.1,8.1,24.4,12.492,639
2022-07-07T00:00:00.000Z,20,67.1,44.4,38.6,47.5,6.937,416
2022-07-08T00:00:00.000Z,22,163.2,46.7,38.7,54,29.2,599
2022-07-09T00:00:00.000Z,3.2,48.2,31.35,7.1,40.1,16.027,616
2022-07-10T00:00:00.000Z,22.2,49.1,35.9,32.1,39.4,5.984,621
2022-07-11T00:00:00.000Z,21.5,68,38.2,34.79,49.4,10.16,629
2022-07-12T00:00:00.000Z,5.8,45.1,20.75,15,31.35,10.651,632
