# Sensor PSR22, Pirque, Chile (Purple Air/147420)
# https://aqicn.org/station/@350749/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-08-05T00:00:00.000Z,30.5,65.3,45.5,35.7,50,7.569,115
2022-08-06T00:00:00.000Z,16.2,332.2,65.2,54.1,88.1,36.054,294
2022-08-07T00:00:00.000Z,1,99.1,9.55,6.5,14.3,10.942,294
2022-08-08T00:00:00.000Z,7.3,85,23.8,14.35,44.5,15.713,285
2022-08-09T00:00:00.000Z,0,252.2,40.29,10.85,47.85,34.815,281
2022-08-10T00:00:00.000Z,1.8,94.4,23.85,13.1,35.29,15.794,282
2022-08-11T00:00:00.000Z,23.6,227.9,46.7,36.9,52.8,17.857,283
2022-08-12T00:00:00.000Z,36.4,56.2,43.05,40.2,46.8,4.059,274
2022-08-13T00:00:00.000Z,29.1,280.1,53.6,44.8,63.3,25.82,285
2022-08-14T00:00:00.000Z,14.7,144.7,49,39.35,65.5,26.821,281
2022-08-15T00:00:00.000Z,0.1,121.4,4.4,2.9,10.5,16.035,266
2022-08-16T00:00:00.000Z,21.8,145.6,44.9,39.4,53.9,16.543,281
2022-08-17T00:00:00.000Z,8,102.3,34.1,31.05,38.75,11.691,260
2022-08-18T00:00:00.000Z,10.4,142.2,46,38.4,53.9,23.685,283
2022-08-19T00:00:00.000Z,1.1,168.2,36.54,21.8,48.6,25.492,276
2022-08-20T00:00:00.000Z,7.1,181.3,24.25,14.45,40,17.408,272
2022-08-21T00:00:00.000Z,14.7,174,45.15,38.2,50.2,16.612,278
2022-08-22T00:00:00.000Z,38,200.9,51.35,42.6,68.45,24.872,284
2022-08-23T00:00:00.000Z,51.9,96.8,69.05,61.3,78.05,10.732,284
2022-08-24T00:00:00.000Z,27,104.6,80.3,66.3,89.2,20.975,283
2022-08-25T00:00:00.000Z,37.9,135.4,56.5,51.6,65.4,14.671,233
2022-09-13T00:00:00.000Z,30.2,30.2,30.2,30.2,30.2,0,1
