# Sensor Pasaje Valencia, Puente Alto, Chile (Citizen Science project sensor.community/18885)
# https://aqicn.org/station/@64594/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,1.25,6.43,2.34,1.89,2.81,0.77,312
2019-12-10T00:00:00.000Z,0.6,4.09,1.65,1.1,2.18,0.756,370
2019-12-11T00:00:00.000Z,1.36,23.95,2.46,1.98,3.14,2.102,402
2019-12-12T00:00:00.000Z,0.75,13.26,2.46,1.48,4.2,1.91,480
2019-12-13T00:00:00.000Z,0.62,17.8,1.65,1.36,2.12,1.795,548
2019-12-14T00:00:00.000Z,1.18,4.98,2.42,2.02,2.88,0.622,389
2019-12-15T00:00:00.000Z,0.68,8.58,3.18,1.56,4.22,1.622,564
2019-12-16T00:00:00.000Z,1.4,7.5,3.21,2.68,3.71,1.038,282
2019-12-17T00:00:00.000Z,0.78,25.15,1.75,1.32,2.29,1.659,279
2019-12-18T00:00:00.000Z,1.03,10.78,2.87,1.68,3.49,1.862,463
2019-12-19T00:00:00.000Z,0.42,7.63,2.86,1.94,3.48,1.202,544
2019-12-20T00:00:00.000Z,0.72,106.25,3.8,1.62,6.25,6.96,483
2020-06-14T00:00:00.000Z,1.4,63.87,8.52,3.83,14.17,8.467,266
2020-06-15T00:00:00.000Z,7.53,53.8,18.85,15.6,22.53,6.252,486
2020-06-16T00:00:00.000Z,7.73,46.53,19.87,16.23,24.83,7.37,383
2021-02-11T00:00:00.000Z,11.8,28,15.72,14.1,17.64,2.64,64
2021-02-12T00:00:00.000Z,8.57,47.6,18.93,16,24.8,9.236,256
2021-02-13T00:00:00.000Z,6.23,41.03,18.54,12.04,27.07,8.631,256
2021-02-14T00:00:00.000Z,1.97,82.63,13.54,9.02,25.4,10.254,226
2021-02-15T00:00:00.000Z,4.57,55.27,15.47,10.67,18.36,6.888,241
2021-02-16T00:00:00.000Z,10.3,141.93,15.63,13,20.57,10.205,231
2021-02-17T00:00:00.000Z,3.03,29.63,6.93,5,15.14,6.535,229
2021-02-18T00:00:00.000Z,1.43,15.77,3.39,2.7,4.84,2.504,260
2021-02-19T00:00:00.000Z,1.3,15.77,2.9,1.9,4.97,2.175,215
2021-02-20T00:00:00.000Z,2.1,12.4,2.97,2.54,6.1,2.515,120
2021-02-21T00:00:00.000Z,2.1,9.17,3.1,2.6,4.2,1.321,186
2021-02-22T00:00:00.000Z,1.57,32.2,2.73,2.13,4.43,3.121,210
2021-02-23T00:00:00.000Z,2.1,19.93,3.3,2.8,5.44,2.47,229
2021-02-24T00:00:00.000Z,1.5,51.73,4.09,2.6,6.39,4.486,236
2021-02-25T00:00:00.000Z,3.13,16.2,5.2,4.33,8.83,3.494,235
2021-02-26T00:00:00.000Z,5,196.03,8.77,7.07,12.17,17.604,223
2021-02-27T00:00:00.000Z,4.67,25.83,13.03,9.19,17,5.811,262
2021-02-28T00:00:00.000Z,2.17,31.8,7.63,4.57,9.69,4.163,258
2021-03-01T00:00:00.000Z,1.6,20.2,4.63,3.67,6.1,2.442,235
2021-03-02T00:00:00.000Z,4.67,32.57,7.95,6.47,10.18,4.908,252
2021-03-03T00:00:00.000Z,3.7,71.67,11.47,8.27,14.85,7.06,229
2021-03-04T00:00:00.000Z,3.9,132.66,5.7,4.97,9.43,9.654,231
2021-03-05T00:00:00.000Z,3.9,94.53,7.27,5.01,14.55,7.958,193
2021-03-06T00:00:00.000Z,3.4,22.33,6.75,5.12,9.03,4.271,244
2021-03-07T00:00:00.000Z,3.2,13.23,5.55,4.53,7.47,2.38,270
2021-03-08T00:00:00.000Z,2.13,63.23,4.93,3.97,6.33,4.76,247
2021-03-09T00:00:00.000Z,2.6,78.59,5.32,3.93,6.6,5.482,254
2021-03-10T00:00:00.000Z,3.67,56.73,6.93,5.3,9.93,5.81,233
2021-03-11T00:00:00.000Z,3.57,19.32,5.83,4.7,7.57,2.103,140
